
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1145"
"0.0500","0.0001","-0.0278"
"0.1000","0.0008","0.1152"
"0.1500","0.0011","0.1341"
"0.2000","0.0029","0.0189"
"0.2500","0.0057","0.0213"
"0.3000","0.0077","0.0534"
"0.3500","0.0091","0.1789"
"0.4000","0.0111","0.0213"
"0.4500","0.0127","0.0791"
"0.5000","0.0143","-0.0016"
"0.5500","0.0160","0.1360"
"0.6000","0.0177","0.1572"
"0.6500","0.0195","-0.0281"
"0.7000","0.0208","-0.2019"
"0.7500","0.0228","0.1017"
"0.8000","0.0244","-0.1116"
"0.8500","0.0261","0.1138"
"0.9000","0.0278","-0.1703"
"0.9500","0.0295","0.0854"
"1.0000","0.0311","-0.0471"
"1.0500","0.0324","-0.0371"
"1.1000","0.0345","0.2542"
"1.1500","0.0360","-0.0560"
"1.2000","0.0378","-0.0287"
"1.2500","0.0394","0.0254"
"1.3000","0.0410","0.0955"
"1.3500","0.0427","0.1213"
"1.4000","0.0442","0.0434"
"1.4500","0.0462","0.0638"
"1.5000","0.0477","0.0909"
"1.5500","0.0494","0.0312"
"1.6000","0.0510","-0.1015"
"1.6500","0.0528","-0.0587"
"1.7000","0.0544","0.0792"
"1.7500","0.0559","0.1238"
"1.8000","0.0579","-0.0215"
"1.8500","0.0592","0.1546"
"1.9000","0.0611","0.0887"
"1.9500","0.0627","-0.0027"
"2.0000","0.0645","0.0915"
"2.0500","0.0659","0.0657"
"2.1000","0.0675","0.0992"
"2.1500","0.0695","0.1767"
"2.2000","0.0709","-0.0114"
"2.2500","0.0728","0.0319"
"2.3000","0.0743","0.1006"
"2.3500","0.0762","0.0153"
"2.4000","0.0775","0.1230"
"2.4500","0.0793","0.0090"
"2.5000","0.0812","0.0679"
"2.5500","0.0827","0.0466"
"2.6000","0.0845","0.2527"
"2.6500","0.0860","0.0564"
"2.7000","0.0878","0.0317"
"2.7500","0.0892","0.0092"
"2.8000","0.0911","0.1192"
"2.8500","0.0928","0.0313"
"2.9000","0.0943","0.1936"
"2.9500","0.0961","0.0974"
"3.0000","0.0977","-0.1855"
"3.0500","0.0996","0.0219"
"3.1000","0.1008","0.0076"
"3.1500","0.1027","0.0072"
"3.2000","0.1045","0.1085"
"3.2500","0.1060","0.0332"
"3.3000","0.1078","-0.1148"
"3.3500","0.1094","0.0808"
"3.4000","0.1112","0.1895"
"3.4500","0.1124","-0.0510"
"3.5000","0.1144","0.1032"
"3.5500","0.1161","0.0494"
"3.6000","0.1178","0.2601"
"3.6500","0.1194","0.1408"
"3.7000","0.1209","0.2242"
"3.7500","0.1227","-0.0163"
"3.8000","0.1241","-0.0337"
"3.8500","0.1262","-0.0297"
"3.9000","0.1277","0.1206"
"3.9500","0.1294","-0.1751"
"4.0000","0.1310","0.0213"
"4.0500","0.1327","0.1537"
"4.1000","0.1345","0.0263"
"4.1500","0.1359","0.0299"
"4.2000","0.1379","0.0128"
"4.2500","0.1394","0.0427"
"4.3000","0.1411","0.1384"
"4.3500","0.1427","0.1466"
"4.4000","0.1445","-0.0978"
"4.4500","0.1461","-0.0371"
"4.5000","0.1475","0.0904"
"4.5500","0.1495","0.0914"
"4.6000","0.1510","0.0171"
"4.6500","0.1529","0.2368"
"4.7000","0.1543","0.1220"
"4.7500","0.1561","-0.1215"
"4.8000","0.1576","-0.0782"
"4.8500","0.1592","0.0645"
"4.9000","0.1612","0.1240"
"4.9500","0.1627","0.0031"
"5.0000","0.1645","0.0946"
"5.0500","0.1660","0.0785"
"5.1000","0.1678","0.0416"
"5.1500","0.1692","0.0112"
"5.2000","0.1710","0.1308"
"5.2500","0.1728","0.1207"
"5.3000","0.1743","0.0014"
"5.3500","0.1761","-0.0100"
"5.4000","0.1777","-0.0431"
"5.4500","0.1795","0.1339"
"5.5000","0.1809","-0.0085"
"5.5500","0.1826","0.0256"
"5.6000","0.1844","0.0718"
"5.6500","0.1859","-0.0424"
"5.7000","0.1878","0.0786"
"5.7500","0.1894","0.1364"
"5.8000","0.1911","-0.0054"
"5.8500","0.1925","0.1188"
"5.9000","0.1944","0.1659"
"5.9500","0.1961","0.1087"
"6.0000","0.1977","0.0716"
"6.0500","0.1995","-0.0606"
"6.1000","0.2010","0.1010"
"6.1500","0.2028","0.2038"
"6.2000","0.2042","0.0501"
"6.2500","0.2062","-0.0041"
"6.3000","0.2077","0.0387"
"6.3500","0.2093","0.0438"
"6.4000","0.2111","-0.0831"
"6.4500","0.2127","0.1518"
"6.5000","0.2145","0.2313"
"6.5500","0.2158","0.0927"
"6.6000","0.2178","0.1223"
"6.6500","0.2194","-0.0065"
"6.7000","0.2211","0.1233"
"6.7500","0.2228","0.1224"
"6.8000","0.2245","0.0427"
"6.8500","0.2261","0.1845"
"6.9000","0.2274","-0.0907"
"6.9500","0.2295","-0.0612"
"7.0000","0.2311","0.1328"
"7.0500","0.2328","-0.1484"
"7.1000","0.2344","0.1073"
"7.1500","0.2360","0.0307"
"7.2000","0.2377","0.0195"
"7.2500","0.2391","0.0824"
"7.3000","0.2412","0.0633"
"7.3500","0.2427","0.1120"
"7.4000","0.2444","-0.0606"
"7.4500","0.2460","-0.0399"
"7.5000","0.2477","-0.0465"
"7.5500","0.2493","-0.0684"
"7.6000","0.2509","-0.0693"
"7.6500","0.2528","-0.0765"
"7.7000","0.2543","0.1262"
"7.7500","0.2561","0.1338"
"7.8000","0.2577","0.0691"
"7.8500","0.2595","0.0286"
"7.9000","0.2610","0.1839"
"7.9500","0.2625","0.1975"
"8.0000","0.2645","0.0940"
"8.0500","0.2660","-0.0312"
"8.1000","0.2678","0.1962"
"8.1500","0.2693","0.0927"
"8.2000","0.2712","0.1176"
"8.2500","0.2726","0.1666"
"8.3000","0.2743","0.0814"
"8.3500","0.2762","0.0883"
"8.4000","0.2776","-0.0377"
"8.4500","0.2795","0.0283"
"8.5000","0.2810","-0.0148"
"8.5500","0.2829","-0.0122"
"8.6000","0.2843","0.0596"
"8.6500","0.2860","0.0512"
"8.7000","0.2878","0.1389"
"8.7500","0.2893","0.2225"
"8.8000","0.2912","0.2498"
"8.8500","0.2927","0.0319"
"8.9000","0.2945","0.1116"
"8.9500","0.2958","0.0404"
"9.0000","0.2977","0.1686"
"9.0500","0.2995","0.0978"
"9.1000","0.3010","0.1829"
"9.1500","0.3028","0.0611"
"9.2000","0.3043","0.1946"
"9.2500","0.3062","0.1057"
"9.3000","0.3075","0.1526"
"9.3500","0.3094","0.2109"
"9.4000","0.3111","0.1200"
"9.4500","0.3126","0.1070"
"9.5000","0.3144","0.0817"
"9.5500","0.3160","-0.0292"
"9.6000","0.3179","0.1104"
"9.6500","0.3192","0.0820"
"9.7000","0.3211","0.1210"
"9.7500","0.3227","0.0193"
"9.8000","0.3243","-0.0302"
"9.8500","0.3262","-0.0166"
"9.9000","0.3277","0.0773"
"9.9500","0.3295","0.2313"
"10.0000","0.3308","0.0526"
"10.0500","0.3328","0.0879"
"10.1000","0.3344","-0.0435"
"10.1500","0.3361","-0.0747"
"10.2000","0.3377","0.2817"
"10.2500","0.3394","0.0918"
"10.3000","0.3411","-0.0251"
"10.3500","0.3425","0.1752"
"10.4000","0.3446","-0.0160"
"10.4500","0.3461","0.2056"
"10.5000","0.3478","0.0298"
"10.5500","0.3493","0.1276"
"10.6000","0.3511","0.1103"
"10.6500","0.3528","0.1765"
"10.7000","0.3542","-0.0173"
"10.7500","0.3562","0.0855"
"10.8000","0.3577","-0.0245"
"10.8500","0.3595","-0.0390"
"10.9000","0.3610","0.0239"
"10.9500","0.3628","0.0749"
"11.0000","0.3643","0.0182"
"11.0500","0.3659","0.1794"
"11.1000","0.3679","0.0766"
"11.1500","0.3693","0.1430"
"11.2000","0.3712","-0.1457"
"11.2500","0.3726","0.0919"
"11.3000","0.3745","0.0283"
"11.3500","0.3759","0.0244"
"11.4000","0.3776","0.1791"
"11.4500","0.3796","0.0170"
"11.5000","0.3810","0.1421"
"11.5500","0.3828","0.1110"
"11.6000","0.3843","0.0990"
"11.6500","0.3862","0.0911"
"11.7000","0.3875","0.1510"
"11.7500","0.3893","0.0761"
"11.8000","0.3912","0.2991"
"11.8500","0.3927","0.1199"
"11.9000","0.3945","-0.0094"
"11.9500","0.3959","-0.0081"
"12.0000","0.3979","-0.0257"
"12.0500","0.3992","-0.0279"
"12.1000","0.4011","0.0776"
"12.1500","0.4028","0.1950"
"12.2000","0.4044","-0.0573"
"12.2500","0.4062","0.1742"
"12.3000","0.4077","0.0572"
"12.3500","0.4095","-0.0161"
"12.4000","0.4108","0.1535"
"12.4500","0.4128","0.1864"
"12.5000","0.4144","0.0697"
"12.5500","0.4160","0.1163"
"12.6000","0.4178","0.0773"
"12.6500","0.4194","0.1100"
"12.7000","0.4211","0.2090"
"12.7500","0.4225","0.0150"
"12.8000","0.4244","0.0368"
"12.8500","0.4260","0.1414"
"12.9000","0.4277","0.2750"
"12.9500","0.4294","-0.0612"
"13.0000","0.4310","0.1662"
