
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2701"
"0.1000","0.0004","0.9964"
"0.2000","0.0014","3.9000"
"0.3000","0.0064","19.1612"
"0.4000","0.0102","30.9946"
"0.5000","0.0137","41.0427"
"0.6000","0.0168","50.1406"
"0.7000","0.0201","59.9566"
"0.8000","0.0235","69.2318"
"0.9000","0.0267","78.0857"
"1.0000","0.0302","87.9782"
"1.1000","0.0337","97.4650"
"1.2000","0.0370","105.8066"
"1.3000","0.0403","114.0453"
"1.4000","0.0435","122.2268"
"1.5000","0.0468","129.7133"
"1.6000","0.0500","136.4217"
"1.7000","0.0535","138.8510"
"1.8000","0.0569","144.1356"
"1.9000","0.0602","151.5567"
"2.0000","0.0636","159.5909"
"2.1000","0.0669","167.0583"
"2.2000","0.0702","174.9053"
"2.3000","0.0733","182.4187"
"2.4000","0.0768","190.5822"
"2.5000","0.0802","198.7154"
"2.6000","0.0835","206.2346"
"2.7000","0.0870","214.6516"
"2.8000","0.0903","222.5217"
"2.9000","0.0936","229.7262"
"3.0000","0.0968","236.8138"
"3.1000","0.1002","244.5330"
"3.2000","0.1035","251.9178"
"3.3000","0.1067","258.5793"
"3.4000","0.1103","266.8838"
"3.5000","0.1137","273.6850"
"3.6000","0.1169","280.8126"
"3.7000","0.1201","287.1040"
"3.8000","0.1234","293.8820"
"3.9000","0.1268","300.6624"
"4.0000","0.1300","306.8181"
"4.1000","0.1336","314.1111"
"4.2000","0.1369","320.9363"
"4.3000","0.1403","327.5064"
"4.4000","0.1436","333.6019"
"4.5000","0.1469","339.9096"
"4.6000","0.1501","346.1650"
"4.7000","0.1533","351.5706"
"4.8000","0.1569","358.8038"
"4.9000","0.1603","364.9071"
"5.0000","0.1636","370.9084"
"5.1000","0.1670","377.1624"
"5.2000","0.1702","382.4898"
"5.3000","0.1736","388.6371"
"5.4000","0.1766","393.5334"
"5.5000","0.1801","399.8383"
"5.6000","0.1835","405.9123"
"5.7000","0.1868","411.1372"
"5.8000","0.1903","417.3322"
"5.9000","0.1936","422.9002"
"6.0000","0.1969","428.2827"
"6.1000","0.2000","433.0164"
"6.2000","0.2034","438.5138"
"6.3000","0.2068","444.0038"
"6.4000","0.2101","449.3713"
"6.5000","0.2137","455.3125"
"6.6000","0.2169","460.3438"
"6.7000","0.2204","465.6625"
"6.8000","0.2235","470.3609"
"6.9000","0.2268","475.2380"
"7.0000","0.2301","480.4507"
"7.1000","0.2333","485.2456"
"7.2000","0.2370","491.1449"
"7.3000","0.2403","496.0931"
"7.4000","0.2436","500.9182"
"7.5000","0.2469","505.8375"
"7.6000","0.2502","510.3433"
"7.7000","0.2534","515.2973"
"7.8000","0.2566","519.5107"
"7.9000","0.2602","525.0109"
"8.0000","0.2635","529.7690"
"8.1000","0.2669","534.5358"
"8.2000","0.2703","539.2299"
"8.3000","0.2736","543.8071"
"8.4000","0.2769","548.2249"
"8.5000","0.2800","552.1221"
"8.6000","0.2835","557.1213"
"8.7000","0.2869","561.8929"
"8.8000","0.2901","566.0929"
"8.9000","0.2937","571.3729"
"9.0000","0.2969","575.4278"
"9.1000","0.3003","579.8559"
"9.2000","0.3034","583.6277"
"9.3000","0.3067","587.9722"
"9.4000","0.3102","592.2170"
"9.5000","0.3134","596.2902"
"9.6000","0.3170","601.2463"
"9.7000","0.3203","605.5811"
"9.8000","0.3236","609.6618"
"9.9000","0.3269","613.7874"
"10.0000","0.3301","617.4508"
"10.1000","0.3335","621.6353"
"10.2000","0.3366","625.4490"
"10.3000","0.3403","630.2899"
"10.4000","0.3436","634.3350"
"10.5000","0.3469","637.9339"
"10.6000","0.3502","642.2673"
"10.7000","0.3536","645.9472"
"10.8000","0.3568","649.7592"
"10.9000","0.3599","653.0222"
"11.0000","0.3636","657.6686"
"11.1000","0.3669","661.4425"
"11.2000","0.3702","665.3796"
"11.3000","0.3736","669.4692"
"11.4000","0.3769","672.7360"
"11.5000","0.3802","676.5771"
"11.6000","0.3833","679.5272"
"11.7000","0.3868","684.1735"
"11.8000","0.3902","687.5518"
"11.9000","0.3935","691.1774"
"12.0000","0.3970","695.2431"
"12.1000","0.4003","698.5833"
"12.2000","0.4036","702.2473"
"12.3000","0.4067","705.1334"
"12.4000","0.4101","708.6801"
"12.5000","0.4135","712.3417"
"12.6000","0.4167","715.5961"
"12.7000","0.4203","719.9173"
"12.8000","0.4236","723.0073"
"12.9000","0.4270","726.3149"
"13.0000","0.4301","729.4097"
"13.1000","0.4334","732.4528"
"13.2000","0.4368","735.8463"
"13.3000","0.4400","738.6253"
"13.4000","0.4436","742.8016"
"13.5000","0.4470","746.2111"
"13.6000","0.4503","749.2087"
"13.7000","0.4536","752.3318"
"13.8000","0.4568","754.9423"
"13.9000","0.4602","758.2924"
"14.0000","0.4633","760.6716"
"14.1000","0.4669","764.4193"
"14.2000","0.4702","767.3925"
"14.3000","0.4736","770.8226"
"14.4000","0.4770","773.7698"
"14.5000","0.4803","776.6736"
"14.6000","0.4835","779.3920"
"14.7000","0.4866","781.6757"
"14.8000","0.4901","785.1196"
"14.9000","0.4935","787.8998"
"15.0000","0.4968","790.8748"
"15.1000","0.5004","794.2818"
"15.2000","0.5036","797.0328"
"15.3000","0.5070","799.7968"
"15.4000","0.5101","802.0012"
"15.5000","0.5134","804.7924"
"15.6000","0.5168","807.5527"
"15.7000","0.5200","809.9428"
"15.8000","0.5237","813.4596"
"15.9000","0.5270","816.2814"
"16.0000","0.5303","818.7605"
"16.1000","0.5336","821.1039"
"16.2000","0.5368","823.5000"
"16.3000","0.5402","826.1588"
"16.4000","0.5433","828.0074"
"16.5000","0.5469","831.3188"
"16.6000","0.5503","834.1959"
"16.7000","0.5536","836.8306"
"16.8000","0.5569","839.2897"
"16.9000","0.5602","841.5911"
"17.0000","0.5635","843.9005"
"17.1000","0.5666","845.8354"
"17.2000","0.5702","848.4384"
"17.3000","0.5735","851.0473"
"17.4000","0.5769","853.4929"
"17.5000","0.5803","856.1567"
"17.6000","0.5836","858.0668"
"17.7000","0.5870","860.5950"
"17.8000","0.5900","862.0297"
"17.9000","0.5935","864.9504"
"18.0000","0.5968","867.2034"
"18.1000","0.6001","869.2953"
"18.2000","0.6037","872.2713"
"18.3000","0.6069","873.9737"
"18.4000","0.6102","876.2682"
"18.5000","0.6134","878.2235"
"18.6000","0.6168","880.4205"
"18.7000","0.6201","882.9099"
"18.8000","0.6234","884.7267"
"18.9000","0.6270","887.3719"
"19.0000","0.6303","889.4291"
"19.1000","0.6336","891.6075"
"19.2000","0.6368","893.4216"
"19.3000","0.6401","895.2088"
"19.4000","0.6435","897.1770"
"19.5000","0.6467","899.0159"
"19.6000","0.6502","901.6684"
"19.7000","0.6536","903.8488"
"19.8000","0.6570","905.8249"
"19.9000","0.6602","907.6638"
"20.0000","0.6634","909.3575"
"20.1000","0.6668","911.4332"
"20.2000","0.6699","912.6407"
"20.3000","0.6735","915.4710"
"20.4000","0.6769","917.4402"
"20.5000","0.6803","919.3608"
"20.6000","0.6837","921.6592"
"20.7000","0.6869","923.2023"
"20.8000","0.6903","925.2260"
"20.9000","0.6933","926.3544"
"21.0000","0.6968","928.8282"
"21.1000","0.7002","930.7755"
"21.2000","0.7035","932.5846"
"21.3000","0.7071","935.0566"
"21.4000","0.7103","936.5861"
"21.5000","0.7136","938.3233"
"21.6000","0.7167","939.6130"
"21.7000","0.7202","941.4546"
"21.8000","0.7234","942.9883"
"21.9000","0.7267","944.8046"
"22.0000","0.7303","947.1513"
"22.1000","0.7336","948.9053"
"22.2000","0.7370","950.7502"
"22.3000","0.7402","951.9421"
"22.4000","0.7435","953.5342"
"22.5000","0.7468","955.0742"
"22.6000","0.7500","956.6200"
"22.7000","0.7536","958.8736"
"22.8000","0.7570","960.7188"
"22.9000","0.7603","962.3143"
"23.0000","0.7636","963.7537"
"23.1000","0.7669","965.3386"
"23.2000","0.7702","966.6277"
"23.3000","0.7733","968.1461"
"23.4000","0.7768","970.1884"
"23.5000","0.7802","971.7598"
"23.6000","0.7835","973.0979"
"23.7000","0.7870","974.9919"
"23.8000","0.7902","976.5688"
"23.9000","0.7936","978.2001"
"24.0000","0.7966","979.1215"
"24.1000","0.8001","980.8531"
"24.2000","0.8035","982.7437"
"24.3000","0.8067","984.0892"
"24.4000","0.8104","986.3220"
"24.5000","0.8136","987.8453"
"24.6000","0.8169","989.2851"
"24.7000","0.8201","990.3613"
"24.8000","0.8234","991.7070"
"24.9000","0.8269","993.2980"
"25.0000","0.8300","994.5120"
"25.1000","0.8336","996.3619"
