
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0436"
"0.0500","0.0001","-0.0458"
"0.1000","0.0006","0.1455"
"0.1500","0.0012","0.0761"
"0.2000","0.0023","0.0100"
"0.2500","0.0047","-0.0577"
"0.3000","0.0069","0.1588"
"0.3500","0.0086","0.2230"
"0.4000","0.0106","0.0980"
"0.4500","0.0122","0.0003"
"0.5000","0.0140","0.0493"
"0.5500","0.0155","0.0339"
"0.6000","0.0173","0.1635"
"0.6500","0.0188","-0.0228"
"0.7000","0.0205","-0.0565"
"0.7500","0.0224","0.0977"
"0.8000","0.0238","0.0526"
"0.8500","0.0257","-0.0795"
"0.9000","0.0272","0.2012"
"0.9500","0.0290","0.1723"
"1.0000","0.0305","0.0441"
"1.0500","0.0322","0.1269"
"1.1000","0.0340","0.4454"
"1.1500","0.0355","0.1941"
"1.2000","0.0374","0.1180"
"1.2500","0.0389","0.2120"
"1.3000","0.0407","0.1704"
"1.3500","0.0420","0.1404"
"1.4000","0.0439","0.1007"
"1.4500","0.0457","0.1871"
"1.5000","0.0471","0.0762"
"1.5500","0.0490","0.0547"
"1.6000","0.0505","0.0999"
"1.6500","0.0524","0.2689"
"1.7000","0.0537","0.0796"
"1.7500","0.0556","0.1373"
"1.8000","0.0573","0.0194"
"1.8500","0.0588","0.1979"
"1.9000","0.0607","0.2862"
"1.9500","0.0622","0.4733"
"2.0000","0.0640","0.4098"
"2.0500","0.0653","0.3557"
"2.1000","0.0674","0.5356"
"2.1500","0.0689","0.3529"
"2.2000","0.0706","0.6478"
"2.2500","0.0724","0.7209"
"2.3000","0.0739","0.8420"
"2.3500","0.0757","1.3376"
"2.4000","0.0770","1.3213"
"2.4500","0.0791","1.5540"
"2.5000","0.0806","2.1440"
"2.5500","0.0823","2.8347"
"2.6000","0.0840","3.2530"
"2.6500","0.0857","3.9913"
"2.7000","0.0873","4.6584"
"2.7500","0.0887","5.2106"
"2.8000","0.0908","5.8941"
"2.8500","0.0922","6.3712"
"2.9000","0.0940","7.2940"
"2.9500","0.0956","7.9220"
"3.0000","0.0973","8.7632"
"3.0500","0.0989","9.3017"
"3.1000","0.1003","10.1388"
"3.1500","0.1024","11.2422"
"3.2000","0.1039","12.1833"
"3.2500","0.1057","13.0862"
"3.3000","0.1071","13.6260"
"3.3500","0.1089","14.4538"
"3.4000","0.1105","15.3000"
"3.4500","0.1121","16.0162"
"3.5000","0.1141","17.5075"
"3.5500","0.1155","18.0285"
"3.6000","0.1173","19.0983"
"3.6500","0.1188","20.1171"
"3.7000","0.1207","21.2081"
"3.7500","0.1222","22.1199"
"3.8000","0.1238","23.2321"
"3.8500","0.1257","24.4940"
"3.9000","0.1271","25.3260"
"3.9500","0.1290","26.3715"
"4.0000","0.1305","27.5678"
"4.0500","0.1325","28.8573"
"4.1000","0.1338","29.8028"
"4.1500","0.1355","31.0740"
"4.2000","0.1373","32.2056"
"4.2500","0.1389","33.4407"
"4.3000","0.1408","34.9673"
"4.3500","0.1422","35.8578"
"4.4000","0.1440","37.4688"
"4.4500","0.1454","38.3093"
"4.5000","0.1473","40.0549"
"4.5500","0.1490","41.2892"
"4.6000","0.1506","42.6424"
"4.6500","0.1524","44.0530"
"4.7000","0.1538","45.3192"
"4.7500","0.1557","46.8259"
"4.8000","0.1570","47.9272"
"4.8500","0.1591","49.7861"
"4.9000","0.1606","51.2735"
"4.9500","0.1622","52.5948"
"5.0000","0.1640","54.0522"
