
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3671"
"0.1000","0.0004","0.8188"
"0.2000","0.0014","3.4906"
"0.3000","0.0065","18.3659"
"0.4000","0.0102","29.3693"
"0.5000","0.0135","38.5451"
"0.6000","0.0169","47.9620"
"0.7000","0.0199","56.3067"
"0.8000","0.0235","66.0505"
"0.9000","0.0267","74.8315"
"1.0000","0.0300","83.9026"
"1.1000","0.0337","93.5426"
"1.2000","0.0369","102.0814"
"1.3000","0.0403","110.7311"
"1.4000","0.0434","118.6236"
"1.5000","0.0467","127.3431"
"1.6000","0.0501","135.6470"
"1.7000","0.0533","143.8899"
"1.8000","0.0569","152.7499"
"1.9000","0.0603","161.2206"
"2.0000","0.0636","169.4889"
"2.1000","0.0668","177.2130"
"2.2000","0.0701","185.0685"
"2.3000","0.0734","193.0947"
"2.4000","0.0766","200.3405"
"2.5000","0.0802","209.0655"
"2.6000","0.0836","216.9436"
"2.7000","0.0869","224.5233"
"2.8000","0.0902","232.5732"
"2.9000","0.0935","239.6781"
"3.0000","0.0968","247.7378"
"3.1000","0.0999","254.3943"
"3.2000","0.1034","262.1234"
"3.3000","0.1068","270.1964"
"3.4000","0.1101","277.1152"
"3.5000","0.1137","284.6070"
"3.6000","0.1168","290.8596"
"3.7000","0.1202","297.3236"
"3.8000","0.1233","302.3588"
"3.9000","0.1267","292.5384"
"4.0000","0.1302","290.5448"
"4.1000","0.1334","298.0390"
"4.2000","0.1369","305.2520"
"4.3000","0.1403","310.8490"
"4.4000","0.1435","315.4476"
"4.5000","0.1467","319.9489"
"4.6000","0.1501","324.4235"
"4.7000","0.1534","328.8007"
"4.8000","0.1566","333.1881"
"4.9000","0.1602","338.1937"
"5.0000","0.1636","342.2751"
"5.1000","0.1670","346.1714"
"5.2000","0.1701","350.3668"
"5.3000","0.1734","355.4486"
"5.4000","0.1768","361.3983"
"5.5000","0.1800","366.7802"
"5.6000","0.1835","373.0684"
"5.7000","0.1869","378.8309"
"5.8000","0.1902","384.6727"
"5.9000","0.1936","390.4987"
"6.0000","0.1967","395.6802"
"6.1000","0.2002","401.7422"
"6.2000","0.2032","406.5527"
"6.3000","0.2067","412.8358"
"6.4000","0.2102","418.6056"
"6.5000","0.2135","424.0381"
"6.6000","0.2169","429.7864"
"6.7000","0.2202","434.5887"
"6.8000","0.2235","439.6853"
"6.9000","0.2266","444.2142"
"7.0000","0.2301","449.4294"
"7.1000","0.2335","454.2516"
"7.2000","0.2367","458.8904"
"7.3000","0.2403","463.6926"
"7.4000","0.2436","467.5194"
"7.5000","0.2470","472.4312"
"7.6000","0.2500","475.7591"
"7.7000","0.2534","479.4528"
"7.8000","0.2567","481.7772"
"7.9000","0.2600","483.6686"
"8.0000","0.2636","488.7008"
"8.1000","0.2669","493.6589"
"8.2000","0.2703","499.2137"
"8.3000","0.2735","504.9379"
"8.4000","0.2767","510.0179"
"8.5000","0.2800","515.9324"
