
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0825"
"0.0500","0.0001","-0.0793"
"0.1000","0.0007","0.1744"
"0.1500","0.0010","0.2636"
"0.2000","0.0029","0.6384"
"0.2500","0.0057","0.9784"
"0.3000","0.0076","1.3178"
"0.3500","0.0093","1.3843"
"0.4000","0.0111","1.4727"
"0.4500","0.0125","1.4927"
"0.5000","0.0145","1.3114"
"0.5500","0.0160","1.2734"
"0.6000","0.0178","1.4288"
"0.6500","0.0194","1.4315"
"0.7000","0.0211","1.4285"
"0.7500","0.0227","1.4146"
"0.8000","0.0242","1.5364"
"0.8500","0.0263","1.3878"
"0.9000","0.0276","1.5240"
"0.9500","0.0294","1.6695"
"1.0000","0.0310","1.6089"
"1.0500","0.0329","1.4544"
"1.1000","0.0344","1.5205"
"1.1500","0.0359","1.5397"
"1.2000","0.0379","1.4759"
"1.2500","0.0393","1.2414"
"1.3000","0.0412","1.4857"
"1.3500","0.0426","1.4432"
"1.4000","0.0446","1.5043"
"1.4500","0.0460","1.8406"
"1.5000","0.0476","1.6327"
"1.5500","0.0496","1.7787"
"1.6000","0.0511","1.7312"
"1.6500","0.0529","1.7801"
"1.7000","0.0542","1.8444"
"1.7500","0.0562","1.9874"
"1.8000","0.0575","1.8114"
"1.8500","0.0594","1.8427"
"1.9000","0.0612","1.8017"
"1.9500","0.0627","1.8653"
"2.0000","0.0645","1.6381"
"2.0500","0.0659","1.8152"
"2.1000","0.0679","1.8781"
"2.1500","0.0692","1.9066"
"2.2000","0.0711","1.8700"
"2.2500","0.0728","1.7337"
"2.3000","0.0743","1.8141"
"2.3500","0.0761","1.8169"
"2.4000","0.0777","1.7264"
"2.4500","0.0796","1.8748"
"2.5000","0.0808","1.8336"
"2.5500","0.0828","1.9081"
"2.6000","0.0844","1.7661"
"2.6500","0.0861","2.0040"
"2.7000","0.0878","1.8020"
"2.7500","0.0894","1.8677"
"2.8000","0.0912","1.7342"
"2.8500","0.0925","1.7697"
"2.9000","0.0945","1.9901"
"2.9500","0.0961","1.9539"
"3.0000","0.0978","1.7701"
"3.0500","0.0994","2.0147"
"3.1000","0.1011","1.7500"
"3.1500","0.1027","1.8219"
"3.2000","0.1042","1.7276"
"3.2500","0.1062","2.0282"
"3.3000","0.1077","1.7816"
"3.3500","0.1095","1.7041"
"3.4000","0.1110","1.7749"
"3.4500","0.1128","1.9969"
"3.5000","0.1144","1.9420"
"3.5500","0.1159","2.0235"
"3.6000","0.1178","1.8567"
"3.6500","0.1193","1.7686"
"3.7000","0.1211","1.9269"
"3.7500","0.1227","1.9166"
"3.8000","0.1245","1.8086"
"3.8500","0.1260","1.7149"
"3.9000","0.1276","1.8843"
"3.9500","0.1295","1.8447"
"4.0000","0.1310","1.9802"
"4.0500","0.1329","1.8838"
"4.1000","0.1344","1.9142"
"4.1500","0.1362","1.9087"
"4.2000","0.1376","1.7621"
"4.2500","0.1393","1.8774"
"4.3000","0.1412","1.5305"
"4.3500","0.1426","1.8925"
"4.4000","0.1445","1.7640"
"4.4500","0.1460","1.8939"
"4.5000","0.1478","1.9744"
"4.5500","0.1493","1.7594"
"4.6000","0.1510","1.7906"
"4.6500","0.1528","1.8404"
"4.7000","0.1543","1.7516"
"4.7500","0.1562","1.7079"
"4.8000","0.1577","1.8427"
"4.8500","0.1595","1.9910"
"4.9000","0.1609","1.8456"
"4.9500","0.1627","1.8115"
"5.0000","0.1645","1.7867"
"5.0500","0.1661","1.8875"
"5.1000","0.1679","2.1437"
"5.1500","0.1693","1.8871"
"5.2000","0.1712","2.0541"
"5.2500","0.1725","1.6855"
"5.3000","0.1744","2.1998"
"5.3500","0.1762","1.9191"
"5.4000","0.1777","1.9018"
"5.4500","0.1795","1.9024"
"5.5000","0.1810","2.0077"
"5.5500","0.1828","2.0279"
"5.6000","0.1842","1.9435"
"5.6500","0.1861","1.9968"
"5.7000","0.1878","2.0959"
"5.7500","0.1894","1.8976"
