
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1351"
"0.0500","0.0000","0.1077"
"0.1000","0.0007","0.0609"
"0.1500","0.0010","0.1504"
"0.2000","0.0027","0.0352"
"0.2500","0.0057","-0.0551"
"0.3000","0.0077","0.0774"
"0.3500","0.0091","0.0422"
"0.4000","0.0110","-0.1208"
"0.4500","0.0125","-0.0377"
"0.5000","0.0142","-0.0375"
"0.5500","0.0160","0.1989"
"0.6000","0.0175","0.0949"
"0.6500","0.0194","0.1242"
"0.7000","0.0209","-0.1048"
"0.7500","0.0227","0.0276"
"0.8000","0.0241","0.0023"
"0.8500","0.0259","0.0433"
"0.9000","0.0277","-0.0424"
"0.9500","0.0292","0.1939"
"1.0000","0.0311","-0.1155"
"1.0500","0.0326","0.1272"
"1.1000","0.0344","0.0803"
"1.1500","0.0357","0.1211"
"1.2000","0.0376","0.0519"
"1.2500","0.0393","-0.0720"
"1.3000","0.0410","0.0995"
"1.3500","0.0427","-0.0026"
"1.4000","0.0442","0.0701"
"1.4500","0.0460","0.1018"
"1.5000","0.0474","0.0013"
"1.5500","0.0494","-0.0281"
"1.6000","0.0510","0.0915"
"1.6500","0.0526","0.1765"
"1.7000","0.0543","0.1313"
"1.7500","0.0559","0.1515"
"1.8000","0.0577","-0.1710"
"1.8500","0.0591","-0.2063"
"1.9000","0.0611","-0.0063"
"1.9500","0.0626","0.0727"
"2.0000","0.0643","0.0610"
"2.0500","0.0660","0.2360"
"2.1000","0.0677","-0.0286"
"2.1500","0.0693","0.1015"
"2.2000","0.0707","0.0544"
"2.2500","0.0727","0.1000"
"2.3000","0.0743","0.2139"
"2.3500","0.0761","0.2046"
"2.4000","0.0776","0.0671"
"2.4500","0.0793","0.0708"
"2.5000","0.0809","0.0131"
"2.5500","0.0824","-0.1104"
"2.6000","0.0844","0.2317"
"2.6500","0.0860","0.0139"
"2.7000","0.0876","0.0580"
"2.7500","0.0892","0.1265"
"2.8000","0.0910","0.1117"
"2.8500","0.0926","0.0437"
"2.9000","0.0941","0.0712"
"2.9500","0.0961","0.0309"
"3.0000","0.0975","0.2271"
"3.0500","0.0994","0.2386"
"3.1000","0.1009","0.1536"
"3.1500","0.1028","0.0674"
"3.2000","0.1042","0.2192"
"3.2500","0.1058","0.0001"
"3.3000","0.1077","-0.1048"
"3.3500","0.1092","0.0951"
"3.4000","0.1111","0.1617"
"3.4500","0.1126","-0.0066"
"3.5000","0.1144","0.1361"
"3.5500","0.1158","0.0780"
"3.6000","0.1175","0.1481"
"3.6500","0.1194","0.1442"
"3.7000","0.1209","0.1195"
"3.7500","0.1228","0.1152"
"3.8000","0.1243","0.1802"
"3.8500","0.1261","0.0522"
"3.9000","0.1275","-0.0938"
"3.9500","0.1293","0.0617"
"4.0000","0.1311","0.0567"
"4.0500","0.1325","0.1674"
"4.1000","0.1344","-0.0554"
"4.1500","0.1359","0.1176"
"4.2000","0.1378","-0.0019"
"4.2500","0.1391","0.1378"
"4.3000","0.1409","0.0742"
"4.3500","0.1427","0.3142"
"4.4000","0.1442","-0.0464"
"4.4500","0.1460","0.1482"
"4.5000","0.1476","0.1672"
"4.5500","0.1494","-0.0245"
"4.6000","0.1507","-0.1248"
"4.6500","0.1526","0.2608"
"4.7000","0.1543","0.1572"
"4.7500","0.1559","0.0755"
"4.8000","0.1577","0.1464"
"4.8500","0.1593","0.1296"
"4.9000","0.1611","-0.0608"
"4.9500","0.1624","0.0161"
"5.0000","0.1644","-0.0244"
"5.0500","0.1660","0.2076"
"5.1000","0.1676","-0.2806"
"5.1500","0.1694","-0.0330"
"5.2000","0.1710","-0.0061"
"5.2500","0.1727","-0.1458"
"5.3000","0.1741","0.1620"
"5.3500","0.1761","-0.1099"
"5.4000","0.1776","0.0018"
"5.4500","0.1793","0.0489"
"5.5000","0.1810","-0.0315"
"5.5500","0.1827","-0.0564"
"5.6000","0.1844","0.0408"
"5.6500","0.1857","0.2453"
"5.7000","0.1878","-0.0483"
"5.7500","0.1892","0.0087"
"5.8000","0.1910","0.1884"
"5.8500","0.1926","0.1121"
"5.9000","0.1943","0.0351"
"5.9500","0.1960","0.0380"
"6.0000","0.1974","0.1224"
"6.0500","0.1994","0.0669"
"6.1000","0.2009","0.1152"
"6.1500","0.2028","0.0476"
"6.2000","0.2042","-0.1572"
"6.2500","0.2060","-0.1004"
"6.3000","0.2075","0.1484"
"6.3500","0.2091","0.1745"
"6.4000","0.2111","0.2259"
"6.4500","0.2125","0.0477"
"6.5000","0.2144","-0.0629"
"6.5500","0.2158","0.0859"
"6.6000","0.2178","0.0191"
"6.6500","0.2192","0.0144"
"6.7000","0.2209","-0.0169"
"6.7500","0.2228","0.1494"
"6.8000","0.2242","-0.0423"
"6.8500","0.2260","-0.0916"
"6.9000","0.2275","0.0338"
"6.9500","0.2295","0.2252"
"7.0000","0.2308","-0.0420"
"7.0500","0.2326","0.1953"
"7.1000","0.2344","0.1441"
"7.1500","0.2359","0.1587"
"7.2000","0.2378","0.1637"
"7.2500","0.2392","0.1687"
"7.3000","0.2411","0.0971"
"7.3500","0.2424","0.0209"
"7.4000","0.2443","0.0531"
"7.4500","0.2460","0.1720"
"7.5000","0.2476","0.0530"
"7.5500","0.2494","0.0014"
"7.6000","0.2509","0.1478"
"7.6500","0.2527","0.0405"
"7.7000","0.2541","-0.2375"
"7.7500","0.2561","0.0043"
"7.8000","0.2576","0.0440"
"7.8500","0.2593","0.1797"
"7.9000","0.2610","0.1940"
"7.9500","0.2626","0.0487"
"8.0000","0.2643","0.1149"
"8.0500","0.2657","0.1873"
"8.1000","0.2677","0.1132"
"8.1500","0.2692","-0.0651"
"8.2000","0.2710","0.1147"
"8.2500","0.2726","0.0307"
"8.3000","0.2743","0.1220"
"8.3500","0.2760","0.0577"
"8.4000","0.2774","0.1936"
"8.4500","0.2794","0.1066"
"8.5000","0.2809","-0.0483"
"8.5500","0.2827","0.0750"
"8.6000","0.2843","0.0374"
"8.6500","0.2860","0.1768"
"8.7000","0.2876","0.1324"
"8.7500","0.2891","0.0949"
"8.8000","0.2911","-0.0284"
"8.8500","0.2925","0.0386"
"8.9000","0.2944","-0.0075"
"8.9500","0.2959","-0.0242"
"9.0000","0.2977","0.1814"
"9.0500","0.2992","0.0326"
"9.1000","0.3008","0.1634"
"9.1500","0.3028","0.0278"
"9.2000","0.3043","0.0093"
"9.2500","0.3061","0.1493"
"9.3000","0.3076","-0.0301"
"9.3500","0.3094","0.0371"
"9.4000","0.3108","0.0451"
"9.4500","0.3125","-0.0480"
"9.5000","0.3144","0.0010"
"9.5500","0.3159","0.1256"
"9.6000","0.3178","0.0632"
"9.6500","0.3192","-0.0579"
"9.7000","0.3210","0.1547"
"9.7500","0.3225","0.0725"
"9.8000","0.3242","0.0621"
"9.8500","0.3261","-0.0468"
"9.9000","0.3275","-0.0306"
"9.9500","0.3293","-0.0379"
"10.0000","0.3309","-0.0110"
"10.0500","0.3327","-0.0237"
"10.1000","0.3341","-0.0829"
"10.1500","0.3359","0.0364"
"10.2000","0.3377","-0.0301"
"10.2500","0.3392","-0.0362"
"10.3000","0.3410","0.0308"
"10.3500","0.3426","0.1428"
"10.4000","0.3444","0.0220"
"10.4500","0.3457","-0.0275"
"10.5000","0.3476","0.1349"
"10.5500","0.3494","-0.0789"
"10.6000","0.3509","-0.0495"
"10.6500","0.3527","-0.0183"
"10.7000","0.3542","-0.0344"
"10.7500","0.3561","0.1253"
"10.8000","0.3574","0.1178"
"10.8500","0.3593","0.0482"
"10.9000","0.3610","0.2183"
"10.9500","0.3626","0.0924"
"11.0000","0.3644","0.1580"
"11.0500","0.3660","-0.1096"
"11.1000","0.3677","0.0216"
"11.1500","0.3691","0.0568"
"11.2000","0.3710","0.1656"
"11.2500","0.3726","0.0471"
"11.3000","0.3743","0.0926"
"11.3500","0.3760","-0.0399"
"11.4000","0.3776","-0.0877"
"11.4500","0.3794","0.0516"
"11.5000","0.3807","-0.0284"
"11.5500","0.3827","0.0011"
"11.6000","0.3842","-0.1379"
"11.6500","0.3859","0.1435"
"11.7000","0.3876","-0.0165"
"11.7500","0.3893","-0.1006"
"11.8000","0.3910","-0.1256"
"11.8500","0.3924","-0.0392"
"11.9000","0.3944","-0.0406"
"11.9500","0.3959","0.0073"
"12.0000","0.3976","-0.0221"
"12.0500","0.3993","0.0671"
"12.1000","0.4010","0.1824"
"12.1500","0.4026","-0.0473"
"12.2000","0.4041","-0.1464"
"12.2500","0.4061","-0.0783"
"12.3000","0.4075","-0.0463"
"12.3500","0.4094","0.0320"
"12.4000","0.4110","0.0808"
"12.4500","0.4127","0.0426"
"12.5000","0.4142","-0.0220"
"12.5500","0.4158","0.2077"
"12.6000","0.4178","0.1806"
"12.6500","0.4192","-0.0366"
"12.7000","0.4210","-0.0872"
"12.7500","0.4226","0.1629"
"12.8000","0.4245","-0.1563"
"12.8500","0.4258","0.0011"
"12.9000","0.4275","0.0136"
"12.9500","0.4295","0.0532"
"13.0000","0.4309","0.0937"
"13.0500","0.4327","0.0379"
"13.1000","0.4342","0.0362"
"13.1500","0.4361","0.0883"
"13.2000","0.4375","0.1631"
"13.2500","0.4392","0.0641"
"13.3000","0.4411","0.2005"
"13.3500","0.4426","-0.0303"
"13.4000","0.4444","-0.1257"
"13.4500","0.4458","0.1081"
"13.5000","0.4478","-0.0544"
"13.5500","0.4491","0.0000"
"13.6000","0.4510","0.1574"
"13.6500","0.4527","-0.0072"
"13.7000","0.4542","-0.0402"
"13.7500","0.4560","-0.1605"
"13.8000","0.4575","-0.1194"
"13.8500","0.4594","0.0777"
"13.9000","0.4607","0.0069"
"13.9500","0.4627","-0.0148"
"14.0000","0.4643","0.2578"
"14.0500","0.4660","-0.0833"
"14.1000","0.4676","-0.0587"
"14.1500","0.4693","0.1009"
"14.2000","0.4711","-0.0277"
"14.2500","0.4724","0.1422"
"14.3000","0.4744","-0.0474"
"14.3500","0.4759","-0.0949"
"14.4000","0.4777","-0.0569"
"14.4500","0.4793","0.0596"
"14.5000","0.4809","0.1098"
"14.5500","0.4827","0.3317"
"14.6000","0.4841","0.0962"
"14.6500","0.4861","0.0551"
"14.7000","0.4876","0.1321"
"14.7500","0.4894","0.1055"
"14.8000","0.4910","0.1526"
"14.8500","0.4927","0.0259"
"14.9000","0.4942","0.0560"
"14.9500","0.4958","0.0868"
"15.0000","0.4978","0.2039"
"15.0500","0.4992","0.1561"
"15.1000","0.5010","-0.0313"
"15.1500","0.5026","0.0878"
"15.2000","0.5044","0.1127"
"15.2500","0.5059","-0.0337"
"15.3000","0.5075","0.0685"
"15.3500","0.5094","0.1413"
"15.4000","0.5108","0.1258"
"15.4500","0.5127","-0.0133"
"15.5000","0.5142","0.2170"
"15.5500","0.5160","0.0018"
"15.6000","0.5175","0.1103"
"15.6500","0.5192","0.1114"
"15.7000","0.5211","0.1900"
"15.7500","0.5226","0.2904"
"15.8000","0.5244","0.1302"
"15.8500","0.5259","-0.0363"
"15.9000","0.5277","0.1625"
"15.9500","0.5291","0.0028"
"16.0000","0.5310","0.0415"
"16.0500","0.5327","0.1028"
"16.1000","0.5342","-0.0209"
"16.1500","0.5361","0.0507"
"16.2000","0.5376","0.1682"
"16.2500","0.5394","0.0467"
"16.3000","0.5408","-0.0237"
"16.3500","0.5426","-0.0511"
"16.4000","0.5444","0.1829"
"16.4500","0.5459","0.1915"
"16.5000","0.5477","-0.0533"
"16.5500","0.5493","0.2101"
"16.6000","0.5511","0.0204"
"16.6500","0.5524","0.2563"
"16.7000","0.5543","0.1429"
"16.7500","0.5560","0.3694"
"16.8000","0.5577","0.0693"
"16.8500","0.5594","0.1968"
"16.9000","0.5609","0.0278"
"16.9500","0.5627","0.0306"
"17.0000","0.5640","0.2086"
"17.0500","0.5660","0.1543"
"17.1000","0.5676","0.0617"
"17.1500","0.5692","-0.0053"
"17.2000","0.5710","-0.0285"
"17.2500","0.5726","0.0867"
"17.3000","0.5744","0.0848"
"17.3500","0.5757","-0.0385"
"17.4000","0.5777","0.2620"
"17.4500","0.5793","0.0507"
"17.5000","0.5810","0.0702"
"17.5500","0.5826","0.2326"
"17.6000","0.5843","0.1134"
"17.6500","0.5860","0.0601"
"17.7000","0.5874","0.1250"
"17.7500","0.5894","0.1292"
"17.8000","0.5909","0.0404"
"17.8500","0.5927","0.2419"
"17.9000","0.5943","0.3131"
"17.9500","0.5960","0.1905"
"18.0000","0.5976","0.1013"
"18.0500","0.5991","-0.0042"
"18.1000","0.6011","0.0373"
"18.1500","0.6026","0.0907"
"18.2000","0.6044","0.1742"
"18.2500","0.6060","-0.0069"
"18.3000","0.6077","0.1426"
"18.3500","0.6093","0.1800"
"18.4000","0.6108","0.2006"
"18.4500","0.6128","0.0911"
"18.5000","0.6142","0.1625"
"18.5500","0.6161","0.1101"
"18.6000","0.6176","-0.0241"
"18.6500","0.6194","-0.0775"
"18.7000","0.6209","-0.0213"
"18.7500","0.6225","0.3332"
"18.8000","0.6244","0.0889"
"18.8500","0.6258","0.2154"
"18.9000","0.6277","0.1821"
"18.9500","0.6292","-0.0200"
"19.0000","0.6311","0.1468"
"19.0500","0.6325","0.2480"
"19.1000","0.6342","0.2400"
"19.1500","0.6361","0.1614"
"19.2000","0.6375","0.0255"
"19.2500","0.6394","0.2934"
"19.3000","0.6409","0.0717"
"19.3500","0.6428","0.2910"
"19.4000","0.6441","0.1713"
"19.4500","0.6459","0.2990"
"19.5000","0.6477","0.2101"
"19.5500","0.6492","0.2787"
"19.6000","0.6511","0.2478"
"19.6500","0.6526","0.3971"
"19.7000","0.6544","0.1187"
"19.7500","0.6557","0.4509"
"19.8000","0.6577","0.1585"
"19.8500","0.6594","0.1870"
"19.9000","0.6609","0.0662"
"19.9500","0.6627","0.2432"
"20.0000","0.6643","0.3790"
"20.0500","0.6661","0.3046"
"20.1000","0.6674","0.3789"
"20.1500","0.6694","0.2858"
"20.2000","0.6710","0.2550"
"20.2500","0.6726","0.1608"
"20.3000","0.6743","0.2191"
"20.3500","0.6759","0.1613"
"20.4000","0.6778","0.5045"
"20.4500","0.6791","0.3000"
"20.5000","0.6811","0.2023"
