
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0072"
"0.0500","0.0001","-0.0307"
"0.1000","0.0005","0.1617"
"0.1500","0.0009","0.1577"
"0.2000","0.0021","-0.0215"
"0.2500","0.0049","0.1327"
"0.3000","0.0071","0.1001"
"0.3500","0.0089","0.0386"
"0.4000","0.0104","-0.0610"
"0.4500","0.0122","0.0409"
"0.5000","0.0138","0.0355"
"0.5500","0.0154","0.0487"
"0.6000","0.0174","0.1330"
"0.6500","0.0188","-0.0620"
"0.7000","0.0206","0.0841"
"0.7500","0.0221","0.0180"
"0.8000","0.0241","0.1572"
"0.8500","0.0254","-0.0335"
"0.9000","0.0271","0.1730"
"0.9500","0.0290","0.1244"
"1.0000","0.0305","0.0676"
"1.0500","0.0324","0.0105"
"1.1000","0.0338","0.1311"
"1.1500","0.0357","0.1470"
"1.2000","0.0370","0.1175"
"1.2500","0.0388","0.0563"
"1.3000","0.0407","0.0366"
"1.3500","0.0422","-0.0378"
"1.4000","0.0440","0.2064"
"1.4500","0.0455","0.1537"
"1.5000","0.0473","-0.0346"
"1.5500","0.0487","-0.1052"
"1.6000","0.0506","0.0333"
"1.6500","0.0523","0.2699"
"1.7000","0.0539","0.1332"
"1.7500","0.0557","0.2386"
"1.8000","0.0572","0.2878"
"1.8500","0.0590","0.3074"
"1.9000","0.0603","0.2911"
"1.9500","0.0622","0.6081"
"2.0000","0.0639","0.4592"
"2.0500","0.0655","0.6908"
"2.1000","0.0673","0.4109"
"2.1500","0.0689","0.4269"
"2.2000","0.0706","0.4257"
"2.2500","0.0720","0.5345"
"2.3000","0.0740","0.4130"
"2.3500","0.0756","0.5233"
"2.4000","0.0773","0.5041"
"2.4500","0.0790","0.5463"
"2.5000","0.0806","0.4622"
"2.5500","0.0822","0.4879"
"2.6000","0.0837","0.5193"
"2.6500","0.0857","0.5671"
"2.7000","0.0872","0.4329"
"2.7500","0.0889","0.5876"
"2.8000","0.0905","0.4343"
"2.8500","0.0922","0.6597"
"2.9000","0.0939","0.5739"
"2.9500","0.0954","0.4750"
"3.0000","0.0974","0.5450"
"3.0500","0.0989","0.6217"
"3.1000","0.1006","0.6173"
"3.1500","0.1022","0.5995"
"3.2000","0.1040","0.5981"
"3.2500","0.1055","0.5186"
"3.3000","0.1070","0.6547"
"3.3500","0.1090","0.9130"
"3.4000","0.1105","0.7191"
"3.4500","0.1124","0.7692"
"3.5000","0.1138","0.8198"
"3.5500","0.1156","0.8757"
"3.6000","0.1171","0.7926"
"3.6500","0.1187","1.0046"
"3.7000","0.1207","0.8334"
"3.7500","0.1221","0.7288"
"3.8000","0.1239","0.8012"
"3.8500","0.1255","0.6957"
"3.9000","0.1273","0.8428"
"3.9500","0.1288","0.7574"
"4.0000","0.1304","0.7567"
"4.0500","0.1323","0.7497"
"4.1000","0.1338","0.7200"
"4.1500","0.1357","0.6337"
"4.2000","0.1371","0.8379"
"4.2500","0.1390","0.6428"
"4.3000","0.1404","0.9249"
"4.3500","0.1421","0.7930"
"4.4000","0.1440","0.6895"
"4.4500","0.1455","0.8293"
"4.5000","0.1473","0.8685"
"4.5500","0.1488","0.8871"
"4.6000","0.1507","0.6789"
"4.6500","0.1521","1.0251"
"4.7000","0.1539","0.8237"
"4.7500","0.1556","0.7946"
"4.8000","0.1572","0.7067"
"4.8500","0.1590","0.8840"
"4.9000","0.1605","0.7627"
"4.9500","0.1624","0.7575"
"5.0000","0.1637","0.8830"
"5.0500","0.1656","0.7403"
"5.1000","0.1673","0.5856"
"5.1500","0.1688","0.7333"
"5.2000","0.1707","0.6291"
"5.2500","0.1722","0.8432"
"5.3000","0.1740","0.8847"
"5.3500","0.1753","0.8222"
"5.4000","0.1773","0.8326"
"5.4500","0.1789","0.7600"
"5.5000","0.1805","0.8470"
"5.5500","0.1823","0.9491"
"5.6000","0.1839","0.8555"
"5.6500","0.1856","0.8616"
"5.7000","0.1870","0.8274"
"5.7500","0.1890","0.5840"
"5.8000","0.1905","0.9733"
"5.8500","0.1922","0.8277"
"5.9000","0.1939","0.8905"
"5.9500","0.1956","0.8285"
"6.0000","0.1973","0.7906"
"6.0500","0.1987","0.8576"
"6.1000","0.2007","0.9103"
"6.1500","0.2022","0.8946"
"6.2000","0.2040","0.8832"
"6.2500","0.2056","0.9557"
"6.3000","0.2073","0.8784"
"6.3500","0.2089","0.8402"
"6.4000","0.2104","1.0827"
"6.4500","0.2124","1.3489"
"6.5000","0.2138","1.3868"
"6.5500","0.2156","1.5993"
"6.6000","0.2172","1.5979"
"6.6500","0.2190","1.7887"
"6.7000","0.2205","1.5555"
"6.7500","0.2220","1.8172"
"6.8000","0.2241","1.8777"
"6.8500","0.2255","1.9536"
"6.9000","0.2273","1.9661"
"6.9500","0.2288","2.2360"
"7.0000","0.2307","3.0451"
"7.0500","0.2321","3.4966"
"7.1000","0.2337","4.3768"
"7.1500","0.2357","5.1077"
"7.2000","0.2372","5.6165"
"7.2500","0.2390","6.4688"
"7.3000","0.2403","7.0873"
"7.3500","0.2423","7.8583"
"7.4000","0.2437","8.4396"
"7.4500","0.2455","9.3939"
"7.5000","0.2474","10.3584"
"7.5500","0.2488","10.9580"
"7.6000","0.2506","12.0551"
"7.6500","0.2521","12.6079"
"7.7000","0.2540","13.6425"
"7.7500","0.2554","14.1921"
"7.8000","0.2573","15.4756"
"7.8500","0.2589","16.4430"
"7.9000","0.2605","17.3347"
"7.9500","0.2623","18.3813"
"8.0000","0.2639","19.0375"
"8.0500","0.2658","19.9996"
"8.1000","0.2670","20.7889"
"8.1500","0.2689","21.9911"
"8.2000","0.2706","22.8618"
"8.2500","0.2723","23.6964"
