
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1458"
"0.0500","0.0001","-0.1609"
"0.1000","0.0006","0.0367"
"0.1500","0.0010","0.0088"
"0.2000","0.0027","0.1552"
"0.2500","0.0053","0.2372"
"0.3000","0.0074","0.0498"
"0.3500","0.0091","-0.0515"
"0.4000","0.0108","0.1144"
"0.4500","0.0125","-0.1091"
"0.5000","0.0143","0.2461"
"0.5500","0.0156","0.2306"
"0.6000","0.0176","0.1498"
"0.6500","0.0193","0.1190"
"0.7000","0.0209","0.1985"
"0.7500","0.0226","0.0237"
"0.8000","0.0242","0.1002"
"0.8500","0.0259","0.0861"
"0.9000","0.0273","0.3852"
"0.9500","0.0292","0.1933"
"1.0000","0.0309","0.1734"
"1.0500","0.0326","0.0592"
"1.1000","0.0342","0.1184"
"1.1500","0.0359","0.1578"
"1.2000","0.0376","0.3868"
"1.2500","0.0390","0.2762"
"1.3000","0.0410","0.0731"
"1.3500","0.0425","0.3264"
"1.4000","0.0442","0.1165"
"1.4500","0.0459","0.2591"
"1.5000","0.0476","0.3385"
"1.5500","0.0492","0.2283"
"1.6000","0.0507","0.0751"
"1.6500","0.0527","0.2718"
"1.7000","0.0541","0.1995"
"1.7500","0.0559","0.2704"
"1.8000","0.0575","0.2652"
"1.8500","0.0593","0.2284"
"1.9000","0.0608","0.2192"
"1.9500","0.0623","0.3411"
"2.0000","0.0643","0.2089"
"2.0500","0.0658","0.4588"
"2.1000","0.0676","0.2257"
"2.1500","0.0691","0.3654"
"2.2000","0.0710","0.2408"
"2.2500","0.0724","0.1786"
"2.3000","0.0740","0.4250"
"2.3500","0.0760","0.2750"
"2.4000","0.0775","0.2294"
"2.4500","0.0793","0.4440"
"2.5000","0.0808","0.3108"
"2.5500","0.0827","0.4947"
"2.6000","0.0840","0.3905"
"2.6500","0.0858","0.4641"
"2.7000","0.0877","0.5897"
"2.7500","0.0891","0.6459"
"2.8000","0.0909","0.5709"
"2.8500","0.0925","0.6581"
"2.9000","0.0944","0.9407"
"2.9500","0.0957","0.8129"
"3.0000","0.0975","0.8505"
"3.0500","0.0993","1.0864"
"3.1000","0.1008","1.1643"
"3.1500","0.1026","1.1363"
"3.2000","0.1041","1.4364"
"3.2500","0.1060","1.5510"
"3.3000","0.1073","1.5110"
"3.3500","0.1092","1.6345"
"3.4000","0.1110","1.8465"
"3.4500","0.1126","2.1309"
"3.5000","0.1142","2.3242"
"3.5500","0.1157","2.4533"
"3.6000","0.1176","2.5885"
"3.6500","0.1189","2.7732"
"3.7000","0.1209","2.6928"
"3.7500","0.1226","2.8666"
"3.8000","0.1242","2.8800"
"3.8500","0.1258","2.6856"
"3.9000","0.1274","2.6709"
"3.9500","0.1293","2.9047"
"4.0000","0.1306","2.7956"
"4.0500","0.1326","2.8772"
"4.1000","0.1342","2.6556"
"4.1500","0.1359","2.8528"
"4.2000","0.1375","2.8991"
"4.2500","0.1392","2.8969"
"4.3000","0.1409","2.7676"
"4.3500","0.1423","2.7856"
"4.4000","0.1443","2.8519"
"4.4500","0.1458","2.8100"
"4.5000","0.1477","2.6933"
"4.5500","0.1492","2.7153"
"4.6000","0.1509","2.8054"
"4.6500","0.1525","2.8119"
"4.7000","0.1540","2.7607"
"4.7500","0.1560","2.6588"
"4.8000","0.1575","2.7722"
"4.8500","0.1593","2.7598"
