
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2584"
"0.2500","0.0153","38.0951"
"0.5000","0.0361","95.9050"
"0.7500","0.0570","159.1861"
"1.0000","0.0780","229.7478"
"1.2500","0.0988","311.2780"
"1.5000","0.1196","405.2298"
"1.7500","0.1404","507.0845"
"2.0000","0.1612","611.8384"
"2.2500","0.1820","722.7684"
"2.5000","0.2030","837.7835"
"2.7500","0.2237","948.0973"
"3.0000","0.2445","1050.3647"
"3.2500","0.2652","1143.9697"
"3.5000","0.2862","1236.0232"
"3.7500","0.3071","1326.8701"
"4.0000","0.3279","1417.2760"
"4.2500","0.3487","1508.6245"
"4.5000","0.3695","1604.4830"
"4.7500","0.3904","1706.2000"
"5.0000","0.4113","1812.0436"
"5.2500","0.4321","1919.2083"
"5.5000","0.4529","2028.4407"
"5.7500","0.4737","2142.7705"
"6.0000","0.4945","2261.6704"
"6.2500","0.5154","2385.0417"
"6.5000","0.5363","2517.6130"
"6.7500","0.5571","2654.4404"
"7.0000","0.5779","2792.0688"
"7.2500","0.5986","2928.6821"
"7.5000","0.6195","3069.0542"
"7.7500","0.6405","3211.4014"
"8.0000","0.6613","3352.1128"
"8.2500","0.6821","3495.0703"
"8.5000","0.7028","3634.8406"
"8.7500","0.7236","3773.8235"
"9.0000","0.7446","3916.4114"
"9.2500","0.7655","4056.3960"
"9.5000","0.7862","4191.3696"
"9.7500","0.8070","4327.6787"
"10.0000","0.8278","4461.2803"
"10.2500","0.8487","4595.5303"
"10.5000","0.8696","4731.5156"
"10.7500","0.8904","4863.7549"
"11.0000","0.9112","4991.7900"
"11.2500","0.9319","5116.1060"
"11.5000","0.9528","5240.4756"
"11.7500","0.9737","5361.7266"
"12.0000","0.9947","5482.9204"
"12.2500","1.0154","5595.7378"
"12.5000","1.0361","5705.3481"
"12.7500","1.0570","5814.7744"
"13.0000","1.0779","5920.8467"
"13.2500","1.0987","6023.4810"
"13.5000","1.1196","6124.7583"
"13.7500","1.1404","6219.5923"
"14.0000","1.1611","6309.8120"
"14.2500","1.1821","6402.6929"
"14.5000","1.2030","6491.6162"
"14.7500","1.2237","6576.6538"
"15.0000","1.2446","6658.8945"
"15.2500","1.2653","6737.3574"
"15.5000","1.2862","6815.0156"
"15.7500","1.3071","6891.9463"
"16.0000","1.3279","6965.2632"
"16.2500","1.3487","7036.5020"
"16.5000","1.3696","7104.8574"
"16.7500","1.3903","7168.8989"
"17.0000","1.4111","7231.9009"
"17.2500","1.4322","7299.0508"
"17.5000","1.4529","7358.2300"
"17.7500","1.4737","7415.8413"
"18.0000","1.4945","7470.1919"
"18.2500","1.5153","7524.1523"
"18.5000","1.5363","7580.4116"
"18.7500","1.5571","7630.0928"
"19.0000","1.5779","7678.7397"
"19.2500","1.5987","7726.4795"
"19.5000","1.6195","7772.2832"
"19.7500","1.6403","7816.7959"
"20.0000","1.6613","7864.2520"
"20.2500","1.6821","7905.6309"
"20.5000","1.7029","7945.1001"
"20.7500","1.7237","7982.8130"
"21.0000","1.7445","8021.1880"
"21.2500","1.7655","8060.6235"
"21.5000","1.7863","8094.8354"
"21.7500","1.8071","8128.5679"
"22.0000","1.8278","8159.8618"
"22.2500","1.8487","8190.8911"
"22.5000","1.8695","8220.7510"
"22.7500","1.8905","8253.4297"
"23.0000","1.9113","8279.1787"
"23.2500","1.9320","8302.6689"
"23.5000","1.9528","8324.5352"
"23.7500","1.9737","8348.9316"
"24.0000","1.9946","8373.6885"
"24.2500","2.0154","8395.0850"
"24.5000","2.0363","8416.7158"
"24.7500","2.0570","8433.8633"
"25.0000","2.0779","8454.1787"
"25.2500","2.0988","8474.1377"
"25.5000","2.1196","8494.6836"
"25.7500","2.1404","8514.6035"
"26.0000","2.1612","8531.5029"
"26.2500","2.1820","8548.8701"
"26.5000","2.2029","8569.2021"
"26.7500","2.2238","8588.4492"
"27.0000","2.2446","8604.8594"
"27.2500","2.2654","8620.9326"
"27.5000","2.2862","8635.9756"
"27.7500","2.3070","8652.3389"
"28.0000","2.3280","8670.6328"
"28.2500","2.3487","8684.3838"
"28.5000","2.3696","8701.1475"
"28.7500","2.3904","8713.3301"
"29.0000","2.4111","8724.2100"
"29.2500","2.4321","8742.1445"
"29.5000","2.4530","8756.0635"
"29.7500","2.4737","8767.1094"
"30.0000","2.4946","8779.3145"
"30.2500","2.5154","8789.1045"
"30.5000","2.5362","8799.5781"
"30.7500","2.5571","8813.8018"
"31.0000","2.5779","8823.0361"
"31.2500","2.5987","8832.7588"
