
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0468"
"0.2500","0.0150","0.0201"
"0.5000","0.0360","0.0286"
"0.7500","0.0568","-0.0572"
"1.0000","0.0777","0.2812"
"1.2500","0.0986","0.1227"
"1.5000","0.1193","0.1810"
"1.7500","0.1401","-0.1107"
"2.0000","0.1611","0.1415"
"2.2500","0.1819","0.0414"
"2.5000","0.2027","0.0347"
"2.7500","0.2236","-0.1667"
"3.0000","0.2443","-0.0424"
"3.2500","0.2651","0.0642"
"3.5000","0.2861","0.1078"
"3.7500","0.3069","-0.1051"
"4.0000","0.3278","-0.1194"
"4.2500","0.3485","-0.0438"
"4.5000","0.3692","0.0896"
"4.7500","0.3902","0.1935"
"5.0000","0.4111","0.0229"
"5.2500","0.4319","-0.1205"
"5.5000","0.4527","-0.0818"
"5.7500","0.4735","0.1483"
"6.0000","0.4943","0.0106"
"6.2500","0.5153","0.1512"
"6.5000","0.5361","0.0880"
"6.7500","0.5569","-0.1656"
"7.0000","0.5777","-0.0126"
"7.2500","0.5985","-0.1207"
"7.5000","0.6194","-0.0396"
"7.7500","0.6403","0.1667"
"8.0000","0.6610","0.1997"
"8.2500","0.6819","0.0676"
"8.5000","0.7027","0.0749"
"8.7500","0.7235","-0.1290"
"9.0000","0.7444","-0.0275"
"9.2500","0.7652","0.1460"
"9.5000","0.7860","0.0333"
"9.7500","0.8068","0.0170"
"10.0000","0.8276","0.1014"
"10.2500","0.8485","-0.0026"
"10.5000","0.8694","-0.0484"
"10.7500","0.8902","0.0055"
"11.0000","0.9110","0.0291"
"11.2500","0.9319","0.0867"
"11.5000","0.9527","-0.0738"
"11.7500","0.9735","0.0355"
"12.0000","0.9944","0.0255"
"12.2500","1.0152","0.1012"
"12.5000","1.0360","0.0643"
"12.7500","1.0569","0.0383"
"13.0000","1.0778","0.0601"
"13.2500","1.0986","0.0006"
"13.5000","1.1194","-0.0255"
"13.7500","1.1402","-0.0630"
"14.0000","1.1609","-0.0302"
"14.2500","1.1818","-0.0716"
"14.5000","1.2027","5.8911"
"14.7500","1.2236","46.7363"
"15.0000","1.2444","131.7870"
"15.2500","1.2651","259.0978"
"15.5000","1.2860","423.8895"
"15.7500","1.3069","629.8981"
"16.0000","1.3277","865.2614"
"16.2500","1.3485","1133.7408"
"16.5000","1.3693","1404.1005"
"16.7500","1.3901","1664.8551"
"17.0000","1.4110","1915.7028"
"17.2500","1.4319","2155.7397"
"17.5000","1.4527","2383.8420"
"17.7500","1.4735","2602.7456"
"18.0000","1.4943","2810.7024"
"18.2500","1.5151","3013.5400"
"18.5000","1.5361","3213.5635"
"18.7500","1.5569","3402.0532"
"19.0000","1.5776","3586.1570"
"19.2500","1.5985","3766.6121"
"19.5000","1.6193","3942.3865"
"19.7500","1.6402","4117.9409"
"20.0000","1.6611","4291.6768"
"20.2500","1.6818","4460.1738"
"20.5000","1.7026","4627.3613"
"20.7500","1.7235","4793.2642"
"21.0000","1.7443","4956.9609"
"21.2500","1.7652","5123.4722"
"21.5000","1.7861","5285.0181"
"21.7500","1.8067","5439.2910"
"22.0000","1.8276","5595.6025"
"22.2500","1.8485","5752.2773"
"22.5000","1.8693","5902.0376"
"22.7500","1.8902","6051.4917"
"23.0000","1.9110","6193.4116"
"23.2500","1.9318","6333.7861"
"23.5000","1.9526","6470.7881"
"23.7500","1.9735","6607.6948"
"24.0000","1.9944","6740.2900"
"24.2500","2.0152","6869.5083"
"24.5000","2.0360","6991.3335"
"24.7500","2.0567","7111.2974"
"25.0000","2.0777","7232.0796"
"25.2500","2.0986","7347.6406"
"25.5000","2.1193","7457.5269"
"25.7500","2.1402","7567.5137"
"26.0000","2.1610","7670.4102"
"26.2500","2.1817","7769.7856"
"26.5000","2.2027","7872.4570"
"26.7500","2.2235","7967.6279"
"27.0000","2.2443","8060.6401"
"27.2500","2.2652","8149.7773"
"27.5000","2.2859","8235.4355"
"27.7500","2.3069","8323.1416"
"28.0000","2.3278","8407.0352"
"28.2500","2.3485","8484.1660"
"28.5000","2.3694","8563.3125"
"28.7500","2.3902","8635.4785"
"29.0000","2.4110","8707.1553"
"29.2500","2.4318","8777.5391"
"29.5000","2.4527","8846.4971"
"29.7500","2.4735","8910.9668"
"30.0000","2.4943","8970.4023"
"30.2500","2.5152","9031.2217"
"30.5000","2.5361","9091.0752"
"30.7500","2.5569","9148.4199"
"31.0000","2.5777","9199.8486"
"31.2500","2.5985","9250.5449"
"31.5000","2.6193","9298.7930"
"31.7500","2.6402","9348.7314"
"32.0000","2.6610","9395.5498"
"32.2500","2.6820","9442.7061"
"32.5000","2.7027","9482.5264"
"32.7500","2.7235","9521.4131"
"33.0000","2.7444","9560.9863"
"33.2500","2.7652","9599.4697"
"33.5000","2.7861","9636.4883"
"33.7500","2.8069","9669.3096"
"34.0000","2.8277","9701.4893"
"34.2500","2.8485","9732.2949"
"34.5000","2.8694","9762.8145"
"34.7500","2.8902","9792.3896"
"35.0000","2.9111","9822.4941"
"35.2500","2.9319","9847.2920"
"35.5000","2.9526","9869.8682"
"35.7500","2.9735","9896.0820"
"36.0000","2.9944","9920.8604"
"36.2500","3.0153","9944.8848"
"36.5000","3.0360","9964.2139"
"36.7500","3.0568","9984.9189"
"37.0000","3.0777","10004.4922"
"37.2500","3.0985","10023.2061"
"37.5000","3.1194","10042.8525"
"37.7500","3.1402","10059.4023"
"38.0000","3.1610","10076.9814"
"38.2500","3.1818","10091.3408"
"38.5000","3.2026","10106.4902"
"38.7500","3.2236","10126.5049"
"39.0000","3.2444","10138.1260"
"39.2500","3.2651","10150.2129"
"39.5000","3.2860","10164.8350"
"39.7500","3.3069","10176.3594"
"40.0000","3.3277","10188.5352"
"40.2500","3.3487","10204.1719"
"40.5000","3.3693","10211.2334"
"40.7500","3.3902","10222.3096"
"41.0000","3.4110","10232.7529"
"41.2500","3.4318","10240.4502"
"41.5000","3.4528","10255.3877"
"41.7500","3.4736","10263.6064"
"42.0000","3.4943","10270.0459"
"42.2500","3.5151","10279.6172"
"42.5000","3.5361","10290.1953"
"42.7500","3.5569","10298.7646"
"43.0000","3.5777","10308.2607"
"43.2500","3.5986","10315.5547"
"43.5000","3.6193","10322.1777"
"43.7500","3.6401","10328.3975"
"44.0000","3.6611","10340.6357"
"44.2500","3.6819","10347.5762"
"44.5000","3.7027","10355.6582"
"44.7500","3.7235","10361.1816"
"45.0000","3.7443","10365.8643"
"45.2500","3.7652","10377.1396"
"45.5000","3.7861","10383.8887"
"45.7500","3.8068","10387.7061"
"46.0000","3.8278","10396.9062"
"46.2500","3.8485","10400.7227"
"46.5000","3.8692","10405.8291"
"46.7500","3.8902","10417.4482"
"47.0000","3.9111","10425.9561"
"47.2500","3.9319","10432.1182"
"47.5000","3.9527","10437.1211"
"47.7500","3.9735","10443.5449"
"48.0000","3.9944","10453.6084"
"48.2500","4.0153","10462.6240"
"48.5000","4.0360","10466.7227"
"48.7500","4.0569","10475.0586"
"49.0000","4.0777","10481.1973"
"49.2500","4.0985","10488.3350"
"49.5000","4.1194","10497.6143"
"49.7500","4.1403","10506.3271"
"50.0000","4.1611","10513.9346"
"50.2500","4.1818","10517.9219"
"50.5000","4.2027","10525.4990"
"50.7500","4.2236","10534.5889"
"51.0000","4.2444","10543.9160"
"51.2500","4.2652","10549.5117"
"51.5000","4.2860","10554.9072"
"51.7500","4.3068","10562.6895"
"52.0000","4.3277","10569.0654"
"52.2500","4.3485","10576.7959"
"52.5000","4.3695","10586.8779"
"52.7500","4.3902","10591.4707"
"53.0000","4.4110","10595.5215"
"53.2500","4.4319","10604.2881"
"53.5000","4.4528","10613.1201"
"53.7500","4.4736","10621.3291"
"54.0000","4.4944","10626.8408"
"54.2500","4.5152","10633.0898"
"54.5000","4.5360","10640.9121"
"54.7500","4.5569","10648.3008"
"55.0000","4.5777","10656.3662"
"55.2500","4.5986","10666.0879"
"55.5000","4.6193","10670.1699"
"55.7500","4.6401","10675.2939"
"56.0000","4.6610","10684.9600"
"56.2500","4.6819","10693.6807"
"56.5000","4.7028","10701.6963"
"56.7500","4.7235","10705.2471"
"57.0000","4.7443","10712.5889"
"57.2500","4.7652","10719.6113"
"57.5000","4.7860","10727.7031"
"57.7500","4.8069","10736.7988"
"58.0000","4.8277","10743.6748"
