
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0178"
"0.1000","0.0006","0.1693"
"0.2000","0.0025","0.4636"
"0.3000","0.0074","1.4921"
"0.4000","0.0109","1.8894"
"0.5000","0.0142","2.5230"
"0.6000","0.0176","3.1086"
"0.7000","0.0208","3.5228"
"0.8000","0.0241","4.2420"
"0.9000","0.0272","4.6440"
"1.0000","0.0307","5.1787"
"1.1000","0.0342","6.0343"
"1.2000","0.0374","6.7770"
"1.3000","0.0409","7.3089"
"1.4000","0.0442","8.0459"
"1.5000","0.0475","8.3848"
"1.6000","0.0506","9.3267"
"1.7000","0.0541","10.0063"
"1.8000","0.0574","10.5857"
"1.9000","0.0607","11.4126"
"2.0000","0.0643","12.0992"
"2.1000","0.0676","12.8669"
"2.2000","0.0710","13.6981"
"2.3000","0.0740","14.3664"
"2.4000","0.0775","15.0891"
"2.5000","0.0807","15.9595"
"2.6000","0.0839","16.8358"
"2.7000","0.0876","17.6213"
"2.8000","0.0909","18.4448"
"2.9000","0.0942","19.6224"
"3.0000","0.0975","20.2309"
"3.1000","0.1007","21.0698"
"3.2000","0.1041","22.1928"
"3.3000","0.1073","22.9106"
"3.4000","0.1109","23.8219"
"3.5000","0.1142","24.9260"
"3.6000","0.1176","25.6698"
"3.7000","0.1208","26.5623"
"3.8000","0.1242","27.6795"
"3.9000","0.1274","28.6482"
"4.0000","0.1306","29.5977"
"4.1000","0.1341","30.7376"
"4.2000","0.1375","31.6287"
"4.3000","0.1408","32.6410"
"4.4000","0.1443","33.8414"
"4.5000","0.1475","35.0093"
"4.6000","0.1509","35.7275"
"4.7000","0.1539","36.9633"
"4.8000","0.1574","38.0237"
"4.9000","0.1608","39.1075"
"5.0000","0.1641","40.0764"
"5.1000","0.1676","41.3199"
"5.2000","0.1709","42.2100"
"5.3000","0.1743","43.3734"
"5.4000","0.1773","44.5461"
"5.5000","0.1807","45.4106"
"5.6000","0.1841","46.7044"
"5.7000","0.1873","47.7715"
"5.8000","0.1910","49.1559"
"5.9000","0.1942","49.9880"
