
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0520"
"0.0500","0.0001","0.0621"
"0.1000","0.0008","-0.0648"
"0.1500","0.0011","0.0305"
"0.2000","0.0028","0.0750"
"0.2500","0.0057","0.0050"
"0.3000","0.0077","-0.0303"
"0.3500","0.0091","-0.0634"
"0.4000","0.0111","0.1110"
"0.4500","0.0127","-0.0558"
"0.5000","0.0143","0.0090"
"0.5500","0.0161","-0.2821"
"0.6000","0.0177","0.0942"
"0.6500","0.0194","0.0728"
"0.7000","0.0207","0.0095"
"0.7500","0.0228","-0.1947"
"0.8000","0.0243","-0.0759"
"0.8500","0.0260","0.1273"
"0.9000","0.0277","-0.1381"
"0.9500","0.0294","-0.1910"
"1.0000","0.0310","-0.0933"
"1.0500","0.0325","0.0097"
"1.1000","0.0345","-0.1036"
"1.1500","0.0360","0.1296"
"1.2000","0.0378","-0.0417"
"1.2500","0.0394","-0.1037"
"1.3000","0.0411","0.0139"
"1.3500","0.0427","-0.0570"
"1.4000","0.0442","-0.0986"
"1.4500","0.0462","0.0073"
"1.5000","0.0476","-0.0710"
"1.5500","0.0494","-0.0721"
"1.6000","0.0510","0.1950"
"1.6500","0.0529","0.1243"
"1.7000","0.0543","0.0615"
"1.7500","0.0559","0.2541"
"1.8000","0.0579","-0.0854"
"1.8500","0.0593","0.0878"
"1.9000","0.0612","0.0784"
"1.9500","0.0626","0.2237"
"2.0000","0.0645","0.0456"
"2.0500","0.0659","0.0582"
"2.1000","0.0675","0.0263"
"2.1500","0.0695","-0.0328"
"2.2000","0.0711","-0.1904"
"2.2500","0.0728","-0.0488"
"2.3000","0.0742","0.0611"
"2.3500","0.0762","0.0608"
"2.4000","0.0775","-0.1291"
"2.4500","0.0793","0.0498"
"2.5000","0.0811","-0.2064"
"2.5500","0.0826","-0.2023"
"2.6000","0.0845","0.0730"
"2.6500","0.0859","0.0310"
"2.7000","0.0879","-0.1502"
"2.7500","0.0892","-0.0091"
"2.8000","0.0911","0.0141"
"2.8500","0.0928","-0.2706"
"2.9000","0.0943","-0.1968"
"2.9500","0.0961","0.0824"
"3.0000","0.0977","-0.1160"
"3.0500","0.0996","-0.0532"
"3.1000","0.1008","0.0443"
"3.1500","0.1028","-0.1488"
"3.2000","0.1044","-0.1329"
"3.2500","0.1061","0.0113"
"3.3000","0.1078","-0.0643"
"3.3500","0.1093","0.0644"
"3.4000","0.1111","0.0841"
"3.4500","0.1125","0.0054"
"3.5000","0.1145","-0.2187"
"3.5500","0.1161","0.0265"
"3.6000","0.1178","0.1249"
"3.6500","0.1194","-0.0587"
"3.7000","0.1210","0.1816"
"3.7500","0.1227","0.0181"
"3.8000","0.1242","-0.1216"
"3.8500","0.1262","0.2056"
"3.9000","0.1277","0.0406"
"3.9500","0.1294","0.1381"
"4.0000","0.1311","0.0709"
"4.0500","0.1328","0.1181"
"4.1000","0.1343","0.1864"
"4.1500","0.1358","0.0140"
"4.2000","0.1378","0.0906"
"4.2500","0.1393","0.2259"
"4.3000","0.1411","-0.0718"
"4.3500","0.1427","-0.0634"
"4.4000","0.1444","-0.1873"
"4.4500","0.1460","0.2689"
"4.5000","0.1475","-0.0887"
"4.5500","0.1495","-0.0395"
"4.6000","0.1510","0.2144"
"4.6500","0.1528","-0.0657"
"4.7000","0.1543","0.3004"
"4.7500","0.1561","0.0697"
"4.8000","0.1576","-0.0083"
"4.8500","0.1593","0.1792"
"4.9000","0.1612","-0.1033"
"4.9500","0.1626","-0.1626"
"5.0000","0.1645","0.0271"
"5.0500","0.1660","0.0067"
"5.1000","0.1678","0.1070"
"5.1500","0.1692","0.1670"
"5.2000","0.1710","0.2292"
"5.2500","0.1728","-0.0110"
"5.3000","0.1743","0.2053"
"5.3500","0.1761","0.2753"
"5.4000","0.1777","0.0985"
"5.4500","0.1795","-0.0486"
"5.5000","0.1808","0.1781"
"5.5500","0.1826","0.0823"
"5.6000","0.1845","0.0342"
"5.6500","0.1861","-0.0620"
"5.7000","0.1878","0.1791"
"5.7500","0.1893","-0.0603"
"5.8000","0.1911","0.0712"
"5.8500","0.1925","0.0677"
"5.9000","0.1944","-0.0234"
"5.9500","0.1961","0.1505"
"6.0000","0.1976","0.1381"
"6.0500","0.1994","0.0532"
"6.1000","0.2010","-0.0132"
"6.1500","0.2028","0.1257"
"6.2000","0.2042","0.1009"
"6.2500","0.2061","-0.0191"
"6.3000","0.2078","-0.0089"
"6.3500","0.2094","-0.0405"
"6.4000","0.2111","-0.0149"
"6.4500","0.2127","0.1699"
"6.5000","0.2145","0.0259"
"6.5500","0.2158","0.0488"
"6.6000","0.2178","0.0579"
"6.6500","0.2194","0.1099"
"6.7000","0.2211","0.1164"
"6.7500","0.2228","0.0594"
"6.8000","0.2244","-0.1381"
"6.8500","0.2261","0.0866"
"6.9000","0.2275","0.0820"
"6.9500","0.2295","0.1617"
"7.0000","0.2310","0.1171"
"7.0500","0.2327","-0.1840"
"7.1000","0.2344","0.0145"
"7.1500","0.2361","0.0518"
"7.2000","0.2377","0.2712"
"7.2500","0.2392","0.1144"
"7.3000","0.2412","-0.0891"
"7.3500","0.2426","0.0903"
"7.4000","0.2444","-0.0261"
"7.4500","0.2461","0.0146"
"7.5000","0.2478","-0.0625"
"7.5500","0.2493","0.0253"
"7.6000","0.2508","0.0881"
"7.6500","0.2529","-0.0310"
"7.7000","0.2543","-0.0621"
"7.7500","0.2561","0.0200"
"7.8000","0.2577","0.0587"
"7.8500","0.2595","0.2536"
"7.9000","0.2609","-0.1350"
"7.9500","0.2625","0.0757"
"8.0000","0.2645","-0.0321"
"8.0500","0.2660","0.2649"
"8.1000","0.2678","-0.1520"
"8.1500","0.2693","-0.1198"
"8.2000","0.2712","0.1132"
"8.2500","0.2726","0.0087"
"8.3000","0.2743","0.0449"
"8.3500","0.2762","0.1033"
"8.4000","0.2776","0.0196"
"8.4500","0.2795","0.1646"
"8.5000","0.2810","0.2778"
"8.5500","0.2829","0.1890"
"8.6000","0.2842","0.0398"
"8.6500","0.2860","0.0353"
"8.7000","0.2878","0.0060"
"8.7500","0.2893","0.0454"
"8.8000","0.2912","-0.0038"
"8.8500","0.2927","0.0440"
"8.9000","0.2945","0.2657"
"8.9500","0.2958","0.2054"
"9.0000","0.2977","-0.0577"
"9.0500","0.2995","-0.0343"
"9.1000","0.3010","-0.0247"
"9.1500","0.3028","0.1692"
"9.2000","0.3043","0.0387"
"9.2500","0.3062","0.1630"
"9.3000","0.3075","0.0790"
"9.3500","0.3094","0.0387"
"9.4000","0.3111","0.1566"
"9.4500","0.3127","0.1445"
"9.5000","0.3144","0.0059"
"9.5500","0.3159","0.0045"
"9.6000","0.3178","-0.0311"
"9.6500","0.3191","0.0739"
"9.7000","0.3211","0.0773"
"9.7500","0.3227","0.0482"
"9.8000","0.3244","0.0607"
"9.8500","0.3260","0.0681"
"9.9000","0.3277","0.0616"
"9.9500","0.3294","0.1696"
"10.0000","0.3308","0.0953"
"10.0500","0.3329","0.3037"
"10.1000","0.3344","0.0584"
"10.1500","0.3361","0.2685"
"10.2000","0.3377","0.0251"
"10.2500","0.3394","0.1630"
"10.3000","0.3411","0.1998"
"10.3500","0.3425","0.1350"
"10.4000","0.3445","0.2497"
"10.4500","0.3460","0.1411"
"10.5000","0.3479","0.2131"
"10.5500","0.3493","-0.0215"
"10.6000","0.3511","0.0516"
"10.6500","0.3527","-0.0940"
"10.7000","0.3542","0.0724"
"10.7500","0.3562","0.0861"
"10.8000","0.3577","0.0441"
"10.8500","0.3595","-0.1536"
"10.9000","0.3610","0.0851"
"10.9500","0.3628","-0.0685"
"11.0000","0.3642","0.0670"
"11.0500","0.3660","0.1630"
"11.1000","0.3679","-0.0298"
"11.1500","0.3693","0.1336"
"11.2000","0.3712","0.1049"
"11.2500","0.3726","-0.0042"
"11.3000","0.3745","0.1477"
"11.3500","0.3758","0.0257"
"11.4000","0.3776","0.1436"
"11.4500","0.3795","0.0206"
"11.5000","0.3809","0.1098"
"11.5500","0.3828","-0.0925"
"11.6000","0.3843","0.0141"
"11.6500","0.3862","0.0223"
"11.7000","0.3875","0.1204"
"11.7500","0.3893","0.1587"
"11.8000","0.3911","0.1006"
"11.8500","0.3927","0.0803"
"11.9000","0.3945","0.2774"
"11.9500","0.3960","-0.0026"
"12.0000","0.3978","0.2306"
"12.0500","0.3992","0.2468"
"12.1000","0.4011","0.1383"
"12.1500","0.4028","0.2645"
"12.2000","0.4043","0.2711"
"12.2500","0.4061","0.2338"
"12.3000","0.4077","0.2294"
