
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.1016","1.7669"
"0.2500","0.1165","14.7207"
"0.5000","0.1376","44.7882"
"0.7500","0.1584","122.3483"
"1.0000","0.1793","260.0672"
"1.2500","0.2002","441.0768"
"1.5000","0.2209","662.2084"
"1.7500","0.2416","914.6004"
"2.0000","0.2626","1190.4269"
"2.2500","0.2835","1473.9197"
"2.5000","0.3044","1752.3500"
"2.7500","0.3251","2021.1733"
"3.0000","0.3458","2281.9204"
"3.2500","0.3667","2536.1028"
"3.5000","0.3877","2781.0740"
"3.7500","0.4084","3011.5454"
"4.0000","0.4293","3233.7651"
"4.2500","0.4501","3444.3232"
"4.5000","0.4708","3647.6963"
"4.7500","0.4917","3846.3525"
"5.0000","0.5127","4042.6350"
"5.2500","0.5335","4229.5908"
"5.5000","0.5543","4413.9785"
"5.7500","0.5751","4594.1479"
"6.0000","0.5959","4772.7695"
"6.2500","0.6168","4951.9194"
"6.5000","0.6377","5124.4941"
"6.7500","0.6584","5291.6187"
"7.0000","0.6792","5458.8149"
"7.2500","0.7001","5620.5381"
"7.5000","0.7209","5780.1714"
"7.7500","0.7419","5940.1816"
"8.0000","0.7627","6091.8711"
"8.2500","0.7834","6239.1294"
"8.5000","0.8043","6382.4863"
"8.7500","0.8251","6524.9146"
"9.0000","0.8460","6664.2432"
"9.2500","0.8668","6798.0625"
"9.5000","0.8876","6925.5254"
"9.7500","0.9084","7052.7354"
"10.0000","0.9293","7175.5444"
"10.2500","0.9501","7294.4595"
"10.5000","0.9710","7412.5850"
"10.7500","0.9918","7522.2979"
"11.0000","1.0126","7630.4316"
"11.2500","1.0334","7733.5054"
"11.5000","1.0543","7837.3662"
"11.7500","1.0752","7938.4165"
"12.0000","1.0959","8031.0776"
"12.2500","1.1167","8121.4419"
"12.5000","1.1376","8210.6299"
"12.7500","1.1584","8295.7246"
"13.0000","1.1793","8379.4551"
"13.2500","1.2002","8460.8037"
"13.5000","1.2210","8538.5732"
"13.7500","1.2417","8609.1709"
"14.0000","1.2625","8680.5068"
"14.2500","1.2835","8749.1777"
"14.5000","1.3043","8815.1113"
"14.7500","1.3251","8879.0635"
"15.0000","1.3460","8939.9502"
"15.2500","1.3667","8997.1514"
"15.5000","1.3876","9054.5449"
"15.7500","1.4085","9111.1885"
"16.0000","1.4293","9159.6318"
"16.2500","1.4501","9211.7471"
"16.5000","1.4709","9256.4521"
"16.7500","1.4917","9301.7393"
"17.0000","1.5127","9350.2070"
"17.2500","1.5335","9394.4717"
"17.5000","1.5543","9432.4541"
"17.7500","1.5751","9471.7783"
"18.0000","1.5959","9507.6543"
"18.2500","1.6168","9544.5117"
"18.5000","1.6377","9580.2764"
"18.7500","1.6585","9611.2656"
"19.0000","1.6793","9639.9365"
"19.2500","1.7001","9666.6123"
"19.5000","1.7209","9693.1621"
"19.7500","1.7418","9719.5684"
"20.0000","1.7627","9747.6924"
"20.2500","1.7835","9768.4209"
"20.5000","1.8042","9789.1201"
"20.7500","1.8251","9812.9053"
"21.0000","1.8460","9834.2676"
"21.2500","1.8668","9854.0684"
"21.5000","1.8877","9871.4824"
"21.7500","1.9084","9884.6797"
"22.0000","1.9292","9896.4668"
"22.2500","1.9502","9912.9609"
"22.5000","1.9710","9927.8770"
"22.7500","1.9918","9943.6025"
"23.0000","2.0127","9955.5361"
"23.2500","2.0334","9964.6201"
"23.5000","2.0542","9976.9912"
"23.7500","2.0752","9992.3525"
"24.0000","2.0960","10003.3613"
"24.2500","2.1168","10014.4277"
"24.5000","2.1376","10023.7070"
"24.7500","2.1584","10031.9834"
"25.0000","2.1793","10041.3018"
"25.2500","2.2002","10053.6055"
"25.5000","2.2210","10060.0400"
"25.7500","2.2418","10061.4971"
"26.0000","2.2626","10060.6602"
"26.2500","2.2834","10064.7324"
"26.5000","2.3044","10072.3291"
"26.7500","2.3252","10079.8408"
"27.0000","2.3460","10085.4160"
"27.2500","2.3668","10091.3408"
"27.5000","2.3876","10097.0928"
"27.7500","2.4084","10103.5889"
"28.0000","2.4294","10115.4717"
"28.2500","2.4502","10118.9121"
"28.5000","2.4709","10122.3428"
"28.7500","2.4918","10125.0312"
"29.0000","2.5126","10126.5332"
"29.2500","2.5335","10129.1787"
"29.5000","2.5543","10127.3828"
"29.7500","2.5751","10123.0010"
"30.0000","2.5959","10119.6572"
"30.2500","2.6168","10113.8164"
"30.5000","2.6376","10104.8164"
"30.7500","2.6586","10101.4072"
"31.0000","2.6793","10091.2754"
"31.2500","2.7001","10087.3184"
"31.5000","2.7209","10081.3691"
"31.7500","2.7418","10078.9023"
"32.0000","2.7627","10077.3496"
"32.2500","2.7835","10074.3320"
"32.5000","2.8043","10072.5068"
"32.7500","2.8251","10072.4951"
"33.0000","2.8459","10070.2939"
"33.2500","2.8668","10070.9346"
"33.5000","2.8877","10071.7236"
"33.7500","2.9085","10073.4365"
"34.0000","2.9293","10072.0156"
"34.2500","2.9500","10070.7061"
"34.5000","2.9711","10074.6787"
"34.7500","2.9918","10071.0635"
"35.0000","3.0126","10065.7871"
"35.2500","3.0335","10062.3574"
"35.5000","3.0543","10056.4121"
"35.7500","3.0751","10050.7168"
"36.0000","3.0960","10049.5244"
"36.2500","3.1168","10041.2705"
"36.5000","3.1377","10037.4375"
"36.7500","3.1584","10029.7842"
"37.0000","3.1792","10020.4424"
"37.2500","3.2002","10011.1396"
"37.5000","3.2211","9997.5967"
"37.7500","3.2417","9979.4854"
"38.0000","3.2626","9967.9824"
"38.2500","3.2834","9956.3340"
"38.5000","3.3043","9945.8271"
"38.7500","3.3252","9936.8340"
"39.0000","3.3460","9925.6699"
"39.2500","3.3668","9915.3389"
"39.5000","3.3876","9902.9170"
"39.7500","3.4085","9889.1064"
"40.0000","3.4293","9871.3945"
"40.2500","3.4502","9856.0420"
"40.5000","3.4709","9831.8945"
"40.7500","3.4917","9806.8926"
"41.0000","3.5126","9788.7314"
"41.2500","3.5335","9769.6201"
"41.5000","3.5543","9752.6025"
"41.7500","3.5752","9737.9707"
"42.0000","3.5960","9721.6660"
"42.2500","3.6167","9705.5479"
"42.5000","3.6376","9695.2930"
"42.7500","3.6585","9681.0010"
"43.0000","3.6793","9665.8770"
"43.2500","3.7002","9646.5195"
"43.5000","3.7209","9624.2617"
"43.7500","3.7418","9602.8477"
"44.0000","3.7627","9575.5889"
"44.2500","3.7835","9535.2900"
"44.5000","3.8043","9482.2119"
"44.7500","3.8251","9418.1484"
"45.0000","3.8459","9337.3906"
"45.2500","3.8667","9220.5137"
"45.5000","3.8877","9014.9990"
"45.7500","3.9085","8863.2178"
"46.0000","3.9293","8752.1299"
"46.2500","3.9501","8638.8477"
"46.5000","3.9709","8484.0537"
"46.7500","3.9919","8291.9160"
"47.0000","4.0127","8087.4922"
"47.2500","4.0334","7937.9590"
"47.5000","4.0543","7835.1123"
"47.7500","4.0751","7716.2041"
"48.0000","4.0959","7569.8936"
"48.2500","4.1169","7412.9297"
"48.5000","4.1377","7254.5879"
"48.7500","4.1584","7091.9097"
"49.0000","4.1793","6920.4731"
