
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1946"
"0.0500","0.0001","-0.0021"
"0.1000","0.0008","0.2587"
"0.1500","0.0014","0.3851"
"0.2000","0.0026","0.6903"
"0.2500","0.0051","0.7443"
"0.3000","0.0070","0.5198"
"0.3500","0.0090","0.6331"
"0.4000","0.0107","0.3958"
"0.4500","0.0124","0.5538"
"0.5000","0.0141","0.6174"
"0.5500","0.0158","0.5238"
"0.6000","0.0174","0.4604"
"0.6500","0.0188","0.5492"
"0.7000","0.0208","0.5890"
"0.7500","0.0223","0.3193"
"0.8000","0.0241","0.5812"
"0.8500","0.0258","0.6554"
"0.9000","0.0275","0.5913"
"0.9500","0.0290","0.6293"
"1.0000","0.0305","0.6646"
"1.0500","0.0325","0.6610"
"1.1000","0.0341","0.6342"
"1.1500","0.0359","0.5652"
"1.2000","0.0374","0.6913"
"1.2500","0.0391","0.5519"
"1.3000","0.0406","0.6527"
"1.3500","0.0423","0.7298"
"1.4000","0.0443","0.6229"
"1.4500","0.0457","0.7346"
"1.5000","0.0475","0.7416"
"1.5500","0.0490","0.5867"
"1.6000","0.0509","0.4223"
"1.6500","0.0523","0.6004"
"1.7000","0.0540","0.7423"
"1.7500","0.0558","0.4187"
"1.8000","0.0573","0.5719"
"1.8500","0.0592","0.6823"
"1.9000","0.0608","0.5766"
"1.9500","0.0626","0.8297"
"2.0000","0.0639","0.5096"
"2.0500","0.0656","0.9251"
"2.1000","0.0675","0.6351"
"2.1500","0.0691","0.6677"
"2.2000","0.0709","0.6798"
"2.2500","0.0723","0.6193"
"2.3000","0.0742","0.5347"
"2.3500","0.0755","0.6653"
"2.4000","0.0774","0.5888"
"2.4500","0.0792","0.6801"
"2.5000","0.0807","0.6343"
"2.5500","0.0825","0.6122"
"2.6000","0.0840","0.6688"
"2.6500","0.0859","0.5542"
"2.7000","0.0872","0.6559"
"2.7500","0.0891","0.6022"
"2.8000","0.0908","0.7336"
"2.8500","0.0924","0.7791"
"2.9000","0.0941","0.7109"
"2.9500","0.0957","0.7452"
"3.0000","0.0975","0.5665"
"3.0500","0.0988","0.7347"
"3.1000","0.1008","0.6056"
"3.1500","0.1025","0.8739"
"3.2000","0.1041","0.7748"
"3.2500","0.1058","0.6807"
"3.3000","0.1074","0.7512"
"3.3500","0.1091","0.7464"
"3.4000","0.1105","0.6046"
"3.4500","0.1125","0.9357"
"3.5000","0.1141","0.6834"
"3.5500","0.1158","0.7385"
"3.6000","0.1174","0.7133"
"3.6500","0.1191","0.9025"
"3.7000","0.1208","0.6514"
"3.7500","0.1222","0.6529"
"3.8000","0.1242","0.6934"
"3.8500","0.1257","0.9728"
"3.9000","0.1274","0.8438"
"3.9500","0.1291","0.9363"
"4.0000","0.1308","0.8310"
"4.0500","0.1324","0.6222"
"4.1000","0.1339","0.8595"
"4.1500","0.1359","0.8249"
"4.2000","0.1373","0.8894"
"4.2500","0.1391","0.9752"
"4.3000","0.1408","0.9873"
"4.3500","0.1426","0.9891"
"4.4000","0.1440","0.9282"
"4.4500","0.1455","1.0667"
"4.5000","0.1476","0.9967"
"4.5500","0.1490","1.3462"
"4.6000","0.1508","1.2986"
"4.6500","0.1524","1.5426"
"4.7000","0.1542","1.3708"
"4.7500","0.1556","1.5585"
"4.8000","0.1573","1.4537"
"4.8500","0.1593","1.2663"
"4.9000","0.1606","1.3987"
"4.9500","0.1625","1.4631"
"5.0000","0.1641","1.4570"
"5.0500","0.1659","1.7440"
"5.1000","0.1672","1.8491"
"5.1500","0.1690","1.7948"
"5.2000","0.1709","1.7316"
"5.2500","0.1723","2.0875"
"5.3000","0.1742","2.2179"
"5.3500","0.1757","2.1374"
"5.4000","0.1776","2.5527"
"5.4500","0.1789","2.4621"
"5.5000","0.1807","2.6873"
"5.5500","0.1826","2.8151"
"5.6000","0.1841","3.1437"
"5.6500","0.1859","3.3334"
"5.7000","0.1873","3.5547"
"5.7500","0.1892","3.9418"
"5.8000","0.1905","4.1545"
"5.8500","0.1924","4.8157"
"5.9000","0.1942","5.0170"
"5.9500","0.1958","5.2423"
"6.0000","0.1974","5.5653"
"6.0500","0.1990","5.9333"
"6.1000","0.2009","6.6194"
"6.1500","0.2021","6.8878"
"6.2000","0.2042","7.3652"
"6.2500","0.2058","7.6058"
"6.3000","0.2074","8.1402"
"6.3500","0.2091","8.5454"
"6.4000","0.2107","9.1865"
"6.4500","0.2125","9.5642"
"6.5000","0.2138","10.1033"
"6.5500","0.2159","10.7374"
"6.6000","0.2174","11.0921"
"6.6500","0.2191","11.8431"
"6.7000","0.2207","12.4581"
"6.7500","0.2225","13.2036"
"6.8000","0.2241","13.9020"
"6.8500","0.2255","14.5888"
"6.9000","0.2276","15.3843"
"6.9500","0.2290","16.0330"
"7.0000","0.2309","16.9144"
"7.0500","0.2324","17.5483"
"7.1000","0.2341","18.3066"
"7.1500","0.2357","19.2093"
"7.2000","0.2372","19.8994"
"7.2500","0.2392","21.2164"
"7.3000","0.2407","21.6799"
"7.3500","0.2425","22.7795"
"7.4000","0.2440","23.4533"
"7.4500","0.2458","24.7189"
"7.5000","0.2473","25.2349"
"7.5500","0.2490","26.2781"
"7.6000","0.2509","27.4845"
"7.6500","0.2524","28.4971"
"7.7000","0.2542","29.5014"
"7.7500","0.2557","30.3457"
"7.8000","0.2575","31.7244"
"7.8500","0.2589","32.4030"
"7.9000","0.2606","33.6127"
"7.9500","0.2625","35.1055"
"8.0000","0.2640","35.8549"
"8.0500","0.2658","37.1887"
"8.1000","0.2673","38.0050"
"8.1500","0.2692","39.2444"
"8.2000","0.2706","40.4054"
"8.2500","0.2724","41.6954"
"8.3000","0.2741","42.7187"
"8.3500","0.2756","44.1026"
"8.4000","0.2775","45.2597"
"8.4500","0.2790","46.2292"
"8.5000","0.2809","47.7967"
"8.5500","0.2822","48.5795"
"8.6000","0.2841","50.2244"
"8.6500","0.2858","51.3673"
"8.7000","0.2874","52.5458"
"8.7500","0.2892","54.0882"
"8.8000","0.2907","55.1071"
"8.8500","0.2925","56.5811"
"8.9000","0.2938","57.5014"
"8.9500","0.2958","59.1892"
"9.0000","0.2975","60.6049"
"9.0500","0.2991","61.7709"
"9.1000","0.3008","63.2426"
"9.1500","0.3024","64.5100"
"9.2000","0.3042","65.9280"
"9.2500","0.3055","67.0176"
"9.3000","0.3075","68.7078"
"9.3500","0.3091","70.1597"
"9.4000","0.3108","71.4555"
