
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","2.8003"
"0.1000","0.0008","4.2814"
"0.2000","0.0031","8.6888"
"0.3000","0.0078","16.1488"
"0.4000","0.0109","19.4499"
"0.5000","0.0145","23.0170"
"0.6000","0.0177","25.4794"
"0.7000","0.0210","27.2355"
"0.8000","0.0247","29.0020"
"0.9000","0.0280","30.2257"
"1.0000","0.0313","31.1818"
"1.1000","0.0344","31.7192"
"1.2000","0.0378","32.5496"
"1.3000","0.0411","33.4762"
"1.4000","0.0443","33.8036"
"1.5000","0.0479","34.4144"
"1.6000","0.0513","35.1756"
"1.7000","0.0546","35.7690"
"1.8000","0.0579","36.3652"
"1.9000","0.0612","36.7640"
"2.0000","0.0645","37.0877"
"2.1000","0.0676","37.5894"
"2.2000","0.0712","37.7759"
"2.3000","0.0745","38.0758"
"2.4000","0.0779","38.3314"
"2.5000","0.0812","38.8597"
"2.6000","0.0845","38.7962"
"2.7000","0.0879","39.0858"
"2.8000","0.0909","38.9213"
"2.9000","0.0945","39.0313"
"3.0000","0.0978","39.0153"
"3.1000","0.1011","39.2739"
"3.2000","0.1047","39.0197"
"3.3000","0.1079","39.1522"
"3.4000","0.1113","39.1728"
"3.5000","0.1144","39.2754"
"3.6000","0.1178","39.4166"
"3.7000","0.1212","39.5150"
"3.8000","0.1244","39.4704"
"3.9000","0.1279","39.8019"
"4.0000","0.1313","39.7728"
"4.1000","0.1346","39.9210"
"4.2000","0.1377","39.7498"
"4.3000","0.1411","40.1438"
"4.4000","0.1444","40.2646"
"4.5000","0.1477","40.3732"
"4.6000","0.1512","40.4623"
"4.7000","0.1545","40.6311"
"4.8000","0.1580","40.7057"
"4.9000","0.1612","40.9349"
"5.0000","0.1645","40.8024"
"5.1000","0.1678","41.1607"
"5.2000","0.1709","41.2949"
"5.3000","0.1746","41.2564"
"5.4000","0.1779","41.6675"
"5.5000","0.1813","41.4126"
"5.6000","0.1847","41.6254"
"5.7000","0.1878","41.5231"
"5.8000","0.1912","41.9855"
"5.9000","0.1942","41.8664"
"6.0000","0.1978","41.9487"
"6.1000","0.2012","42.1076"
"6.2000","0.2045","42.6026"
"6.3000","0.2080","42.5605"
"6.4000","0.2112","42.9573"
"6.5000","0.2146","43.0699"
"6.6000","0.2176","43.4672"
"6.7000","0.2211","43.5027"
"6.8000","0.2245","43.8089"
"6.9000","0.2277","44.0241"
"7.0000","0.2313","44.1164"
"7.1000","0.2346","44.3982"
"7.2000","0.2380","44.7891"
"7.3000","0.2411","44.6868"
"7.4000","0.2445","45.0662"
"7.5000","0.2477","45.2867"
