
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1679"
"0.2500","0.0151","20.1680"
"0.5000","0.0360","56.6342"
"0.7500","0.0567","101.2000"
"1.0000","0.0776","152.4721"
"1.2500","0.0985","209.1273"
"1.5000","0.1193","271.0282"
"1.7500","0.1402","336.3672"
"2.0000","0.1610","403.5166"
"2.2500","0.1817","470.4482"
"2.5000","0.2027","538.9222"
"2.7500","0.2235","614.0140"
"3.0000","0.2443","691.9451"
"3.2500","0.2651","773.0585"
"3.5000","0.2859","856.8284"
"3.7500","0.3068","943.7611"
"4.0000","0.3277","1042.9073"
"4.2500","0.3485","1150.0609"
"4.5000","0.3693","1269.1417"
"4.7500","0.3901","1405.9716"
"5.0000","0.4109","1571.9578"
"5.2500","0.4318","1763.7650"
"5.5000","0.4527","1959.6979"
"5.7500","0.4735","2151.3923"
"6.0000","0.4943","2342.9912"
"6.2500","0.5151","2527.6382"
"6.5000","0.5359","2705.4902"
"6.7500","0.5569","2879.1409"
"7.0000","0.5777","3030.3140"
"7.2500","0.5984","3184.5693"
"7.5000","0.6193","3334.6128"
"7.7500","0.6401","3476.7412"
"8.0000","0.6609","3615.2307"
"8.2500","0.6819","3750.2900"
"8.5000","0.7027","3877.2319"
"8.7500","0.7234","4001.0742"
"9.0000","0.7443","4121.3159"
"9.2500","0.7652","4240.1685"
"9.5000","0.7861","4358.2075"
"9.7500","0.8068","4470.4629"
"10.0000","0.8276","4580.9795"
"10.2500","0.8484","4689.0957"
"10.5000","0.8693","4795.5898"
"10.7500","0.8901","4900.4746"
"11.0000","0.9110","5004.9468"
"11.2500","0.9318","5104.3667"
"11.5000","0.9526","5193.4419"
"11.7500","0.9734","5285.1504"
"12.0000","0.9943","5379.8159"
"12.2500","1.0152","5474.8022"
"12.5000","1.0360","5563.8677"
"12.7500","1.0568","5652.8647"
"13.0000","1.0776","5738.2686"
"13.2500","1.0985","5824.0479"
"13.5000","1.1194","5892.9844"
"13.7500","1.1402","5968.1265"
"14.0000","1.1610","6048.4585"
"14.2500","1.1818","6124.5835"
"14.5000","1.2026","6200.6953"
"14.7500","1.2235","6277.6455"
"15.0000","1.2444","6351.3330"
"15.2500","1.2652","6422.6284"
"15.5000","1.2860","6493.6309"
"15.7500","1.3068","6561.0142"
"16.0000","1.3276","6630.4824"
"16.2500","1.3485","6696.6914"
"16.5000","1.3693","6760.2754"
"16.7500","1.3901","6823.0024"
"17.0000","1.4109","6881.3555"
"17.2500","1.4318","6938.7847"
"17.5000","1.4527","6998.3965"
"17.7500","1.4736","7054.8921"
"18.0000","1.4943","7107.0493"
"18.2500","1.5151","7161.1128"
"18.5000","1.5359","7212.2695"
"18.7500","1.5568","7263.2710"
"19.0000","1.5777","7314.3730"
"19.2500","1.5985","7362.4463"
"19.5000","1.6193","7407.9268"
"19.7500","1.6401","7453.4746"
"20.0000","1.6610","7497.6309"
"20.2500","1.6818","7542.2026"
"20.5000","1.7028","7587.5825"
"20.7500","1.7235","7626.7207"
"21.0000","1.7442","7665.3467"
"21.2500","1.7652","7707.7656"
"21.5000","1.7860","7747.4004"
"21.7500","1.8068","7784.6030"
"22.0000","1.8277","7824.1260"
"22.2500","1.8485","7858.7764"
"22.5000","1.8692","7892.3315"
"22.7500","1.8902","7929.7925"
"23.0000","1.9110","7963.9307"
"23.2500","1.9318","7584.3364"
"23.5000","1.9527","7651.8931"
"23.7500","1.9734","7705.5127"
"24.0000","1.9943","7770.6455"
"24.2500","2.0152","7827.7563"
"24.5000","2.0360","7876.6763"
"24.7500","2.0568","7921.8330"
"25.0000","2.0777","7962.2812"
"25.2500","2.0984","7998.6230"
"25.5000","2.1193","8033.9321"
"25.7500","2.1402","8067.9341"
"26.0000","2.1610","8091.3232"
"26.2500","2.1818","8114.5474"
"26.5000","2.2026","8139.5352"
"26.7500","2.2234","8163.4746"
"27.0000","2.2444","8191.8491"
"27.2500","2.2652","8217.0967"
"27.5000","2.2860","8238.1865"
"27.7500","2.3068","8259.5176"
"28.0000","2.3276","8279.1035"
"28.2500","2.3485","8298.9600"
"28.5000","2.3694","8319.7764"
"28.7500","2.3902","8336.3193"
"29.0000","2.4110","8352.2949"
"29.2500","2.4318","8367.4238"
"29.5000","2.4527","8383.4297"
"29.7500","2.4735","8400.1455"
"30.0000","2.4944","8412.5537"
"30.2500","2.5151","8424.7891"
"30.5000","2.5359","8436.0332"
"30.7500","2.5568","8447.0410"
"31.0000","2.5777","8458.4043"
"31.2500","2.5985","8469.9922"
"31.5000","2.6194","8478.3848"
"31.7500","2.6401","8483.9375"
"32.0000","2.6609","8480.4600"
"32.2500","2.6818","8468.6484"
"32.5000","2.7027","8472.2070"
"32.7500","2.7235","8471.1660"
"33.0000","2.7443","8468.5322"
"33.2500","2.7651","8464.2256"
"33.5000","2.7860","8462.6484"
"33.7500","2.8069","8459.0840"
"34.0000","2.8277","8453.0820"
"34.2500","2.8485","8444.7568"
"34.5000","2.8693","8432.2783"
"34.7500","2.8901","8425.6494"
"35.0000","2.9110","8421.6904"
"35.2500","2.9319","8410.9697"
"35.5000","2.9526","8400.7090"
"35.7500","2.9735","8385.4883"
"36.0000","2.9943","8375.4736"
"36.2500","3.0151","8367.1768"
"36.5000","3.0360","8359.4795"
"36.7500","3.0568","8350.7383"
"37.0000","3.0777","8344.7793"
"37.2500","3.0985","8335.7129"
"37.5000","3.1192","8327.6514"
"37.7500","3.1402","8327.0166"
"38.0000","3.1611","8324.7363"
"38.2500","3.1818","8310.7480"
"38.5000","3.2026","8304.6982"
"38.7500","3.2234","8295.7549"
"39.0000","3.2443","8282.7217"
"39.2500","3.2652","8278.2939"
"39.5000","3.2860","8267.5498"
"39.7500","3.3068","8250.1006"
"40.0000","3.3276","8241.0537"
"40.2500","3.3485","8231.7314"
"40.5000","3.3693","8222.7363"
"40.7500","3.3903","8204.9961"
"41.0000","3.4110","8221.0723"
"41.2500","3.4318","8217.3086"
"41.5000","3.4527","8208.3340"
"41.7500","3.4735","8213.4229"
"42.0000","3.4943","8208.2881"
"42.2500","3.5152","8208.8184"
"42.5000","3.5360","8197.9248"
"42.7500","3.5567","8195.7783"
"43.0000","3.5777","8192.1025"
"43.2500","3.5985","8188.4897"
"43.5000","3.6193","8182.2886"
"43.7500","3.6402","8166.2915"
"44.0000","3.6609","8149.9150"
"44.2500","3.6818","8140.1221"
"44.5000","3.7027","8122.3281"
"44.7500","3.7235","8050.1831"
"45.0000","3.7443","8048.5308"
"45.2500","3.7652","8006.1338"
"45.5000","3.7859","7968.7173"
"45.7500","3.8068","7943.4561"
"46.0000","3.8277","7890.9556"
