
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0732"
"0.0500","0.0001","-0.1193"
"0.1000","0.0007","0.0170"
"0.1500","0.0010","0.0494"
"0.2000","0.0027","-0.1243"
"0.2500","0.0055","-0.0610"
"0.3000","0.0075","-0.1460"
"0.3500","0.0093","-0.0292"
"0.4000","0.0110","-0.0228"
"0.4500","0.0124","-0.1457"
"0.5000","0.0144","0.0020"
"0.5500","0.0159","0.1213"
"0.6000","0.0178","0.0530"
"0.6500","0.0192","-0.1300"
"0.7000","0.0210","-0.2465"
"0.7500","0.0226","0.1708"
"0.8000","0.0241","0.1017"
"0.8500","0.0262","-0.1424"
"0.9000","0.0276","0.0637"
"0.9500","0.0294","-0.1570"
"1.0000","0.0309","0.0304"
"1.0500","0.0327","-0.0850"
"1.1000","0.0342","-0.0240"
"1.1500","0.0359","-0.0375"
"1.2000","0.0378","-0.1198"
"1.2500","0.0392","-0.2447"
"1.3000","0.0411","-0.0056"
"1.3500","0.0426","-0.0092"
"1.4000","0.0444","-0.0604"
"1.4500","0.0458","-0.0340"
"1.5000","0.0475","0.1431"
"1.5500","0.0494","-0.0182"
"1.6000","0.0509","0.1229"
"1.6500","0.0528","-0.1390"
"1.7000","0.0543","0.0012"
"1.7500","0.0561","-0.0666"
"1.8000","0.0574","-0.0149"
"1.8500","0.0592","-0.0193"
"1.9000","0.0610","0.0380"
"1.9500","0.0626","-0.0058"
"2.0000","0.0644","0.0351"
"2.0500","0.0659","-0.1606"
"2.1000","0.0677","0.1541"
"2.1500","0.0691","0.0757"
"2.2000","0.0711","-0.2220"
"2.2500","0.0727","0.0302"
"2.3000","0.0742","-0.0594"
"2.3500","0.0761","-0.1061"
"2.4000","0.0776","-0.1054"
"2.4500","0.0794","0.0725"
"2.5000","0.0808","0.0564"
"2.5500","0.0827","-0.0733"
"2.6000","0.0843","-0.0628"
"2.6500","0.0860","-0.2665"
"2.7000","0.0877","0.0327"
"2.7500","0.0894","0.2309"
