
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1368"
"0.1000","0.0008","2.0758"
"0.2000","0.0027","7.4149"
"0.3000","0.0077","22.1752"
"0.4000","0.0112","31.7229"
"0.5000","0.0144","40.5796"
"0.6000","0.0178","49.8634"
"0.7000","0.0210","58.6719"
"0.8000","0.0242","66.8862"
"0.9000","0.0277","76.1404"
"1.0000","0.0311","84.8518"
"1.1000","0.0345","93.4369"
"1.2000","0.0378","101.9567"
"1.3000","0.0410","109.5879"
"1.4000","0.0445","117.2403"
"1.5000","0.0474","123.8629"
"1.6000","0.0510","130.9965"
"1.7000","0.0544","137.3954"
"1.8000","0.0577","143.2544"
"1.9000","0.0613","150.2434"
"2.0000","0.0645","155.1349"
"2.1000","0.0678","160.2288"
"2.2000","0.0710","164.6505"
"2.3000","0.0743","169.6084"
"2.4000","0.0777","175.1668"
"2.5000","0.0809","180.0875"
"2.6000","0.0846","186.3118"
"2.7000","0.0879","192.1815"
"2.8000","0.0912","198.2599"
"2.9000","0.0943","203.5411"
"3.0000","0.0978","209.7074"
"3.1000","0.1009","215.3049"
"3.2000","0.1041","221.1250"
"3.3000","0.1078","228.0743"
"3.4000","0.1111","234.2064"
"3.5000","0.1145","240.7923"
"3.6000","0.1178","246.7457"
"3.7000","0.1211","252.9052"
"3.8000","0.1244","259.3734"
"3.9000","0.1275","264.9094"
"4.0000","0.1311","272.0117"
"4.1000","0.1344","278.6542"
"4.2000","0.1378","285.1205"
"4.3000","0.1412","292.3639"
"4.4000","0.1445","298.4695"
"4.5000","0.1478","304.7228"
"4.6000","0.1509","310.6796"
"4.7000","0.1543","317.1959"
"4.8000","0.1577","323.5604"
"4.9000","0.1610","329.6997"
"5.0000","0.1645","336.8350"
"5.1000","0.1678","343.3745"
"5.2000","0.1712","350.0345"
"5.3000","0.1743","355.8221"
"5.4000","0.1777","362.6941"
"5.5000","0.1810","369.5869"
"5.6000","0.1842","375.6696"
"5.7000","0.1879","382.7935"
"5.8000","0.1912","389.5779"
"5.9000","0.1945","396.0169"
"6.0000","0.1977","402.3296"
"6.1000","0.2010","408.7789"
"6.2000","0.2044","415.4789"
"6.3000","0.2075","420.9246"
"6.4000","0.2112","428.3563"
"6.5000","0.2145","434.8108"
"6.6000","0.2178","441.2022"
"6.7000","0.2211","447.5372"
"6.8000","0.2243","453.6624"
"6.9000","0.2277","460.0013"
"7.0000","0.2308","466.0974"
"7.1000","0.2344","472.6490"
"7.2000","0.2377","479.1399"
"7.3000","0.2411","485.2430"
"7.4000","0.2445","491.8757"
"7.5000","0.2478","497.9037"
"7.6000","0.2511","504.0686"
"7.7000","0.2542","509.6385"
"7.8000","0.2577","516.1746"
"7.9000","0.2611","522.2584"
"8.0000","0.2644","528.2823"
"8.1000","0.2679","534.9310"
"8.2000","0.2711","540.7062"
"8.3000","0.2745","546.7516"
"8.4000","0.2776","552.4058"
"8.5000","0.2810","558.2194"
"8.6000","0.2844","564.4376"
"8.7000","0.2876","569.7402"
"8.8000","0.2911","576.7239"
"8.9000","0.2945","582.2402"
"9.0000","0.2979","588.4354"
"9.1000","0.3010","593.8895"
"9.2000","0.3043","599.6605"
"9.3000","0.3077","605.3851"
"9.4000","0.3108","610.6542"
"9.5000","0.3145","617.0131"
"9.6000","0.3178","623.0659"
"9.7000","0.3212","628.8279"
"9.8000","0.3245","634.2108"
"9.9000","0.3277","639.3891"
"10.0000","0.3310","644.7658"
"10.1000","0.3342","649.7108"
"10.2000","0.3378","655.9488"
