
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0376"
"0.1000","0.0008","2.5963"
"0.2000","0.0029","10.4509"
"0.3000","0.0077","28.1137"
"0.4000","0.0112","39.9232"
"0.5000","0.0146","50.2587"
"0.6000","0.0177","58.4977"
"0.7000","0.0211","65.4903"
"0.8000","0.0243","71.4999"
"0.9000","0.0276","76.3350"
"1.0000","0.0313","82.0533"
"1.1000","0.0346","86.8695"
"1.2000","0.0379","91.8452"
"1.3000","0.0412","96.7713"
"1.4000","0.0444","100.8171"
"1.5000","0.0478","104.6050"
"1.6000","0.0509","107.7581"
"1.7000","0.0544","111.7349"
"1.8000","0.0579","115.6916"
"1.9000","0.0611","119.7589"
"2.0000","0.0646","123.5821"
"2.1000","0.0679","126.6284"
"2.2000","0.0711","130.5121"
"2.3000","0.0743","136.9106"
"2.4000","0.0778","144.4822"
"2.5000","0.0811","152.5912"
"2.6000","0.0845","161.0121"
"2.7000","0.0879","170.8383"
"2.8000","0.0912","179.5257"
"2.9000","0.0947","188.8244"
"3.0000","0.0976","196.3668"
"3.1000","0.1011","206.1636"
"3.2000","0.1044","215.3158"
"3.3000","0.1076","224.0146"
"3.4000","0.1113","234.4564"
"3.5000","0.1145","243.0439"
"3.6000","0.1179","252.1736"
"3.7000","0.1211","260.7032"
"3.8000","0.1244","269.3907"
"3.9000","0.1277","278.7789"
"4.0000","0.1310","288.0753"
"4.1000","0.1345","298.8407"
"4.2000","0.1379","308.8003"
"4.3000","0.1413","318.7256"
"4.4000","0.1444","328.0511"
"4.5000","0.1478","338.0578"
"4.6000","0.1511","347.6418"
"4.7000","0.1543","356.7368"
"4.8000","0.1579","367.4260"
"4.9000","0.1612","377.0492"
"5.0000","0.1646","386.6505"
"5.1000","0.1679","396.1322"
"5.2000","0.1710","405.1281"
"5.3000","0.1745","415.2607"
"5.4000","0.1775","423.5634"
"5.5000","0.1811","433.6810"
"5.6000","0.1845","443.5304"
"5.7000","0.1878","452.7626"
"5.8000","0.1913","462.8062"
"5.9000","0.1945","471.5582"
"6.0000","0.1979","480.8224"
"6.1000","0.2010","488.9225"
"6.2000","0.2044","498.1659"
"6.3000","0.2077","507.0430"
"6.4000","0.2110","516.0236"
"6.5000","0.2146","525.7816"
"6.6000","0.2179","534.2504"
"6.7000","0.2213","543.2853"
"6.8000","0.2243","550.2963"
"6.9000","0.2278","559.3121"
"7.0000","0.2309","566.7780"
"7.1000","0.2342","574.8164"
"7.2000","0.2379","584.4092"
"7.3000","0.2412","592.2341"
"7.4000","0.2446","600.7114"
"7.5000","0.2478","608.1023"
"7.6000","0.2511","615.7928"
"7.7000","0.2545","623.6412"
"7.8000","0.2576","630.2047"
"7.9000","0.2611","639.2067"
"8.0000","0.2645","646.7074"
"8.1000","0.2679","654.3403"
"8.2000","0.2713","662.0815"
"8.3000","0.2745","668.8839"
"8.4000","0.2778","676.0588"
"8.5000","0.2809","682.4903"
"8.6000","0.2844","690.0862"
"8.7000","0.2878","697.1212"
"8.8000","0.2911","704.0670"
"8.9000","0.2946","711.7469"
"9.0000","0.2979","718.4827"
"9.1000","0.3012","725.2143"
"9.2000","0.3043","730.8531"
"9.3000","0.3078","737.7470"
"9.4000","0.3111","744.2344"
"9.5000","0.3143","750.5886"
"9.6000","0.3180","757.9872"
"9.7000","0.3212","764.0727"
"9.8000","0.3246","770.4957"
"9.9000","0.3278","776.1641"
"10.0000","0.3311","782.1927"
"10.1000","0.3345","788.5279"
"10.2000","0.3376","793.2475"
"10.3000","0.3412","800.7924"
"10.4000","0.3446","806.4105"
"10.5000","0.3479","812.3224"
"10.6000","0.3511","817.6830"
"10.7000","0.3544","823.0649"
"10.8000","0.3577","828.6598"
"10.9000","0.3609","833.5439"
"11.0000","0.3645","839.9216"
"11.1000","0.3678","845.5372"
"11.2000","0.3712","850.9628"
"11.3000","0.3745","856.2203"
"11.4000","0.3778","861.2238"
"11.5000","0.3811","866.2723"
"11.6000","0.3843","870.3283"
"11.7000","0.3878","876.2452"
"11.8000","0.3911","881.3282"
"11.9000","0.3945","886.2884"
"12.0000","0.3979","891.7805"
"12.1000","0.4012","895.9045"
"12.2000","0.4046","901.0559"
"12.3000","0.4076","904.7433"
"12.4000","0.4110","909.6156"
"12.5000","0.4144","914.0372"
"12.6000","0.4177","918.2736"
"12.7000","0.4213","923.7744"
"12.8000","0.4245","927.5439"
"12.9000","0.4279","932.1805"
"13.0000","0.4311","935.6874"
"13.1000","0.4343","939.7733"
"13.2000","0.4378","944.1584"
"13.3000","0.4409","947.2538"
"13.4000","0.4446","952.6155"
"13.5000","0.4479","956.1808"
"13.6000","0.4513","960.1122"
"13.7000","0.4545","963.3990"
"13.8000","0.4578","966.7137"
"13.9000","0.4610","969.5416"
"14.0000","0.4642","972.2382"
"14.1000","0.4679","976.7836"
"14.2000","0.4711","979.6094"
"14.3000","0.4745","982.5853"
"14.4000","0.4781","76.7353"
"14.4150","0.4787","-0.8564"

