
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.2082"
"0.2500","0.0161","47.1761"
"0.5000","0.0369","161.2154"
"0.7500","0.0578","303.7741"
"1.0000","0.0786","443.9635"
"1.2500","0.0994","602.8096"
"1.5000","0.1201","777.8219"
"1.7500","0.1410","974.8702"
"2.0000","0.1619","1185.4766"
"2.2500","0.1827","1404.1471"
"2.5000","0.2036","1628.2874"
"2.7500","0.2244","1851.2272"
"3.0000","0.2451","2072.5999"
"3.2500","0.2660","2295.8274"
"3.5000","0.2870","2520.1833"
"3.7500","0.3078","2735.5007"
"4.0000","0.3285","2944.8215"
"4.2500","0.3493","3148.3982"
"4.5000","0.3702","3348.9778"
"4.7500","0.3912","3547.4026"
"5.0000","0.4120","3738.8481"
"5.2500","0.4327","3924.5308"
"5.5000","0.4535","4108.9067"
"5.7500","0.4744","4290.1523"
"6.0000","0.4952","4467.3438"
"6.2500","0.5162","4645.7588"
"6.5000","0.5370","4817.4614"
"6.7500","0.5577","4984.5049"
"7.0000","0.5785","5149.8682"
"7.2500","0.5994","5315.4517"
"7.5000","0.6203","5477.2817"
"7.7500","0.6411","5633.9556"
"8.0000","0.6619","5785.5820"
"8.2500","0.6827","5935.5991"
"8.5000","0.7035","6081.6670"
"8.7500","0.7244","6225.8442"
"9.0000","0.7453","6367.6060"
"9.2500","0.7661","6501.6538"
"9.5000","0.7869","6633.3384"
"9.7500","0.8077","6760.8804"
"10.0000","0.8286","6886.4971"
"10.2500","0.8495","7011.6631"
"10.5000","0.8702","7128.0801"
"10.7500","0.8911","7242.4360"
"11.0000","0.9119","7352.5464"
"11.2500","0.9327","7459.6772"
"11.5000","0.9536","7565.7720"
"11.7500","0.9744","7667.1733"
"12.0000","0.9953","7766.5820"
"12.2500","1.0160","7856.7603"
"12.5000","1.0368","7948.1416"
"12.7500","1.0578","8039.8135"
"13.0000","1.0787","8126.2690"
"13.2500","1.0994","8206.7832"
"13.5000","1.1203","8285.9482"
"13.7500","1.1411","8360.5518"
"14.0000","1.1619","8434.1982"
"14.2500","1.1828","8508.2178"
