
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1520"
"0.0500","0.0001","-0.1618"
"0.1000","0.0008","0.0521"
"0.1500","0.0013","-0.1669"
"0.2000","0.0027","-0.1359"
"0.2500","0.0050","0.1287"
"0.3000","0.0073","0.1171"
"0.3500","0.0092","0.0803"
"0.4000","0.0107","0.0477"
"0.4500","0.0125","-0.0100"
"0.5000","0.0141","-0.0615"
"0.5500","0.0156","-0.0691"
"0.6000","0.0177","0.0573"
"0.6500","0.0191","0.0523"
"0.7000","0.0209","0.1119"
"0.7500","0.0224","0.2371"
"0.8000","0.0242","0.0981"
"0.8500","0.0258","0.0601"
"0.9000","0.0273","0.0476"
"0.9500","0.0294","0.1665"
"1.0000","0.0308","0.1123"
"1.0500","0.0326","0.0827"
"1.1000","0.0341","0.1472"
"1.1500","0.0360","0.3049"
"1.2000","0.0374","-0.0218"
"1.2500","0.0391","-0.0467"
"1.3000","0.0410","0.2633"
"1.3500","0.0425","0.0634"
"1.4000","0.0443","0.2132"
"1.4500","0.0458","0.3160"
"1.5000","0.0477","0.3536"
"1.5500","0.0490","0.3137"
"1.6000","0.0508","0.1035"
"1.6500","0.0526","0.4130"
"1.7000","0.0542","0.5797"
"1.7500","0.0560","0.4967"
"1.8000","0.0575","0.5545"
"1.8500","0.0593","0.4982"
"1.9000","0.0606","0.3828"
"1.9500","0.0625","0.3788"
"2.0000","0.0643","0.5029"
"2.0500","0.0658","0.3760"
"2.1000","0.0676","0.5328"
"2.1500","0.0692","0.4679"
"2.2000","0.0709","0.3640"
"2.2500","0.0723","0.4702"
"2.3000","0.0742","0.2822"
"2.3500","0.0758","0.4195"
"2.4000","0.0775","0.3278"
"2.4500","0.0792","0.5815"
"2.5000","0.0808","0.6257"
"2.5500","0.0826","0.7890"
"2.6000","0.0840","0.7938"
"2.6500","0.0860","0.6977"
"2.7000","0.0875","0.6901"
"2.7500","0.0892","0.6686"
"2.8000","0.0909","0.8213"
"2.8500","0.0926","0.8557"
"2.9000","0.0942","0.9255"
"2.9500","0.0956","1.0676"
"3.0000","0.0977","1.2938"
"3.0500","0.0992","1.2991"
"3.1000","0.1009","1.5242"
"3.1500","0.1025","1.6997"
"3.2000","0.1042","1.7609"
