
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.5265"
"0.1000","0.0007","2.6681"
"0.2000","0.0022","8.5809"
"0.3000","0.0076","29.0902"
"0.4000","0.0107","40.6395"
"0.5000","0.0141","53.0229"
"0.6000","0.0175","64.7915"
"0.7000","0.0207","75.0569"
"0.8000","0.0244","82.7168"
"0.9000","0.0277","88.0485"
"1.0000","0.0311","93.2269"
"1.1000","0.0343","97.3288"
"1.2000","0.0375","100.4900"
"1.3000","0.0408","103.3354"
"1.4000","0.0440","103.9764"
"1.5000","0.0476","104.9299"
"1.6000","0.0510","105.3583"
"1.7000","0.0543","106.0243"
"1.8000","0.0577","107.2633"
"1.9000","0.0609","107.4671"
"2.0000","0.0642","107.8003"
"2.1000","0.0673","108.0381"
"2.2000","0.0709","108.4334"
"2.3000","0.0742","108.6111"
"2.4000","0.0776","108.4744"
"2.5000","0.0811","108.8221"
"2.6000","0.0844","109.0576"
"2.7000","0.0877","108.6696"
"2.8000","0.0908","109.0068"
"2.9000","0.0942","108.9356"
"3.0000","0.0976","109.1187"
"3.1000","0.1008","109.1184"
"3.2000","0.1044","109.0446"
"3.3000","0.1077","109.1058"
"3.4000","0.1110","108.9709"
"3.5000","0.1142","109.1821"
"3.6000","0.1175","109.2354"
"3.7000","0.1208","109.3187"
"3.8000","0.1241","109.2199"
"3.9000","0.1276","109.2541"
"4.0000","0.1311","109.1325"
"4.1000","0.1343","109.1424"
"4.2000","0.1377","109.3123"
"4.3000","0.1409","109.0346"
"4.4000","0.1442","109.3292"
"4.5000","0.1474","109.1676"
"4.6000","0.1510","109.0952"
"4.7000","0.1543","109.4080"
"4.8000","0.1576","109.2857"
"4.9000","0.1610","109.2634"
"5.0000","0.1643","109.5093"
"5.1000","0.1676","109.6013"
"5.2000","0.1707","109.3823"
"5.3000","0.1742","109.4438"
"5.4000","0.1776","109.3847"
"5.5000","0.1809","109.4943"
"5.6000","0.1843","109.4964"
"5.7000","0.1876","109.4924"
"5.8000","0.1910","109.5380"
"5.9000","0.1941","109.6187"
"6.0000","0.1976","109.5684"
"6.1000","0.2009","109.6390"
"6.2000","0.2042","109.5753"
"6.3000","0.2077","109.4850"
"6.4000","0.2110","109.4599"
"6.5000","0.2144","109.5529"
"6.6000","0.2175","109.6499"
"6.7000","0.2208","109.5299"
"6.8000","0.2242","109.6641"
"6.9000","0.2274","109.6074"
"7.0000","0.2310","109.5130"
"7.1000","0.2343","109.6754"
"7.2000","0.2377","109.5446"
"7.3000","0.2409","109.7640"
"7.4000","0.2442","109.9290"
"7.5000","0.2475","109.7665"
"7.6000","0.2507","109.8700"
"7.7000","0.2543","109.7418"
"7.8000","0.2577","109.6926"
"7.9000","0.2610","109.7076"
"8.0000","0.2644","109.7551"
"8.1000","0.2676","109.7569"
"8.2000","0.2710","109.7651"
"8.3000","0.2740","109.6972"
"8.4000","0.2776","109.7548"
"8.5000","0.2809","109.8251"
"8.6000","0.2843","109.7463"
"8.7000","0.2877","109.6929"
"8.8000","0.2910","109.7022"
"8.9000","0.2943","109.7777"
"9.0000","0.2974","110.0097"
"9.1000","0.3008","110.0052"
"9.2000","0.3041","109.6767"
"9.3000","0.3075","109.7407"
"9.4000","0.3111","109.5923"
"9.5000","0.3143","109.7811"
"9.6000","0.3177","110.0272"
"9.7000","0.3209","110.1059"
"9.8000","0.3242","110.1393"
"9.9000","0.3275","109.9799"
"10.0000","0.3307","110.0201"
"10.1000","0.3343","110.2079"
"10.2000","0.3377","109.8670"
"10.3000","0.3410","110.4292"
"10.4000","0.3443","110.8643"
"10.5000","0.3476","111.1032"
"10.6000","0.3509","111.2775"
"10.7000","0.3540","111.4954"
"10.8000","0.3576","111.9516"
"10.9000","0.3609","112.2699"
"11.0000","0.3643","112.9675"
"11.1000","0.3677","113.8524"
"11.2000","0.3710","115.3080"
"11.3000","0.3743","116.6637"
"11.4000","0.3774","118.1905"
"11.5000","0.3809","119.8597"
"11.6000","0.3843","121.8408"
"11.7000","0.3875","126.5194"
"11.8000","0.3910","130.7518"
"11.9000","0.3943","135.9329"
"12.0000","0.3977","141.7352"
"12.1000","0.4008","147.8646"
"12.2000","0.4042","155.1298"
"12.3000","0.4075","161.8950"
"12.4000","0.4108","168.7489"
"12.5000","0.4144","176.2097"
"12.6000","0.4177","183.0272"
"12.7000","0.4211","190.0404"
"12.8000","0.4242","196.9601"
"12.9000","0.4275","204.4722"
"13.0000","0.4309","212.2525"
"13.1000","0.4341","219.9673"
"13.2000","0.4377","228.4069"
"13.3000","0.4410","236.3333"
"13.4000","0.4444","244.0702"
"13.5000","0.4476","251.6422"
"13.6000","0.4509","258.9698"
"13.7000","0.4543","266.8158"
"13.8000","0.4574","273.4542"
"13.9000","0.4609","281.3426"
"14.0000","0.4643","289.1351"
"14.1000","0.4676","296.0453"
"14.2000","0.4710","302.9044"
"14.3000","0.4742","308.4467"
"14.4000","0.4776","312.7882"
"14.5000","0.4807","317.4491"
