
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2101"
"0.0500","0.0001","-0.0229"
"0.1000","0.0008","0.1020"
"0.1500","0.0011","0.0199"
"0.2000","0.0028","0.2588"
"0.2500","0.0058","0.4511"
"0.3000","0.0078","0.3724"
"0.3500","0.0093","0.4476"
"0.4000","0.0112","0.4155"
"0.4500","0.0127","0.5657"
"0.5000","0.0142","0.7842"
"0.5500","0.0162","0.8145"
"0.6000","0.0177","1.1385"
"0.6500","0.0196","1.2504"
"0.7000","0.0210","1.1708"
"0.7500","0.0229","1.3730"
"0.8000","0.0243","1.4327"
"0.8500","0.0260","1.4135"
"0.9000","0.0279","1.5952"
"0.9500","0.0295","1.7011"
"1.0000","0.0312","1.8559"
"1.0500","0.0326","2.1461"
"1.1000","0.0345","2.3505"
"1.1500","0.0359","2.5208"
"1.2000","0.0378","2.5326"
"1.2500","0.0395","2.0613"
"1.3000","0.0410","2.2393"
"1.3500","0.0428","2.4754"
"1.4000","0.0444","2.3907"
"1.4500","0.0462","2.4475"
"1.5000","0.0476","2.5165"
"1.5500","0.0494","2.6199"
"1.6000","0.0511","2.4364"
"1.6500","0.0527","2.4795"
"1.7000","0.0545","2.6646"
"1.7500","0.0561","2.5052"
"1.8000","0.0579","2.5748"
"1.8500","0.0592","2.3886"
"1.9000","0.0611","2.5827"
"1.9500","0.0628","2.4437"
"2.0000","0.0645","2.4875"
"2.0500","0.0662","2.7113"
"2.1000","0.0677","2.6473"
"2.1500","0.0694","2.5925"
"2.2000","0.0709","2.8167"
"2.2500","0.0729","2.6431"
"2.3000","0.0745","2.7462"
"2.3500","0.0761","2.7575"
"2.4000","0.0777","2.5383"
"2.4500","0.0794","2.6259"
"2.5000","0.0811","2.5736"
"2.5500","0.0826","2.6887"
"2.6000","0.0846","2.8749"
"2.6500","0.0860","2.7413"
"2.7000","0.0878","2.7025"
"2.7500","0.0895","2.6792"
"2.8000","0.0912","2.7429"
"2.8500","0.0928","2.7382"
"2.9000","0.0942","2.5260"
"2.9500","0.0962","2.7382"
"3.0000","0.0977","2.8014"
"3.0500","0.0995","2.6115"
"3.1000","0.1011","2.6788"
"3.1500","0.1028","2.7603"
"3.2000","0.1043","2.7060"
"3.2500","0.1059","2.7850"
"3.3000","0.1079","2.6738"
"3.3500","0.1094","2.6015"
"3.4000","0.1112","2.8233"
"3.4500","0.1127","2.7943"
"3.5000","0.1145","2.6688"
"3.5500","0.1160","2.8620"
"3.6000","0.1177","2.9136"
"3.6500","0.1196","2.8627"
"3.7000","0.1210","2.7589"
"3.7500","0.1228","3.1419"
"3.8000","0.1244","3.2425"
"3.8500","0.1263","3.3385"
"3.9000","0.1277","3.3833"
"3.9500","0.1293","3.3883"
"4.0000","0.1312","3.2091"
"4.0500","0.1327","3.2467"
"4.1000","0.1345","3.2109"
