
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.4343"
"0.1000","0.0009","3.0908"
"0.2000","0.0027","9.8064"
"0.3000","0.0075","27.0975"
"0.4000","0.0110","39.3493"
"0.5000","0.0145","51.5034"
"0.6000","0.0175","61.8236"
"0.7000","0.0210","74.1187"
"0.8000","0.0243","85.5701"
"0.9000","0.0276","96.8463"
"1.0000","0.0312","108.6202"
"1.1000","0.0344","119.2099"
"1.2000","0.0378","130.1730"
"1.3000","0.0409","139.7800"
"1.4000","0.0443","150.2808"
"1.5000","0.0477","160.8359"
"1.6000","0.0509","170.3927"
"1.7000","0.0545","181.5146"
"1.8000","0.0578","191.0803"
"1.9000","0.0612","200.6749"
"2.0000","0.0644","209.4212"
"2.1000","0.0677","218.5811"
"2.2000","0.0709","227.2545"
"2.3000","0.0741","236.0959"
"2.4000","0.0778","246.0710"
"2.5000","0.0811","255.0556"
"2.6000","0.0845","264.2148"
"2.7000","0.0878","272.9305"
"2.8000","0.0910","281.3077"
"2.9000","0.0943","289.9307"
"3.0000","0.0974","298.0257"
"3.1000","0.1011","307.8297"
"3.2000","0.1044","316.0600"
"3.3000","0.1077","324.9706"
"3.4000","0.1112","333.8890"
"3.5000","0.1145","342.0431"
"3.6000","0.1178","350.4165"
"3.7000","0.1209","357.9438"
"3.8000","0.1244","366.7161"
"3.9000","0.1277","374.5125"
"4.0000","0.1309","382.4569"
"4.1000","0.1345","391.5230"
"4.2000","0.1378","399.1950"
"4.3000","0.1412","406.8351"
"4.4000","0.1442","413.7966"
"4.5000","0.1476","421.4204"
"4.6000","0.1510","429.1803"
"4.7000","0.1542","436.1337"
"4.8000","0.1578","444.5292"
"4.9000","0.1612","451.9636"
"5.0000","0.1645","458.9482"
"5.1000","0.1678","465.9683"
"5.2000","0.1710","472.8450"
"5.3000","0.1744","479.6750"
"5.4000","0.1775","486.2166"
"5.5000","0.1811","493.6859"
"5.6000","0.1845","500.7530"
"5.7000","0.1878","507.3225"
"5.8000","0.1911","514.0008"
"5.9000","0.1945","520.4872"
"6.0000","0.1977","526.5694"
"6.1000","0.2008","532.3505"
"6.2000","0.2044","539.5126"
"6.3000","0.2077","546.1036"
"6.4000","0.2111","552.4514"
"6.5000","0.2145","558.8921"
"6.6000","0.2178","564.8726"
"6.7000","0.2212","570.9328"
"6.8000","0.2242","575.8870"
"6.9000","0.2277","582.8036"
"7.0000","0.2310","588.5331"
"7.1000","0.2343","594.2722"
"7.2000","0.2379","600.9006"
"7.3000","0.2412","606.4993"
"7.4000","0.2445","612.3035"
"7.5000","0.2476","617.2051"
"7.6000","0.2510","622.8770"
"7.7000","0.2544","628.7239"
"7.8000","0.2576","633.5991"
"7.9000","0.2612","640.0536"
"8.0000","0.2645","645.3394"
"8.1000","0.2679","651.1005"
"8.2000","0.2710","655.5748"
"8.3000","0.2743","660.7374"
"8.4000","0.2777","666.1331"
"8.5000","0.2808","670.9412"
"8.6000","0.2845","677.0847"
"8.7000","0.2878","682.2424"
"8.8000","0.2911","687.3495"
"8.9000","0.2945","692.3910"
"9.0000","0.2977","697.1237"
"9.1000","0.3011","702.1594"
"9.2000","0.3041","706.3831"
"9.3000","0.3078","712.4260"
"9.4000","0.3111","717.1918"
"9.5000","0.3144","722.5063"
"9.6000","0.3179","727.8451"
"9.7000","0.3212","732.4088"
"9.8000","0.3244","737.1636"
"9.9000","0.3275","741.0754"
"10.0000","0.3310","746.5485"
"10.1000","0.3343","751.0816"
"10.2000","0.3377","755.9309"
"10.3000","0.3412","761.4226"
"10.4000","0.3445","765.5522"
"10.5000","0.3479","770.3680"
"10.6000","0.3510","774.1105"
"10.7000","0.3543","778.7350"
"10.8000","0.3576","782.9229"
"10.9000","0.3609","787.2171"
"11.0000","0.3645","792.2871"
"11.1000","0.3678","796.8130"
"11.2000","0.3711","800.8098"
"11.3000","0.3744","805.3092"
"11.4000","0.3777","809.2667"
"11.5000","0.3810","813.1215"
"11.6000","0.3841","816.4991"
"11.7000","0.3877","821.4520"
"11.8000","0.3911","825.6981"
"11.9000","0.3945","829.6876"
"12.0000","0.3978","833.9471"
"12.1000","0.4011","837.5674"
"12.2000","0.4044","840.9897"
"12.3000","0.4075","844.3586"
"12.4000","0.4110","848.8361"
"12.5000","0.4144","852.6619"
"12.6000","0.4177","856.4750"
"12.7000","0.4212","860.5851"
"12.8000","0.4244","863.9138"
"12.9000","0.4279","868.0226"
"13.0000","0.4308","870.2011"
"13.1000","0.4344","874.5480"
"13.2000","0.4377","877.9109"
"13.3000","0.4409","880.9763"
"13.4000","0.4445","885.4791"
"13.5000","0.4478","888.5076"
"13.6000","0.4512","891.9570"
"13.7000","0.4543","894.5710"
"13.8000","0.4577","898.1544"
"13.9000","0.4610","901.1360"
"14.0000","0.4642","904.2658"
"14.1000","0.4678","908.1396"
"14.2000","0.4712","911.2750"
"14.3000","0.4745","914.6069"
"14.4000","0.4777","916.9717"
"14.5000","0.4810","919.9286"
"14.6000","0.4843","922.9319"
"14.7000","0.4875","925.2353"
"14.8000","0.4911","928.6648"
"14.9000","0.4945","931.8712"
"15.0000","0.4978","935.0349"
"15.1000","0.5011","937.8234"
"15.2000","0.5043","939.9538"
"15.3000","0.5077","942.8974"
"15.4000","0.5108","944.5649"
"15.5000","0.5144","947.8975"
"15.6000","0.5177","950.9107"
"15.7000","0.5211","953.3726"
"15.8000","0.5246","956.4885"
"15.9000","0.5278","958.2330"
"16.0000","0.5311","960.9247"
"16.1000","0.5342","962.4088"
"16.2000","0.5376","964.8718"
"16.3000","0.5410","967.5204"
"16.4000","0.5443","969.8202"
"16.5000","0.5479","972.9263"
"16.6000","0.5512","974.7628"
"16.7000","0.5545","976.7313"
"16.8000","0.5576","977.5033"
"16.9000","0.5611","979.1168"
"17.0000","0.5642","971.9454"
"17.0610","0.5668","-1.3487"

