
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0260"
"0.2500","0.0161","24.0861"
"0.5000","0.0369","92.2177"
"0.7500","0.0578","200.5887"
"1.0000","0.0787","348.9557"
"1.2500","0.0995","505.8490"
"1.5000","0.1203","666.1683"
"1.7500","0.1411","837.5821"
"2.0000","0.1618","1019.1235"
"2.2500","0.1828","1209.9027"
"2.5000","0.2037","1410.5665"
"2.7500","0.2245","1625.1315"
"3.0000","0.2453","1842.3749"
"3.2500","0.2660","2059.4531"
"3.5000","0.2869","2278.6687"
"3.7500","0.3078","2492.1001"
"4.0000","0.3286","2695.2566"
"4.2500","0.3495","2888.7175"
"4.5000","0.3703","3069.1611"
"4.7500","0.3911","3242.1816"
"5.0000","0.4120","3408.1240"
"5.2500","0.4329","3567.0620"
"5.5000","0.4536","3717.9089"
"5.7500","0.4745","3865.2092"
"6.0000","0.4952","4004.8787"
"6.2500","0.5161","4142.7261"
"6.5000","0.5370","4280.1108"
"6.7500","0.5578","4410.0962"
"7.0000","0.5786","4535.8071"
"7.2500","0.5995","4660.3110"
"7.5000","0.6203","4779.5664"
"7.7500","0.6411","4897.1934"
"8.0000","0.6620","5012.5576"
"8.2500","0.6828","5121.5195"
"8.5000","0.7036","5228.4365"
"8.7500","0.7244","5331.5112"
"9.0000","0.7452","5431.7979"
"9.2500","0.7662","5532.7373"
"9.5000","0.7870","5625.9033"
"9.7500","0.8077","5714.2881"
"10.0000","0.8286","5801.6851"
"10.2500","0.8495","5886.1035"
"10.5000","0.8703","5967.0396"
"10.7500","0.8912","6045.4604"
"11.0000","0.9120","6117.3438"
"11.2500","0.9328","6189.0073"
"11.5000","0.9535","6256.3315"
"11.7500","0.9745","6325.4370"
"12.0000","0.9953","6387.0298"
"12.2500","1.0162","6445.7896"
"12.5000","1.0369","6499.1318"
"12.7500","1.0577","6551.2539"
"13.0000","1.0787","6605.9507"
"13.2500","1.0995","6655.6714"
"13.5000","1.1203","6701.4976"
"13.7500","1.1412","6747.8506"
"14.0000","1.1620","6788.3730"
"14.2500","1.1827","6824.2339"
"14.5000","1.2037","6865.4009"
"14.7500","1.2245","6900.3813"
"15.0000","1.2453","6932.8008"
"15.2500","1.2661","6960.2715"
"15.5000","1.2869","6982.5962"
"15.7500","1.3078","7003.9453"
"16.0000","1.3287","7023.7427"
"16.2500","1.3494","7038.5454"
"16.5000","1.3703","7054.4600"
"16.7500","1.3911","7067.5000"
"17.0000","1.4119","7079.9233"
"17.2500","1.4328","7096.7974"
"17.5000","1.4537","7109.4351"
"17.7500","1.4745","7121.0728"
"18.0000","1.4952","7128.7163"
"18.2500","1.5161","7140.0439"
"18.5000","1.5370","7150.1704"
"18.7500","1.5579","7159.4014"
"19.0000","1.5787","7165.0977"
"19.2500","1.5994","7166.8477"
"19.5000","1.6203","7166.5571"
"19.7500","1.6411","7164.3911"
"20.0000","1.6620","7162.1797"
"20.2500","1.6829","7159.6025"
"20.5000","1.7037","7153.7407"
"20.7500","1.7244","7147.4678"
"21.0000","1.7453","7146.3740"
"21.2500","1.7662","7146.9702"
"21.5000","1.7871","7150.9590"
"21.7500","1.8078","7151.8003"
"22.0000","1.8286","7153.6987"
"22.2500","1.8495","7156.7925"
"22.5000","1.8703","7159.5840"
"22.7500","1.8911","7163.7271"
"23.0000","1.9121","7172.0137"
"23.2500","1.9328","7175.6973"
"23.5000","1.9535","7180.0322"
"23.7500","1.9745","7185.8911"
"24.0000","1.9953","7187.9229"
"24.2500","2.0162","7187.9268"
"24.5000","2.0369","7181.9419"
"24.7500","2.0578","7176.6035"
"25.0000","2.0786","7170.8472"
"25.2500","2.0995","7168.0039"
"25.5000","2.1204","7166.0215"
"25.7500","2.1411","7159.5659"
"26.0000","2.1620","7155.1865"
"26.2500","2.1827","7145.7183"
"26.5000","2.2036","7140.2026"
"26.7500","2.2246","7135.5269"
"27.0000","2.2453","7122.5024"
"27.2500","2.2661","7108.5869"
"27.5000","2.2870","7092.8789"
"27.7500","2.3078","7071.5366"
"28.0000","2.3286","7048.5400"
"28.2500","2.3495","7021.8882"
"28.5000","2.3703","6992.2173"
"28.7500","2.3911","6966.5396"
"29.0000","2.4119","6937.0220"
"29.2500","2.4327","6904.0381"
