
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0224"
"0.2500","0.0151","35.4572"
"0.5000","0.0361","106.6203"
"0.7500","0.0569","176.2622"
"1.0000","0.0776","239.4956"
"1.2500","0.0986","310.3151"
"1.5000","0.1194","385.5801"
"1.7500","0.1402","460.8008"
"2.0000","0.1610","537.9969"
"2.2500","0.1818","619.1631"
"2.5000","0.2026","704.8458"
"2.7500","0.2236","793.7462"
"3.0000","0.2444","885.9326"
"3.2500","0.2652","982.4411"
"3.5000","0.2860","1080.4130"
"3.7500","0.3068","1178.9821"
"4.0000","0.3277","1279.1173"
"4.2500","0.3486","1382.9089"
"4.5000","0.3694","1484.9667"
"4.7500","0.3901","1590.3909"
"5.0000","0.4110","1698.9369"
"5.2500","0.4319","1810.1918"
"5.5000","0.4527","1924.9465"
"5.7500","0.4736","2043.1189"
"6.0000","0.4944","2161.6836"
"6.2500","0.5151","2280.8916"
"6.5000","0.5360","2405.2319"
"6.7500","0.5569","2532.7253"
"7.0000","0.5777","2661.2605"
"7.2500","0.5986","2791.1655"
"7.5000","0.6193","2918.2429"
"7.7500","0.6401","3046.7051"
"8.0000","0.6611","3179.0339"
"8.2500","0.6819","3310.6189"
"8.5000","0.7027","3447.6782"
"8.7500","0.7235","3585.4253"
"9.0000","0.7443","3725.0432"
"9.2500","0.7652","3868.1836"
"9.5000","0.7861","4013.2280"
"9.7500","0.8069","4154.8545"
"10.0000","0.8277","4294.4653"
"10.2500","0.8485","4433.3105"
"10.5000","0.8693","4570.7310"
"10.7500","0.8902","4707.9805"
"11.0000","0.9111","4842.0947"
"11.2500","0.9318","4972.9648"
"11.5000","0.9527","5103.8301"
"11.7500","0.9735","5230.0083"
"12.0000","0.9943","5353.8496"
"12.2500","1.0153","5478.8076"
"12.5000","1.0361","5597.4019"
"12.7500","1.0569","5714.6499"
"13.0000","1.0777","5826.8774"
"13.2500","1.0985","5939.5308"
"13.5000","1.1194","6050.4971"
"13.7500","1.1402","6156.4238"
"14.0000","1.1610","6258.9458"
"14.2500","1.1818","6361.0747"
"14.5000","1.2027","6458.1821"
"14.7500","1.2235","6555.1304"
"15.0000","1.2444","6651.3188"
"15.2500","1.2652","6740.8794"
"15.5000","1.2860","6828.6128"
"15.7500","1.3068","6913.0601"
"16.0000","1.3277","6997.9248"
"16.2500","1.3486","7080.5430"
"16.5000","1.3694","7157.7505"
"16.7500","1.3903","7232.3555"
"17.0000","1.4110","7303.4771"
"17.2500","1.4318","7373.5063"
"17.5000","1.4527","7442.5215"
"17.7500","1.4736","7509.4761"
"18.0000","1.4945","7574.8643"
"18.2500","1.5152","7633.5615"
"18.5000","1.5359","7690.6748"
"18.7500","1.5569","7751.2114"
"19.0000","1.5778","7807.1333"
"19.2500","1.5985","7859.6621"
"19.5000","1.6194","7911.1362"
"19.7500","1.6402","7959.7666"
"20.0000","1.6610","8008.2329"
"20.2500","1.6819","8056.5303"
"20.5000","1.7027","8099.4570"
"20.7500","1.7236","8145.6133"
"21.0000","1.7444","8186.1948"
"21.2500","1.7651","8223.9385"
"21.5000","1.7861","8266.6289"
"21.7500","1.8070","8305.6357"
"22.0000","1.8277","8340.2490"
"22.2500","1.8485","8375.1982"
"22.5000","1.8693","8408.8320"
"22.7500","1.8902","8441.9092"
"23.0000","1.9111","8475.4922"
"23.2500","1.9319","8505.0215"
"23.5000","1.9527","8535.6201"
"23.7500","1.9735","8563.5996"
"24.0000","1.9944","8592.8994"
"24.2500","2.0152","8620.4023"
"24.5000","2.0361","8650.0830"
"24.7500","2.0569","8672.5029"
"25.0000","2.0776","8695.2275"
"25.2500","2.0985","8721.0205"
"25.5000","2.1194","8744.8525"
"25.7500","2.1402","8767.0322"
"26.0000","2.1611","8791.2129"
"26.2500","2.1819","8810.3311"
"26.5000","2.2026","8828.0654"
"26.7500","2.2235","8850.6436"
"27.0000","2.2444","8870.6631"
"27.2500","2.2652","8891.5781"
"27.5000","2.2861","8910.0430"
"27.7500","2.3068","8925.8730"
"28.0000","2.3277","8946.3037"
"28.2500","2.3486","8965.0195"
"28.5000","2.3694","8982.0713"
"28.7500","2.3902","9000.4980"
"29.0000","2.4111","9016.4521"
"29.2500","2.4318","9031.2939"
"29.5000","2.4526","9048.1172"
"29.7500","2.4736","9067.3750"
"30.0000","2.4944","9082.5264"
"30.2500","2.5152","9096.8076"
"30.5000","2.5360","9111.8525"
"30.7500","2.5568","9125.5898"
"31.0000","2.5778","9142.4424"
"31.2500","2.5986","9157.1699"
"31.5000","2.6193","9169.3281"
"31.7500","2.6402","9184.3145"
"32.0000","2.6610","9196.7676"
"32.2500","2.6818","9209.5918"
"32.5000","2.7028","9226.8350"
"32.7500","2.7236","9239.3037"
"33.0000","2.7444","9251.0215"
"33.2500","2.7652","9261.6074"
"33.5000","2.7860","9274.1660"
"33.7500","2.8069","9289.5684"
"34.0000","2.8278","9301.1797"
"34.2500","2.8485","9310.5752"
"34.5000","2.8693","9321.6006"
"34.7500","2.8902","9332.1094"
"35.0000","2.9110","9343.0850"
"35.2500","2.9320","9357.6172"
"35.5000","2.9527","9365.4375"
"35.7500","2.9735","9375.6562"
