
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1638"
"0.0500","0.0001","-0.1044"
"0.1000","0.0007","0.0081"
"0.1500","0.0010","-0.1356"
"0.2000","0.0027","0.0556"
"0.2500","0.0053","0.1851"
"0.3000","0.0075","-0.0274"
"0.3500","0.0092","0.0929"
"0.4000","0.0109","0.0801"
"0.4500","0.0125","0.0006"
"0.5000","0.0143","-0.1652"
"0.5500","0.0156","0.0455"
"0.6000","0.0177","-0.0772"
"0.6500","0.0192","-0.0257"
"0.7000","0.0209","-0.0419"
"0.7500","0.0226","-0.0636"
"0.8000","0.0243","0.1294"
"0.8500","0.0260","-0.0320"
"0.9000","0.0273","-0.1214"
"0.9500","0.0294","-0.0589"
"1.0000","0.0309","-0.1819"
"1.0500","0.0327","0.1992"
"1.1000","0.0342","-0.0047"
"1.1500","0.0359","0.1107"
"1.2000","0.0375","0.1416"
"1.2500","0.0390","0.0234"
"1.3000","0.0411","-0.0182"
"1.3500","0.0426","0.0387"
"1.4000","0.0444","0.0137"
"1.4500","0.0458","0.1395"
"1.5000","0.0476","-0.0478"
"1.5500","0.0491","0.0882"
"1.6000","0.0508","0.0968"
"1.6500","0.0527","-0.0088"
"1.7000","0.0541","0.0933"
"1.7500","0.0560","0.0396"
"1.8000","0.0575","0.1517"
"1.8500","0.0594","0.0258"
"1.9000","0.0608","-0.0754"
"1.9500","0.0624","-0.0187"
"2.0000","0.0643","-0.0220"
"2.0500","0.0658","0.1588"
"2.1000","0.0677","0.0682"
"2.1500","0.0692","-0.0575"
"2.2000","0.0710","0.0195"
"2.2500","0.0724","0.0101"
"2.3000","0.0742","0.0585"
"2.3500","0.0760","0.0757"
"2.4000","0.0775","0.1211"
"2.4500","0.0794","0.0219"
"2.5000","0.0808","0.0100"
"2.5500","0.0826","-0.0126"
"2.6000","0.0840","0.1119"
"2.6500","0.0859","-0.0813"
"2.7000","0.0877","0.1043"
"2.7500","0.0892","0.0401"
"2.8000","0.0910","0.2621"
"2.8500","0.0925","0.3580"
"2.9000","0.0944","-0.0352"
"2.9500","0.0957","-0.0227"
"3.0000","0.0976","0.0200"
"3.0500","0.0993","0.1419"
"3.1000","0.1009","0.1787"
"3.1500","0.1026","0.1940"
"3.2000","0.1043","0.0575"
"3.2500","0.1060","0.2009"
"3.3000","0.1073","0.1444"
"3.3500","0.1093","0.0784"
"3.4000","0.1109","0.0095"
"3.4500","0.1126","-0.0438"
"3.5000","0.1143","-0.0665"
"3.5500","0.1159","0.1135"
"3.6000","0.1176","0.0817"
"3.6500","0.1190","-0.0635"
"3.7000","0.1210","0.1819"
"3.7500","0.1226","-0.0056"
"3.8000","0.1242","0.0553"
"3.8500","0.1259","0.1587"
"3.9000","0.1275","0.0823"
"3.9500","0.1292","0.0700"
"4.0000","0.1307","0.2050"
"4.0500","0.1327","0.2268"
"4.1000","0.1342","0.1067"
"4.1500","0.1359","0.1037"
"4.2000","0.1375","0.1142"
"4.2500","0.1393","0.0264"
"4.3000","0.1409","0.1386"
"4.3500","0.1423","0.0823"
"4.4000","0.1443","0.1154"
"4.4500","0.1459","0.0271"
"4.5000","0.1476","0.1926"
"4.5500","0.1492","0.1448"
"4.6000","0.1510","-0.2276"
"4.6500","0.1525","0.1380"
"4.7000","0.1540","0.0291"
"4.7500","0.1560","0.0035"
"4.8000","0.1576","-0.1323"
"4.8500","0.1593","0.0083"
"4.9000","0.1608","0.0867"
"4.9500","0.1627","0.0660"
"5.0000","0.1641","0.1412"
"5.0500","0.1658","0.2241"
"5.1000","0.1677","0.1763"
"5.1500","0.1691","0.0851"
"5.2000","0.1710","0.1441"
"5.2500","0.1725","0.0486"
"5.3000","0.1744","0.2079"
"5.3500","0.1758","0.1491"
"5.4000","0.1775","0.1990"
"5.4500","0.1793","-0.0979"
"5.5000","0.1808","-0.0770"
"5.5500","0.1826","0.0578"
"5.6000","0.1842","0.0028"
"5.6500","0.1860","0.2724"
"5.7000","0.1873","0.0138"
"5.7500","0.1892","-0.0027"
"5.8000","0.1910","0.0189"
"5.8500","0.1925","0.0892"
"5.9000","0.1943","0.2036"
"5.9500","0.1958","0.1104"
"6.0000","0.1977","0.2308"
"6.0500","0.1990","0.2177"
"6.1000","0.2009","0.1099"
"6.1500","0.2026","0.0297"
"6.2000","0.2041","0.2004"
"6.2500","0.2060","0.1814"
"6.3000","0.2075","0.0413"
"6.3500","0.2093","0.1521"
"6.4000","0.2106","0.0992"
"6.4500","0.2126","0.2053"
"6.5000","0.2143","0.2378"
"6.5500","0.2159","0.0312"
"6.6000","0.2176","0.2311"
"6.6500","0.2192","-0.0167"
"6.7000","0.2210","-0.0098"
"6.7500","0.2223","0.1837"
"6.8000","0.2244","0.1209"
"6.8500","0.2260","-0.0110"
"6.9000","0.2276","0.0841"
"6.9500","0.2292","0.0088"
"7.0000","0.2309","0.1046"
"7.0500","0.2326","0.1254"
"7.1000","0.2340","0.0015"
"7.1500","0.2360","0.1186"
"7.2000","0.2376","0.1475"
"7.2500","0.2394","0.1391"
"7.3000","0.2408","0.1310"
"7.3500","0.2426","0.2163"
"7.4000","0.2442","-0.0523"
"7.4500","0.2456","0.1099"
"7.5000","0.2477","0.3421"
"7.5500","0.2492","0.1292"
"7.6000","0.2510","0.0856"
"7.6500","0.2525","0.0862"
"7.7000","0.2543","0.0708"
"7.7500","0.2558","0.0997"
"7.8000","0.2574","0.0023"
"7.8500","0.2594","0.1496"
"7.9000","0.2609","-0.0555"
"7.9500","0.2627","0.2149"
"8.0000","0.2641","0.0653"
"8.0500","0.2660","0.0860"
"8.1000","0.2675","-0.0012"
"8.1500","0.2691","0.3159"
"8.2000","0.2710","0.2086"
"8.2500","0.2725","0.0302"
"8.3000","0.2744","0.3003"
"8.3500","0.2758","0.1174"
"8.4000","0.2777","0.2026"
"8.4500","0.2791","0.1467"
"8.5000","0.2809","0.1982"
"8.5500","0.2827","0.3075"
"8.6000","0.2842","0.2826"
"8.6500","0.2860","0.0458"
"8.7000","0.2875","0.0126"
"8.7500","0.2893","0.1796"
"8.8000","0.2907","0.1777"
"8.8500","0.2926","0.0094"
"8.9000","0.2943","0.1437"
"8.9500","0.2959","-0.0178"
"9.0000","0.2977","0.1136"
"9.0500","0.2992","0.1490"
"9.1000","0.3010","0.1946"
"9.1500","0.3023","0.0405"
"9.2000","0.3042","0.1371"
"9.2500","0.3059","0.0624"
"9.3000","0.3075","0.1888"
"9.3500","0.3093","0.1605"
"9.4000","0.3109","0.0633"
"9.4500","0.3126","0.0565"
"9.5000","0.3140","0.0457"
"9.5500","0.3160","0.0806"
"9.6000","0.3175","-0.0563"
"9.6500","0.3193","0.2198"
"9.7000","0.3210","0.2141"
"9.7500","0.3225","0.2380"
"9.8000","0.3242","0.2773"
"9.8500","0.3257","0.0030"
"9.9000","0.3277","0.1946"
"9.9500","0.3292","-0.0546"
"10.0000","0.3309","0.0958"
"10.0500","0.3325","0.1947"
"10.1000","0.3342","0.2180"
