
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.5871"
"0.1000","0.0006","2.9896"
"0.2000","0.0020","7.3770"
"0.3000","0.0070","22.8419"
"0.4000","0.0103","33.1192"
"0.5000","0.0137","43.1188"
"0.6000","0.0173","53.7439"
"0.7000","0.0205","63.3218"
"0.8000","0.0239","73.1427"
"0.9000","0.0270","82.1982"
"1.0000","0.0304","92.0484"
"1.1000","0.0337","101.2424"
"1.2000","0.0370","110.4204"
"1.3000","0.0406","120.4472"
"1.4000","0.0439","129.6385"
"1.5000","0.0473","138.8078"
"1.6000","0.0505","147.1602"
"1.7000","0.0538","154.3051"
"1.8000","0.0571","161.4158"
"1.9000","0.0602","167.8851"
"2.0000","0.0638","175.4500"
"2.1000","0.0672","182.3003"
"2.2000","0.0705","188.8145"
"2.3000","0.0739","195.2099"
"2.4000","0.0771","200.9811"
"2.5000","0.0805","205.0881"
"2.6000","0.0836","208.4679"
"2.7000","0.0871","214.8979"
"2.8000","0.0905","216.1284"
"2.9000","0.0937","216.2024"
"3.0000","0.0973","216.4149"
"3.1000","0.1005","216.6053"
"3.2000","0.1039","216.3841"
"3.3000","0.1070","216.4605"
"3.4000","0.1104","216.5208"
"3.5000","0.1138","216.5909"
"3.6000","0.1170","216.3513"
"3.7000","0.1206","216.4193"
"3.8000","0.1239","216.4319"
"3.9000","0.1272","216.7169"
"4.0000","0.1303","216.4270"
"4.1000","0.1337","216.4004"
"4.2000","0.1371","216.2974"
"4.3000","0.1403","216.3143"
"4.4000","0.1439","216.1723"
"4.5000","0.1472","216.2689"
"4.6000","0.1506","216.2017"
"4.7000","0.1538","216.2807"
"4.8000","0.1571","216.1581"
"4.9000","0.1605","216.2506"
"5.0000","0.1636","216.2237"
"5.1000","0.1672","216.1195"
"5.2000","0.1705","216.1677"
"5.3000","0.1739","215.9210"
"5.4000","0.1773","216.1665"
"5.5000","0.1804","216.0961"
"5.6000","0.1838","216.2232"
"5.7000","0.1869","216.1997"
"5.8000","0.1904","216.0358"
"5.9000","0.1938","216.0860"
"6.0000","0.1971","216.0551"
"6.1000","0.2006","216.1116"
"6.2000","0.2038","216.2390"
"6.3000","0.2072","216.0510"
"6.4000","0.2103","216.0941"
"6.5000","0.2137","216.0752"
"6.6000","0.2171","215.8190"
"6.7000","0.2204","215.8633"
"6.8000","0.2240","215.9883"
"6.9000","0.2272","216.0897"
"7.0000","0.2307","216.0216"
"7.1000","0.2337","215.9122"
"7.2000","0.2371","215.8593"
"7.3000","0.2404","215.7732"
"7.4000","0.2436","215.8107"
"7.5000","0.2473","215.8098"
"7.6000","0.2506","215.8310"
"7.7000","0.2539","215.7042"
"7.8000","0.2572","215.9599"
"7.9000","0.2604","216.0864"
"8.0000","0.2637","216.0040"
"8.1000","0.2669","216.4155"
"8.2000","0.2705","216.5031"
"8.3000","0.2738","216.3040"
"8.4000","0.2772","216.5073"
"8.5000","0.2806","216.4380"
"8.6000","0.2839","216.5868"
"8.7000","0.2872","216.5602"
"8.8000","0.2902","216.5351"
"8.9000","0.2938","216.7456"
"9.0000","0.2971","216.4949"
"9.1000","0.3004","216.3848"
"9.2000","0.3040","216.6208"
"9.3000","0.3072","216.5307"
"9.4000","0.3106","216.5728"
"9.5000","0.3136","216.4733"
"9.6000","0.3170","216.4300"
"9.7000","0.3204","216.6869"
"9.8000","0.3236","216.5312"
"9.9000","0.3272","216.4886"
"10.0000","0.3306","216.4752"
"10.1000","0.3339","216.5629"
"10.2000","0.3371","216.4192"
"10.3000","0.3404","216.4405"
"10.4000","0.3438","216.4028"
"10.5000","0.3470","216.4454"
"10.6000","0.3505","216.8806"
"10.7000","0.3539","216.7217"
"10.8000","0.3573","216.5586"
"10.9000","0.3605","216.5136"
"11.0000","0.3638","216.5814"
"11.1000","0.3671","216.6472"
"11.2000","0.3702","216.3802"
"11.3000","0.3739","216.4058"
"11.4000","0.3772","216.3616"
"11.5000","0.3805","216.4894"
"11.6000","0.3839","216.5275"
"11.7000","0.3871","216.3844"
"11.8000","0.3905","216.4089"
"11.9000","0.3936","216.4647"
"12.0000","0.3972","216.3928"
"12.1000","0.4005","216.4737"
"12.2000","0.4038","216.2717"
"12.3000","0.4073","216.5346"
"12.4000","0.4106","216.2581"
"12.5000","0.4139","216.5132"
"12.6000","0.4170","216.6404"
"12.7000","0.4204","216.5666"
"12.8000","0.4238","216.8596"
"12.9000","0.4270","216.9884"
"13.0000","0.4306","217.3056"
"13.1000","0.4339","218.0642"
"13.2000","0.4373","219.8718"
"13.3000","0.4403","223.6441"
"13.4000","0.4437","229.0023"
"13.5000","0.4471","235.7911"
"13.6000","0.4503","242.6889"
"13.7000","0.4539","251.5817"
"13.8000","0.4573","258.7943"
"13.9000","0.4606","266.5061"
"14.0000","0.4639","274.0808"
"14.1000","0.4671","281.3659"
"14.2000","0.4705","288.9926"
"14.3000","0.4735","296.2613"
"14.4000","0.4772","304.8135"
"14.5000","0.4805","312.8653"
"14.6000","0.4839","321.0918"
"14.7000","0.4872","329.2877"
"14.8000","0.4906","337.5576"
"14.9000","0.4938","345.5233"
"15.0000","0.4969","353.2979"
"15.1000","0.5004","362.1119"
"15.2000","0.5037","370.2840"
"15.3000","0.5071","378.8619"
"15.4000","0.5107","387.4478"
"15.5000","0.5139","395.2954"
"15.6000","0.5173","403.4666"
"15.7000","0.5203","410.5108"
"15.8000","0.5237","419.0326"
"15.9000","0.5270","426.6917"
"16.0000","0.5303","434.6922"
"16.1000","0.5340","443.2315"
"16.2000","0.5373","450.9920"
"16.3000","0.5406","458.4247"
"16.4000","0.5438","465.8168"
"16.5000","0.5471","473.1010"
"16.6000","0.5504","480.6437"
"16.7000","0.5536","487.3933"
"16.8000","0.5572","495.4751"
"16.9000","0.5606","503.1442"
"17.0000","0.5639","510.4122"
