
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.2157"
"0.2500","0.0162","15.6901"
"0.5000","0.0369","46.5971"
"0.7500","0.0578","116.9779"
"1.0000","0.0786","242.2938"
"1.2500","0.0994","408.6982"
"1.5000","0.1203","583.9606"
"1.7500","0.1412","764.7294"
"2.0000","0.1620","952.5217"
"2.2500","0.1827","1151.5757"
"2.5000","0.2036","1380.1753"
"2.7500","0.2245","1612.7860"
"3.0000","0.2454","1839.5385"
"3.2500","0.2662","2050.3574"
"3.5000","0.2869","2252.9053"
"3.7500","0.3078","2448.3564"
"4.0000","0.3286","2632.8125"
"4.2500","0.3495","2807.5059"
"4.5000","0.3704","2973.3589"
"4.7500","0.3912","3126.9397"
"5.0000","0.4119","3271.4255"
"5.2500","0.4328","3413.4639"
"5.5000","0.4537","3552.1462"
"5.7500","0.4745","3685.2046"
"6.0000","0.4953","3811.9424"
"6.2500","0.5161","3935.0959"
"6.5000","0.5369","4056.9399"
"6.7500","0.5578","4175.5063"
"7.0000","0.5786","4291.5361"
"7.2500","0.5995","4405.6919"
"7.5000","0.6203","4513.5459"
"7.7500","0.6410","4618.3994"
"8.0000","0.6619","4723.1387"
"8.2500","0.6828","4824.9854"
"8.5000","0.7037","4924.1304"
"8.7500","0.7245","5017.8262"
"9.0000","0.7453","5109.7148"
"9.2500","0.7661","5198.4976"
"9.5000","0.7870","5286.2725"
"9.7500","0.8079","5370.5796"
"10.0000","0.8286","5450.1323"
"10.2500","0.8495","5527.6792"
"10.5000","0.8702","5600.5234"
"10.7500","0.8911","5673.0728"
"11.0000","0.9121","5745.7715"
"11.2500","0.9329","5811.1724"
"11.5000","0.9536","5873.7124"
"11.7500","0.9745","5935.0176"
"12.0000","0.9953","5992.7490"
"12.2500","1.0161","6050.3657"
"12.5000","1.0371","6105.6191"
"12.7500","1.0578","6154.9863"
"13.0000","1.0786","6204.8042"
"13.2500","1.0995","6250.6973"
"13.5000","1.1203","6294.2236"
"13.7500","1.1412","6341.0161"
"14.0000","1.1620","6381.2598"
"14.2500","1.1827","6418.4888"
"14.5000","1.2036","6455.8843"
"14.7500","1.2244","6491.0366"
"15.0000","1.2453","6525.6553"
"15.2500","1.2662","6557.9385"
"15.5000","1.2870","6586.9951"
"15.7500","1.3077","6613.6440"
"16.0000","1.3286","6636.9727"
"16.2500","1.3495","6664.2612"
"16.5000","1.3703","6689.1118"
"16.7500","1.3912","6712.7979"
"17.0000","1.4120","6733.9951"
"17.2500","1.4327","6749.8623"
"17.5000","1.4536","6770.4507"
"17.7500","1.4746","6789.9004"
"18.0000","1.4953","6804.9409"
"18.2500","1.5162","6822.6919"
"18.5000","1.5370","6835.1113"
"18.7500","1.5577","6845.9800"
"19.0000","1.5787","6860.0708"
"19.2500","1.5996","6873.2896"
"19.5000","1.6203","6882.9009"
"19.7500","1.6411","6892.5098"
"20.0000","1.6619","6900.4556"
"20.2500","1.6828","6911.6274"
"20.5000","1.7037","6922.3242"
"20.7500","1.7245","6929.3296"
"21.0000","1.7453","6936.7236"
"21.2500","1.7661","6942.6572"
"21.5000","1.7869","6948.3750"
"21.7500","1.8078","6954.7715"
"22.0000","1.8287","6960.6489"
"22.2500","1.8495","6964.9033"
"22.5000","1.8703","6966.9404"
"22.7500","1.8911","6971.1709"
"23.0000","1.9120","6974.5527"
"23.2500","1.9329","6979.2188"
"23.5000","1.9537","6980.9316"
"23.7500","1.9745","6983.2256"
"24.0000","1.9953","6984.8433"
"24.2500","2.0161","6986.3521"
"24.5000","2.0370","6989.0635"
"24.7500","2.0579","6992.5562"
"25.0000","2.0787","6991.3657"
"25.2500","2.0994","6989.2607"
"25.5000","2.1203","6986.9727"
"25.7500","2.1412","6984.4326"
"26.0000","2.1620","6981.3965"
"26.2500","2.1829","6976.5879"
"26.5000","2.2036","6970.6040"
"26.7500","2.2244","6966.2378"
"27.0000","2.2453","6962.7910"
"27.2500","2.2662","6961.9224"
"27.5000","2.2870","6961.3716"
"27.7500","2.3078","6958.5537"
"28.0000","2.3286","6955.9985"
"28.2500","2.3494","6956.9194"
"28.5000","2.3704","6957.8975"
"28.7500","2.3912","6959.6162"
"29.0000","2.4120","6959.3394"
"29.2500","2.4328","6958.9468"
"29.5000","2.4536","6960.2051"
"29.7500","2.4745","6962.6665"
"30.0000","2.4954","6965.5635"
"30.2500","2.5161","6967.6602"
"30.5000","2.5370","6970.9639"
"30.7500","2.5577","6969.6562"
"31.0000","2.5786","6973.0625"
"31.2500","2.5996","6977.6968"
"31.5000","2.6203","6979.1235"
"31.7500","2.6411","6979.2598"
"32.0000","2.6620","6982.0210"
"32.2500","2.6828","6982.3345"
"32.5000","2.7036","6983.1587"
"32.7500","2.7246","6984.4268"
"33.0000","2.7453","6981.2031"
"33.2500","2.7661","6980.0986"
"33.5000","2.7870","6976.9360"
"33.7500","2.8077","6971.7891"
"34.0000","2.8287","6970.3115"
"34.2500","2.8496","6963.6240"
"34.5000","2.8702","6951.5942"
"34.7500","2.8911","6938.6841"
"35.0000","2.9120","6926.1924"
"35.2500","2.9328","6916.8179"
"35.5000","2.9537","6907.4111"
"35.7500","2.9745","6898.3325"
"36.0000","2.9953","6885.3335"
"36.2500","3.0160","6873.2881"
"36.5000","3.0371","6868.0132"
"36.7500","3.0578","6856.4199"
"37.0000","3.0787","6849.1035"
"37.2500","3.0995","6839.0186"
"37.5000","3.1202","6826.4604"
"37.7500","3.1412","6818.4556"
"38.0000","3.1620","6807.5391"
"38.2500","3.1828","6794.2856"
"38.5000","3.2037","6785.1021"
"38.7500","3.2244","6768.9531"
"39.0000","3.2452","6751.7227"
"39.2500","3.2662","6736.7402"
"39.5000","3.2871","6718.0312"
"39.7500","3.3078","6695.8003"
"40.0000","3.3287","6672.2871"
"40.2500","3.3494","6639.9692"
"40.5000","3.3703","6607.1206"
"40.7500","3.3912","6568.7617"
"41.0000","3.4120","6526.6660"
"41.2500","3.4328","6487.5439"
"41.5000","3.4536","6450.3799"
"41.7500","3.4744","6419.3936"
"42.0000","3.4953","6394.5928"
"42.2500","3.5162","6374.3730"
"42.5000","3.5370","6356.7495"
"42.7500","3.5578","6342.6138"
"43.0000","3.5786","6331.9609"
"43.2500","3.5995","6326.3433"
"43.5000","3.6204","6323.1357"
"43.7500","3.6412","6316.3213"
"44.0000","3.6619","6314.5024"
"44.2500","3.6828","6312.3149"
"44.5000","3.7036","6304.7202"
"44.7500","3.7245","6296.3037"
"45.0000","3.7454","6284.8604"
"45.2500","3.7662","6264.9868"
"45.5000","3.7869","6240.0718"
"45.7500","3.8078","6208.6948"
"46.0000","3.8287","6153.8784"
"46.2500","3.8496","6102.8369"
"46.5000","3.8703","6061.5103"
"46.7500","3.8911","6021.6626"
"47.0000","3.9120","5981.3467"
"47.2500","3.9328","5938.2749"
"47.5000","3.9537","5894.5308"
"47.7500","3.9746","5854.5991"
"48.0000","3.9953","5818.7788"
"48.2500","4.0161","5790.2485"
"48.5000","4.0370","5767.0439"
"48.7500","4.0579","5733.3452"
"49.0000","4.0787","5697.3735"
"49.2500","4.0995","5669.6060"
"49.5000","4.1203","5650.1250"
"49.7500","4.1411","5642.0503"
"50.0000","4.1620","5640.8398"
"50.2500","4.1829","5640.8374"
"50.5000","4.2036","5637.7002"
"50.7500","4.2245","5634.2817"
"51.0000","4.2452","5622.4565"
"51.2500","4.2661","5612.4897"
"51.5000","4.2871","5601.2471"
"51.7500","4.3079","5587.2856"
"52.0000","4.3286","5564.5596"
"52.2500","4.3495","5535.2051"
"52.5000","4.3703","5508.8760"
"52.7500","4.3911","5500.1499"
"53.0000","4.4121","5500.0171"
"53.2500","4.4328","5497.4297"
"53.5000","4.4536","5500.5269"
"53.7500","4.4744","5493.2622"
"54.0000","4.4953","5487.0806"
"54.2500","4.5162","5480.5640"
"54.5000","4.5371","5468.2139"
"54.7500","4.5577","5443.7661"
"55.0000","4.5786","5423.6748"
"55.2500","4.5995","5410.8154"
"55.5000","4.6203","5398.0698"
