
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1153"
"0.0500","0.0001","-0.0957"
"0.1000","0.0008","0.4335"
"0.1500","0.0011","0.5211"
"0.2000","0.0027","1.2755"
"0.2500","0.0059","3.2321"
"0.3000","0.0078","4.1888"
"0.3500","0.0094","5.2654"
"0.4000","0.0111","6.3755"
"0.4500","0.0128","7.5544"
"0.5000","0.0143","8.4018"
"0.5500","0.0162","9.6121"
"0.6000","0.0177","10.6639"
"0.6500","0.0194","11.6526"
"0.7000","0.0212","12.8996"
"0.7500","0.0229","14.3854"
"0.8000","0.0244","15.5673"
"0.8500","0.0259","16.3767"
"0.9000","0.0279","17.9466"
"0.9500","0.0295","19.3924"
"1.0000","0.0312","20.8296"
"1.0500","0.0328","22.0632"
"1.1000","0.0345","23.4745"
"1.1500","0.0360","24.8484"
"1.2000","0.0376","25.8995"
"1.2500","0.0396","27.8949"
"1.3000","0.0411","29.2964"
"1.3500","0.0428","30.7159"
"1.4000","0.0444","32.0188"
"1.4500","0.0462","33.8026"
"1.5000","0.0477","35.2853"
"1.5500","0.0494","36.5073"
"1.6000","0.0512","38.3901"
"1.6500","0.0527","39.7396"
"1.7000","0.0545","41.5613"
"1.7500","0.0561","43.1018"
"1.8000","0.0580","44.7327"
"1.8500","0.0593","46.0349"
"1.9000","0.0610","47.8616"
"1.9500","0.0629","49.9210"
"2.0000","0.0644","51.3687"
"2.0500","0.0662","53.3462"
"2.1000","0.0677","54.8950"
"2.1500","0.0696","56.9534"
"2.2000","0.0709","58.2785"
"2.2500","0.0727","60.2827"
"2.3000","0.0746","62.3815"
"2.3500","0.0761","63.9878"
"2.4000","0.0779","66.0764"
"2.4500","0.0794","67.9452"
"2.5000","0.0813","70.0166"
"2.5500","0.0826","71.4547"
"2.6000","0.0845","73.6170"
"2.6500","0.0862","75.6835"
"2.7000","0.0877","77.4251"
"2.7500","0.0895","79.7160"
"2.8000","0.0911","81.4588"
"2.8500","0.0929","83.5851"
"2.9000","0.0942","84.9943"
"2.9500","0.0962","87.6080"
"3.0000","0.0978","89.6885"
"3.0500","0.0994","91.3292"
"3.1000","0.1012","93.8469"
"3.1500","0.1028","95.7673"
"3.2000","0.1046","97.9497"
"3.2500","0.1058","99.3436"
"3.3000","0.1079","101.9359"
"3.3500","0.1095","104.0702"
"3.4000","0.1111","106.0539"
"3.4500","0.1128","108.0443"
"3.5000","0.1145","110.0112"
"3.5500","0.1162","112.3246"
"3.6000","0.1175","114.0534"
"3.6500","0.1196","116.7608"
"3.7000","0.1211","118.4012"
"3.7500","0.1228","120.6677"
"3.8000","0.1245","122.9352"
"3.8500","0.1262","124.9129"
"3.9000","0.1278","127.0754"
"3.9500","0.1293","128.9813"
"4.0000","0.1313","131.6720"
"4.0500","0.1327","133.1139"
"4.1000","0.1345","135.7168"
"4.1500","0.1361","137.6419"
"4.2000","0.1379","140.0832"
"4.2500","0.1394","141.8790"
"4.3000","0.1409","143.7192"
"4.3500","0.1430","146.6045"
"4.4000","0.1444","148.2393"
"4.4500","0.1463","150.8860"
"4.5000","0.1477","152.7092"
"4.5500","0.1496","155.1393"
"4.6000","0.1510","156.9300"
"4.6500","0.1526","159.0389"
"4.7000","0.1546","161.5571"
"4.7500","0.1561","163.5283"
"4.8000","0.1579","165.5240"
"4.8500","0.1593","167.3717"
"4.9000","0.1612","169.9713"
"4.9500","0.1626","171.6476"
"5.0000","0.1644","173.8750"
"5.0500","0.1663","176.3894"
"5.1000","0.1677","178.1997"
"5.1500","0.1695","180.6425"
"5.2000","0.1710","182.2798"
"5.2500","0.1729","185.0523"
"5.3000","0.1743","186.6559"
"5.3500","0.1761","188.7990"
"5.4000","0.1779","191.1971"
"5.4500","0.1794","193.0731"
"5.5000","0.1812","195.4726"
"5.5500","0.1827","197.2919"
"5.6000","0.1846","199.6169"
"5.6500","0.1859","201.0905"
"5.7000","0.1878","203.8041"
"5.7500","0.1895","205.7809"
"5.8000","0.1912","207.7209"
"5.8500","0.1929","209.9842"
"5.9000","0.1944","211.8973"
"5.9500","0.1963","214.1520"
"6.0000","0.1976","215.5895"
"6.0500","0.1996","218.3035"
"6.1000","0.2011","220.0896"
"6.1500","0.2028","222.2156"
"6.2000","0.2045","224.1319"
"6.2500","0.2061","226.4678"
"6.3000","0.2078","228.4226"
"6.3500","0.2092","229.8631"
"6.4000","0.2112","232.4007"
"6.4500","0.2128","234.1845"
"6.5000","0.2145","236.2410"
"6.5500","0.2161","238.1823"
"6.6000","0.2178","240.4448"
"6.6500","0.2194","242.2278"
"6.7000","0.2209","243.9135"
"6.7500","0.2229","246.3550"
"6.8000","0.2244","247.8716"
"6.8500","0.2262","250.0459"
"6.9000","0.2278","251.9939"
"6.9500","0.2295","254.0550"
"7.0000","0.2311","255.7738"
"7.0500","0.2326","257.7328"
"7.1000","0.2346","260.0219"
"7.1500","0.2360","261.4836"
"7.2000","0.2379","263.5647"
"7.2500","0.2394","265.3061"
"7.3000","0.2412","267.7266"
"7.3500","0.2427","269.1007"
"7.4000","0.2444","270.9009"
"7.4500","0.2463","273.2512"
"7.5000","0.2477","274.8221"
"7.5500","0.2496","277.0258"
"7.6000","0.2511","278.4273"
"7.6500","0.2529","280.5879"
"7.7000","0.2543","282.0114"
"7.7500","0.2560","283.6968"
"7.8000","0.2579","285.9097"
"7.8500","0.2594","287.5245"
"7.9000","0.2612","289.5832"
"7.9500","0.2628","291.1556"
"8.0000","0.2646","293.2335"
"8.0500","0.2660","294.3314"
"8.1000","0.2677","296.4589"
"8.1500","0.2696","298.4872"
"8.2000","0.2711","300.0058"
"8.2500","0.2729","301.9718"
"8.3000","0.2744","303.2331"
"8.3500","0.2762","305.4865"
"8.4000","0.2776","306.6369"
"8.4500","0.2794","308.6284"
"8.5000","0.2812","310.5423"
"8.5500","0.2827","311.6850"
"8.6000","0.2845","313.5313"
"8.6500","0.2861","315.2566"
"8.7000","0.2879","317.0676"
"8.7500","0.2893","318.2814"
"8.8000","0.2911","320.0747"
"8.8500","0.2928","321.5403"
"8.9000","0.2944","322.7542"
"8.9500","0.2962","324.4314"
"9.0000","0.2978","325.7820"
"9.0500","0.2996","327.2068"
"9.1000","0.3009","327.7622"
"9.1500","0.3028","329.9727"
"9.2000","0.3045","331.2596"
"9.2500","0.3061","331.7871"
"9.3000","0.3078","332.8163"
"9.3500","0.3095","333.2729"
"9.4000","0.3112","333.8582"
"9.4500","0.3126","333.5779"
"9.5000","0.3146","334.5119"
"9.5500","0.3162","334.2875"
"9.6000","0.3178","334.1852"
"9.6500","0.3195","334.8626"
"9.7000","0.3212","335.3896"
"9.7500","0.3229","336.2659"
"9.8000","0.3243","336.5905"
"9.8500","0.3263","337.4034"
"9.9000","0.3277","337.1764"
"9.9500","0.3295","337.4502"
"10.0000","0.3312","337.6856"
"10.0500","0.3329","338.4984"
"10.1000","0.3344","339.1344"
"10.1500","0.3359","339.3409"
"10.2000","0.3379","340.2661"
"10.2500","0.3394","339.9797"
"10.3000","0.3412","340.0577"
"10.3500","0.3428","339.7905"
"10.4000","0.3445","340.0120"
"10.4500","0.3461","340.1191"
"10.5000","0.3476","340.3768"
"10.5500","0.3496","340.8757"
"10.6000","0.3510","340.6262"
"10.6500","0.3528","341.1151"
"10.7000","0.3544","340.8578"
"10.7500","0.3562","340.8537"
"10.8000","0.3577","340.0988"
"10.8500","0.3593","339.3775"
"10.9000","0.3613","338.9296"
"10.9500","0.3627","315.9268"
"11.0000","0.3646","40.2954"
"11.0500","0.3662","43.0063"
"11.1000","0.3680","45.9526"
"11.1500","0.3693","45.5474"
"11.2000","0.3711","45.6020"
"11.2500","0.3729","45.7809"
"11.3000","0.3744","45.8279"
"11.3500","0.3762","46.0002"
"11.4000","0.3777","46.1598"
"11.4500","0.3797","46.3790"
"11.5000","0.3809","46.6314"
"11.5500","0.3828","46.5486"
"11.6000","0.3846","46.8776"
"11.6500","0.3861","46.8725"
"11.7000","0.3879","47.1789"
"11.7500","0.3894","47.4941"
"11.8000","0.3913","47.5454"
"11.8500","0.3925","47.6717"
"11.9000","0.3945","47.7096"
"11.9500","0.3962","47.8758"
"12.0000","0.3978","48.1650"
"12.0500","0.3995","48.1580"
"12.1000","0.4010","48.4041"
"12.1500","0.4029","48.5555"
"12.2000","0.4042","48.6467"
"12.2500","0.4062","48.6104"
"12.3000","0.4078","48.7855"
"12.3500","0.4095","49.0094"
"12.4000","0.4111","49.0266"
"12.4500","0.4127","48.9770"
"12.5000","0.4145","49.1139"
"12.5500","0.4159","49.3272"
"12.6000","0.4179","49.3869"
"12.6500","0.4195","49.2758"
"12.7000","0.4212","49.5548"
"12.7500","0.4228","49.6981"
"12.8000","0.4245","49.7817"
"12.8500","0.4262","49.8431"
"12.9000","0.4276","49.6893"
"12.9500","0.4296","49.9026"
"13.0000","0.4311","49.6857"
"13.0500","0.4329","49.7769"
"13.1000","0.4344","49.6454"
"13.1500","0.4362","49.5970"
"13.2000","0.4378","49.4027"
"13.2500","0.4393","49.3736"
"13.3000","0.4413","49.4846"
"13.3500","0.4428","49.2017"
"13.4000","0.4446","49.2704"
"13.4500","0.4461","49.2887"
"13.5000","0.4479","49.2598"
"13.5500","0.4494","49.0905"
"13.6000","0.4510","49.1444"
"13.6500","0.4529","49.1384"
"13.7000","0.4544","48.3722"
"13.7500","0.4562","48.2152"
"13.8000","0.4578","47.9015"
"13.8500","0.4596","47.7327"
"13.9000","0.4610","47.4177"
"13.9500","0.4627","47.2188"
"14.0000","0.4645","47.0913"
"14.0500","0.4660","46.7904"
"14.1000","0.4679","46.6636"
"14.1500","0.4694","46.5941"
"14.2000","0.4712","46.5259"
"14.2500","0.4726","46.4009"
"14.3000","0.4744","46.1419"
"14.3500","0.4762","46.1594"
"14.4000","0.4778","45.7532"
"14.4500","0.4796","45.5513"
"14.5000","0.4811","45.2199"
"14.5500","0.4829","45.0063"
"14.6000","0.4842","44.8603"
"14.6500","0.4862","44.6980"
"14.7000","0.4879","44.4808"
"14.7500","0.4894","44.1081"
"14.8000","0.4912","43.8637"
"14.8500","0.4928","43.1433"
"14.9000","0.4946","42.7210"
"14.9500","0.4959","42.4402"
"15.0000","0.4978","41.9366"
"15.0500","0.4995","41.8777"
"15.1000","0.5011","41.3979"
"15.1500","0.5029","40.9960"
"15.2000","0.5045","40.7136"
"15.2500","0.5062","40.5746"
"15.3000","0.5075","40.2124"
"15.3500","0.5095","39.6830"
"15.4000","0.5112","39.5174"
"15.4500","0.5128","39.1775"
"15.5000","0.5145","39.0597"
"15.5500","0.5161","38.7430"
"15.6000","0.5178","38.1845"
"15.6500","0.5192","37.9295"
"15.7000","0.5212","37.6162"
