
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0185"
"0.0500","0.0001","-0.0798"
"0.1000","0.0008","-0.1748"
"0.1500","0.0010","0.1567"
"0.2000","0.0030","0.1018"
"0.2500","0.0058","0.1444"
"0.3000","0.0077","0.1612"
"0.3500","0.0094","0.0576"
"0.4000","0.0111","0.0933"
"0.4500","0.0126","0.1663"
"0.5000","0.0146","0.1378"
"0.5500","0.0161","0.2228"
"0.6000","0.0179","-0.0273"
"0.6500","0.0195","0.1862"
"0.7000","0.0212","0.1234"
"0.7500","0.0228","0.1313"
"0.8000","0.0243","0.1085"
"0.8500","0.0263","-0.0837"
"0.9000","0.0277","0.1254"
"0.9500","0.0295","0.1624"
"1.0000","0.0311","0.0720"
"1.0500","0.0329","0.1429"
"1.1000","0.0344","0.1348"
"1.1500","0.0360","0.1268"
"1.2000","0.0379","0.1740"
"1.2500","0.0394","0.0526"
"1.3000","0.0412","0.0244"
"1.3500","0.0427","0.1174"
"1.4000","0.0446","0.1984"
"1.4500","0.0460","0.0684"
"1.5000","0.0476","0.0319"
"1.5500","0.0496","0.0135"
"1.6000","0.0510","0.1626"
"1.6500","0.0529","0.0622"
"1.7000","0.0544","-0.0571"
"1.7500","0.0563","-0.0313"
"1.8000","0.0576","-0.0494"
"1.8500","0.0594","0.1364"
"1.9000","0.0613","0.2282"
"1.9500","0.0627","-0.0502"
"2.0000","0.0646","0.1495"
"2.0500","0.0661","-0.0154"
"2.1000","0.0679","0.2909"
"2.1500","0.0692","0.1784"
"2.2000","0.0712","0.2692"
"2.2500","0.0729","0.2117"
"2.3000","0.0744","0.0065"
"2.3500","0.0762","0.2803"
"2.4000","0.0778","0.1952"
"2.4500","0.0797","0.2078"
"2.5000","0.0809","0.0726"
"2.5500","0.0828","0.2650"
"2.6000","0.0845","0.3517"
"2.6500","0.0861","0.1758"
"2.7000","0.0879","0.1364"
"2.7500","0.0894","0.1515"
"2.8000","0.0912","0.1891"
"2.8500","0.0925","0.4600"
"2.9000","0.0945","0.5280"
"2.9500","0.0962","0.3410"
"3.0000","0.0979","0.4031"
"3.0500","0.0995","0.5175"
"3.1000","0.1011","0.3303"
"3.1500","0.1028","0.3477"
"3.2000","0.1042","0.2410"
"3.2500","0.1063","0.5011"
"3.3000","0.1078","0.5655"
"3.3500","0.1095","0.5949"
"3.4000","0.1111","0.5688"
"3.4500","0.1128","0.4848"
"3.5000","0.1145","0.5416"
"3.5500","0.1160","0.7430"
"3.6000","0.1179","0.8529"
"3.6500","0.1194","1.1175"
"3.7000","0.1212","1.2488"
"3.7500","0.1227","1.4531"
"3.8000","0.1246","1.5669"
"3.8500","0.1261","1.7200"
"3.9000","0.1276","1.9318"
"3.9500","0.1296","1.9444"
"4.0000","0.1311","2.0849"
"4.0500","0.1330","2.3754"
"4.1000","0.1344","2.2972"
"4.1500","0.1362","2.3545"
"4.2000","0.1377","2.1686"
"4.2500","0.1393","2.2637"
"4.3000","0.1413","2.6532"
"4.3500","0.1428","2.6201"
"4.4000","0.1446","2.6759"
"4.4500","0.1460","2.7691"
"4.5000","0.1479","2.8041"
"4.5500","0.1493","2.7486"
"4.6000","0.1511","2.8963"
"4.6500","0.1529","2.7293"
"4.7000","0.1544","2.6656"
"4.7500","0.1562","2.7608"
"4.8000","0.1577","2.8331"
"4.8500","0.1596","2.8672"
"4.9000","0.1609","3.0178"
"4.9500","0.1627","2.8233"
"5.0000","0.1645","2.7763"
"5.0500","0.1660","2.8601"
"5.1000","0.1679","2.9837"
"5.1500","0.1695","2.7916"
"5.2000","0.1712","2.8417"
"5.2500","0.1725","2.8591"
"5.3000","0.1744","2.9189"
"5.3500","0.1762","2.9816"
"5.4000","0.1778","2.7319"
"5.4500","0.1796","2.6666"
"5.5000","0.1811","2.9790"
"5.5500","0.1828","2.8739"
"5.6000","0.1842","2.8906"
"5.6500","0.1863","2.5910"
"5.7000","0.1879","3.0912"
"5.7500","0.1895","2.9312"
"5.8000","0.1911","2.9213"
"5.8500","0.1928","2.9870"
"5.9000","0.1946","2.8737"
"5.9500","0.1960","2.8476"
"6.0000","0.1979","2.7343"
"6.0500","0.1994","2.8066"
"6.1000","0.2011","2.9556"
"6.1500","0.2028","2.7937"
"6.2000","0.2046","3.0353"
"6.2500","0.2062","2.8859"
"6.3000","0.2075","2.7838"
"6.3500","0.2095","2.7644"
"6.4000","0.2111","2.7187"
"6.4500","0.2129","2.7843"
"6.5000","0.2145","2.9786"
"6.5500","0.2161","2.7591"
"6.6000","0.2177","2.7434"
"6.6500","0.2192","2.8506"
"6.7000","0.2213","2.7003"
"6.7500","0.2228","2.7212"
"6.8000","0.2245","2.8483"
"6.8500","0.2261","2.8046"
"6.9000","0.2278","2.8948"
"6.9500","0.2294","3.2053"
"7.0000","0.2310","3.2802"
"7.0500","0.2329","3.0783"
"7.1000","0.2344","3.2823"
"7.1500","0.2362","3.3127"
"7.2000","0.2378","3.4391"
"7.2500","0.2396","3.5805"
"7.3000","0.2410","3.2037"
"7.3500","0.2426","3.5143"
"7.4000","0.2446","3.3940"
"7.4500","0.2461","3.1633"
"7.5000","0.2479","3.1362"
"7.5500","0.2494","3.4437"
"7.6000","0.2513","3.2511"
"7.6500","0.2526","3.1577"
"7.7000","0.2543","3.3853"
"7.7500","0.2563","3.3845"
"7.8000","0.2578","3.1953"
"7.8500","0.2596","3.4946"
"7.9000","0.2611","3.4644"
"7.9500","0.2629","3.3883"
"8.0000","0.2643","3.4301"
"8.0500","0.2661","3.5642"
"8.1000","0.2679","3.5742"
"8.1500","0.2693","3.3470"
"8.2000","0.2712","3.6339"
"8.2500","0.2728","3.4642"
"8.3000","0.2746","3.5471"
"8.3500","0.2759","3.5528"
"8.4000","0.2778","3.5046"
"8.4500","0.2795","3.7092"
"8.5000","0.2810","3.6459"
"8.5500","0.2829","3.4976"
"8.6000","0.2845","3.6969"
"8.6500","0.2863","3.5060"
"8.7000","0.2875","3.6584"
"8.7500","0.2895","3.5371"
"8.8000","0.2912","3.7731"
"8.8500","0.2928","3.6848"
"8.9000","0.2945","3.4719"
"8.9500","0.2961","3.6144"
"9.0000","0.2979","3.5211"
"9.0500","0.2992","3.4799"
"9.1000","0.3012","3.7884"
"9.1500","0.3028","3.7570"
"9.2000","0.3045","3.7122"
"9.2500","0.3062","3.5719"
"9.3000","0.3078","3.5110"
"9.3500","0.3095","3.5768"
"9.4000","0.3109","3.6046"
"9.4500","0.3129","3.5840"
"9.5000","0.3144","3.5565"
"9.5500","0.3161","3.5111"
"9.6000","0.3178","3.7238"
"9.6500","0.3196","3.4400"
"9.7000","0.3212","3.4064"
"9.7500","0.3225","3.6352"
"9.8000","0.3246","3.5725"
"9.8500","0.3261","3.5355"
"9.9000","0.3279","3.6535"
"9.9500","0.3294","3.7141"
"10.0000","0.3312","3.6177"
"10.0500","0.3328","3.5587"
"10.1000","0.3342","3.5518"
"10.1500","0.3363","3.6163"
"10.2000","0.3378","3.4987"
"10.2500","0.3396","3.6295"
"10.3000","0.3410","3.6589"
"10.3500","0.3429","3.5987"
"10.4000","0.3443","3.6317"
"10.4500","0.3460","3.5017"
"10.5000","0.3480","3.5866"
"10.5500","0.3494","3.6970"
"10.6000","0.3512","3.6035"
"10.6500","0.3527","3.7008"
"10.7000","0.3546","3.5336"
"10.7500","0.3560","3.5544"
"10.8000","0.3577","3.6621"
"10.8500","0.3596","3.4686"
"10.9000","0.3611","3.5876"
"10.9500","0.3629","3.7146"
"11.0000","0.3644","3.6300"
"11.0500","0.3663","3.6455"
"11.1000","0.3676","3.4506"
"11.1500","0.3694","3.6330"
"11.2000","0.3712","3.7532"
"11.2500","0.3728","3.5829"
"11.3000","0.3746","3.5874"
"11.3500","0.3760","3.3542"
"11.4000","0.3780","3.6865"
"11.4500","0.3793","3.7400"
"11.5000","0.3812","3.7074"
"11.5500","0.3829","3.6901"
"11.6000","0.3845","3.6851"
"11.6500","0.3862","3.6237"
"11.7000","0.3877","3.7544"
"11.7500","0.3895","3.5752"
"11.8000","0.3909","3.6585"
"11.8500","0.3929","3.7179"
"11.9000","0.3945","3.6024"
"11.9500","0.3961","3.7600"
"12.0000","0.3979","3.7314"
"12.0500","0.3995","3.8957"
"12.1000","0.4011","3.8093"
"12.1500","0.4025","3.8238"
"12.2000","0.4045","3.7425"
"12.2500","0.4061","3.8204"
"12.3000","0.4078","3.8618"
"12.3500","0.4095","3.6969"
"12.4000","0.4111","3.8679"
"12.4500","0.4128","3.9170"
"12.5000","0.4142","3.9608"
"12.5500","0.4162","4.0377"
"12.6000","0.4177","4.1040"
"12.6500","0.4195","4.2689"
"12.7000","0.4212","4.1466"
"12.7500","0.4229","4.2996"
"12.8000","0.4244","4.6648"
"12.8500","0.4260","4.5417"
"12.9000","0.4279","5.3203"
"12.9500","0.4294","5.5645"
"13.0000","0.4312","5.7121"
"13.0500","0.4328","5.6523"
"13.1000","0.4346","5.2609"
"13.1500","0.4360","5.8602"
"13.2000","0.4376","6.0416"
"13.2500","0.4396","6.6070"
"13.3000","0.4411","6.8794"
"13.3500","0.4429","7.2880"
"13.4000","0.4445","7.4130"
"13.4500","0.4462","8.0512"
"13.5000","0.4477","8.2359"
"13.5500","0.4493","8.6940"
"13.6000","0.4513","9.0979"
"13.6500","0.4528","9.1763"
"13.7000","0.4546","9.6707"
"13.7500","0.4560","10.0408"
"13.8000","0.4579","10.4009"
"13.8500","0.4593","10.6597"
"13.9000","0.4611","11.1578"
"13.9500","0.4629","11.6772"
"14.0000","0.4644","11.8196"
"14.0500","0.4662","12.3350"
"14.1000","0.4677","12.5547"
"14.1500","0.4696","12.9502"
