
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0585"
"0.0500","0.0001","-0.0196"
"0.1000","0.0008","0.0234"
"0.1500","0.0011","0.0227"
"0.2000","0.0032","-0.0005"
"0.2500","0.0059","0.0105"
"0.3000","0.0078","-0.0423"
"0.3500","0.0094","-0.0375"
"0.4000","0.0112","0.0094"
"0.4500","0.0126","-0.0192"
"0.5000","0.0146","0.0151"
"0.5500","0.0162","0.0242"
"0.6000","0.0179","-0.0357"
"0.6500","0.0195","0.1237"
"0.7000","0.0212","-0.0078"
"0.7500","0.0228","0.0600"
"0.8000","0.0243","0.0342"
"0.8500","0.0264","0.0457"
"0.9000","0.0278","0.1795"
"0.9500","0.0296","0.1950"
"1.0000","0.0312","-0.0094"
"1.0500","0.0329","-0.0689"
"1.1000","0.0345","0.1536"
"1.1500","0.0359","0.0317"
"1.2000","0.0379","0.0577"
"1.2500","0.0394","0.0992"
"1.3000","0.0412","0.1955"
"1.3500","0.0429","0.0380"
"1.4000","0.0446","0.0226"
"1.4500","0.0460","0.1542"
"1.5000","0.0476","0.1091"
"1.5500","0.0496","0.1060"
"1.6000","0.0511","-0.0714"
"1.6500","0.0530","0.1430"
"1.7000","0.0545","0.1561"
"1.7500","0.0562","0.1115"
"1.8000","0.0577","0.0301"
"1.8500","0.0594","0.1511"
"1.9000","0.0613","0.2437"
"1.9500","0.0628","-0.0591"
"2.0000","0.0646","0.1825"
"2.0500","0.0661","0.0827"
"2.1000","0.0680","0.0429"
"2.1500","0.0694","0.0049"
"2.2000","0.0711","0.3057"
"2.2500","0.0729","0.1494"
"2.3000","0.0745","-0.0194"
"2.3500","0.0763","0.0550"
"2.4000","0.0779","0.1548"
"2.4500","0.0797","0.0688"
"2.5000","0.0809","0.0964"
"2.5500","0.0827","0.2771"
"2.6000","0.0846","0.1951"
"2.6500","0.0862","0.2075"
"2.7000","0.0880","0.1750"
"2.7500","0.0894","0.3203"
"2.8000","0.0912","0.1673"
"2.8500","0.0926","0.2190"
"2.9000","0.0945","0.2747"
"2.9500","0.0963","0.4481"
"3.0000","0.0978","0.1439"
"3.0500","0.0995","0.2564"
"3.1000","0.1011","0.3770"
"3.1500","0.1029","0.1924"
"3.2000","0.1043","0.2146"
"3.2500","0.1063","0.2453"
"3.3000","0.1079","0.4503"
"3.3500","0.1095","0.3967"
"3.4000","0.1112","0.5028"
"3.4500","0.1129","0.3648"
"3.5000","0.1146","0.4377"
"3.5500","0.1159","0.3051"
"3.6000","0.1179","0.5501"
"3.6500","0.1195","0.3559"
"3.7000","0.1212","0.4569"
"3.7500","0.1229","0.6657"
"3.8000","0.1245","0.4259"
