
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0692"
"0.0500","0.0001","0.0757"
"0.1000","0.0007","0.0132"
"0.1500","0.0010","-0.0883"
"0.2000","0.0027","0.0458"
"0.2500","0.0056","-0.0026"
"0.3000","0.0074","0.1038"
"0.3500","0.0092","-0.0039"
"0.4000","0.0110","0.0108"
"0.4500","0.0125","0.0511"
"0.5000","0.0143","-0.0587"
"0.5500","0.0159","-0.1690"
"0.6000","0.0177","0.1877"
"0.6500","0.0191","0.1284"
"0.7000","0.0210","-0.0565"
"0.7500","0.0227","0.0826"
"0.8000","0.0242","0.1928"
"0.8500","0.0261","0.2361"
"0.9000","0.0277","0.0170"
"0.9500","0.0294","0.1056"
"1.0000","0.0307","0.0785"
"1.0500","0.0326","0.0872"
"1.1000","0.0343","0.0654"
"1.1500","0.0360","-0.0696"
"1.2000","0.0377","0.1262"
"1.2500","0.0392","0.2569"
"1.3000","0.0410","0.1081"
"1.3500","0.0424","0.1216"
"1.4000","0.0444","0.0646"
"1.4500","0.0460","0.1571"
"1.5000","0.0476","0.0645"
"1.5500","0.0493","0.0914"
"1.6000","0.0509","0.1667"
"1.6500","0.0526","0.0731"
"1.7000","0.0541","0.2511"
"1.7500","0.0561","0.2431"
"1.8000","0.0576","0.3141"
"1.8500","0.0593","-0.0219"
"1.9000","0.0609","0.1618"
"1.9500","0.0627","0.0464"
"2.0000","0.0643","0.1919"
"2.0500","0.0657","0.1463"
"2.1000","0.0677","0.3080"
"2.1500","0.0693","-0.0145"
"2.2000","0.0710","0.0185"
"2.2500","0.0727","0.2770"
"2.3000","0.0744","0.3360"
"2.3500","0.0759","0.1549"
"2.4000","0.0774","0.1497"
"2.4500","0.0794","0.2459"
"2.5000","0.0809","0.2036"
"2.5500","0.0827","0.0779"
"2.6000","0.0843","-0.1146"
"2.6500","0.0860","0.2639"
"2.7000","0.0876","0.3064"
"2.7500","0.0892","0.4418"
"2.8000","0.0911","0.3287"
"2.8500","0.0925","0.2256"
"2.9000","0.0943","0.2769"
"2.9500","0.0959","0.1227"
"3.0000","0.0978","0.0907"
"3.0500","0.0992","0.2777"
"3.1000","0.1009","0.2099"
"3.1500","0.1027","-0.0588"
"3.2000","0.1041","0.1380"
"3.2500","0.1060","0.1239"
"3.3000","0.1076","0.1070"
"3.3500","0.1094","0.1452"
"3.4000","0.1108","0.2189"
"3.4500","0.1125","0.0807"
"3.5000","0.1144","0.2152"
"3.5500","0.1159","0.3021"
"3.6000","0.1177","0.2787"
"3.6500","0.1192","0.2212"
"3.7000","0.1211","0.2726"
"3.7500","0.1224","0.0856"
"3.8000","0.1243","0.1962"
"3.8500","0.1260","0.2587"
"3.9000","0.1275","0.2089"
"3.9500","0.1294","0.1374"
"4.0000","0.1309","0.2333"
"4.0500","0.1328","0.2707"
"4.1000","0.1341","0.3136"
"4.1500","0.1360","0.0960"
"4.2000","0.1377","0.3290"
"4.2500","0.1392","0.1278"
"4.3000","0.1410","0.0932"
"4.3500","0.1426","0.1239"
"4.4000","0.1444","0.2187"
"4.4500","0.1457","0.3229"
"4.5000","0.1477","0.1565"
"4.5500","0.1493","0.1756"
"4.6000","0.1510","0.2086"
"4.6500","0.1526","0.3260"
"4.7000","0.1543","0.3384"
"4.7500","0.1560","0.1436"
"4.8000","0.1573","0.2112"
"4.8500","0.1594","0.2580"
"4.9000","0.1610","0.0327"
"4.9500","0.1627","0.2973"
"5.0000","0.1643","0.3921"
"5.0500","0.1659","0.2176"
"5.1000","0.1676","0.2342"
"5.1500","0.1690","0.1745"
"5.2000","0.1711","0.2201"
"5.2500","0.1726","0.3294"
"5.3000","0.1743","0.2314"
"5.3500","0.1759","0.2582"
"5.4000","0.1776","0.2887"
"5.4500","0.1793","0.3187"
"5.5000","0.1807","0.1920"
"5.5500","0.1828","0.3758"
"5.6000","0.1842","0.3463"
"5.6500","0.1860","0.1903"
"5.7000","0.1875","0.2972"
"5.7500","0.1894","0.1811"
"5.8000","0.1909","0.0766"
"5.8500","0.1925","0.3072"
"5.9000","0.1944","0.1528"
"5.9500","0.1959","0.1876"
"6.0000","0.1978","0.3085"
"6.0500","0.1992","0.1865"
"6.1000","0.2011","0.1461"
"6.1500","0.2025","0.3083"
"6.2000","0.2042","0.0832"
"6.2500","0.2061","0.3144"
"6.3000","0.2076","0.1194"
"6.3500","0.2094","0.2560"
"6.4000","0.2109","0.1924"
"6.4500","0.2127","0.1369"
"6.5000","0.2141","0.2409"
"6.5500","0.2160","0.1763"
"6.6000","0.2177","-0.1003"
"6.6500","0.2192","0.0876"
"6.7000","0.2210","0.2528"
"6.7500","0.2226","0.2300"
"6.8000","0.2244","0.3632"
"6.8500","0.2257","0.2220"
"6.9000","0.2276","0.0972"
"6.9500","0.2293","0.0988"
"7.0000","0.2309","0.0668"
"7.0500","0.2327","0.1604"
"7.1000","0.2343","0.2143"
"7.1500","0.2360","0.2837"
"7.2000","0.2374","0.1494"
"7.2500","0.2393","0.2168"
"7.3000","0.2409","0.1907"
"7.3500","0.2426","0.1861"
"7.4000","0.2444","0.0609"
"7.4500","0.2459","0.2401"
"7.5000","0.2476","0.3884"
"7.5500","0.2491","0.1554"
"7.6000","0.2511","0.2577"
"7.6500","0.2526","0.2011"
"7.7000","0.2543","0.2182"
"7.7500","0.2560","-0.1546"
"7.8000","0.2576","0.2826"
"7.8500","0.2593","0.2224"
"7.9000","0.2608","0.3893"
"7.9500","0.2627","0.2563"
"8.0000","0.2643","0.0997"
"8.0500","0.2660","0.1970"
"8.1000","0.2677","0.1671"
"8.1500","0.2694","0.4498"
"8.2000","0.2709","0.2671"
"8.2500","0.2724","0.0744"
"8.3000","0.2744","0.1499"
"8.3500","0.2759","0.2749"
"8.4000","0.2777","0.2344"
"8.4500","0.2793","0.2058"
"8.5000","0.2810","0.0915"
"8.5500","0.2825","0.3212"
"8.6000","0.2841","0.2281"
"8.6500","0.2861","0.2354"
"8.7000","0.2876","0.2992"
"8.7500","0.2893","0.2215"
"8.8000","0.2909","0.1697"
"8.8500","0.2927","0.2381"
"8.9000","0.2942","-0.0744"
"8.9500","0.2958","0.3420"
"9.0000","0.2977","0.2724"
"9.0500","0.2992","0.1871"
"9.1000","0.3010","0.1764"
"9.1500","0.3026","0.2938"
"9.2000","0.3044","0.1610"
"9.2500","0.3058","0.1847"
