
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0797"
"0.0500","0.0001","-0.1756"
"0.1000","0.0006","0.2103"
"0.1500","0.0009","-0.0950"
"0.2000","0.0022","0.1756"
"0.2500","0.0051","0.0261"
"0.3000","0.0071","0.1777"
"0.3500","0.0090","0.1101"
"0.4000","0.0105","-0.0460"
"0.4500","0.0123","0.1751"
"0.5000","0.0139","-0.0171"
"0.5500","0.0157","-0.0661"
"0.6000","0.0172","-0.1123"
"0.6500","0.0188","0.0359"
"0.7000","0.0207","0.0200"
"0.7500","0.0222","-0.0359"
"0.8000","0.0240","-0.0831"
"0.8500","0.0255","-0.0670"
"0.9000","0.0274","0.2555"
"0.9500","0.0288","-0.0297"
"1.0000","0.0305","-0.1981"
"1.0500","0.0324","0.0227"
"1.1000","0.0339","-0.0759"
"1.1500","0.0357","-0.0115"
"1.2000","0.0372","-0.0621"
"1.2500","0.0391","0.1577"
"1.3000","0.0404","0.1105"
"1.3500","0.0422","0.0838"
"1.4000","0.0441","0.2208"
"1.4500","0.0455","0.1148"
"1.5000","0.0474","0.0315"
"1.5500","0.0489","0.0131"
"1.6000","0.0507","0.0596"
"1.6500","0.0521","0.1491"
"1.7000","0.0540","0.0987"
"1.7500","0.0557","0.1673"
"1.8000","0.0572","-0.0563"
"1.8500","0.0590","0.0249"
"1.9000","0.0606","-0.0106"
"1.9500","0.0625","-0.0126"
"2.0000","0.0637","-0.1817"
"2.0500","0.0657","0.0158"
"2.1000","0.0674","-0.1403"
"2.1500","0.0690","-0.1389"
"2.2000","0.0707","0.0367"
"2.2500","0.0722","-0.0373"
"2.3000","0.0741","-0.0721"
"2.3500","0.0754","0.1055"
"2.4000","0.0774","-0.0834"
"2.4500","0.0790","0.0281"
"2.5000","0.0807","-0.1013"
"2.5500","0.0823","-0.0905"
"2.6000","0.0839","-0.0591"
"2.6500","0.0856","0.0110"
"2.7000","0.0870","-0.0103"
"2.7500","0.0891","-0.0870"
"2.8000","0.0906","-0.0280"
"2.8500","0.0923","0.1529"
"2.9000","0.0939","-0.1019"
"2.9500","0.0956","-0.0830"
"3.0000","0.0973","0.0197"
"3.0500","0.0987","0.0848"
"3.1000","0.1008","-0.1323"
"3.1500","0.1023","-0.0698"
"3.2000","0.1040","-0.0298"
"3.2500","0.1056","0.0730"
"3.3000","0.1074","0.0567"
"3.3500","0.1089","0.2594"
"3.4000","0.1104","-0.0507"
"3.4500","0.1124","0.0160"
"3.5000","0.1139","-0.0581"
"3.5500","0.1158","-0.0857"
"3.6000","0.1172","0.0566"
"3.6500","0.1191","-0.0307"
"3.7000","0.1205","-0.0716"
"3.7500","0.1222","-0.0944"
"3.8000","0.1241","0.0139"
"3.8500","0.1256","0.0720"
"3.9000","0.1274","0.0257"
"3.9500","0.1289","0.0434"
"4.0000","0.1307","-0.1865"
"4.0500","0.1321","-0.0854"
"4.1000","0.1339","0.0585"
"4.1500","0.1357","-0.1114"
"4.2000","0.1372","-0.1098"
"4.2500","0.1391","0.1352"
"4.3000","0.1406","-0.0542"
"4.3500","0.1424","0.0047"
"4.4000","0.1437","-0.0450"
"4.4500","0.1456","-0.1721"
"4.5000","0.1473","0.0368"
"4.5500","0.1488","-0.0351"
"4.6000","0.1507","-0.0427"
"4.6500","0.1523","-0.2167"
"4.7000","0.1540","-0.0101"
"4.7500","0.1553","-0.1918"
"4.8000","0.1573","0.2155"
"4.8500","0.1590","0.0829"
"4.9000","0.1606","-0.0048"
"4.9500","0.1624","0.2147"
"5.0000","0.1639","0.0672"
"5.0500","0.1656","-0.1070"
"5.1000","0.1670","0.0318"
"5.1500","0.1691","-0.0497"
"5.2000","0.1707","0.0601"
"5.2500","0.1722","-0.0024"
"5.3000","0.1740","0.0901"
"5.3500","0.1756","-0.1026"
"5.4000","0.1774","0.1930"
"5.4500","0.1788","-0.1297"
"5.5000","0.1807","0.0117"
"5.5500","0.1822","-0.1632"
"5.6000","0.1839","0.0287"
"5.6500","0.1857","-0.0079"
"5.7000","0.1874","-0.0821"
"5.7500","0.1890","-0.0541"
"5.8000","0.1904","0.0715"
"5.8500","0.1923","0.1369"
"5.9000","0.1939","0.1991"
"5.9500","0.1957","-0.0239"
"6.0000","0.1973","-0.0233"
"6.0500","0.1990","0.0771"
"6.1000","0.2005","-0.0977"
"6.1500","0.2020","-0.0228"
"6.2000","0.2041","-0.1605"
"6.2500","0.2056","0.1467"
"6.3000","0.2073","0.1238"
"6.3500","0.2089","-0.0234"
"6.4000","0.2106","-0.0796"
"6.4500","0.2122","-0.0137"
"6.5000","0.2138","-0.1541"
"6.5500","0.2158","-0.0038"
"6.6000","0.2172","-0.2884"
"6.6500","0.2190","-0.0560"
"6.7000","0.2205","0.1029"
"6.7500","0.2224","-0.0239"
"6.8000","0.2239","-0.1102"
"6.8500","0.2255","0.0737"
"6.9000","0.2274","-0.0841"
"6.9500","0.2289","0.0167"
"7.0000","0.2307","0.0167"
"7.0500","0.2323","-0.0336"
"7.1000","0.2341","-0.1296"
"7.1500","0.2354","0.1091"
"7.2000","0.2371","0.0033"
"7.2500","0.2391","-0.1165"
"7.3000","0.2406","-0.0976"
"7.3500","0.2424","0.0438"
"7.4000","0.2439","0.1004"
"7.4500","0.2457","0.0823"
"7.5000","0.2471","0.1666"
"7.5500","0.2489","-0.2315"
"7.6000","0.2508","-0.0876"
"7.6500","0.2522","-0.0567"
"7.7000","0.2540","-0.0899"
"7.7500","0.2555","0.0526"
"7.8000","0.2574","0.0382"
"7.8500","0.2588","0.0166"
"7.9000","0.2606","0.1041"
"7.9500","0.2623","-0.0809"
"8.0000","0.2638","-0.2178"
"8.0500","0.2657","0.0661"
"8.1000","0.2673","-0.0292"
"8.1500","0.2691","-0.0987"
"8.2000","0.2704","-0.0349"
"8.2500","0.2723","0.0109"
"8.3000","0.2740","-0.1128"
"8.3500","0.2756","0.0022"
"8.4000","0.2774","0.0174"
"8.4500","0.2789","-0.0479"
"8.5000","0.2807","-0.1657"
"8.5500","0.2820","-0.0179"
"8.6000","0.2840","0.0173"
"8.6500","0.2856","-0.1244"
"8.7000","0.2873","-0.1240"
"8.7500","0.2890","-0.1708"
"8.8000","0.2906","0.0173"
"8.8500","0.2923","0.0035"
"8.9000","0.2937","0.0342"
"8.9500","0.2958","-0.0258"
"9.0000","0.2972","-0.0086"
"9.0500","0.2989","0.0767"
"9.1000","0.3006","-0.1392"
"9.1500","0.3024","-0.0577"
"9.2000","0.3040","-0.2744"
"9.2500","0.3054","-0.2125"
"9.3000","0.3074","-0.0458"
"9.3500","0.3089","-0.0681"
"9.4000","0.3107","0.1538"
"9.4500","0.3123","0.0408"
"9.5000","0.3140","0.1888"
"9.5500","0.3156","0.0000"
"9.6000","0.3170","-0.2234"
"9.6500","0.3191","0.0743"
"9.7000","0.3206","-0.1102"
"9.7500","0.3224","-0.0722"
"9.8000","0.3238","0.0570"
"9.8500","0.3257","-0.0070"
"9.9000","0.3271","0.0153"
"9.9500","0.3288","0.0887"
"10.0000","0.3308","0.2010"
"10.0500","0.3322","-0.0161"
"10.1000","0.3340","0.0561"
"10.1500","0.3355","0.0284"
"10.2000","0.3374","-0.0526"
"10.2500","0.3388","-0.0362"
"10.3000","0.3405","-0.1200"
"10.3500","0.3424","0.2385"
"10.4000","0.3439","-0.1299"
"10.4500","0.3457","-0.0141"
"10.5000","0.3472","-0.2445"
"10.5500","0.3492","-0.0134"
"10.6000","0.3504","0.0924"
"10.6500","0.3522","0.0496"
"10.7000","0.3540","-0.0102"
"10.7500","0.3556","0.0993"
"10.8000","0.3574","-0.0675"
"10.8500","0.3589","0.0160"
"10.9000","0.3607","0.1427"
"10.9500","0.3621","-0.0575"
"11.0000","0.3640","-0.1478"
"11.0500","0.3657","-0.0564"
"11.1000","0.3673","-0.0024"
"11.1500","0.3690","-0.1576"
"11.2000","0.3706","-0.1121"
"11.2500","0.3723","-0.0496"
"11.3000","0.3737","0.1015"
"11.3500","0.3757","0.0829"
"11.4000","0.3773","-0.1123"
"11.4500","0.3789","-0.1411"
"11.5000","0.3807","0.0596"
"11.5500","0.3823","-0.0396"
"11.6000","0.3840","-0.1984"
"11.6500","0.3854","-0.1813"
"11.7000","0.3874","0.0594"
"11.7500","0.3889","-0.0278"
"11.8000","0.3906","-0.0808"
"11.8500","0.3923","0.0921"
"11.9000","0.3940","0.1281"
"11.9500","0.3956","0.0092"
"12.0000","0.3970","0.0830"
"12.0500","0.3991","-0.0176"
"12.1000","0.4006","0.1501"
"12.1500","0.4024","-0.0192"
"12.2000","0.4040","-0.0344"
"12.2500","0.4056","0.1159"
"12.3000","0.4072","-0.0473"
"12.3500","0.4088","0.0389"
"12.4000","0.4108","-0.0235"
"12.4500","0.4122","0.0318"
"12.5000","0.4140","-0.0120"
"12.5500","0.4156","0.1255"
"12.6000","0.4174","-0.0734"
"12.6500","0.4189","0.1952"
"12.7000","0.4205","0.0352"
"12.7500","0.4224","0.1312"
"12.8000","0.4239","0.2935"
"12.8500","0.4257","-0.0474"
"12.9000","0.4273","-0.0922"
"12.9500","0.4291","-0.0952"
"13.0000","0.4305","-0.0420"
"13.0500","0.4321","0.0464"
"13.1000","0.4341","0.0072"
"13.1500","0.4356","-0.0915"
"13.2000","0.4374","0.0621"
"13.2500","0.4389","0.0322"
"13.3000","0.4407","0.1241"
"13.3500","0.4421","-0.0723"
"13.4000","0.4439","-0.0206"
"13.4500","0.4457","0.0329"
"13.5000","0.4472","0.0365"
"13.5500","0.4490","0.1463"
"13.6000","0.4505","-0.0746"
"13.6500","0.4524","-0.0024"
"13.7000","0.4538","0.0101"
"13.7500","0.4556","0.1222"
"13.8000","0.4573","-0.0210"
"13.8500","0.4589","-0.0680"
"13.9000","0.4607","0.0519"
"13.9500","0.4622","-0.0087"
"14.0000","0.4641","0.1735"
"14.0500","0.4654","0.0606"
"14.1000","0.4673","-0.0351"
"14.1500","0.4690","0.1210"
"14.2000","0.4706","-0.0054"
"14.2500","0.4724","0.0377"
"14.3000","0.4739","-0.0587"
"14.3500","0.4757","0.2016"
"14.4000","0.4771","0.0126"
"14.4500","0.4790","0.0765"
"14.5000","0.4807","0.0258"
"14.5500","0.4822","-0.0605"
"14.6000","0.4840","-0.1780"
"14.6500","0.4856","-0.0762"
"14.7000","0.4874","-0.0498"
"14.7500","0.4887","-0.0315"
"14.8000","0.4907","0.1045"
"14.8500","0.4922","0.0258"
"14.9000","0.4939","-0.0159"
"14.9500","0.4957","0.1286"
"15.0000","0.4974","-0.0423"
"15.0500","0.4989","0.1423"
"15.1000","0.5003","0.1219"
"15.1500","0.5024","0.1093"
"15.2000","0.5039","0.0903"
"15.2500","0.5056","-0.0294"
"15.3000","0.5072","-0.0147"
"15.3500","0.5089","-0.2849"
"15.4000","0.5106","0.0990"
"15.4500","0.5121","-0.0170"
"15.5000","0.5141","0.0457"
"15.5500","0.5156","0.0655"
"15.6000","0.5173","0.1553"
"15.6500","0.5189","-0.0707"
"15.7000","0.5207","-0.0694"
"15.7500","0.5222","0.0778"
"15.8000","0.5238","0.0544"
"15.8500","0.5258","0.0365"
"15.9000","0.5272","-0.0150"
"15.9500","0.5291","-0.0400"
"16.0000","0.5306","0.0670"
"16.0500","0.5324","0.0743"
"16.1000","0.5339","-0.1663"
"16.1500","0.5355","-0.0064"
"16.2000","0.5375","0.0691"
"16.2500","0.5389","0.2548"
"16.3000","0.5407","0.0782"
"16.3500","0.5422","0.0718"
"16.4000","0.5441","-0.1308"
"16.4500","0.5455","-0.0566"
"16.5000","0.5472","0.0702"
"16.5500","0.5491","0.1179"
"16.6000","0.5506","-0.0001"
"16.6500","0.5524","-0.0063"
"16.7000","0.5538","-0.0400"
"16.7500","0.5558","0.0352"
"16.8000","0.5571","-0.0760"
"16.8500","0.5589","0.0058"
"16.9000","0.5607","0.1371"
"16.9500","0.5623","0.2200"
"17.0000","0.5640","0.1911"
"17.0500","0.5655","-0.1149"
"17.1000","0.5674","0.0794"
"17.1500","0.5687","-0.2059"
"17.2000","0.5706","-0.0329"
"17.2500","0.5723","-0.0625"
"17.3000","0.5739","-0.1944"
"17.3500","0.5757","-0.2160"
"17.4000","0.5772","0.0014"
"17.4500","0.5791","0.0771"
"17.5000","0.5803","0.0749"
"17.5500","0.5823","-0.0254"
"17.6000","0.5840","-0.1922"
"17.6500","0.5856","0.1786"
"17.7000","0.5873","-0.0051"
"17.7500","0.5889","0.1110"
"17.8000","0.5907","0.0666"
"17.8500","0.5920","-0.0813"
"17.9000","0.5941","-0.1541"
"17.9500","0.5956","0.0433"
"18.0000","0.5974","0.0999"
"18.0500","0.5989","0.1490"
"18.1000","0.6006","-0.0233"
"18.1500","0.6023","-0.0033"
"18.2000","0.6037","0.2940"
"18.2500","0.6058","-0.0649"
"18.3000","0.6073","-0.0222"
"18.3500","0.6091","-0.0431"
"18.4000","0.6106","0.1068"
"18.4500","0.6124","0.1767"
"18.5000","0.6139","0.1144"
"18.5500","0.6154","0.0853"
"18.6000","0.6174","0.0335"
"18.6500","0.6189","-0.0801"
"18.7000","0.6207","0.0544"
"18.7500","0.6223","0.0101"
"18.8000","0.6241","0.0021"
"18.8500","0.6255","-0.0716"
"18.9000","0.6271","0.0020"
"18.9500","0.6290","-0.0291"
"19.0000","0.6305","0.0968"
"19.0500","0.6324","-0.0189"
"19.1000","0.6339","-0.0187"
"19.1500","0.6357","-0.1693"
"19.2000","0.6371","0.1149"
"19.2500","0.6388","0.0826"
"19.3000","0.6407","-0.1630"
"19.3500","0.6422","-0.0794"
"19.4000","0.6441","-0.0366"
"19.4500","0.6456","0.0307"
"19.5000","0.6474","-0.1397"
"19.5500","0.6488","-0.0257"
"19.6000","0.6506","0.0306"
"19.6500","0.6524","-0.0176"
"19.7000","0.6539","0.2236"
"19.7500","0.6557","0.1124"
