
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0991"
"0.1000","0.0007","1.2918"
"0.2000","0.0022","4.1102"
"0.3000","0.0071","12.6747"
"0.4000","0.0106","17.4074"
"0.5000","0.0141","21.3669"
"0.6000","0.0174","26.0428"
"0.7000","0.0207","31.4335"
"0.8000","0.0240","38.3522"
"0.9000","0.0270","44.3951"
"1.0000","0.0307","51.0990"
"1.1000","0.0339","58.3652"
"1.2000","0.0373","66.7353"
"1.3000","0.0408","75.1186"
"1.4000","0.0441","82.1231"
"1.5000","0.0474","88.4851"
"1.6000","0.0505","94.4452"
"1.7000","0.0540","101.2997"
"1.8000","0.0573","107.9339"
"1.9000","0.0605","114.5026"
"2.0000","0.0641","122.0070"
"2.1000","0.0675","128.4298"
"2.2000","0.0708","134.5065"
"2.3000","0.0740","140.2459"
"2.4000","0.0773","145.2218"
"2.5000","0.0806","150.1460"
"2.6000","0.0838","154.7560"
"2.7000","0.0874","160.1142"
"2.8000","0.0908","165.1776"
"2.9000","0.0941","169.7397"
"3.0000","0.0974","174.3262"
"3.1000","0.1006","178.5042"
"3.2000","0.1040","183.2171"
"3.3000","0.1071","187.6105"
"3.4000","0.1107","192.7811"
"3.5000","0.1141","197.6629"
"3.6000","0.1173","202.3182"
"3.7000","0.1208","208.2639"
"3.8000","0.1240","213.7314"
"3.9000","0.1274","221.0358"
"4.0000","0.1305","227.5735"
"4.1000","0.1339","235.0361"
"4.2000","0.1374","242.5186"
"4.3000","0.1406","249.1021"
"4.4000","0.1441","257.0635"
"4.5000","0.1475","264.1529"
"4.6000","0.1507","271.0492"
"4.7000","0.1538","277.2249"
"4.8000","0.1573","284.2885"
"4.9000","0.1606","291.1852"
"5.0000","0.1639","297.7413"
"5.1000","0.1674","305.1252"
"5.2000","0.1707","311.4528"
"5.3000","0.1742","318.1650"
"5.4000","0.1772","323.6088"
"5.5000","0.1806","330.0685"
"5.6000","0.1839","336.3708"
"5.7000","0.1872","342.0944"
"5.8000","0.1908","349.2545"
"5.9000","0.1941","355.3840"
"6.0000","0.1975","361.3234"
"6.1000","0.2007","366.9769"
"6.2000","0.2039","372.0613"
"6.3000","0.2074","378.4204"
"6.4000","0.2104","382.8242"
"6.5000","0.2140","389.3309"
"6.6000","0.2174","394.9040"
"6.7000","0.2207","400.4108"
"6.8000","0.2241","405.6854"
"6.9000","0.2273","410.4688"
"7.0000","0.2307","415.7414"
"7.1000","0.2338","420.4284"
"7.2000","0.2373","425.7794"
"7.3000","0.2407","430.9218"
"7.4000","0.2440","435.8368"
"7.5000","0.2475","441.4314"
"7.6000","0.2507","446.1748"
"7.7000","0.2542","451.2290"
"7.8000","0.2571","454.6813"
"7.9000","0.2606","459.4776"
"8.0000","0.2639","463.6427"
"8.1000","0.2672","468.0926"
"8.2000","0.2708","473.7232"
"8.3000","0.2741","478.0461"
"8.4000","0.2774","482.4187"
"8.5000","0.2806","486.3242"
"8.6000","0.2839","490.2650"
"8.7000","0.2872","493.9211"
"8.8000","0.2905","498.0265"
"8.9000","0.2941","503.2408"
"9.0000","0.2974","507.0322"
"9.1000","0.3008","511.2126"
"9.2000","0.3040","514.9124"
"9.3000","0.3073","518.3386"
"9.4000","0.3106","521.7238"
"9.5000","0.3138","524.8784"
"9.6000","0.3174","529.2986"
"9.7000","0.3207","532.8939"
"9.8000","0.3240","536.0236"
"9.9000","0.3275","539.6212"
"10.0000","0.3307","542.3754"
"10.1000","0.3341","545.0986"
"10.2000","0.3371","547.5755"
"10.3000","0.3406","551.0396"
"10.4000","0.3440","554.4434"
"10.5000","0.3473","556.8906"
"10.6000","0.3508","560.4853"
"10.7000","0.3541","563.1617"
"10.8000","0.3574","565.5244"
"10.9000","0.3606","567.6978"
"11.0000","0.3639","569.9512"
"11.1000","0.3673","573.4343"
"11.2000","0.3706","575.6676"
"11.3000","0.3741","578.7330"
"11.4000","0.3774","581.1459"
"11.5000","0.3808","583.9937"
