
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1190"
"0.0500","0.0001","0.0486"
"0.1000","0.0008","-0.0106"
"0.1500","0.0010","0.0001"
"0.2000","0.0026","-0.0800"
"0.2500","0.0056","0.0770"
"0.3000","0.0077","0.2295"
"0.3500","0.0090","0.0632"
"0.4000","0.0109","0.1548"
"0.4500","0.0127","0.1255"
"0.5000","0.0142","0.0717"
"0.5500","0.0161","0.2120"
"0.6000","0.0176","0.0993"
"0.6500","0.0194","0.1397"
"0.7000","0.0208","0.2120"
"0.7500","0.0227","0.0306"
"0.8000","0.0244","-0.1191"
"0.8500","0.0259","-0.0279"
"0.9000","0.0277","-0.0132"
"0.9500","0.0293","-0.0622"
"1.0000","0.0312","0.0984"
"1.0500","0.0324","0.0498"
"1.1000","0.0344","0.1363"
"1.1500","0.0360","0.1953"
"1.2000","0.0376","0.0133"
"1.2500","0.0394","0.1103"
"1.3000","0.0410","0.3861"
"1.3500","0.0427","0.0826"
"1.4000","0.0440","0.1129"
"1.4500","0.0460","-0.1154"
"1.5000","0.0477","0.1728"
"1.5500","0.0494","0.0270"
"1.6000","0.0510","0.1490"
"1.6500","0.0526","0.1536"
"1.7000","0.0543","0.2808"
"1.7500","0.0557","-0.0617"
"1.8000","0.0578","0.0242"
"1.8500","0.0593","0.1220"
"1.9000","0.0610","0.0320"
"1.9500","0.0626","-0.0990"
"2.0000","0.0643","-0.0202"
"2.0500","0.0660","0.0369"
"2.1000","0.0675","0.0536"
"2.1500","0.0695","0.1766"
"2.2000","0.0709","0.0613"
"2.2500","0.0727","0.1828"
"2.3000","0.0743","0.2185"
"2.3500","0.0762","0.2088"
"2.4000","0.0776","0.0811"
"2.4500","0.0791","0.1216"
"2.5000","0.0811","-0.0006"
"2.5500","0.0826","0.2155"
"2.6000","0.0845","0.1564"
"2.6500","0.0859","0.1585"
"2.7000","0.0878","0.2105"
"2.7500","0.0892","0.1531"
"2.8000","0.0909","0.2342"
"2.8500","0.0928","0.0707"
"2.9000","0.0943","0.2861"
"2.9500","0.0961","0.1155"
"3.0000","0.0976","0.2123"
"3.0500","0.0994","0.0957"
"3.1000","0.1008","0.0225"
"3.1500","0.1027","0.2051"
"3.2000","0.1044","0.2491"
"3.2500","0.1059","0.0550"
"3.3000","0.1078","0.0411"
"3.3500","0.1093","0.0860"
"3.4000","0.1111","0.1603"
"3.4500","0.1124","0.0826"
"3.5000","0.1143","0.0714"
"3.5500","0.1160","0.0962"
"3.6000","0.1176","0.1875"
"3.6500","0.1194","0.1985"
"3.7000","0.1210","0.1718"
"3.7500","0.1227","0.0972"
"3.8000","0.1240","0.1609"
"3.8500","0.1260","0.1201"
"3.9000","0.1277","0.3303"
"3.9500","0.1293","0.1627"
"4.0000","0.1311","0.1414"
"4.0500","0.1326","0.2578"
"4.1000","0.1343","0.0187"
"4.1500","0.1358","0.1335"
"4.2000","0.1378","0.1515"
"4.2500","0.1393","0.1993"
"4.3000","0.1409","0.1597"
"4.3500","0.1427","-0.0823"
"4.4000","0.1443","0.0304"
"4.4500","0.1460","0.1294"
"4.5000","0.1475","0.1828"
"4.5500","0.1494","0.0672"
"4.6000","0.1510","0.1443"
"4.6500","0.1527","-0.0769"
"4.7000","0.1544","0.1430"
"4.7500","0.1561","0.1636"
"4.8000","0.1576","0.2343"
"4.8500","0.1591","0.0041"
"4.9000","0.1611","0.1345"
"4.9500","0.1626","0.2393"
"5.0000","0.1644","0.0677"
"5.0500","0.1660","0.1913"
"5.1000","0.1677","0.1472"
"5.1500","0.1692","0.1026"
