
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0053"
"0.2500","0.0162","4.1444"
"0.5000","0.0372","10.5072"
"0.7500","0.0579","14.1587"
"1.0000","0.0787","15.1047"
"1.2500","0.0995","16.4487"
"1.5000","0.1203","19.5561"
"1.7500","0.1413","28.3200"
"2.0000","0.1621","39.3232"
"2.2500","0.1828","40.4208"
"2.5000","0.2036","40.1884"
"2.7500","0.2245","39.8083"
"3.0000","0.2454","40.7832"
"3.2500","0.2663","39.9228"
"3.5000","0.2871","40.4831"
"3.7500","0.3078","40.1093"
"4.0000","0.3286","40.4299"
"4.2500","0.3496","40.9883"
"4.5000","0.3704","40.7127"
"4.7500","0.3913","41.1768"
"5.0000","0.4121","40.5587"
"5.2500","0.4328","40.3800"
"5.5000","0.4537","41.5488"
"5.7500","0.4746","42.6361"
"6.0000","0.4954","56.1810"
"6.2500","0.5162","68.1721"
"6.5000","0.5370","80.6730"
"6.7500","0.5578","93.6682"
"7.0000","0.5788","108.9640"
"7.2500","0.5996","124.7854"
"7.5000","0.6204","141.7270"
"7.7500","0.6412","159.1120"
"8.0000","0.6620","175.6480"
"8.2500","0.6829","191.1979"
"8.5000","0.7038","206.2619"
"8.7500","0.7245","221.3095"
"9.0000","0.7454","240.0818"
"9.2500","0.7662","261.5547"
"9.5000","0.7870","284.6301"
"9.7500","0.8080","310.9876"
"10.0000","0.8288","337.9310"
"10.2500","0.8496","365.0117"
"10.5000","0.8703","392.1328"
"10.7500","0.8912","420.7933"
"11.0000","0.9121","450.3459"
"11.2500","0.9330","480.5218"
"11.5000","0.9537","511.2098"
"11.7500","0.9745","543.9134"
"12.0000","0.9954","577.2279"
"12.2500","1.0162","611.4996"
"12.5000","1.0371","646.5962"
"12.7500","1.0579","682.0534"
"13.0000","1.0787","717.2266"
"13.2500","1.0995","755.6725"
"13.5000","1.1204","798.8162"
"13.7500","1.1413","845.3848"
"14.0000","1.1621","894.2759"
"14.2500","1.1829","938.7491"
"14.5000","1.2037","989.9518"
"14.7500","1.2245","1034.6852"
"15.0000","1.2454","1090.6088"
"15.2500","1.2663","1145.5739"
"15.5000","1.2871","1198.2507"
"15.7500","1.3079","1239.8204"
"16.0000","1.3286","1289.6289"
"16.2500","1.3495","1339.2101"
"16.5000","1.3705","1386.7502"
"16.7500","1.3913","1431.6687"
"17.0000","1.4121","1472.9454"
"17.2500","1.4329","1512.8789"
"17.5000","1.4536","1550.8695"
"17.7500","1.4746","1586.2159"
"18.0000","1.4955","1621.5233"
"18.2500","1.5162","1656.1390"
"18.5000","1.5370","1672.0920"
"18.7500","1.5578","1702.1375"
"19.0000","1.5787","1730.2889"
"19.2500","1.5997","1759.7787"
"19.5000","1.6205","1781.9719"
"19.7500","1.6412","1802.5326"
"20.0000","1.6620","1816.4530"
"20.2500","1.6829","1836.6748"
"20.5000","1.7037","1819.9015"
"20.7500","1.7246","1836.3903"
"21.0000","1.7454","1848.3888"
"21.2500","1.7661","1866.5671"
"21.5000","1.7870","1876.5455"
"21.7500","1.8078","1888.4526"
"22.0000","1.8288","1904.8033"
"22.2500","1.8496","1918.3168"
"22.5000","1.8703","1903.8666"
"22.7500","1.8912","1904.6283"
"23.0000","1.9121","1901.6191"
"23.2500","1.9329","1907.5314"
"23.5000","1.9538","1908.8425"
"23.7500","1.9746","1905.5645"
"24.0000","1.9953","1900.4427"
"24.2500","2.0161","1896.5305"
"24.5000","2.0371","1897.4082"
"24.7500","2.0579","1899.3622"
"25.0000","2.0788","1893.6104"
"25.2500","2.0996","1877.3613"
"25.5000","2.1203","1873.2856"
"25.7500","2.1412","1871.4399"
"26.0000","2.1621","1870.1412"
"26.2500","2.1829","1864.6693"
"26.5000","2.2038","1859.4280"
"26.7500","2.2245","1847.2625"
"27.0000","2.2453","1842.5300"
"27.2500","2.2663","1826.5858"
"27.5000","2.2871","1811.4141"
"27.7500","2.3079","1802.4161"
"28.0000","2.3287","1796.0306"
"28.2500","2.3495","1783.8533"
"28.5000","2.3704","1775.2454"
"28.7500","2.3913","1758.1154"
"29.0000","2.4121","1591.7032"
"29.2500","2.4329","1521.9088"
"29.5000","2.4537","1432.4380"
"29.7500","2.4745","1361.6216"
"30.0000","2.4955","1264.1307"
"30.2500","2.5162","1179.5582"
"30.5000","2.5371","1101.3342"
"30.7500","2.5578","1030.2894"
"31.0000","2.5787","979.3337"
"31.2500","2.5996","918.8910"
"31.5000","2.6205","831.2361"
"31.7500","2.6413","796.5663"
"32.0000","2.6620","790.8517"
"32.2500","2.6828","788.5310"
"32.5000","2.7037","784.5166"
"32.7500","2.7246","781.3120"
"33.0000","2.7455","774.7547"
"33.2500","2.7662","758.7333"
"33.5000","2.7869","739.6800"
"33.7500","2.8079","710.4681"
"34.0000","2.8288","687.4286"
