
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1241"
"0.2500","0.0152","6.1442"
"0.5000","0.0362","10.8796"
"0.7500","0.0570","19.7042"
"1.0000","0.0779","31.6723"
"1.2500","0.0987","47.4425"
"1.5000","0.1196","67.9273"
"1.7500","0.1404","92.0917"
"2.0000","0.1611","120.0913"
"2.2500","0.1820","151.5933"
"2.5000","0.2029","186.1903"
"2.7500","0.2238","221.6552"
"3.0000","0.2446","256.8424"
"3.2500","0.2654","298.6576"
"3.5000","0.2862","341.8197"
"3.7500","0.3070","384.3621"
"4.0000","0.3279","427.0629"
"4.2500","0.3488","471.2419"
"4.5000","0.3696","515.7933"
"4.7500","0.3903","560.8110"
"5.0000","0.4112","607.3511"
"5.2500","0.4321","658.0000"
"5.5000","0.4529","712.3560"
"5.7500","0.4737","766.7018"
"6.0000","0.4945","823.4402"
"6.2500","0.5153","881.9180"
"6.5000","0.5362","944.7079"
"6.7500","0.5572","1011.3832"
"7.0000","0.5779","1079.7322"
"7.2500","0.5988","1150.8096"
"7.5000","0.6195","1222.7350"
"7.7500","0.6403","1298.3252"
"8.0000","0.6614","1376.8418"
"8.2500","0.6821","1452.2716"
"8.5000","0.7028","1527.1066"
"8.7500","0.7237","1603.6587"
"9.0000","0.7445","1679.1132"
"9.2500","0.7653","1754.0634"
"9.5000","0.7863","1831.2977"
"9.7500","0.8071","1906.7407"
"10.0000","0.8278","1982.5676"
"10.2500","0.8487","2056.9402"
"10.5000","0.8695","2129.7188"
"10.7500","0.8905","2206.4778"
"11.0000","0.9113","2278.7292"
"11.2500","0.9320","2349.6948"
"11.5000","0.9528","2420.0918"
"11.7500","0.9737","2489.6509"
"12.0000","0.9945","2559.2195"
"12.2500","1.0154","2626.4419"
"12.5000","1.0363","2693.2710"
"12.7500","1.0570","2755.6780"
"13.0000","1.0778","2818.7190"
"13.2500","1.0988","2883.7312"
"13.5000","1.1196","2946.5444"
"13.7500","1.1405","3007.2305"
"14.0000","1.1613","3064.9141"
"14.2500","1.1819","3120.2173"
"14.5000","1.2029","3178.2288"
"14.7500","1.2238","3235.8032"
"15.0000","1.2446","3288.7739"
"15.2500","1.2655","3342.6504"
"15.5000","1.2862","3392.1802"
"15.7500","1.3069","3439.0520"
"16.0000","1.3279","3488.9468"
"16.2500","1.3488","3536.8848"
"16.5000","1.3696","3580.8694"
"16.7500","1.3904","3624.0671"
"17.0000","1.4111","3664.0913"
"17.2500","1.4320","3708.0247"
"17.5000","1.4530","3749.7112"
"17.7500","1.4737","3785.0569"
"18.0000","1.4946","3821.9978"
"18.2500","1.5153","3855.3872"
"18.5000","1.5362","3888.8186"
"18.7500","1.5571","3920.4158"
"19.0000","1.5780","3952.6980"
"19.2500","1.5988","3978.4670"
"19.5000","1.6195","4006.5911"
"19.7500","1.6404","4032.3445"
"20.0000","1.6612","4055.4985"
"20.2500","1.6822","4080.2095"
"20.5000","1.7030","4099.0049"
"20.7500","1.7237","4120.2280"
"21.0000","1.7445","4136.6855"
"21.2500","1.7654","4155.6162"
"21.5000","1.7862","4176.6392"
"21.7500","1.8071","4195.9526"
"22.0000","1.8279","4209.1724"
"22.2500","1.8487","4220.8345"
"22.5000","1.8696","4228.2837"
"22.7500","1.8905","4234.8843"
"23.0000","1.9113","4240.4141"
"23.2500","1.9321","4249.6143"
"23.5000","1.9529","4258.6299"
"23.7500","1.9737","4263.9082"
"24.0000","1.9945","4269.9126"
"24.2500","2.0154","4278.8950"
"24.5000","2.0363","4286.5547"
"24.7300","2.0554","4281.4834"

