
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0529"
"0.0500","0.0000","0.0573"
"0.1000","0.0006","-0.0038"
"0.1500","0.0010","0.0807"
"0.2000","0.0024","0.0042"
"0.2500","0.0052","0.1111"
"0.3000","0.0071","0.1051"
"0.3500","0.0090","0.0524"
"0.4000","0.0106","0.0462"
"0.4500","0.0123","0.2387"
"0.5000","0.0140","0.0883"
"0.5500","0.0157","0.0442"
"0.6000","0.0173","-0.0801"
"0.6500","0.0189","0.0237"
"0.7000","0.0208","0.0593"
"0.7500","0.0223","0.3672"
"0.8000","0.0241","0.2656"
"0.8500","0.0256","0.1141"
"0.9000","0.0275","0.1130"
"0.9500","0.0290","0.3754"
"1.0000","0.0305","0.4011"
"1.0500","0.0325","0.4389"
"1.1000","0.0340","0.2123"
"1.1500","0.0358","0.3081"
"1.2000","0.0373","0.3941"
"1.2500","0.0391","0.4747"
"1.3000","0.0406","0.2845"
"1.3500","0.0422","0.3655"
"1.4000","0.0441","0.5107"
"1.4500","0.0456","0.5785"
"1.5000","0.0475","0.4812"
"1.5500","0.0490","0.4054"
"1.6000","0.0508","0.4771"
"1.6500","0.0522","0.4151"
"1.7000","0.0540","0.5122"
"1.7500","0.0558","0.4577"
"1.8000","0.0572","0.5005"
"1.8500","0.0591","0.5350"
"1.9000","0.0607","0.3364"
"1.9500","0.0625","0.5783"
"2.0000","0.0639","0.4513"
"2.0500","0.0657","0.5265"
"2.1000","0.0674","0.4638"
"2.1500","0.0689","0.5484"
"2.2000","0.0707","0.6575"
"2.2500","0.0723","0.7397"
"2.3000","0.0741","0.7678"
"2.3500","0.0754","0.7740"
"2.4000","0.0773","0.8159"
"2.4500","0.0790","0.8832"
"2.5000","0.0806","0.7074"
"2.5500","0.0824","0.6989"
"2.6000","0.0840","0.8259"
"2.6500","0.0858","0.6373"
"2.7000","0.0871","0.7473"
"2.7500","0.0891","1.0196"
"2.8000","0.0907","0.9442"
"2.8500","0.0923","1.1830"
"2.9000","0.0941","0.9675"
"2.9500","0.0957","1.0004"
"3.0000","0.0974","0.9732"
"3.0500","0.0988","1.1381"
"3.1000","0.1008","1.1872"
"3.1500","0.1023","1.1618"
"3.2000","0.1040","1.2037"
"3.2500","0.1057","1.1939"
"3.3000","0.1074","1.2271"
"3.3500","0.1091","1.0886"
"3.4000","0.1104","1.1826"
"3.4500","0.1125","1.3336"
"3.5000","0.1140","1.2409"
"3.5500","0.1158","1.2322"
"3.6000","0.1173","1.1962"
"3.6500","0.1191","1.2845"
"3.7000","0.1207","1.3722"
"3.7500","0.1221","1.2560"
"3.8000","0.1242","1.3670"
"3.8500","0.1257","1.3473"
"3.9000","0.1275","1.3375"
"3.9500","0.1289","1.2847"
"4.0000","0.1307","1.1983"
"4.0500","0.1322","1.3932"
"4.1000","0.1338","1.4835"
"4.1500","0.1358","1.3852"
"4.2000","0.1373","1.4633"
"4.2500","0.1391","1.5193"
"4.3000","0.1405","1.7192"
"4.3500","0.1424","1.7703"
"4.4000","0.1439","1.7974"
"4.4500","0.1456","1.9354"
"4.5000","0.1475","2.0246"
"4.5500","0.1490","2.2486"
"4.6000","0.1508","2.3038"
"4.6500","0.1523","2.2703"
"4.7000","0.1542","2.6216"
"4.7500","0.1555","2.6377"
"4.8000","0.1573","2.5813"
"4.8500","0.1591","2.6010"
"4.9000","0.1606","2.8134"
"4.9500","0.1625","3.0709"
"5.0000","0.1639","2.8128"
"5.0500","0.1658","2.9608"
"5.1000","0.1671","2.9270"
"5.1500","0.1691","2.7299"
"5.2000","0.1708","2.8480"
"5.2500","0.1724","2.7556"
"5.3000","0.1741","2.8706"
"5.3500","0.1756","2.8486"
"5.4000","0.1774","2.7474"
"5.4500","0.1788","2.7925"
"5.5000","0.1808","2.8177"
"5.5500","0.1823","2.5640"
"5.6000","0.1840","2.7253"
"5.6500","0.1857","2.7676"
"5.7000","0.1873","2.8390"
"5.7500","0.1891","3.0019"
"5.8000","0.1904","3.1428"
"5.8500","0.1924","3.0382"
"5.9000","0.1940","3.0105"
"5.9500","0.1957","3.0167"
"6.0000","0.1974","3.0277"
"6.0500","0.1990","2.7992"
"6.1000","0.2007","2.9675"
"6.1500","0.2021","2.9085"
"6.2000","0.2041","2.9002"
"6.2500","0.2057","2.9101"
"6.3000","0.2074","3.0769"
"6.3500","0.2091","3.1600"
"6.4000","0.2107","2.9987"
"6.4500","0.2123","3.0343"
"6.5000","0.2138","2.8783"
"6.5500","0.2159","2.9380"
"6.6000","0.2173","3.4223"
"6.6500","0.2191","3.2673"
"6.7000","0.2207","3.4156"
"6.7500","0.2224","3.2826"
"6.8000","0.2240","3.4715"
"6.8500","0.2255","3.4623"
"6.9000","0.2275","3.4057"
"6.9500","0.2290","3.3072"
"7.0000","0.2307","3.5310"
"7.0500","0.2324","3.5149"
"7.1000","0.2342","3.3304"
"7.1500","0.2356","3.4934"
"7.2000","0.2372","3.4866"
"7.2500","0.2391","3.3037"
"7.3000","0.2407","3.2597"
"7.3500","0.2425","3.4182"
"7.4000","0.2440","3.3762"
"7.4500","0.2458","3.4690"
"7.5000","0.2472","3.1662"
"7.5500","0.2489","3.3768"
"7.6000","0.2508","3.3211"
"7.6500","0.2523","3.4532"
"7.7000","0.2541","3.5924"
"7.7500","0.2556","3.4866"
"7.8000","0.2575","3.2996"
"7.8500","0.2589","3.4249"
"7.9000","0.2606","3.2638"
"7.9500","0.2624","3.3261"
"8.0000","0.2640","3.3241"
"8.0500","0.2657","3.3785"
"8.1000","0.2673","3.3452"
"8.1500","0.2692","3.3795"
"8.2000","0.2705","3.2797"
"8.2500","0.2723","3.2073"
"8.3000","0.2741","3.4600"
"8.3500","0.2757","3.3525"
"8.4000","0.2774","3.4657"
"8.4500","0.2790","3.2051"
"8.5000","0.2808","3.4312"
"8.5500","0.2821","3.4551"
"8.6000","0.2840","3.4091"
"8.6500","0.2857","3.3403"
"8.7000","0.2873","3.4719"
"8.7500","0.2891","3.5119"
"8.8000","0.2907","3.4664"
"8.8500","0.2925","3.2392"
"8.9000","0.2938","3.2754"
"8.9500","0.2958","3.3832"
"9.0000","0.2973","3.5634"
"9.0500","0.2989","3.3798"
"9.1000","0.3008","3.4286"
"9.1500","0.3024","3.3875"
"9.2000","0.3041","3.4186"
"9.2500","0.3054","3.4156"
"9.3000","0.3075","3.2982"
"9.3500","0.3090","3.1836"
"9.4000","0.3106","3.5053"
"9.4500","0.3124","3.2899"
"9.5000","0.3141","3.2180"
"9.5500","0.3157","3.5225"
"9.6000","0.3171","3.5048"
"9.6500","0.3191","3.5207"
"9.7000","0.3206","3.6542"
"9.7500","0.3224","3.5496"
"9.8000","0.3240","3.5286"
"9.8500","0.3258","3.5332"
"9.9000","0.3273","3.6752"
"9.9500","0.3288","3.4329"
"10.0000","0.3308","3.4745"
"10.0500","0.3323","3.6663"
"10.1000","0.3341","3.6648"
"10.1500","0.3357","3.5803"
"10.2000","0.3375","3.6118"
"10.2500","0.3389","3.4568"
"10.3000","0.3405","3.6446"
"10.3500","0.3425","3.6664"
"10.4000","0.3439","3.5539"
"10.4500","0.3458","3.5873"
"10.5000","0.3473","3.4775"
"10.5500","0.3492","3.5845"
"10.6000","0.3505","3.7911"
"10.6500","0.3522","3.5597"
"10.7000","0.3542","3.8850"
"10.7500","0.3556","3.6128"
"10.8000","0.3575","3.6379"
"10.8500","0.3589","3.4185"
"10.9000","0.3609","3.5736"
"10.9500","0.3622","3.4917"
"11.0000","0.3639","3.6681"
"11.0500","0.3658","3.7597"
"11.1000","0.3673","3.8409"
