
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0056"
"0.0500","0.0001","0.0039"
"0.1000","0.0007","0.0028"
"0.1500","0.0010","0.0164"
"0.2000","0.0025","0.0069"
"0.2500","0.0054","0.0008"
"0.3000","0.0076","0.0154"
"0.3500","0.0090","0.0118"
"0.4000","0.0110","0.0147"
"0.4500","0.0126","0.0234"
"0.5000","0.0143","0.0169"
"0.5500","0.0160","0.0153"
"0.6000","0.0176","0.0081"
"0.6500","0.0194","0.0230"
"0.7000","0.0207","0.0243"
"0.7500","0.0227","0.0078"
"0.8000","0.0242","0.0222"
"0.8500","0.0260","0.0229"
"0.9000","0.0277","0.0145"
"0.9500","0.0294","0.0030"
"1.0000","0.0310","0.0080"
"1.0500","0.0324","0.0205"
"1.1000","0.0344","0.0140"
"1.1500","0.0359","0.0258"
"1.2000","0.0377","0.0094"
"1.2500","0.0393","-0.0024"
"1.3000","0.0410","0.0152"
"1.3500","0.0426","0.0098"
"1.4000","0.0441","0.0211"
"1.4500","0.0461","-0.0053"
"1.5000","0.0476","0.0084"
"1.5500","0.0494","0.0167"
"1.6000","0.0509","0.0112"
"1.6500","0.0527","-0.0114"
"1.7000","0.0542","0.0035"
"1.7500","0.0558","0.0285"
"1.8000","0.0578","0.0177"
"1.8500","0.0592","0.0088"
"1.9000","0.0611","-0.0098"
"1.9500","0.0625","0.0234"
"2.0000","0.0644","0.0180"
"2.0500","0.0658","0.0032"
"2.1000","0.0675","0.0168"
"2.1500","0.0694","0.0141"
"2.2000","0.0709","0.0093"
"2.2500","0.0727","0.0218"
"2.3000","0.0742","0.0156"
"2.3500","0.0761","-0.0168"
"2.4000","0.0775","-0.0064"
"2.4500","0.0792","0.0256"
"2.5000","0.0810","0.0032"
"2.5500","0.0826","0.0049"
"2.6000","0.0844","0.0056"
"2.6500","0.0859","0.0095"
"2.7000","0.0878","0.0194"
"2.7500","0.0891","0.0032"
"2.8000","0.0910","0.0232"
"2.8500","0.0927","0.0092"
"2.9000","0.0943","0.0172"
"2.9500","0.0961","0.0165"
"3.0000","0.0976","0.0220"
"3.0500","0.0993","0.0024"
"3.1000","0.1007","-0.0024"
"3.1500","0.1027","0.0133"
"3.2000","0.1043","0.0009"
"3.2500","0.1060","0.0175"
"3.3000","0.1077","0.0020"
"3.3500","0.1093","0.0071"
"3.4000","0.1110","0.0126"
"3.4500","0.1124","0.0118"
"3.5000","0.1143","0.0066"
"3.5500","0.1159","0.0006"
"3.6000","0.1176","-0.0022"
"3.6500","0.1193","0.0204"
"3.7000","0.1209","0.0008"
"3.7500","0.1226","0.0001"
"3.8000","0.1241","0.0153"
"3.8500","0.1260","0.0121"
"3.9000","0.1276","0.0171"
"3.9500","0.1294","0.0347"
"4.0000","0.1310","0.0179"
"4.0500","0.1326","0.0323"
"4.1000","0.1343","0.0442"
"4.1500","0.1358","0.0359"
"4.2000","0.1378","0.0314"
"4.2500","0.1392","0.0248"
"4.3000","0.1410","0.0341"
"4.3500","0.1426","0.0208"
"4.4000","0.1443","0.0324"
"4.4500","0.1459","0.0397"
"4.5000","0.1475","0.0318"
"4.5500","0.1494","0.0261"
"4.6000","0.1509","0.0216"
"4.6500","0.1527","0.0276"
"4.7000","0.1543","0.0232"
"4.7500","0.1561","0.0301"
"4.8000","0.1575","0.0215"
"4.8500","0.1591","0.0501"
"4.9000","0.1610","0.0239"
"4.9500","0.1626","0.0111"
"5.0000","0.1644","0.0184"
"5.0500","0.1659","0.0174"
"5.1000","0.1677","0.0252"
"5.1500","0.1692","0.0437"
"5.2000","0.1708","0.0311"
"5.2500","0.1727","0.0224"
"5.3000","0.1742","0.0242"
"5.3500","0.1760","0.0269"
"5.4000","0.1775","0.0273"
"5.4500","0.1794","0.0292"
"5.5000","0.1808","0.0267"
"5.5500","0.1825","0.0413"
