
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0647"
"0.1000","0.0004","0.2240"
"0.2000","0.0018","1.2360"
"0.3000","0.0065","4.7048"
"0.4000","0.0100","7.1925"
"0.5000","0.0135","9.6926"
"0.6000","0.0168","12.0575"
"0.7000","0.0202","14.3070"
"0.8000","0.0237","16.7491"
"0.9000","0.0270","18.9097"
"1.0000","0.0304","21.2059"
"1.1000","0.0334","23.1736"
"1.2000","0.0369","25.4730"
"1.3000","0.0402","27.6673"
"1.4000","0.0434","29.7324"
"1.5000","0.0470","32.1148"
"1.6000","0.0503","34.2407"
"1.7000","0.0537","36.4289"
"1.8000","0.0569","38.4570"
"1.9000","0.0601","40.5153"
"2.0000","0.0636","42.7122"
"2.1000","0.0667","44.6850"
"2.2000","0.0703","47.0269"
"2.3000","0.0737","49.1293"
"2.4000","0.0770","51.2508"
"2.5000","0.0803","53.3041"
"2.6000","0.0835","55.3121"
"2.7000","0.0869","57.3957"
"2.8000","0.0900","59.3437"
"2.9000","0.0936","61.5590"
"3.0000","0.0970","63.6872"
"3.1000","0.1003","65.7259"
"3.2000","0.1037","67.8513"
"3.3000","0.1069","69.8210"
"3.4000","0.1103","71.9024"
"3.5000","0.1133","73.6761"
"3.6000","0.1169","75.8776"
"3.7000","0.1202","77.8673"
"3.8000","0.1236","79.8883"
"3.9000","0.1271","82.0483"
"4.0000","0.1304","84.0033"
"4.1000","0.1337","85.9587"
"4.2000","0.1367","87.7913"
"4.3000","0.1402","89.8228"
"4.4000","0.1435","91.7925"
"4.5000","0.1468","93.7389"
"4.6000","0.1504","95.9208"
"4.7000","0.1537","97.8334"
"4.8000","0.1571","99.8522"
"4.9000","0.1602","101.6705"
"5.0000","0.1636","103.5979"
"5.1000","0.1668","105.5109"
"5.2000","0.1701","107.3722"
"5.3000","0.1737","109.4946"
"5.4000","0.1770","111.4051"
"5.5000","0.1803","113.3031"
"5.6000","0.1837","115.2517"
"5.7000","0.1869","117.0427"
"5.8000","0.1903","118.9767"
"5.9000","0.1933","120.6494"
"6.0000","0.1969","122.6778"
"6.1000","0.2003","124.5769"
"6.2000","0.2036","126.3881"
"6.3000","0.2070","128.3277"
"6.4000","0.2104","130.1549"
"6.5000","0.2136","131.9215"
"6.6000","0.2168","133.5984"
"6.7000","0.2202","135.4280"
"6.8000","0.2235","137.2164"
"6.9000","0.2268","138.9469"
"7.0000","0.2304","140.8412"
"7.1000","0.2336","142.5327"
"7.2000","0.2371","144.3645"
"7.3000","0.2401","145.8567"
"7.4000","0.2436","147.6867"
"7.5000","0.2469","149.3550"
"7.6000","0.2501","150.9426"
"7.7000","0.2537","152.8171"
"7.8000","0.2570","154.4327"
"7.9000","0.2603","156.1068"
"8.0000","0.2636","157.6932"
