Time,Displacement,Force
(s),(mm),(kN)
"0.0000","18.2151","0.0122"
"0.0200","18.2151","0.0122"
"0.0400","18.2151","0.0122"
"0.0600","18.2153","0.0122"
"0.0800","18.2157","0.0122"
"0.1000","18.2163","0.0122"
"0.1200","18.2167","0.0123"
"0.1400","18.2169","0.0124"
"0.1600","18.2173","0.0123"
"0.1800","18.2182","0.0122"
"0.2000","18.2195","0.0123"
"0.2200","18.2210","0.0124"
"0.2400","18.2225","0.0125"
"0.2600","18.2238","0.0125"
"0.2800","18.2251","0.0125"
"0.3000","18.2263","0.0124"
"0.3200","18.2273","0.0126"
"0.3400","18.2284","0.0126"
"0.3600","18.2294","0.0127"
"0.3800","18.2305","0.0126"
"0.4000","18.2315","0.0125"
"0.4200","18.2325","0.0125"
"0.4400","18.2335","0.0126"
"0.4600","18.2344","0.0128"
"0.4800","18.2353","0.0128"
"0.5000","18.2364","0.0129"
"0.5200","18.2375","0.0128"
"0.5400","18.2385","0.0127"
"0.5600","18.2394","0.0128"
"0.5800","18.2405","0.0127"
"0.6000","18.2415","0.0126"
"0.6200","18.2425","0.0127"
"0.6400","18.2435","0.0129"
"0.6600","18.2445","0.0129"
"0.6800","18.2455","0.0129"
"0.7000","18.2464","0.0130"
"0.7200","18.2473","0.0131"
"0.7400","18.2484","0.0131"
"0.7600","18.2495","0.0132"
"0.7800","18.2505","0.0132"
"0.8000","18.2515","0.0132"
"0.8200","18.2525","0.0130"
"0.8400","18.2535","0.0130"
"0.8600","18.2545","0.0129"
"0.8800","18.2556","0.0130"
"0.9000","18.2565","0.0131"
"0.9200","18.2574","0.0130"
"0.9400","18.2583","0.0131"
"0.9600","18.2593","0.0131"
"0.9800","18.2604","0.0131"
"1.0000","18.2614","0.0131"
"1.0200","18.2625","0.0130"
"1.0400","18.2635","0.0130"
"1.0600","18.2645","0.0130"
"1.0800","18.2655","0.0132"
"1.1000","18.2665","0.0132"
"1.1200","18.2675","0.0132"
"1.1400","18.2685","0.0131"
"1.1600","18.2693","0.0133"
"1.1800","18.2703","0.0133"
"1.2000","18.2713","0.0134"
"1.2200","18.2724","0.0133"
"1.2400","18.2734","0.0131"
"1.2600","18.2744","0.0131"
"1.2800","18.2754","0.0131"
"1.3000","18.2764","0.0133"
"1.3200","18.2775","0.0134"
"1.3400","18.2785","0.0133"
"1.3600","18.2796","0.0134"
"1.3800","18.2805","0.0135"
"1.4000","18.2813","0.0135"
"1.4200","18.2823","0.0133"
"1.4400","18.2834","0.0134"
"1.4600","18.2844","0.0135"
"1.4800","18.2854","0.0136"
"1.5000","18.2864","0.0135"
"1.5200","18.2875","0.0135"
"1.5400","18.2885","0.0135"
"1.5600","18.2895","0.0135"
"1.5800","18.2906","0.0134"
"1.6000","18.2915","0.0134"
"1.6200","18.2924","0.0135"
"1.6400","18.2933","0.0135"
"1.6600","18.2943","0.0135"
"1.6800","18.2954","0.0135"
"1.7000","18.2965","0.0136"
"1.7200","18.2975","0.0136"
"1.7400","18.2985","0.0136"
"1.7600","18.2995","0.0137"
"1.7800","18.3005","0.0137"
"1.8000","18.3015","0.0138"
"1.8200","18.3025","0.0138"
"1.8400","18.3034","0.0138"
"1.8600","18.3043","0.0140"
"1.8800","18.3053","0.0140"
"1.9000","18.3064","0.0138"
"1.9200","18.3075","0.0137"
"1.9400","18.3085","0.0138"
"1.9600","18.3095","0.0138"
"1.9800","18.3105","0.0139"
"2.0000","18.3115","0.0138"
"2.0200","18.3125","0.0139"
"2.0400","18.3135","0.0140"
"2.0600","18.3145","0.0140"
"2.0800","18.3154","0.0139"
"2.1000","18.3163","0.0137"
"2.1200","18.3174","0.0136"
"2.1400","18.3185","0.0138"
"2.1600","18.3195","0.0139"
"2.1800","18.3204","0.0140"
"2.2000","18.3215","0.0139"
"2.2200","18.3225","0.0140"
"2.2400","18.3236","0.0140"
"2.2600","18.3246","0.0139"
"2.2800","18.3256","0.0139"
"2.3000","18.3265","0.0140"
"2.3200","18.3273","0.0139"
"2.3400","18.3283","0.0140"
"2.3600","18.3295","0.0141"
"2.3800","18.3305","0.0141"
"2.4000","18.3315","0.0140"
"2.4200","18.3325","0.0140"
"2.4400","18.3335","0.0141"
"2.4600","18.3345","0.0142"
"2.4800","18.3354","0.0140"
"2.5000","18.3365","0.0140"
"2.5200","18.3375","0.0141"
"2.5400","18.3383","0.0141"
"2.5600","18.3393","0.0143"
"2.5800","18.3404","0.0142"
"2.6000","18.3414","0.0140"
"2.6200","18.3424","0.0140"
"2.6400","18.3434","0.0142"
"2.6600","18.3445","0.0142"
"2.6800","18.3455","0.0141"
"2.7000","18.3465","0.0142"
"2.7200","18.3475","0.0145"
"2.7400","18.3485","0.0144"
"2.7600","18.3494","0.0143"
"2.7800","18.3503","0.0143"
"2.8000","18.3513","0.0144"
"2.8200","18.3524","0.0144"
"2.8400","18.3535","0.0146"
"2.8600","18.3544","0.0145"
"2.8800","18.3554","0.0143"
"2.9000","18.3565","0.0144"
"2.9200","18.3575","0.0147"
"2.9400","18.3585","0.0145"
"2.9600","18.3595","0.0145"
"2.9800","18.3605","0.0145"
"3.0000","18.3613","0.0143"
"3.0200","18.3623","0.0145"
"3.0400","18.3634","0.0145"
"3.0600","18.3645","0.0144"
"3.0800","18.3655","0.0145"
"3.1000","18.3665","0.0146"
"3.1200","18.3675","0.0146"
"3.1400","18.3685","0.0146"
"3.1600","18.3695","0.0145"
"3.1800","18.3706","0.0145"
"3.2000","18.3716","0.0146"
"3.2200","18.3724","0.0147"
"3.2400","18.3733","0.0145"
"3.2600","18.3744","0.0145"
"3.2800","18.3755","0.0146"
"3.3000","18.3765","0.0146"
"3.3200","18.3775","0.0145"
"3.3400","18.3785","0.0145"
"3.3600","18.3795","0.0146"
"3.3800","18.3804","0.0146"
"3.4000","18.3814","0.0147"
"3.4200","18.3825","0.0149"
"3.4400","18.3835","0.0148"
"3.4600","18.3844","0.0146"
"3.4800","18.3853","0.0146"
"3.5000","18.3864","0.0148"
"3.5200","18.3875","0.0148"
"3.5400","18.3885","0.0149"
"3.5600","18.3895","0.0147"
"3.5800","18.3905","0.0147"
"3.6000","18.3915","0.0149"
"3.6200","18.3925","0.0150"
"3.6400","18.3935","0.0149"
"3.6600","18.3945","0.0147"
"3.6800","18.3954","0.0148"
"3.7000","18.3963","0.0149"
"3.7200","18.3973","0.0148"
"3.7400","18.3984","0.0147"
"3.7600","18.3994","0.0146"
"3.7800","18.4004","0.0148"
"3.8000","18.4015","0.0149"
"3.8200","18.4025","0.0151"
"3.8400","18.4034","0.0151"
"3.8600","18.4045","0.0149"
"3.8800","18.4055","0.0150"
"3.9000","18.4064","0.0149"
"3.9200","18.4073","0.0149"
"3.9400","18.4083","0.0149"
"3.9600","18.4094","0.0151"
"3.9800","18.4105","0.0149"
"4.0000","18.4115","0.0149"
"4.0200","18.4125","0.0150"
"4.0400","18.4135","0.0150"
"4.0600","18.4145","0.0151"
"4.0800","18.4155","0.0150"
"4.1000","18.4165","0.0150"
"4.1200","18.4175","0.0150"
"4.1400","18.4184","0.0149"
"4.1600","18.4193","0.0148"
"4.1800","18.4204","0.0150"
"4.2000","18.4215","0.0151"
"4.2200","18.4225","0.0150"
"4.2400","18.4235","0.0151"
"4.2600","18.4245","0.0151"
"4.2800","18.4255","0.0151"
"4.3000","18.4265","0.0152"
"4.3200","18.4275","0.0151"
"4.3400","18.4285","0.0152"
"4.3600","18.4295","0.0152"
"4.3800","18.4304","0.0151"
"4.4000","18.4313","0.0152"
"4.4200","18.4324","0.0152"
"4.4400","18.4335","0.0153"
"4.4600","18.4345","0.0155"
"4.4800","18.4355","0.0154"
"4.5000","18.4366","0.0152"
"4.5200","18.4376","0.0152"
"4.5400","18.4385","0.0153"
"4.5600","18.4395","0.0153"
"4.5800","18.4405","0.0153"
"4.6000","18.4413","0.0154"
"4.6200","18.4423","0.0154"
"4.6400","18.4433","0.0154"
"4.6600","18.4444","0.0154"
"4.6800","18.4455","0.0154"
"4.7000","18.4465","0.0152"
"4.7200","18.4475","0.0153"
"4.7400","18.4485","0.0153"
"4.7600","18.4495","0.0154"
"4.7800","18.4506","0.0153"
"4.8000","18.4515","0.0154"
"4.8200","18.4524","0.0154"
"4.8400","18.4533","0.0152"
"4.8600","18.4542","0.0153"
"4.8800","18.4553","0.0154"
"4.9000","18.4564","0.0154"
"4.9200","18.4575","0.0154"
"4.9400","18.4585","0.0156"
"4.9600","18.4595","0.0156"
"4.9800","18.4605","0.0155"
"5.0000","18.4615","0.0154"
"5.0200","18.4625","0.0155"
"5.0400","18.4635","0.0155"
"5.0600","18.4643","0.0157"
"5.0800","18.4653","0.0156"
"5.1000","18.4664","0.0155"
"5.1200","18.4675","0.0154"
"5.1400","18.4685","0.0154"
"5.1600","18.4695","0.0155"
"5.1800","18.4705","0.0156"
"5.2000","18.4716","0.0157"
"5.2200","18.4725","0.0158"
"5.2400","18.4735","0.0156"
"5.2600","18.4745","0.0156"
"5.2800","18.4754","0.0155"
"5.3000","18.4763","0.0154"
"5.3200","18.4773","0.0155"
"5.3400","18.4785","0.0155"
"5.3600","18.4795","0.0156"
"5.3800","18.4805","0.0157"
"5.4000","18.4815","0.0156"
"5.4200","18.4825","0.0156"
"5.4400","18.4835","0.0156"
"5.4600","18.4845","0.0157"
"5.4800","18.4855","0.0155"
"5.5000","18.4865","0.0156"
"5.5200","18.4874","0.0156"
"5.5400","18.4883","0.0157"
"5.5600","18.4894","0.0158"
"5.5800","18.4904","0.0157"
"5.6000","18.4915","0.0157"
"5.6200","18.4925","0.0157"
"5.6400","18.4935","0.0156"
"5.6600","18.4945","0.0156"
"5.6800","18.4955","0.0158"
"5.7000","18.4966","0.0160"
"5.7200","18.4976","0.0159"
"5.7400","18.4985","0.0159"
"5.7600","18.4993","0.0158"
"5.7800","18.5003","0.0158"
"5.8000","18.5014","0.0159"
"5.8200","18.5025","0.0159"
"5.8400","18.5035","0.0158"
"5.8600","18.5045","0.0158"
"5.8800","18.5056","0.0158"
"5.9000","18.5065","0.0158"
"5.9200","18.5075","0.0158"
"5.9400","18.5086","0.0157"
