Results Table 1

Results Table 2

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0004"
"0.0200","0.0000","-0.0003"
"0.0400","0.0001","-0.0002"
"0.0600","0.0003","-0.0003"
"0.0800","0.0009","-0.0004"
"0.1000","0.0013","-0.0004"
"0.1200","0.0015","-0.0003"
"0.1400","0.0018","-0.0003"
"0.1600","0.0027","0.0001"
"0.1800","0.0040","0.0001"
"0.2000","0.0056","0.0003"
"0.2200","0.0072","0.0005"
"0.2400","0.0085","0.0005"
"0.2600","0.0097","0.0006"
"0.2800","0.0108","0.0008"
"0.3000","0.0118","0.0010"
"0.3200","0.0127","0.0011"
"0.3400","0.0138","0.0011"
"0.3600","0.0149","0.0011"
"0.3800","0.0159","0.0012"
"0.4000","0.0169","0.0014"
"0.4200","0.0180","0.0016"
"0.4400","0.0189","0.0016"
"0.4600","0.0198","0.0017"
"0.4800","0.0207","0.0017"
"0.5000","0.0218","0.0019"
"0.5200","0.0229","0.0019"
"0.5400","0.0240","0.0021"
"0.5600","0.0250","0.0023"
"0.5800","0.0260","0.0022"
"0.6000","0.0270","0.0022"
"0.6200","0.0279","0.0024"
"0.6400","0.0289","0.0026"
"0.6600","0.0300","0.0024"
"0.6800","0.0309","0.0026"
"0.7000","0.0318","0.0027"
"0.7200","0.0328","0.0027"
"0.7400","0.0339","0.0028"
"0.7600","0.0349","0.0029"
"0.7800","0.0359","0.0031"
"0.8000","0.0370","0.0033"
"0.8200","0.0380","0.0033"
"0.8400","0.0389","0.0034"
"0.8600","0.0399","0.0035"
"0.8800","0.0410","0.0036"
"0.9000","0.0420","0.0036"
"0.9200","0.0428","0.0036"
"0.9400","0.0438","0.0037"
"0.9600","0.0449","0.0039"
"0.9800","0.0460","0.0040"
"1.0000","0.0470","0.0041"
"1.0200","0.0480","0.0040"
"1.0400","0.0490","0.0040"
"1.0600","0.0500","0.0041"
"1.0800","0.0510","0.0042"
"1.1000","0.0520","0.0042"
"1.1200","0.0530","0.0044"
"1.1400","0.0539","0.0044"
"1.1600","0.0548","0.0046"
"1.1800","0.0558","0.0046"
"1.2000","0.0569","0.0045"
"1.2200","0.0579","0.0046"
"1.2400","0.0589","0.0047"
"1.2600","0.0600","0.0048"
"1.2800","0.0610","0.0048"
"1.3000","0.0620","0.0050"
"1.3200","0.0630","0.0052"
"1.3400","0.0640","0.0054"
"1.3600","0.0649","0.0054"
"1.3800","0.0658","0.0053"
"1.4000","0.0667","0.0053"
"1.4200","0.0678","0.0055"
"1.4400","0.0689","0.0057"
"1.4600","0.0699","0.0056"
"1.4800","0.0709","0.0055"
"1.5000","0.0719","0.0056"
"1.5200","0.0729","0.0060"
"1.5400","0.0739","0.0060"
"1.5600","0.0749","0.0060"
"1.5800","0.0759","0.0060"
"1.6000","0.0768","0.0061"
"1.6200","0.0777","0.0061"
"1.6400","0.0788","0.0062"
"1.6600","0.0799","0.0061"
"1.6800","0.0810","0.0062"
"1.7000","0.0819","0.0062"
"1.7200","0.0830","0.0064"
"1.7400","0.0840","0.0066"
"1.7600","0.0849","0.0067"
"1.7800","0.0859","0.0068"
"1.8000","0.0869","0.0068"
"1.8200","0.0879","0.0069"
"1.8400","0.0888","0.0070"
"1.8600","0.0898","0.0070"
"1.8800","0.0909","0.0070"
"1.9000","0.0920","0.0071"
"1.9200","0.0930","0.0073"
"1.9400","0.0940","0.0072"
"1.9600","0.0950","0.0072"
"1.9800","0.0960","0.0073"
"2.0000","0.0970","0.0074"
"2.0200","0.0980","0.0075"
"2.0400","0.0990","0.0076"
"2.0600","0.0999","0.0077"
"2.0800","0.1008","0.0076"
"2.1000","0.1018","0.0076"
"2.1200","0.1029","0.0077"
"2.1400","0.1040","0.0077"
"2.1600","0.1050","0.0077"
"2.1800","0.1060","0.0079"
"2.2000","0.1070","0.0080"
"2.2200","0.1080","0.0080"
"2.2400","0.1090","0.0080"
"2.2600","0.1100","0.0081"
"2.2800","0.1110","0.0083"
"2.3000","0.1118","0.0083"
"2.3200","0.1127","0.0083"
"2.3400","0.1138","0.0086"
"2.3600","0.1149","0.0086"
"2.3800","0.1159","0.0085"
"2.4000","0.1170","0.0086"
"2.4200","0.1180","0.0088"
"2.4400","0.1190","0.0087"
"2.4600","0.1200","0.0088"
"2.4800","0.1210","0.0089"
"2.5000","0.1220","0.0089"
"2.5200","0.1228","0.0090"
"2.5400","0.1237","0.0090"
"2.5600","0.1248","0.0092"
"2.5800","0.1259","0.0093"
"2.6000","0.1269","0.0092"
"2.6200","0.1279","0.0092"
"2.6400","0.1289","0.0093"
"2.6600","0.1299","0.0094"
"2.6800","0.1309","0.0095"
"2.7000","0.1319","0.0097"
"2.7200","0.1330","0.0098"
"2.7400","0.1339","0.0097"
"2.7600","0.1348","0.0099"
"2.7800","0.1357","0.0099"
"2.8000","0.1368","0.0099"
"2.8200","0.1379","0.0100"
"2.8400","0.1389","0.0100"
"2.8600","0.1399","0.0101"
"2.8800","0.1410","0.0103"
"2.9000","0.1420","0.0103"
"2.9200","0.1429","0.0103"
"2.9400","0.1440","0.0103"
"2.9600","0.1450","0.0104"
"2.9800","0.1459","0.0105"
"3.0000","0.1468","0.0104"
"3.0200","0.1478","0.0104"
"3.0400","0.1489","0.0105"
"3.0600","0.1499","0.0106"
"3.0800","0.1510","0.0107"
"3.1000","0.1520","0.0109"
"3.1200","0.1530","0.0110"
"3.1400","0.1540","0.0111"
"3.1600","0.1550","0.0111"
"3.1800","0.1560","0.0110"
"3.2000","0.1569","0.0111"
"3.2200","0.1578","0.0112"
"3.2400","0.1587","0.0114"
"3.2600","0.1598","0.0114"
"3.2800","0.1609","0.0112"
"3.3000","0.1619","0.0113"
"3.3200","0.1629","0.0113"
"3.3400","0.1640","0.0113"
"3.3600","0.1650","0.0114"
"3.3800","0.1660","0.0117"
"3.4000","0.1670","0.0118"
"3.4200","0.1680","0.0117"
"3.4400","0.1689","0.0117"
"3.4600","0.1698","0.0119"
"3.4800","0.1708","0.0119"
"3.5000","0.1719","0.0119"
"3.5200","0.1729","0.0119"
"3.5400","0.1739","0.0121"
"3.5600","0.1749","0.0122"
"3.5800","0.1759","0.0122"
"3.6000","0.1770","0.0122"
"3.6200","0.1780","0.0123"
"3.6400","0.1790","0.0124"
"3.6600","0.1800","0.0125"
"3.6800","0.1808","0.0125"
"3.7000","0.1818","0.0125"
"3.7200","0.1828","0.0125"
"3.7400","0.1839","0.0128"
"3.7600","0.1849","0.0128"
"3.7800","0.1859","0.0127"
"3.8000","0.1870","0.0129"
"3.8200","0.1880","0.0130"
"3.8400","0.1889","0.0129"
"3.8600","0.1900","0.0129"
"3.8800","0.1910","0.0128"
"3.9000","0.1919","0.0129"
"3.9200","0.1928","0.0131"
"3.9400","0.1938","0.0133"
"3.9600","0.1949","0.0134"
"3.9800","0.1959","0.0134"
"4.0000","0.1969","0.0135"
"4.0200","0.1979","0.0135"
"4.0400","0.1989","0.0135"
"4.0600","0.1999","0.0135"
"4.0800","0.2009","0.0136"
"4.1000","0.2020","0.0138"
"4.1200","0.2029","0.0138"
"4.1400","0.2038","0.0140"
"4.1600","0.2048","0.0142"
"4.1800","0.2059","0.0142"
"4.2000","0.2069","0.0141"
"4.2200","0.2079","0.0142"
"4.2400","0.2089","0.0142"
"4.2600","0.2099","0.0141"
"4.2800","0.2109","0.0142"
"4.3000","0.2119","0.0142"
"4.3200","0.2130","0.0142"
"4.3400","0.2140","0.0142"
"4.3600","0.2149","0.0143"
"4.3800","0.2158","0.0146"
"4.4000","0.2168","0.0146"
"4.4200","0.2179","0.0148"
"4.4400","0.2189","0.0148"
"4.4600","0.2199","0.0148"
"4.4800","0.2209","0.0148"
"4.5000","0.2220","0.0148"
"4.5200","0.2230","0.0148"
"4.5400","0.2240","0.0149"
"4.5600","0.2251","0.0150"
"4.5800","0.2260","0.0150"
"4.6000","0.2268","0.0150"
"4.6200","0.2277","0.0152"
"4.6400","0.2289","0.0154"
"4.6600","0.2300","0.0154"
"4.6800","0.2310","0.0152"
"4.7000","0.2320","0.0154"
"4.7200","0.2330","0.0155"
"4.7400","0.2339","0.0155"
"4.7600","0.2349","0.0155"
"4.7800","0.2360","0.0155"
"4.8000","0.2370","0.0156"
"4.8200","0.2379","0.0157"
"4.8400","0.2388","0.0159"
"4.8600","0.2398","0.0160"
"4.8800","0.2409","0.0160"
"4.9000","0.2420","0.0160"
"4.9200","0.2430","0.0159"
"4.9400","0.2440","0.0160"
"4.9600","0.2450","0.0160"
"4.9800","0.2459","0.0161"
"5.0000","0.2469","0.0163"
"5.0200","0.2479","0.0165"
"5.0400","0.2489","0.0164"
"5.0600","0.2498","0.0163"
"5.0800","0.2507","0.0163"
"5.1000","0.2518","0.0164"
"5.1200","0.2529","0.0164"
"5.1400","0.2539","0.0167"
"5.1600","0.2549","0.0169"
"5.1800","0.2559","0.0169"
"5.2000","0.2569","0.0168"
"5.2200","0.2579","0.0169"
"5.2400","0.2589","0.0169"
"5.2600","0.2599","0.0168"
"5.2800","0.2608","0.0169"
"5.3000","0.2617","0.0170"
"5.3200","0.2628","0.0172"
"5.3400","0.2639","0.0171"
"5.3600","0.2650","0.0171"
"5.3800","0.2659","0.0172"
"5.4000","0.2670","0.0173"
"5.4200","0.2679","0.0174"
"5.4400","0.2689","0.0174"
"5.4600","0.2700","0.0175"
"5.4800","0.2710","0.0176"
"5.5000","0.2719","0.0176"
"5.5200","0.2728","0.0176"
"5.5400","0.2738","0.0176"
"5.5600","0.2749","0.0177"
"5.5800","0.2760","0.0180"
"5.6000","0.2769","0.0180"
"5.6200","0.2780","0.0181"
"5.6400","0.2790","0.0181"
"5.6600","0.2800","0.0180"
"5.6800","0.2809","0.0180"
"5.7000","0.2820","0.0180"
"5.7200","0.2830","0.0182"
"5.7400","0.2839","0.0183"
"5.7600","0.2848","0.0182"
"5.7800","0.2859","0.0184"
"5.8000","0.2870","0.0184"
"5.8200","0.2880","0.0184"
"5.8400","0.2890","0.0186"
"5.8600","0.2900","0.0186"
"5.8800","0.2910","0.0187"
"5.9000","0.2920","0.0187"
"5.9200","0.2930","0.0187"
"5.9400","0.2940","0.0188"
"5.9600","0.2949","0.0189"
"5.9800","0.2958","0.0190"
"6.0000","0.2968","0.0191"
"6.0200","0.2979","0.0190"
"6.0400","0.2989","0.0190"
"6.0600","0.2999","0.0191"
"6.0800","0.3010","0.0191"
"6.1000","0.3020","0.0191"
"6.1200","0.3030","0.0191"
"6.1400","0.3040","0.0192"
"6.1600","0.3050","0.0193"
"6.1800","0.3059","0.0194"
"6.2000","0.3068","0.0194"
"6.2200","0.3077","0.0194"
"6.2400","0.3088","0.0194"
"6.2600","0.3098","0.0196"
"6.2800","0.3109","0.0197"
"6.3000","0.3119","0.0199"
"6.3200","0.3129","0.0198"
"6.3400","0.3139","0.0200"
"6.3600","0.3149","0.0202"
"6.3800","0.3160","0.0202"
"6.4000","0.3170","0.0200"
"6.4200","0.3179","0.0200"
"6.4400","0.3188","0.0198"
"6.4600","0.3198","0.0199"
"6.4800","0.3209","0.0201"
"6.5000","0.3220","0.0202"
"6.5200","0.3230","0.0202"
"6.5400","0.3240","0.0202"
"6.5600","0.3250","0.0204"
"6.5800","0.3260","0.0204"
"6.6000","0.3269","0.0204"
"6.6200","0.3280","0.0205"
"6.6400","0.3289","0.0207"
"6.6600","0.3298","0.0207"
"6.6800","0.3308","0.0206"
"6.7000","0.3319","0.0206"
"6.7200","0.3330","0.0208"
"6.7400","0.3340","0.0208"
"6.7600","0.3350","0.0207"
"6.7800","0.3360","0.0209"
"6.8000","0.3370","0.0209"
"6.8200","0.3379","0.0209"
"6.8400","0.3390","0.0210"
"6.8600","0.3400","0.0209"
"6.8800","0.3409","0.0210"
"6.9000","0.3418","0.0210"
"6.9200","0.3428","0.0213"
"6.9400","0.3439","0.0211"
"6.9600","0.3450","0.0212"
"6.9800","0.3460","0.0213"
"7.0000","0.3470","0.0215"
"7.0200","0.3480","0.0216"
"7.0400","0.3490","0.0215"
"7.0600","0.3500","0.0215"
"7.0800","0.3510","0.0217"
"7.1000","0.3520","0.0218"
"7.1200","0.3528","0.0217"
"7.1400","0.3537","0.0217"
"7.1600","0.3548","0.0217"
"7.1800","0.3559","0.0217"
"7.2000","0.3569","0.0219"
"7.2200","0.3580","0.0220"
"7.2400","0.3590","0.0221"
"7.2600","0.3600","0.0221"
"7.2800","0.3610","0.0222"
"7.3000","0.3620","0.0221"
"7.3200","0.3630","0.0222"
"7.3400","0.3638","0.0223"
"7.3600","0.3647","0.0223"
"7.3800","0.3657","0.0223"
"7.4000","0.3669","0.0224"
"7.4200","0.3679","0.0226"
"7.4400","0.3689","0.0228"
"7.4600","0.3699","0.0227"
"7.4800","0.3709","0.0226"
"7.5000","0.3719","0.0226"
"7.5200","0.3729","0.0227"
"7.5400","0.3740","0.0228"
"7.5600","0.3749","0.0228"
"7.5800","0.3758","0.0228"
"7.6000","0.3768","0.0229"
"7.6200","0.3778","0.0230"
"7.6400","0.3789","0.0229"
"7.6600","0.3799","0.0231"
"7.6800","0.3809","0.0232"
"7.7000","0.3819","0.0231"
"7.7200","0.3829","0.0231"
"7.7400","0.3839","0.0230"
"7.7600","0.3850","0.0233"
"7.7800","0.3860","0.0235"
"7.8000","0.3869","0.0235"
"7.8200","0.3878","0.0235"
"7.8400","0.3888","0.0235"
"7.8600","0.3899","0.0233"
"7.8800","0.3909","0.0235"
"7.9000","0.3919","0.0235"
"7.9200","0.3930","0.0234"
"7.9400","0.3940","0.0237"
"7.9600","0.3950","0.0237"
"7.9800","0.3960","0.0237"
"8.0000","0.3970","0.0238"
"8.0200","0.3979","0.0239"
"8.0400","0.3988","0.0239"
"8.0600","0.3997","0.0239"
"8.0800","0.4008","0.0240"
"8.1000","0.4019","0.0241"
"8.1200","0.4029","0.0241"
"8.1400","0.4039","0.0241"
"8.1600","0.4050","0.0241"
"8.1800","0.4060","0.0242"
"8.2000","0.4070","0.0241"
"8.2200","0.4080","0.0242"
"8.2400","0.4090","0.0242"
"8.2600","0.4099","0.0243"
"8.2800","0.4108","0.0243"
"8.3000","0.4118","0.0243"
"8.3200","0.4129","0.0243"
"8.3400","0.4139","0.0244"
"8.3600","0.4149","0.0244"
"8.3800","0.4159","0.0245"
"8.4000","0.4169","0.0246"
"8.4200","0.4180","0.0247"
"8.4400","0.4190","0.0245"
"8.4600","0.4201","0.0245"
"8.4800","0.4210","0.0246"
"8.5000","0.4218","0.0246"
"8.5200","0.4228","0.0246"
"8.5400","0.4238","0.0248"
"8.5600","0.4249","0.0250"
"8.5800","0.4259","0.0249"
"8.6000","0.4269","0.0250"
"8.6200","0.4279","0.0251"
"8.6400","0.4289","0.0251"
"8.6600","0.4299","0.0250"
"8.6800","0.4310","0.0251"
"8.7000","0.4320","0.0251"
"8.7200","0.4329","0.0253"
"8.7400","0.4337","0.0253"
"8.7600","0.4347","0.0254"
"8.7800","0.4358","0.0255"
"8.8000","0.4369","0.0255"
"8.8200","0.4379","0.0254"
"8.8400","0.4389","0.0254"
"8.8600","0.4399","0.0254"
"8.8800","0.4409","0.0253"
"8.9000","0.4419","0.0255"
"8.9200","0.4430","0.0255"
"8.9400","0.4439","0.0254"
"8.9600","0.4448","0.0253"
"8.9800","0.4458","0.0254"
"9.0000","0.4469","0.0255"
"9.0200","0.4480","0.0254"
"9.0400","0.4489","0.0253"
"9.0600","0.4499","0.0254"
"9.0800","0.4510","0.0255"
"9.1000","0.4520","0.0255"
"9.1200","0.4529","0.0255"
"9.1400","0.4540","0.0255"
"9.1600","0.4550","0.0253"
"9.1800","0.4559","0.0254"
"9.2000","0.4568","0.0255"
"9.2200","0.4578","0.0254"
"9.2400","0.4589","0.0254"
"9.2600","0.4599","0.0254"
"9.2800","0.4609","0.0254"
"9.3000","0.4619","0.0255"
"9.3200","0.4630","0.0256"
"9.3400","0.4640","0.0256"
"9.3600","0.4650","0.0255"
"9.3800","0.4661","0.0256"
"9.4000","0.4670","0.0256"
"9.4200","0.4678","0.0256"
