Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"70 aP 30 PMDS","Patrick Anzalone Emily Cleland Mitchell Mann",""

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1400","0.0023","-0.0002"
"0.2800","0.0102","0.0003"
"0.4200","0.0174","0.0003"
"0.5600","0.0243","0.0002"
"0.7000","0.0314","0.0006"
"0.8400","0.0384","0.0004"
"0.9800","0.0454","0.0006"
"1.1200","0.0525","0.0007"
"1.2600","0.0594","0.0009"
"1.4000","0.0665","0.0009"
"1.5400","0.0735","0.0010"
"1.6800","0.0803","0.0011"
"1.8200","0.0874","0.0012"
"1.9600","0.0944","0.0012"
"2.1000","0.1015","0.0014"
"2.2400","0.1086","0.0015"
"2.3800","0.1153","0.0016"
"2.5200","0.1224","0.0015"
"2.6600","0.1294","0.0019"
"2.8000","0.1365","0.0020"
"2.9400","0.1435","0.0020"
"3.0800","0.1503","0.0022"
"3.2200","0.1574","0.0024"
"3.3600","0.1644","0.0026"
"3.5000","0.1714","0.0026"
"3.6400","0.1785","0.0028"
"3.7800","0.1854","0.0029"
"3.9200","0.1926","0.0032"
"4.0600","0.1995","0.0035"
"4.2000","0.2063","0.0033"
"4.3400","0.2134","0.0037"
"4.4800","0.2204","0.0039"
"4.6200","0.2276","0.0041"
"4.7600","0.2346","0.0044"
"4.9000","0.2413","0.0046"
"5.0400","0.2484","0.0049"
"5.1800","0.2554","0.0051"
"5.3200","0.2625","0.0053"
"5.4600","0.2695","0.0052"
"5.6000","0.2763","0.0057"
"5.7400","0.2834","0.0061"
"5.8800","0.2905","0.0062"
"6.0200","0.2974","0.0066"
"6.1600","0.3045","0.0067"
"6.3000","0.3114","0.0072"
"6.4400","0.3184","0.0075"
"6.5800","0.3255","0.0076"
"6.7200","0.3323","0.0080"
"6.8600","0.3395","0.0085"
"7.0000","0.3464","0.0088"
"7.1400","0.3535","0.0089"
"7.2800","0.3605","0.0095"
"7.4200","0.3673","0.0099"
"7.5600","0.3745","0.0103"
"7.7000","0.3814","0.0105"
"7.8400","0.3885","0.0110"
"7.9800","0.3955","0.0113"
"8.1200","0.4023","0.0116"
"8.2600","0.4095","0.0122"
"8.4000","0.4165","0.0126"
"8.5400","0.4235","0.0130"
"8.6800","0.4305","0.0136"
"8.8200","0.4373","0.0139"
"8.9600","0.4445","0.0143"
"9.1000","0.4514","0.0148"
"9.2400","0.4584","0.0153"
"9.3800","0.4655","0.0159"
"9.5200","0.4724","0.0163"
"9.6600","0.4794","0.0169"
"9.8000","0.4866","0.0175"
"9.9400","0.4934","0.0180"
"10.0800","0.5004","0.0186"
"10.2200","0.5074","0.0192"
"10.3600","0.5145","0.0198"
"10.5000","0.5216","0.0202"
"10.6400","0.5284","0.0207"
"10.7800","0.5354","0.0212"
"10.9200","0.5424","0.0220"
"11.0600","0.5495","0.0224"
"11.2000","0.5565","0.0231"
"11.3400","0.5633","0.0238"
"11.4800","0.5704","0.0244"
"11.6200","0.5775","0.0251"
"11.7600","0.5844","0.0257"
"11.9000","0.5915","0.0265"
"12.0400","0.5983","0.0269"
"12.1800","0.6055","0.0280"
"12.3200","0.6125","0.0285"
"12.4600","0.6194","0.0293"
"12.6000","0.6265","0.0301"
"12.7400","0.6334","0.0308"
"12.8800","0.6405","0.0317"
"13.0200","0.6475","0.0324"
"13.1600","0.6543","0.0332"
"13.3000","0.6615","0.0341"
"13.4400","0.6684","0.0350"
"13.5800","0.6756","0.0359"
"13.7200","0.6824","0.0369"
"13.8600","0.6893","0.0375"
"14.0000","0.6965","0.0384"
"14.1400","0.7035","0.0396"
"14.2800","0.7105","0.0402"
"14.4200","0.7175","0.0413"
"14.5600","0.7243","0.0420"
"14.7000","0.7315","0.0428"
"14.8400","0.7385","0.0439"
"14.9800","0.7454","0.0445"
"15.1200","0.7524","0.0455"
"15.2600","0.7594","0.0466"
"15.4000","0.7665","0.0474"
"15.5400","0.7735","0.0484"
"15.6800","0.7803","0.0493"
"15.8200","0.7874","0.0502"
"15.9600","0.7944","0.0513"
"16.1000","0.8015","0.0519"
"16.2400","0.8085","0.0529"
"16.3800","0.8152","0.0537"
"16.5200","0.8224","0.0546"
"16.6600","0.8296","0.0560"
"16.8000","0.8365","0.0567"
"16.9400","0.8435","0.0576"
"17.0800","0.8503","0.0582"
"17.2200","0.8575","0.0595"
"17.3600","0.8645","0.0606"
"17.5000","0.8714","0.0614"
"17.6400","0.8785","0.0623"
"17.7800","0.8853","0.0632"
"17.9200","0.8925","0.0641"
"18.0600","0.8995","0.0652"
"18.2000","0.9063","0.0661"
"18.3400","0.9135","0.0669"
"18.4800","0.9204","0.0680"
"18.6200","0.9275","0.0688"
"18.7600","0.9344","0.0697"
"18.9000","0.9413","0.0707"
"19.0400","0.9485","0.0717"
"19.1800","0.9555","0.0726"
"19.3200","0.9625","0.0734"
"19.4600","0.9696","0.0745"
"19.6000","0.9763","0.0755"
"19.7400","0.9834","0.0765"
"19.8800","0.9904","0.0774"
"20.0200","0.9975","0.0784"
"20.1600","1.0045","0.0792"
"20.3000","1.0114","0.0803"
"20.4400","1.0185","0.0813"
"20.5800","1.0255","0.0821"
"20.7200","1.0324","0.0830"
"20.8600","1.0395","0.0841"
"21.0000","1.0463","0.0849"
"21.1400","1.0534","0.0861"
"21.2800","1.0605","0.0869"
"21.4200","1.0673","0.0878"
"21.5600","1.0744","0.0888"
"21.7000","1.0814","0.0898"
"21.8400","1.0885","0.0908"
"21.9800","1.0956","0.0917"
"22.1200","1.1023","0.0927"
"22.2600","1.1094","0.0937"
"22.4000","1.1164","0.0951"
"22.5400","1.1235","0.0958"
"22.6800","1.1305","0.0966"
"22.8200","1.1373","0.0975"
"22.9600","1.1444","0.0986"
"23.1000","1.1515","0.0998"
"23.2400","1.1584","0.1005"
"23.3800","1.1655","0.1016"
"23.5200","1.1723","0.1027"
"23.6600","1.1795","0.1038"
"23.8000","1.1865","0.1046"
"23.9400","1.1934","0.1054"
"24.0800","1.2004","0.1066"
"24.2200","1.2074","0.1079"
"24.3600","1.2145","0.1088"
"24.5000","1.2215","0.1097"
"24.6400","1.2283","0.1108"
"24.7800","1.2353","0.1119"
"24.9200","1.2424","0.1129"
"25.0600","1.2495","0.1140"
"25.2000","1.2565","0.1148"
"25.3400","1.2633","0.1158"
"25.4800","1.2704","0.1169"
"25.6200","1.2775","0.1181"
"25.7600","1.2845","0.1191"
"25.9000","1.2915","0.1201"
"26.0400","1.2983","0.1211"
"26.1800","1.3055","0.1222"
"26.3200","1.3125","0.1234"
"26.4600","1.3194","0.1244"
"26.6000","1.3264","0.1255"
"26.7400","1.3333","0.1264"
"26.8800","1.3405","0.1274"
"27.0200","1.3475","0.1287"
"27.1600","1.3543","0.1296"
"27.3000","1.3614","0.1308"
"27.4400","1.3684","0.1317"
"27.5800","1.3755","0.1331"
"27.7200","1.3825","0.1344"
"27.8600","1.3893","0.1350"
"28.0000","1.3964","0.1362"
"28.1400","1.4034","0.1375"
"28.2800","1.4105","0.1388"
"28.4200","1.4175","0.1396"
"28.5600","1.4243","0.1406"
"28.7000","1.4315","0.1419"
"28.8400","1.4385","0.1431"
"28.9800","1.4454","0.1442"
"29.1200","1.4525","0.1455"
"29.2600","1.4594","0.1464"
"29.4000","1.4664","0.1476"
"29.5400","1.4735","0.1489"
"29.6800","1.4804","0.1501"
"29.8200","1.4874","0.1511"
"29.9600","1.4944","0.1524"
"30.1000","1.5015","0.1535"
"30.2400","1.5085","0.1549"
"30.3800","1.5153","0.1559"
"30.5200","1.5224","0.1573"
"30.6600","1.5294","0.1583"
"30.8000","1.5365","0.1595"
"30.9400","1.5435","0.1607"
"31.0800","1.5502","0.1619"
"31.2200","1.5574","0.1632"
"31.3600","1.5644","0.1646"
"31.5000","1.5715","0.1658"
"31.6400","1.5785","0.1670"
"31.7800","1.5853","0.1681"
"31.9200","1.5924","0.1694"
"32.0600","1.5995","0.1708"
"32.2000","1.6064","0.1717"
"32.3400","1.6135","0.1732"
"32.4800","1.6204","0.1743"
"32.6200","1.6275","0.1758"
"32.7600","1.6345","0.1770"
"32.9000","1.6413","0.1780"
"33.0400","1.6484","0.1795"
"33.1800","1.6553","0.1806"
"33.3200","1.6625","0.1821"
"33.4600","1.6695","0.1835"
"33.6000","1.6763","0.1846"
"33.7400","1.6834","0.1858"
"33.8800","1.6904","0.1871"
"34.0200","1.6975","0.1886"
"34.1600","1.7045","0.1898"
"34.3000","1.7113","0.1910"
"34.4400","1.7184","0.1921"
"34.5800","1.7255","0.1936"
"34.7200","1.7324","0.1949"
"34.8600","1.7395","0.1962"
"35.0000","1.7464","0.1977"
"35.1400","1.7535","0.1989"
"35.2800","1.7605","0.2002"
"35.4200","1.7673","0.2013"
"35.5600","1.7744","0.2027"
"35.7000","1.7814","0.2040"
"35.8400","1.7885","0.2054"
"35.9800","1.7956","0.2067"
"36.1200","1.8023","0.2077"
"36.2600","1.8094","0.2091"
"36.4000","1.8164","0.2101"
"36.5400","1.8235","0.2116"
"36.6800","1.8305","0.2128"
"36.8200","1.8372","0.2141"
"36.9600","1.8444","0.2152"
"37.1000","1.8514","0.2167"
"37.2400","1.8585","0.2180"
"37.3800","1.8655","0.2191"
"37.5200","1.8723","0.2202"
"37.6600","1.8795","0.2214"
"37.8000","1.8864","0.2227"
"37.9400","1.8934","0.2239"
"38.0800","1.9005","0.2251"
"38.2200","1.9074","0.2263"
"38.3600","1.9146","0.2273"
"38.5000","1.9215","0.2284"
"38.6400","1.9283","0.2296"
"38.7800","1.9354","0.2307"
"38.9200","1.9424","0.2318"
"39.0600","1.9495","0.2328"
"39.2000","1.9565","0.2342"
"39.3400","1.9633","0.2349"
"39.4800","1.9704","0.2361"
"39.6200","1.9775","0.2373"
"39.7600","1.9845","0.2384"
"39.9000","1.9915","0.2396"
"40.0400","1.9983","0.2404"
"40.1800","2.0054","0.2412"
"40.3200","2.0124","0.2425"
"40.4600","2.0194","0.2433"
"40.6000","2.0265","0.2445"
"40.7400","2.0333","0.2454"
"40.8800","2.0405","0.2465"
"41.0200","2.0475","0.2474"
"41.1600","2.0544","0.2483"
"41.3000","2.0615","0.2495"
"41.4400","2.0683","0.2502"
"41.5800","2.0755","0.2514"
"41.7200","2.0825","0.2524"
"41.8600","2.0893","0.2531"
"42.0000","2.0964","0.2542"
"42.1400","2.1034","0.2550"
"42.2800","2.1105","0.2560"
"42.4200","2.1175","0.2567"
"42.5600","2.1242","0.2574"
"42.7000","2.1314","0.2586"
"42.8400","2.1384","0.2595"
"42.9800","2.1455","0.2603"
"43.1200","2.1525","0.2612"
"43.2600","2.1593","0.2621"
"43.4000","2.1665","0.2628"
"43.5400","2.1735","0.2639"
"43.6800","2.1804","0.2646"
"43.8200","2.1874","0.2653"
"43.9600","2.1944","0.2661"
"44.1000","2.2015","0.2670"
"44.2400","2.2085","0.2678"
"44.3800","2.2154","0.2685"
"44.5200","2.2224","0.2694"
"44.6600","2.2295","0.2702"
"44.8000","2.2365","0.2711"
"44.9400","2.2435","0.2718"
"45.0800","2.2503","0.2725"
"45.2200","2.2574","0.2732"
"45.3600","2.2644","0.2742"
"45.5000","2.2715","0.2748"
"45.6400","2.2785","0.2759"
"45.7800","2.2853","0.2765"
"45.9200","2.2924","0.2772"
"46.0600","2.2994","0.2779"
"46.2000","2.3064","0.2790"
"46.3400","2.3135","0.2795"
"46.4800","2.3203","0.2803"
"46.6200","2.3275","0.2808"
"46.7600","2.3344","0.2817"
"46.9000","2.3413","0.2824"
"47.0400","2.3485","0.2831"
"47.1800","2.3555","0.2841"
"47.3200","2.3626","0.2848"
"47.4600","2.3694","0.2852"
"47.6000","2.3762","0.2859"
"47.7400","2.3835","0.2868"
"47.8800","2.3905","0.2875"
"48.0200","2.3975","0.2880"
"48.1600","2.4045","0.2889"
"48.3000","2.4113","0.2894"
"48.4400","2.4185","0.2904"
"48.5800","2.4254","0.2908"
"48.7200","2.4324","0.2916"
"48.8600","2.4395","0.2923"
"49.0000","2.4464","0.2929"
"49.1400","2.4535","0.2934"
"49.2800","2.4604","0.2942"
"49.4200","2.4673","0.2947"
