Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"11/6/2019","33.14","18.82","Circular","44.42","44.42","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0001"
"0.1400","0.0022","0.0002"
"0.2800","0.0107","0.0017"
"0.4200","0.0176","0.0026"
"0.5600","0.0247","0.0036"
"0.7000","0.0316","0.0046"
"0.8400","0.0387","0.0056"
"0.9800","0.0458","0.0068"
"1.1200","0.0526","0.0075"
"1.2600","0.0598","0.0086"
"1.4000","0.0668","0.0095"
"1.5400","0.0736","0.0104"
"1.6800","0.0807","0.0115"
"1.8200","0.0877","0.0126"
"1.9600","0.0948","0.0136"
"2.1000","0.1018","0.0148"
"2.2400","0.1086","0.0156"
"2.3800","0.1157","0.0170"
"2.5200","0.1227","0.0183"
"2.6600","0.1298","0.0195"
"2.8000","0.1368","0.0205"
"2.9400","0.1435","0.0219"
"3.0800","0.1507","0.0232"
"3.2200","0.1577","0.0246"
"3.3600","0.1647","0.0263"
"3.5000","0.1718","0.0276"
"3.6400","0.1786","0.0289"
"3.7800","0.1858","0.0307"
"3.9200","0.1928","0.0323"
"4.0600","0.1997","0.0335"
"4.2000","0.2067","0.0350"
"4.3400","0.2137","0.0366"
"4.4800","0.2208","0.0382"
"4.6200","0.2278","0.0394"
"4.7600","0.2346","0.0410"
"4.9000","0.2418","0.0428"
"5.0400","0.2487","0.0442"
"5.1800","0.2558","0.0458"
"5.3200","0.2628","0.0472"
"5.4600","0.2696","0.0487"
"5.6000","0.2767","0.0502"
"5.7400","0.2837","0.0517"
"5.8800","0.2908","0.0534"
"6.0200","0.2978","0.0549"
"6.1600","0.3046","0.0560"
"6.3000","0.3117","0.0576"
"6.4400","0.3188","0.0592"
"6.5800","0.3257","0.0606"
"6.7200","0.3327","0.0621"
"6.8600","0.3396","0.0636"
"7.0000","0.3468","0.0653"
"7.1400","0.3538","0.0668"
"7.2800","0.3607","0.0680"
"7.4200","0.3677","0.0697"
"7.5600","0.3747","0.0710"
"7.7000","0.3818","0.0726"
"7.8400","0.3888","0.0737"
"7.9800","0.3956","0.0754"
"8.1200","0.4027","0.0766"
"8.2600","0.4097","0.0782"
"8.4000","0.4168","0.0796"
"8.5400","0.4238","0.0811"
"8.6800","0.4306","0.0824"
"8.8200","0.4377","0.0838"
"8.9600","0.4447","0.0854"
"9.1000","0.4517","0.0868"
"9.2400","0.4588","0.0883"
"9.3800","0.4656","0.0896"
"9.5200","0.4727","0.0912"
"9.6600","0.4798","0.0926"
"9.8000","0.4867","0.0940"
"9.9400","0.4938","0.0956"
"10.0800","0.5007","0.0970"
"10.2200","0.5078","0.0987"
"10.3600","0.5148","0.0999"
"10.5000","0.5216","0.1013"
"10.6400","0.5287","0.1030"
"10.7800","0.5357","0.1044"
"10.9200","0.5428","0.1059"
"11.0600","0.5498","0.1076"
"11.2000","0.5566","0.1088"
"11.3400","0.5637","0.1103"
"11.4800","0.5707","0.1116"
