Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"60% AP, 40%PDMS","Kyle Sakmyster
Bruce Barbour
Josh Pelech",""

Results Table 1
,Start date,Modulus (Automatic Young's),Geometry,Diameter,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),,(mm),(mm),(mm),(mm/min)
1,"4/18/2019","23.69","Circular","18.65","40.47","40.47","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1400","0.0019","-0.0001"
"0.2800","0.0097","0.0001"
"0.4200","0.0169","0.0003"
"0.5600","0.0239","0.0005"
"0.7000","0.0310","0.0005"
"0.8400","0.0378","0.0006"
"0.9800","0.0450","0.0009"
"1.1200","0.0519","0.0008"
"1.2600","0.0588","0.0011"
"1.4000","0.0659","0.0011"
"1.5400","0.0728","0.0011"
"1.6800","0.0800","0.0012"
"1.8200","0.0870","0.0014"
"1.9600","0.0938","0.0012"
"2.1000","0.1009","0.0016"
"2.2400","0.1079","0.0016"
"2.3800","0.1150","0.0018"
"2.5200","0.1220","0.0019"
"2.6600","0.1288","0.0019"
"2.8000","0.1358","0.0022"
"2.9400","0.1429","0.0021"
"3.0800","0.1500","0.0024"
"3.2200","0.1570","0.0023"
"3.3600","0.1638","0.0024"
"3.5000","0.1709","0.0024"
"3.6400","0.1780","0.0026"
"3.7800","0.1849","0.0028"
"3.9200","0.1919","0.0026"
"4.0600","0.1988","0.0028"
"4.2000","0.2060","0.0033"
"4.3400","0.2131","0.0032"
"4.4800","0.2199","0.0031"
"4.6200","0.2269","0.0034"
"4.7600","0.2338","0.0034"
"4.9000","0.2410","0.0038"
"5.0400","0.2480","0.0035"
"5.1800","0.2548","0.0039"
"5.3200","0.2619","0.0038"
"5.4600","0.2689","0.0041"
"5.6000","0.2760","0.0042"
"5.7400","0.2830","0.0043"
"5.8800","0.2898","0.0045"
"6.0200","0.2969","0.0045"
"6.1600","0.3039","0.0049"
"6.3000","0.3109","0.0049"
"6.4400","0.3180","0.0050"
"6.5800","0.3248","0.0051"
"6.7200","0.3320","0.0051"
"6.8600","0.3390","0.0053"
"7.0000","0.3459","0.0053"
"7.1400","0.3530","0.0055"
"7.2800","0.3599","0.0060"
"7.4200","0.3670","0.0060"
"7.5600","0.3740","0.0060"
"7.7000","0.3808","0.0063"
"7.8400","0.3879","0.0064"
"7.9800","0.3949","0.0063"
"8.1200","0.4020","0.0068"
"8.2600","0.4090","0.0068"
"8.4000","0.4158","0.0069"
"8.5400","0.4229","0.0071"
"8.6800","0.4299","0.0073"
"8.8200","0.4370","0.0073"
"8.9600","0.4440","0.0076"
"9.1000","0.4508","0.0076"
"9.2400","0.4579","0.0079"
"9.3800","0.4650","0.0081"
"9.5200","0.4719","0.0082"
"9.6600","0.4790","0.0082"
"9.8000","0.4858","0.0086"
"9.9400","0.4929","0.0087"
"10.0800","0.5000","0.0088"
"10.2200","0.5069","0.0091"
"10.3600","0.5140","0.0091"
"10.5000","0.5209","0.0093"
"10.6400","0.5280","0.0095"
"10.7800","0.5349","0.0098"
