Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"80% Bi-modal Sugar, 20% PDMS","Joseph Cunningham",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"5/27/2019","44.81","18.86","Circular","45.23","45.23","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0001"
"0.1400","0.0019","0.0004"
"0.2800","0.0098","0.0019"
"0.4200","0.0169","0.0029"
"0.5600","0.0239","0.0040"
"0.7000","0.0310","0.0051"
"0.8400","0.0378","0.0059"
"0.9800","0.0450","0.0069"
"1.1200","0.0520","0.0080"
"1.2600","0.0589","0.0087"
"1.4000","0.0660","0.0093"
"1.5400","0.0728","0.0104"
"1.6800","0.0800","0.0110"
"1.8200","0.0870","0.0118"
"1.9600","0.0938","0.0122"
"2.1000","0.1009","0.0128"
"2.2400","0.1079","0.0132"
"2.3800","0.1150","0.0143"
"2.5200","0.1220","0.0152"
"2.6600","0.1288","0.0160"
"2.8000","0.1358","0.0168"
"2.9400","0.1429","0.0177"
"3.0800","0.1500","0.0186"
"3.2200","0.1570","0.0192"
"3.3600","0.1639","0.0201"
"3.5000","0.1710","0.0210"
"3.6400","0.1780","0.0219"
"3.7800","0.1849","0.0227"
"3.9200","0.1919","0.0235"
"4.0600","0.1988","0.0245"
"4.2000","0.2060","0.0254"
"4.3400","0.2130","0.0259"
"4.4800","0.2198","0.0261"
"4.6200","0.2269","0.0266"
"4.7600","0.2339","0.0272"
"4.9000","0.2410","0.0277"
"5.0400","0.2480","0.0284"
"5.1800","0.2547","0.0283"
"5.3200","0.2619","0.0285"
"5.4600","0.2689","0.0284"
"5.6000","0.2761","0.0288"
"5.7400","0.2830","0.0287"
"5.8800","0.2898","0.0287"
"6.0200","0.2970","0.0286"
"6.1600","0.3040","0.0286"
"6.3000","0.3110","0.0284"
"6.4400","0.3179","0.0282"
