Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"80% BiSugar 20% PDMS","just me",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"6/25/2019","50.54","18.86","Circular","45.40","45.40","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0002"
"0.1400","0.0018","0.0001"
"0.2800","0.0097","0.0004"
"0.4200","0.0169","0.0008"
"0.5600","0.0238","0.0008"
"0.7000","0.0309","0.0010"
"0.8400","0.0378","0.0005"
"0.9800","0.0450","0.0007"
"1.1200","0.0520","0.0007"
"1.2600","0.0588","0.0010"
"1.4000","0.0659","0.0011"
"1.5400","0.0730","0.0011"
"1.6800","0.0800","0.0013"
"1.8200","0.0870","0.0014"
"1.9600","0.0937","0.0015"
"2.1000","0.1009","0.0015"
"2.2400","0.1079","0.0013"
"2.3800","0.1149","0.0017"
"2.5200","0.1220","0.0017"
"2.6600","0.1288","0.0016"
"2.8000","0.1359","0.0017"
"2.9400","0.1430","0.0018"
"3.0800","0.1499","0.0017"
"3.2200","0.1570","0.0017"
"3.3600","0.1638","0.0021"
"3.5000","0.1710","0.0022"
"3.6400","0.1780","0.0021"
"3.7800","0.1848","0.0021"
"3.9200","0.1920","0.0025"
"4.0600","0.1989","0.0024"
"4.2000","0.2061","0.0028"
"4.3400","0.2129","0.0030"
"4.4800","0.2197","0.0031"
"4.6200","0.2269","0.0029"
"4.7600","0.2339","0.0031"
"4.9000","0.2410","0.0032"
"5.0400","0.2480","0.0033"
"5.1800","0.2548","0.0035"
"5.3200","0.2619","0.0036"
"5.4600","0.2689","0.0036"
"5.6000","0.2759","0.0039"
"5.7400","0.2829","0.0040"
"5.8800","0.2899","0.0041"
"6.0200","0.2970","0.0042"
"6.1600","0.3040","0.0044"
"6.3000","0.3108","0.0043"
"6.4400","0.3179","0.0044"
"6.5800","0.3249","0.0044"
"6.7200","0.3320","0.0045"
"6.8600","0.3389","0.0047"
"7.0000","0.3458","0.0055"
"7.1400","0.3530","0.0063"
"7.2800","0.3600","0.0070"
"7.4200","0.3670","0.0078"
"7.5600","0.3740","0.0088"
"7.7000","0.3808","0.0094"
"7.8400","0.3879","0.0104"
"7.9800","0.3950","0.0111"
"8.1200","0.4019","0.0120"
"8.2600","0.4090","0.0129"
"8.4000","0.4158","0.0138"
"8.5400","0.4230","0.0146"
"8.6800","0.4300","0.0159"
"8.8200","0.4368","0.0169"
"8.9600","0.4439","0.0181"
"9.1000","0.4509","0.0194"
"9.2400","0.4581","0.0204"
"9.3800","0.4649","0.0216"
"9.5200","0.4717","0.0227"
"9.6600","0.4789","0.0242"
"9.8000","0.4860","0.0251"
"9.9400","0.4931","0.0267"
"10.0800","0.5000","0.0281"
"10.2200","0.5068","0.0296"
"10.3600","0.5138","0.0312"
"10.5000","0.5209","0.0329"
