Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"Bisug/al 80% PDMS 20%","me",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"6/27/2019","50.48","18.81","Circular","44.72","44.72","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0002"
"0.1400","0.0017","0.0002"
"0.2800","0.0103","0.0002"
"0.4200","0.0175","0.0003"
"0.5600","0.0244","0.0005"
"0.7000","0.0316","0.0005"
"0.8400","0.0386","0.0006"
"0.9800","0.0454","0.0007"
"1.1200","0.0525","0.0005"
"1.2600","0.0595","0.0010"
"1.4000","0.0665","0.0009"
"1.5400","0.0736","0.0010"
"1.6800","0.0803","0.0012"
"1.8200","0.0875","0.0014"
"1.9600","0.0945","0.0014"
"2.1000","0.1016","0.0014"
"2.2400","0.1086","0.0015"
"2.3800","0.1154","0.0021"
"2.5200","0.1225","0.0022"
"2.6600","0.1295","0.0030"
"2.8000","0.1364","0.0035"
"2.9400","0.1435","0.0037"
"3.0800","0.1504","0.0043"
"3.2200","0.1576","0.0052"
"3.3600","0.1646","0.0055"
"3.5000","0.1714","0.0062"
"3.6400","0.1784","0.0070"
"3.7800","0.1854","0.0077"
"3.9200","0.1926","0.0082"
"4.0600","0.1996","0.0089"
"4.2000","0.2064","0.0097"
"4.3400","0.2135","0.0104"
"4.4800","0.2205","0.0109"
"4.6200","0.2276","0.0118"
"4.7600","0.2346","0.0123"
"4.9000","0.2413","0.0133"
"5.0400","0.2485","0.0141"
"5.1800","0.2555","0.0148"
"5.3200","0.2624","0.0155"
"5.4600","0.2696","0.0162"
"5.6000","0.2764","0.0172"
"5.7400","0.2835","0.0178"
"5.8800","0.2905","0.0184"
"6.0200","0.2974","0.0190"
"6.1600","0.3045","0.0198"
"6.3000","0.3114","0.0202"
"6.4400","0.3186","0.0209"
"6.5800","0.3256","0.0213"
"6.7200","0.3324","0.0216"
"6.8600","0.3395","0.0222"
"7.0000","0.3465","0.0223"
"7.1400","0.3536","0.0230"
"7.2800","0.3605","0.0235"
"7.4200","0.3673","0.0245"
"7.5600","0.3745","0.0255"
"7.7000","0.3815","0.0261"
"7.8400","0.3886","0.0266"
"7.9800","0.3956","0.0270"
"8.1200","0.4024","0.0273"
"8.2600","0.4095","0.0272"
"8.4000","0.4165","0.0275"
"8.5400","0.4235","0.0277"
"8.6800","0.4305","0.0288"
"8.8200","0.4374","0.0294"
"8.9600","0.4445","0.0297"
"9.1000","0.4515","0.0314"
"9.2400","0.4584","0.0324"
"9.3800","0.4655","0.0339"
"9.5200","0.4725","0.0352"
"9.6600","0.4796","0.0357"
"9.8000","0.4865","0.0356"
"9.9400","0.4933","0.0359"
"10.0800","0.5005","0.0358"
"10.2200","0.5075","0.0360"
"10.3600","0.5146","0.0357"
"10.5000","0.5216","0.0361"
"10.6400","0.5284","0.0360"
"10.7800","0.5355","0.0361"
"10.9200","0.5425","0.0359"
"11.0600","0.5495","0.0359"
"11.2000","0.5566","0.0361"
"11.3400","0.5634","0.0359"
"11.4800","0.5706","0.0361"
"11.6200","0.5775","0.0358"
"11.7600","0.5844","0.0358"
"11.9000","0.5915","0.0358"
"12.0400","0.5984","0.0358"
"12.1800","0.6056","0.0358"
"12.3200","0.6125","0.0359"
"12.4600","0.6193","0.0359"
"12.6000","0.6265","0.0360"
"12.7400","0.6335","0.0359"
"12.8800","0.6406","0.0359"
"13.0200","0.6476","0.0360"
"13.1600","0.6544","0.0360"
"13.3000","0.6614","0.0362"
"13.4400","0.6685","0.0361"
"13.5800","0.6755","0.0360"
"13.7200","0.6826","0.0361"
"13.8600","0.6894","0.0362"
"14.0000","0.6965","0.0359"
"14.1400","0.7035","0.0362"
"14.2800","0.7105","0.0360"
"14.4200","0.7175","0.0363"
"14.5600","0.7244","0.0361"
"14.7000","0.7315","0.0363"
"14.8400","0.7385","0.0360"
"14.9800","0.7453","0.0362"
"15.1200","0.7525","0.0359"
"15.2600","0.7594","0.0362"
"15.4000","0.7666","0.0367"
"15.5400","0.7736","0.0381"
"15.6800","0.7803","0.0384"
"15.8200","0.7874","0.0387"
"15.9600","0.7945","0.0384"
"16.1000","0.8016","0.0391"
"16.2400","0.8086","0.0404"
"16.3800","0.8154","0.0421"
"16.5200","0.8225","0.0437"
"16.6600","0.8295","0.0453"
"16.8000","0.8365","0.0469"
"16.9400","0.8435","0.0481"
"17.0800","0.8503","0.0495"
"17.2200","0.8576","0.0509"
"17.3600","0.8645","0.0521"
"17.5000","0.8714","0.0533"
"17.6400","0.8785","0.0546"
"17.7800","0.8855","0.0560"
"17.9200","0.8925","0.0569"
"18.0600","0.8995","0.0577"
"18.2000","0.9064","0.0584"
"18.3400","0.9135","0.0592"
"18.4800","0.9205","0.0602"
"18.6200","0.9275","0.0611"
"18.7600","0.9346","0.0619"
"18.9000","0.9414","0.0630"
"19.0400","0.9485","0.0636"
"19.1800","0.9555","0.0644"
"19.3200","0.9625","0.0655"
"19.4600","0.9695","0.0663"
"19.6000","0.9764","0.0672"
"19.7400","0.9835","0.0686"
"19.8800","0.9905","0.0704"
"20.0200","0.9975","0.0721"
"20.1600","1.0045","0.0739"
"20.3000","1.0114","0.0753"
"20.4400","1.0185","0.0770"
"20.5800","1.0255","0.0786"
"20.7200","1.0324","0.0800"
"20.8600","1.0395","0.0817"
"21.0000","1.0464","0.0833"
"21.1400","1.0536","0.0851"
"21.2800","1.0606","0.0868"
"21.4200","1.0673","0.0881"
"21.5600","1.0745","0.0898"
"21.7000","1.0815","0.0911"
"21.8400","1.0886","0.0929"
"21.9800","1.0956","0.0948"
"22.1200","1.1023","0.0962"
"22.2600","1.1095","0.0982"
"22.4000","1.1165","0.0997"
"22.5400","1.1235","0.1013"
"22.6800","1.1306","0.1032"
