Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-8.4468","-0.0001"
"0.1400","-8.4449","0.0000"
"0.2800","-8.4370","0.0008"
"0.4200","-8.4298","0.0015"
"0.5600","-8.4228","0.0021"
"0.7000","-8.4158","0.0027"
"0.8400","-8.4088","0.0032"
"0.9800","-8.4019","0.0038"
"1.1200","-8.3948","0.0041"
"1.2600","-8.3879","0.0050"
"1.4000","-8.3808","0.0055"
"1.5400","-8.3737","0.0057"
"1.6800","-8.3669","0.0063"
"1.8200","-8.3598","0.0068"
"1.9600","-8.3528","0.0071"
"2.1000","-8.3457","0.0079"
"2.2400","-8.3387","0.0082"
"2.3800","-8.3319","0.0086"
"2.5200","-8.3249","0.0091"
"2.6600","-8.3178","0.0096"
"2.8000","-8.3107","0.0101"
"2.9400","-8.3036","0.0107"
"3.0800","-8.2969","0.0113"
"3.2200","-8.2898","0.0116"
"3.3600","-8.2828","0.0122"
"3.5000","-8.2758","0.0126"
"3.6400","-8.2688","0.0130"
"3.7800","-8.2619","0.0135"
"3.9200","-8.2547","0.0141"
"4.0600","-8.2477","0.0143"
"4.2000","-8.2409","0.0150"
"4.3400","-8.2338","0.0155"
"4.4800","-8.2268","0.0159"
"4.6200","-8.2197","0.0164"
"4.7600","-8.2127","0.0171"
"4.9000","-8.2059","0.0173"
"5.0400","-8.1989","0.0178"
"5.1800","-8.1918","0.0181"
"5.3200","-8.1847","0.0184"
"5.4600","-8.1777","0.0192"
"5.6000","-8.1710","0.0196"
"5.7400","-8.1638","0.0199"
"5.8800","-8.1568","0.0202"
"6.0200","-8.1497","0.0209"
"6.1600","-8.1428","0.0214"
"6.3000","-8.1360","0.0218"
"6.4400","-8.1287","0.0221"
"6.5800","-8.1216","0.0225"
"6.7200","-8.1148","0.0230"
"6.8600","-8.1078","0.0234"
"7.0000","-8.1009","0.0239"
"7.1400","-8.0938","0.0244"
"7.2800","-8.0867","0.0250"
"7.4200","-8.0799","0.0254"
"7.5600","-8.0728","0.0259"
"7.7000","-8.0659","0.0263"
"7.8400","-8.0587","0.0268"
"7.9800","-8.0517","0.0272"
"8.1200","-8.0450","0.0275"
"8.2600","-8.0378","0.0282"
"8.4000","-8.0308","0.0288"
"8.5400","-8.0238","0.0291"
"8.6800","-8.0167","0.0296"
"8.8200","-8.0099","0.0300"
"8.9600","-8.0027","0.0303"
"9.1000","-7.9957","0.0308"
"9.2400","-7.9888","0.0314"
"9.3800","-7.9817","0.0318"
"9.5200","-7.9748","0.0322"
"9.6600","-7.9677","0.0324"
"9.8000","-7.9608","0.0329"
"9.9400","-7.9539","0.0333"
"10.0800","-7.9468","0.0337"
"10.2200","-7.9398","0.0345"
"10.3600","-7.9327","0.0348"
"10.5000","-7.9257","0.0351"
"10.6400","-7.9189","0.0359"
"10.7800","-7.9118","0.0361"
"10.9200","-7.9048","0.0365"
"11.0600","-7.8978","0.0371"
"11.2000","-7.8907","0.0373"
"11.3400","-7.8840","0.0378"
"11.4800","-7.8768","0.0384"
"11.6200","-7.8697","0.0387"
"11.7600","-7.8627","0.0391"
"11.9000","-7.8557","0.0399"
"12.0400","-7.8489","0.0401"
"12.1800","-7.8418","0.0405"
"12.3200","-7.8347","0.0410"
"12.4600","-7.8278","0.0414"
"12.6000","-7.8207","0.0419"
"12.7400","-7.8138","0.0424"
"12.8800","-7.8067","0.0428"
"13.0200","-7.7998","0.0431"
"13.1600","-7.7929","0.0437"
"13.3000","-7.7858","0.0440"
"13.4400","-7.7789","0.0446"
"13.5800","-7.7717","0.0448"
"13.7200","-7.7647","0.0453"
"13.8600","-7.7579","0.0459"
"14.0000","-7.7508","0.0463"
"14.1400","-7.7438","0.0467"
"14.2800","-7.7367","0.0471"
"14.4200","-7.7297","0.0475"
"14.5600","-7.7229","0.0480"
"14.7000","-7.7158","0.0485"
"14.8400","-7.7088","0.0488"
"14.9800","-7.7018","0.0493"
"15.1200","-7.6948","0.0497"
"15.2600","-7.6878","0.0500"
"15.4000","-7.6807","0.0507"
"15.5400","-7.6737","0.0512"
