Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"Ammonium Pechlorate-Aluminum-PDMS 60/40","Manuel Martinez
Katie Zalegowski
Chris Iskander",""

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1400","0.0018","-0.0001"
"0.2800","0.0100","0.0000"
"0.4200","0.0171","0.0001"
"0.5600","0.0240","-0.0001"
"0.7000","0.0311","0.0002"
"0.8400","0.0380","0.0003"
"0.9800","0.0451","0.0005"
"1.1200","0.0521","0.0004"
"1.2600","0.0589","0.0007"
"1.4000","0.0660","0.0008"
"1.5400","0.0730","0.0009"
"1.6800","0.0800","0.0009"
"1.8200","0.0871","0.0012"
"1.9600","0.0939","0.0014"
"2.1000","0.1010","0.0019"
"2.2400","0.1080","0.0020"
"2.3800","0.1150","0.0022"
"2.5200","0.1221","0.0029"
"2.6600","0.1289","0.0030"
"2.8000","0.1361","0.0035"
"2.9400","0.1431","0.0038"
"3.0800","0.1500","0.0042"
"3.2200","0.1571","0.0046"
"3.3600","0.1640","0.0050"
"3.5000","0.1712","0.0054"
"3.6400","0.1781","0.0061"
"3.7800","0.1848","0.0064"
"3.9200","0.1921","0.0069"
"4.0600","0.1991","0.0074"
"4.2000","0.2062","0.0077"
"4.3400","0.2132","0.0083"
"4.4800","0.2199","0.0088"
"4.6200","0.2270","0.0093"
"4.7600","0.2341","0.0098"
"4.9000","0.2411","0.0101"
"5.0400","0.2481","0.0107"
"5.1800","0.2550","0.0112"
"5.3200","0.2620","0.0116"
"5.4600","0.2691","0.0122"
"5.6000","0.2760","0.0127"
"5.7400","0.2831","0.0132"
"5.8800","0.2900","0.0137"
"6.0200","0.2971","0.0142"
"6.1600","0.3041","0.0148"
"6.3000","0.3109","0.0153"
"6.4400","0.3181","0.0159"
"6.5800","0.3250","0.0163"
"6.7200","0.3321","0.0170"
"6.8600","0.3392","0.0173"
"7.0000","0.3459","0.0179"
"7.1400","0.3530","0.0186"
"7.2800","0.3600","0.0191"
"7.4200","0.3670","0.0196"
"7.5600","0.3741","0.0202"
"7.7000","0.3809","0.0207"
"7.8400","0.3881","0.0213"
"7.9800","0.3951","0.0219"
"8.1200","0.4020","0.0223"
"8.2600","0.4091","0.0232"
"8.4000","0.4159","0.0237"
"8.5400","0.4232","0.0242"
"8.6800","0.4300","0.0246"
"8.8200","0.4369","0.0252"
"8.9600","0.4441","0.0260"
"9.1000","0.4510","0.0265"
"9.2400","0.4581","0.0269"
"9.3800","0.4652","0.0276"
"9.5200","0.4720","0.0280"
"9.6600","0.4790","0.0285"
"9.8000","0.4860","0.0291"
"9.9400","0.4931","0.0298"
"10.0800","0.5002","0.0304"
"10.2200","0.5070","0.0308"
"10.3600","0.5140","0.0315"
"10.5000","0.5211","0.0320"
"10.6400","0.5281","0.0327"
"10.7800","0.5351","0.0332"
"10.9200","0.5419","0.0339"
"11.0600","0.5490","0.0344"
"11.2000","0.5561","0.0351"
"11.3400","0.5629","0.0356"
"11.4800","0.5701","0.0363"
"11.6200","0.5770","0.0370"
"11.7600","0.5841","0.0376"
"11.9000","0.5911","0.0379"
"12.0400","0.5979","0.0385"
"12.1800","0.6050","0.0393"
"12.3200","0.6120","0.0398"
"12.4600","0.6192","0.0405"
"12.6000","0.6262","0.0410"
"12.7400","0.6329","0.0415"
"12.8800","0.6401","0.0424"
"13.0200","0.6471","0.0428"
"13.1600","0.6541","0.0435"
"13.3000","0.6611","0.0442"
"13.4400","0.6679","0.0447"
"13.5800","0.6751","0.0452"
"13.7200","0.6821","0.0459"
"13.8600","0.6891","0.0465"
"14.0000","0.6961","0.0473"
"14.1400","0.7030","0.0478"
"14.2800","0.7101","0.0483"
"14.4200","0.7171","0.0490"
"14.5600","0.7239","0.0494"
"14.7000","0.7310","0.0500"
"14.8400","0.7380","0.0509"
"14.9800","0.7451","0.0515"
"15.1200","0.7521","0.0521"
"15.2600","0.7589","0.0527"
"15.4000","0.7660","0.0533"
"15.5400","0.7731","0.0539"
"15.6800","0.7801","0.0547"
"15.8200","0.7871","0.0552"
"15.9600","0.7938","0.0558"
"16.1000","0.8011","0.0565"
"16.2400","0.8082","0.0571"
"16.3800","0.8151","0.0579"
"16.5200","0.8221","0.0585"
"16.6600","0.8289","0.0591"
"16.8000","0.8361","0.0598"
"16.9400","0.8431","0.0603"
"17.0800","0.8499","0.0609"
"17.2200","0.8571","0.0615"
"17.3600","0.8639","0.0621"
"17.5000","0.8712","0.0628"
"17.6400","0.8781","0.0634"
"17.7800","0.8849","0.0641"
"17.9200","0.8920","0.0645"
"18.0600","0.8990","0.0655"
"18.2000","0.9061","0.0661"
"18.3400","0.9131","0.0669"
"18.4800","0.9199","0.0674"
"18.6200","0.9271","0.0679"
"18.7600","0.9341","0.0687"
"18.9000","0.9411","0.0692"
"19.0400","0.9482","0.0700"
"19.1800","0.9550","0.0706"
"19.3200","0.9620","0.0712"
"19.4600","0.9690","0.0719"
"19.6000","0.9760","0.0726"
"19.7400","0.9831","0.0732"
"19.8800","0.9900","0.0737"
"20.0200","0.9971","0.0744"
"20.1600","1.0041","0.0750"
"20.3000","1.0109","0.0756"
"20.4400","1.0180","0.0762"
"20.5800","1.0250","0.0769"
"20.7200","1.0321","0.0776"
"20.8600","1.0391","0.0783"
"21.0000","1.0459","0.0788"
"21.1400","1.0530","0.0795"
"21.2800","1.0600","0.0802"
"21.4200","1.0671","0.0807"
"21.5600","1.0741","0.0812"
"21.7000","1.0809","0.0819"
"21.8400","1.0880","0.0825"
"21.9800","1.0951","0.0832"
"22.1200","1.1021","0.0836"
"22.2600","1.1092","0.0845"
"22.4000","1.1160","0.0850"
"22.5400","1.1231","0.0857"
"22.6800","1.1301","0.0863"
"22.8200","1.1370","0.0869"
"22.9600","1.1440","0.0875"
"23.1000","1.1510","0.0879"
"23.2400","1.1582","0.0888"
"23.3800","1.1651","0.0892"
"23.5200","1.1719","0.0899"
"23.6600","1.1790","0.0904"
"23.8000","1.1860","0.0913"
"23.9400","1.1931","0.0919"
"24.0800","1.2001","0.0922"
"24.2200","1.2069","0.0928"
"24.3600","1.2140","0.0934"
"24.5000","1.2210","0.0940"
"24.6400","1.2281","0.0947"
"24.7800","1.2351","0.0952"
"24.9200","1.2420","0.0958"
"25.0600","1.2491","0.0965"
"25.2000","1.2561","0.0969"
"25.3400","1.2630","0.0975"
"25.4800","1.2701","0.0983"
"25.6200","1.2769","0.0987"
"25.7600","1.2841","0.0996"
"25.9000","1.2912","0.1002"
"26.0400","1.2980","0.1005"
"26.1800","1.3050","0.1009"
"26.3200","1.3120","0.1015"
"26.4600","1.3191","0.1023"
"26.6000","1.3261","0.1028"
"26.7400","1.3329","0.1034"
"26.8800","1.3400","0.1041"
"27.0200","1.3470","0.1047"
"27.1600","1.3542","0.1051"
"27.3000","1.3611","0.1056"
"27.4400","1.3679","0.1060"
"27.5800","1.3751","0.1067"
"27.7200","1.3820","0.1075"
"27.8600","1.3890","0.1079"
"28.0000","1.3961","0.1085"
"28.1400","1.4029","0.1089"
"28.2800","1.4101","0.1096"
"28.4200","1.4171","0.1100"
"28.5600","1.4240","0.1108"
"28.7000","1.4311","0.1114"
"28.8400","1.4380","0.1119"
"28.9800","1.4451","0.1125"
"29.1200","1.4521","0.1129"
"29.2600","1.4589","0.1133"
"29.4000","1.4660","0.1142"
"29.5400","1.4730","0.1146"
"29.6800","1.4801","0.1152"
"29.8200","1.4871","0.1157"
"29.9600","1.4939","0.1164"
"30.1000","1.5010","0.1167"
"30.2400","1.5081","0.1174"
"30.3800","1.5151","0.1179"
"30.5200","1.5221","0.1185"
"30.6600","1.5289","0.1192"
"30.8000","1.5361","0.1196"
"30.9400","1.5431","0.1200"
"31.0800","1.5501","0.1206"
"31.2200","1.5571","0.1214"
"31.3600","1.5639","0.1218"
"31.5000","1.5710","0.1223"
"31.6400","1.5781","0.1228"
"31.7800","1.5850","0.1234"
"31.9200","1.5921","0.1240"
"32.0600","1.5990","0.1243"
"32.2000","1.6062","0.1252"
"32.3400","1.6131","0.1255"
"32.4800","1.6199","0.1260"
"32.6200","1.6270","0.1267"
"32.7600","1.6340","0.1270"
"32.9000","1.6411","0.1277"
"33.0400","1.6481","0.1282"
"33.1800","1.6550","0.1287"
"33.3200","1.6620","0.1293"
"33.4600","1.6690","0.1299"
"33.6000","1.6761","0.1303"
"33.7400","1.6831","0.1308"
"33.8800","1.6899","0.1315"
"34.0200","1.6970","0.1318"
"34.1600","1.7041","0.1326"
"34.3000","1.7110","0.1329"
"34.4400","1.7181","0.1335"
"34.5800","1.7250","0.1341"
"34.7200","1.7321","0.1344"
"34.8600","1.7391","0.1351"
"35.0000","1.7459","0.1358"
"35.1400","1.7530","0.1363"
"35.2800","1.7600","0.1366"
"35.4200","1.7671","0.1371"
"35.5600","1.7742","0.1376"
"35.7000","1.7809","0.1381"
"35.8400","1.7880","0.1388"
"35.9800","1.7950","0.1395"
"36.1200","1.8021","0.1399"
"36.2600","1.8091","0.1404"
"36.4000","1.8159","0.1408"
"36.5400","1.8230","0.1414"
"36.6800","1.8300","0.1418"
"36.8200","1.8371","0.1425"
"36.9600","1.8441","0.1431"
"37.1000","1.8510","0.1436"
"37.2400","1.8582","0.1440"
"37.3800","1.8650","0.1444"
"37.5200","1.8719","0.1450"
"37.6600","1.8791","0.1455"
"37.8000","1.8860","0.1461"
"37.9400","1.8932","0.1467"
"38.0800","1.9002","0.1472"
"38.2200","1.9069","0.1475"
"38.3600","1.9140","0.1481"
"38.5000","1.9210","0.1485"
"38.6400","1.9281","0.1491"
"38.7800","1.9351","0.1498"
"38.9200","1.9419","0.1502"
"39.0600","1.9490","0.1508"
"39.2000","1.9561","0.1513"
"39.3400","1.9631","0.1516"
"39.4800","1.9701","0.1522"
"39.6200","1.9770","0.1528"
"39.7600","1.9841","0.1533"
"39.9000","1.9911","0.1538"
"40.0400","1.9980","0.1542"
"40.1800","2.0051","0.1550"
"40.3200","2.0120","0.1554"
"40.4600","2.0191","0.1558"
"40.6000","2.0261","0.1565"
"40.7400","2.0330","0.1568"
"40.8800","2.0401","0.1575"
"41.0200","2.0470","0.1581"
"41.1600","2.0541","0.1585"
"41.3000","2.0611","0.1590"
"41.4400","2.0679","0.1593"
"41.5800","2.0750","0.1597"
"41.7200","2.0820","0.1606"
"41.8600","2.0891","0.1609"
"42.0000","2.0961","0.1614"
"42.1400","2.1029","0.1617"
"42.2800","2.1100","0.1625"
"42.4200","2.1170","0.1626"
"42.5600","2.1240","0.1634"
"42.7000","2.1311","0.1639"
"42.8400","2.1380","0.1642"
"42.9800","2.1451","0.1652"
"43.1200","2.1521","0.1653"
"43.2600","2.1590","0.1658"
"43.4000","2.1660","0.1664"
"43.5400","2.1730","0.1669"
"43.6800","2.1802","0.1673"
"43.8200","2.1872","0.1678"
"43.9600","2.1940","0.1683"
"44.1000","2.2010","0.1689"
"44.2400","2.2081","0.1694"
"44.3800","2.2151","0.1698"
"44.5200","2.2221","0.1703"
"44.6600","2.2289","0.1709"
"44.8000","2.2360","0.1713"
