Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"Sugar Aluminum, 70/30
Cylinder Height: 1.5"
","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"4/3/2019","1881.08","1.88","Circular","38.10","38.10","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1400","0.0019","-0.0001"
"0.2800","0.0108","0.0000"
"0.4200","0.0178","0.0000"
"0.5600","0.0250","0.0000"
"0.7000","0.0318","0.0003"
"0.8400","0.0389","0.0003"
"0.9800","0.0459","0.0002"
"1.1200","0.0528","0.0003"
"1.2600","0.0599","0.0002"
"1.4000","0.0669","0.0002"
"1.5400","0.0740","0.0002"
"1.6800","0.0809","0.0003"
"1.8200","0.0877","0.0003"
"1.9600","0.0948","0.0004"
"2.1000","0.1018","0.0004"
"2.2400","0.1090","0.0004"
"2.3800","0.1160","0.0007"
"2.5200","0.1228","0.0006"
"2.6600","0.1299","0.0006"
"2.8000","0.1370","0.0006"
"2.9400","0.1439","0.0005"
"3.0800","0.1509","0.0007"
"3.2200","0.1577","0.0009"
"3.3600","0.1649","0.0008"
"3.5000","0.1720","0.0011"
"3.6400","0.1789","0.0011"
"3.7800","0.1859","0.0012"
"3.9200","0.1927","0.0012"
"4.0600","0.1999","0.0012"
"4.2000","0.2070","0.0013"
"4.3400","0.2138","0.0012"
"4.4800","0.2208","0.0013"
"4.6200","0.2278","0.0013"
"4.7600","0.2350","0.0014"
"4.9000","0.2421","0.0017"
"5.0400","0.2487","0.0015"
"5.1800","0.2558","0.0018"
"5.3200","0.2628","0.0017"
"5.4600","0.2700","0.0015"
"5.6000","0.2770","0.0018"
"5.7400","0.2837","0.0018"
"5.8800","0.2909","0.0019"
"6.0200","0.2980","0.0019"
"6.1600","0.3049","0.0019"
"6.3000","0.3119","0.0020"
"6.4400","0.3188","0.0021"
"6.5800","0.3259","0.0021"
"6.7200","0.3330","0.0021"
"6.8600","0.3398","0.0022"
"7.0000","0.3468","0.0024"
"7.1400","0.3539","0.0025"
"7.2800","0.3610","0.0025"
"7.4200","0.3680","0.0024"
"7.5600","0.3747","0.0025"
"7.7000","0.3819","0.0025"
"7.8400","0.3889","0.0027"
"7.9800","0.3959","0.0026"
"8.1200","0.4029","0.0029"
"8.2600","0.4097","0.0028"
"8.4000","0.4169","0.0030"
"8.5400","0.4239","0.0028"
"8.6800","0.4309","0.0031"
"8.8200","0.4380","0.0028"
"8.9600","0.4448","0.0028"
"9.1000","0.4519","0.0029"
