Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"Joshua, Abdul, and Johann. Cylinder Compression test. 70% AP and 30% PDMS. No CNT. ","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"4/3/2019","15.76","18.75","Circular","40.80","40.80","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.1400","0.0020","0.0000"
"0.2800","0.0096","-0.0001"
"0.4200","0.0169","0.0001"
"0.5600","0.0240","0.0002"
"0.7000","0.0309","0.0001"
"0.8400","0.0380","0.0004"
"0.9800","0.0450","0.0001"
"1.1200","0.0518","0.0004"
"1.2600","0.0589","0.0003"
"1.4000","0.0659","0.0005"
"1.5400","0.0730","0.0005"
"1.6800","0.0800","0.0004"
"1.8200","0.0868","0.0006"
"1.9600","0.0940","0.0007"
"2.1000","0.1010","0.0006"
"2.2400","0.1080","0.0008"
"2.3800","0.1150","0.0006"
"2.5200","0.1218","0.0009"
"2.6600","0.1290","0.0010"
"2.8000","0.1361","0.0010"
"2.9400","0.1430","0.0013"
"3.0800","0.1500","0.0010"
"3.2200","0.1569","0.0011"
"3.3600","0.1640","0.0011"
"3.5000","0.1710","0.0013"
"3.6400","0.1779","0.0014"
"3.7800","0.1850","0.0016"
"3.9200","0.1918","0.0018"
"4.0600","0.1991","0.0015"
"4.2000","0.2060","0.0016"
"4.3400","0.2128","0.0017"
"4.4800","0.2200","0.0017"
"4.6200","0.2269","0.0020"
"4.7600","0.2341","0.0020"
"4.9000","0.2410","0.0023"
"5.0400","0.2478","0.0022"
"5.1800","0.2550","0.0022"
"5.3200","0.2620","0.0024"
"5.4600","0.2690","0.0023"
"5.6000","0.2761","0.0023"
"5.7400","0.2829","0.0025"
"5.8800","0.2899","0.0026"
"6.0200","0.2970","0.0028"
"6.1600","0.3040","0.0029"
"6.3000","0.3110","0.0031"
"6.4400","0.3179","0.0032"
"6.5800","0.3251","0.0033"
"6.7200","0.3321","0.0034"
"6.8600","0.3389","0.0035"
"7.0000","0.3459","0.0035"
"7.1400","0.3529","0.0038"
"7.2800","0.3600","0.0039"
"7.4200","0.3670","0.0042"
"7.5600","0.3738","0.0040"
"7.7000","0.3809","0.0041"
"7.8400","0.3879","0.0043"
"7.9800","0.3951","0.0044"
"8.1200","0.4021","0.0045"
"8.2600","0.4088","0.0045"
"8.4000","0.4159","0.0048"
"8.5400","0.4230","0.0050"
"8.6800","0.4300","0.0051"
"8.8200","0.4371","0.0051"
"8.9600","0.4439","0.0052"
"9.1000","0.4510","0.0052"
"9.2400","0.4580","0.0056"
"9.3800","0.4649","0.0058"
