Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0012"
"0.1400","0.0020","-0.0008"
"0.2800","0.0097","0.0014"
"0.4200","0.0170","0.0031"
"0.5600","0.0241","0.0046"
"0.7000","0.0308","0.0057"
"0.8400","0.0379","0.0070"
"0.9800","0.0450","0.0083"
"1.1200","0.0520","0.0095"
"1.2600","0.0591","0.0105"
"1.4000","0.0659","0.0116"
"1.5400","0.0731","0.0128"
"1.6800","0.0801","0.0139"
"1.8200","0.0869","0.0147"
"1.9600","0.0940","0.0159"
"2.1000","0.1009","0.0167"
"2.2400","0.1081","0.0178"
"2.3800","0.1151","0.0186"
"2.5200","0.1219","0.0195"
"2.6600","0.1290","0.0205"
"2.8000","0.1360","0.0217"
"2.9400","0.1431","0.0226"
"3.0800","0.1500","0.0236"
"3.2200","0.1569","0.0244"
"3.3600","0.1640","0.0254"
"3.5000","0.1711","0.0263"
"3.6400","0.1780","0.0274"
"3.7800","0.1850","0.0279"
"3.9200","0.1919","0.0290"
"4.0600","0.1991","0.0300"
"4.2000","0.2061","0.0308"
"4.3400","0.2129","0.0315"
"4.4800","0.2200","0.0324"
"4.6200","0.2270","0.0333"
"4.7600","0.2341","0.0345"
"4.9000","0.2411","0.0352"
"5.0400","0.2479","0.0360"
"5.1800","0.2550","0.0367"
"5.3200","0.2620","0.0375"
"5.4600","0.2691","0.0386"
"5.6000","0.2761","0.0395"
"5.7400","0.2829","0.0403"
"5.8800","0.2900","0.0412"
"6.0200","0.2970","0.0423"
"6.1600","0.3040","0.0430"
"6.3000","0.3111","0.0438"
"6.4400","0.3179","0.0446"
"6.5800","0.3251","0.0457"
"6.7200","0.3320","0.0466"
"6.8600","0.3389","0.0475"
"7.0000","0.3461","0.0486"
"7.1400","0.3529","0.0493"
"7.2800","0.3601","0.0501"
"7.4200","0.3671","0.0510"
"7.5600","0.3739","0.0518"
"7.7000","0.3810","0.0527"
"7.8400","0.3880","0.0537"
"7.9800","0.3951","0.0546"
"8.1200","0.4021","0.0555"
"8.2600","0.4090","0.0563"
"8.4000","0.4159","0.0572"
"8.5400","0.4230","0.0581"
"8.6800","0.4300","0.0590"
"8.8200","0.4371","0.0599"
"8.9600","0.4439","0.0608"
"9.1000","0.4510","0.0617"
"9.2400","0.4580","0.0625"
"9.3800","0.4650","0.0634"
"9.5200","0.4721","0.0645"
"9.6600","0.4789","0.0654"
"9.8000","0.4860","0.0663"
"9.9400","0.4930","0.0673"
"10.0800","0.5000","0.0680"
"10.2200","0.5071","0.0692"
"10.3600","0.5139","0.0699"
"10.5000","0.5210","0.0708"
"10.6400","0.5281","0.0720"
"10.7800","0.5349","0.0729"
"10.9200","0.5421","0.0739"
"11.0600","0.5490","0.0747"
"11.2000","0.5561","0.0759"
"11.3400","0.5631","0.0766"
"11.4800","0.5699","0.0774"
"11.6200","0.5770","0.0784"
"11.7600","0.5840","0.0794"
"11.9000","0.5910","0.0805"
"12.0400","0.5981","0.0813"
"12.1800","0.6049","0.0822"
"12.3200","0.6121","0.0832"
"12.4600","0.6191","0.0842"
"12.6000","0.6260","0.0852"
"12.7400","0.6330","0.0861"
"12.8800","0.6399","0.0871"
"13.0200","0.6471","0.0882"
"13.1600","0.6541","0.0891"
"13.3000","0.6609","0.0901"
"13.4400","0.6680","0.0911"
"13.5800","0.6751","0.0919"
"13.7200","0.6821","0.0931"
"13.8600","0.6891","0.0942"
"14.0000","0.6958","0.0952"
"14.1400","0.7029","0.0960"
"14.2800","0.7100","0.0971"
"14.4200","0.7170","0.0982"
"14.5600","0.7241","0.0991"
"14.7000","0.7309","0.1000"
"14.8400","0.7380","0.1012"
"14.9800","0.7450","0.1022"
"15.1200","0.7520","0.1034"
"15.2600","0.7591","0.1043"
"15.4000","0.7659","0.1052"
"15.5400","0.7730","0.1064"
"15.6800","0.7801","0.1075"
"15.8200","0.7869","0.1083"
"15.9600","0.7941","0.1096"
"16.1000","0.8010","0.1107"
"16.2400","0.8081","0.1116"
"16.3800","0.8150","0.1129"
"16.5200","0.8218","0.1138"
"16.6600","0.8290","0.1150"
"16.8000","0.8360","0.1161"
"16.9400","0.8432","0.1171"
"17.0800","0.8501","0.1182"
"17.2200","0.8569","0.1192"
"17.3600","0.8640","0.1205"
"17.5000","0.8710","0.1215"
"17.6400","0.8780","0.1226"
"17.7800","0.8850","0.1237"
"17.9200","0.8919","0.1249"
"18.0600","0.8990","0.1261"
"18.2000","0.9060","0.1272"
"18.3400","0.9129","0.1281"
"18.4800","0.9200","0.1295"
"18.6200","0.9270","0.1305"
"18.7600","0.9341","0.1317"
"18.9000","0.9411","0.1331"
"19.0400","0.9479","0.1338"
"19.1800","0.9550","0.1352"
"19.3200","0.9620","0.1363"
"19.4600","0.9691","0.1375"
"19.6000","0.9761","0.1388"
"19.7400","0.9829","0.1400"
"19.8800","0.9900","0.1412"
"20.0200","0.9970","0.1421"
"20.1600","1.0040","0.1434"
"20.3000","1.0111","0.1451"
"20.4400","1.0179","0.1460"
"20.5800","1.0250","0.1472"
"20.7200","1.0320","0.1484"
"20.8600","1.0389","0.1497"
"21.0000","1.0461","0.1509"
"21.1400","1.0529","0.1520"
"21.2800","1.0601","0.1534"
"21.4200","1.0670","0.1547"
"21.5600","1.0739","0.1559"
"21.7000","1.0810","0.1572"
"21.8400","1.0880","0.1586"
"21.9800","1.0951","0.1601"
"22.1200","1.1021","0.1614"
"22.2600","1.1089","0.1625"
"22.4000","1.1159","0.1637"
"22.5400","1.1230","0.1652"
"22.6800","1.1301","0.1667"
"22.8200","1.1371","0.1679"
"22.9600","1.1439","0.1693"
"23.1000","1.1510","0.1704"
"23.2400","1.1580","0.1720"
"23.3800","1.1650","0.1733"
"23.5200","1.1720","0.1748"
"23.6600","1.1789","0.1760"
"23.8000","1.1860","0.1775"
"23.9400","1.1930","0.1790"
"24.0800","1.1999","0.1804"
"24.2200","1.2070","0.1818"
"24.3600","1.2139","0.1832"
"24.5000","1.2210","0.1848"
"24.6400","1.2281","0.1860"
"24.7800","1.2349","0.1875"
"24.9200","1.2420","0.1891"
"25.0600","1.2490","0.1905"
"25.2000","1.2561","0.1922"
"25.3400","1.2631","0.1936"
"25.4800","1.2699","0.1951"
"25.6200","1.2770","0.1967"
"25.7600","1.2841","0.1984"
"25.9000","1.2911","0.1999"
"26.0400","1.2980","0.2014"
"26.1800","1.3048","0.2029"
"26.3200","1.3120","0.2046"
"26.4600","1.3191","0.2063"
"26.6000","1.3260","0.2079"
"26.7400","1.3330","0.2094"
"26.8800","1.3399","0.2110"
"27.0200","1.3470","0.2127"
"27.1600","1.3541","0.2143"
"27.3000","1.3609","0.2159"
"27.4400","1.3679","0.2177"
"27.5800","1.3750","0.2191"
"27.7200","1.3821","0.2211"
"27.8600","1.3891","0.2228"
"28.0000","1.3958","0.2242"
"28.1400","1.4030","0.2264"
"28.2800","1.4100","0.2281"
"28.4200","1.4171","0.2298"
"28.5600","1.4240","0.2315"
"28.7000","1.4309","0.2333"
"28.8400","1.4380","0.2352"
"28.9800","1.4451","0.2370"
"29.1200","1.4521","0.2388"
"29.2600","1.4591","0.2410"
"29.4000","1.4659","0.2426"
"29.5400","1.4730","0.2445"
"29.6800","1.4800","0.2464"
"29.8200","1.4869","0.2481"
"29.9600","1.4940","0.2500"
"30.1000","1.5009","0.2519"
"30.2400","1.5081","0.2541"
"30.3800","1.5151","0.2561"
"30.5200","1.5219","0.2579"
"30.6600","1.5290","0.2601"
"30.8000","1.5360","0.2618"
"30.9400","1.5431","0.2641"
"31.0800","1.5501","0.2661"
"31.2200","1.5568","0.2680"
"31.3600","1.5640","0.2701"
"31.5000","1.5710","0.2721"
"31.6400","1.5781","0.2741"
"31.7800","1.5851","0.2763"
"31.9200","1.5919","0.2782"
"32.0600","1.5989","0.2802"
"32.2000","1.6060","0.2825"
"32.3400","1.6130","0.2843"
"32.4800","1.6200","0.2866"
"32.6200","1.6270","0.2885"
"32.7600","1.6341","0.2907"
"32.9000","1.6411","0.2927"
"33.0400","1.6479","0.2944"
"33.1800","1.6550","0.2968"
"33.3200","1.6619","0.2988"
"33.4600","1.6690","0.3008"
"33.6000","1.6761","0.3029"
"33.7400","1.6828","0.3047"
"33.8800","1.6900","0.3069"
"34.0200","1.6970","0.3088"
"34.1600","1.7041","0.3110"
"34.3000","1.7111","0.3131"
"34.4400","1.7178","0.3147"
"34.5800","1.7249","0.3168"
"34.7200","1.7320","0.3187"
"34.8600","1.7390","0.3206"
"35.0000","1.7461","0.3227"
"35.1400","1.7529","0.3244"
"35.2800","1.7601","0.3265"
"35.4200","1.7670","0.3280"
"35.5600","1.7739","0.3298"
"35.7000","1.7810","0.3320"
"35.8400","1.7879","0.3336"
"35.9800","1.7951","0.3357"
"36.1200","1.8020","0.3372"
"36.2600","1.8089","0.3389"
"36.4000","1.8160","0.3405"
"36.5400","1.8230","0.3424"
"36.6800","1.8301","0.3441"
"36.8200","1.8370","0.3458"
"36.9600","1.8439","0.3474"
"37.1000","1.8510","0.3490"
"37.2400","1.8580","0.3508"
"37.3800","1.8651","0.3522"
"37.5200","1.8721","0.3540"
"37.6600","1.8789","0.3554"
"37.8000","1.8860","0.3571"
"37.9400","1.8930","0.3584"
"38.0800","1.9000","0.3599"
"38.2200","1.9070","0.3616"
"38.3600","1.9139","0.3628"
"38.5000","1.9211","0.3645"
"38.6400","1.9281","0.3658"
"38.7800","1.9350","0.3673"
"38.9200","1.9420","0.3686"
"39.0600","1.9489","0.3701"
"39.2000","1.9561","0.3716"
"39.3400","1.9631","0.3730"
"39.4800","1.9699","0.3741"
"39.6200","1.9769","0.3757"
"39.7600","1.9839","0.3770"
"39.9000","1.9911","0.3784"
"40.0400","1.9982","0.3797"
"40.1800","2.0049","0.3809"
"40.3200","2.0120","0.3821"
"40.4600","2.0189","0.3835"
"40.6000","2.0260","0.3850"
"40.7400","2.0331","0.3863"
"40.8800","2.0399","0.3872"
"41.0200","2.0470","0.3888"
"41.1600","2.0541","0.3901"
"41.3000","2.0610","0.3913"
"41.4400","2.0680","0.3927"
"41.5800","2.0749","0.3939"
"41.7200","2.0820","0.3952"
"41.8600","2.0891","0.3964"
"42.0000","2.0960","0.3975"
"42.1400","2.1029","0.3986"
"42.2800","2.1100","0.4001"
"42.4200","2.1171","0.4013"
"42.5600","2.1241","0.4026"
"42.7000","2.1309","0.4034"
"42.8400","2.1379","0.4049"
"42.9800","2.1450","0.4061"
"43.1200","2.1520","0.4075"
"43.2600","2.1591","0.4088"
"43.4000","2.1659","0.4097"
"43.5400","2.1729","0.4110"
"43.6800","2.1801","0.4124"
"43.8200","2.1870","0.4136"
"43.9600","2.1941","0.4148"
"44.1000","2.2009","0.4156"
"44.2400","2.2080","0.4173"
"44.3800","2.2151","0.4183"
"44.5200","2.2219","0.4196"
"44.6600","2.2290","0.4208"
"44.8000","2.2360","0.4221"
