Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"60%AP 40%PDMS","2/2",""

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1400","0.0022","-0.0002"
"0.2800","0.0102","-0.0001"
"0.4200","0.0175","0.0004"
"0.5600","0.0243","0.0004"
"0.7000","0.0314","0.0007"
"0.8400","0.0384","0.0007"
"0.9800","0.0453","0.0008"
"1.1200","0.0524","0.0012"
"1.2600","0.0593","0.0013"
"1.4000","0.0665","0.0015"
"1.5400","0.0735","0.0017"
"1.6800","0.0803","0.0020"
"1.8200","0.0874","0.0023"
"1.9600","0.0944","0.0025"
"2.1000","0.1015","0.0026"
"2.2400","0.1085","0.0031"
"2.3800","0.1153","0.0033"
"2.5200","0.1224","0.0038"
"2.6600","0.1294","0.0039"
"2.8000","0.1364","0.0041"
"2.9400","0.1435","0.0046"
"3.0800","0.1503","0.0050"
"3.2200","0.1575","0.0056"
"3.3600","0.1645","0.0060"
"3.5000","0.1713","0.0065"
"3.6400","0.1784","0.0070"
"3.7800","0.1853","0.0075"
"3.9200","0.1925","0.0083"
"4.0600","0.1995","0.0090"
"4.2000","0.2063","0.0096"
"4.3400","0.2134","0.0105"
"4.4800","0.2204","0.0113"
"4.6200","0.2275","0.0122"
"4.7600","0.2345","0.0129"
"4.9000","0.2413","0.0135"
"5.0400","0.2484","0.0146"
"5.1800","0.2554","0.0154"
"5.3200","0.2625","0.0162"
"5.4600","0.2695","0.0171"
"5.6000","0.2763","0.0180"
"5.7400","0.2835","0.0188"
"5.8800","0.2904","0.0198"
"6.0200","0.2974","0.0209"
"6.1600","0.3045","0.0217"
"6.3000","0.3113","0.0226"
"6.4400","0.3185","0.0237"
"6.5800","0.3255","0.0248"
"6.7200","0.3323","0.0255"
"6.8600","0.3394","0.0265"
"7.0000","0.3464","0.0277"
"7.1400","0.3535","0.0283"
"7.2800","0.3605","0.0294"
"7.4200","0.3672","0.0304"
"7.5600","0.3743","0.0314"
"7.7000","0.3814","0.0325"
"7.8400","0.3885","0.0336"
"7.9800","0.3955","0.0346"
"8.1200","0.4023","0.0356"
"8.2600","0.4094","0.0367"
"8.4000","0.4164","0.0377"
"8.5400","0.4234","0.0391"
"8.6800","0.4305","0.0398"
"8.8200","0.4373","0.0409"
"8.9600","0.4445","0.0419"
"9.1000","0.4515","0.0430"
"9.2400","0.4584","0.0442"
"9.3800","0.4654","0.0452"
"9.5200","0.4723","0.0461"
"9.6600","0.4794","0.0473"
"9.8000","0.4865","0.0487"
"9.9400","0.4933","0.0497"
