
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0500","0.0026","0.0000"
"0.1000","0.0217","0.0000"
"0.1500","0.0452","0.0001"
"0.2000","0.0720","0.0001"
"0.2500","0.0967","0.0001"
"0.3000","0.1210","0.0002"
"0.3500","0.1455","0.0003"
"0.4000","0.1697","0.0003"
"0.4500","0.1941","0.0003"
"0.5000","0.2183","0.0004"
"0.5500","0.2428","0.0004"
"0.6000","0.2671","0.0005"
"0.6500","0.2914","0.0006"
"0.7000","0.3159","0.0006"
"0.7500","0.3401","0.0007"
"0.8000","0.3645","0.0008"
"0.8500","0.3888","0.0009"
"0.9000","0.4131","0.0009"
"0.9500","0.4375","0.0010"
"1.0000","0.4618","0.0011"
"1.0500","0.4862","0.0012"
"1.1000","0.5106","0.0013"
"1.1500","0.5349","0.0013"
"1.2000","0.5593","0.0014"
"1.2500","0.5835","0.0015"
"1.3000","0.6079","0.0016"
"1.3500","0.6322","0.0016"
"1.4000","0.6565","0.0017"
"1.4500","0.6809","0.0018"
"1.5000","0.7052","0.0019"
"1.5500","0.7297","0.0020"
"1.6000","0.7540","0.0021"
"1.6500","0.7783","0.0021"
"1.7000","0.8027","0.0022"
"1.7500","0.8269","0.0023"
"1.8000","0.8514","0.0024"
"1.8500","0.8756","0.0025"
"1.9000","0.9000","0.0026"
"1.9500","0.9244","0.0027"
"2.0000","0.9486","0.0027"
"2.0500","0.9731","0.0028"
"2.1000","0.9974","0.0029"
"2.1500","1.0217","0.0030"
"2.2000","1.0461","0.0031"
"2.2500","1.0703","0.0032"
"2.3000","1.0948","0.0033"
"2.3500","1.1191","0.0033"
"2.4000","1.1435","0.0034"
"2.4500","1.1678","0.0035"
"2.5000","1.1921","0.0036"
"2.5500","1.2165","0.0037"
"2.6000","1.2407","0.0038"
"2.6500","1.2650","0.0039"
"2.7000","1.2895","0.0039"
"2.7500","1.3137","0.0040"
"2.8000","1.3382","0.0041"
"2.8500","1.3625","0.0042"
"2.9000","1.3868","0.0043"
"2.9500","1.4112","0.0044"
"3.0000","1.4355","0.0045"
"3.0500","1.4599","0.0045"
"3.1000","1.4842","0.0046"
"3.1500","1.5086","0.0047"
"3.2000","1.5329","0.0048"
"3.2500","1.5572","0.0049"
"3.3000","1.5816","0.0050"
"3.3500","1.6059","0.0051"
"3.4000","1.6302","0.0051"
"3.4500","1.6546","0.0052"
"3.5000","1.6789","0.0053"
"3.5500","1.7033","0.0054"
"3.6000","1.7276","0.0055"
"3.6500","1.7520","0.0056"
"3.7000","1.7763","0.0056"
"3.7500","1.8006","0.0057"
"3.8000","1.8250","0.0058"
"3.8500","1.8493","0.0059"
"3.9000","1.8736","0.0060"
"3.9500","1.8980","0.0060"
"4.0000","1.9223","0.0061"
"4.0500","1.9468","0.0062"
"4.1000","1.9710","0.0063"
"4.1500","1.9954","0.0063"
"4.2000","2.0197","0.0064"
"4.2500","2.0440","0.0065"
"4.3000","2.0685","0.0066"
"4.3500","2.0926","0.0067"
"4.4000","2.1171","0.0067"
"4.4500","2.1414","0.0068"
"4.5000","2.1657","0.0069"
"4.5500","2.1902","0.0070"
"4.6000","2.2144","0.0070"
"4.6500","2.2388","0.0071"
"4.7000","2.2631","0.0072"
"4.7500","2.2875","0.0073"
"4.8000","2.3119","0.0074"
"4.8500","2.3361","0.0074"
"4.9000","2.3605","0.0075"
"4.9500","2.3848","0.0076"
"5.0000","2.4091","0.0077"
"5.0500","2.4336","0.0077"
"5.1000","2.4578","0.0078"
"5.1500","2.4823","0.0079"
"5.2000","2.5066","0.0080"
"5.2500","2.5309","0.0080"
"5.3000","2.5553","0.0081"
"5.3500","2.5795","0.0081"
"5.4000","2.6039","0.0082"
"5.4500","2.6282","0.0083"
"5.5000","2.6526","0.0084"
"5.5500","2.6770","0.0085"
"5.6000","2.7012","0.0085"
"5.6500","2.7257","0.0086"
"5.7000","2.7500","0.0087"
"5.7500","2.7744","0.0088"
"5.8000","2.7987","0.0088"
