Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"4/2/2019","57.06","17.45","Circular","42.64","42.64","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","-0.0003"
"0.1400","0.0022","0.0000"
"0.2800","0.0105","0.0002"
"0.4200","0.0177","0.0004"
"0.5600","0.0248","0.0006"
"0.7000","0.0315","0.0008"
"0.8400","0.0387","0.0008"
"0.9800","0.0456","0.0010"
"1.1200","0.0527","0.0011"
"1.2600","0.0597","0.0012"
"1.4000","0.0666","0.0015"
"1.5400","0.0737","0.0016"
"1.6800","0.0807","0.0018"
"1.8200","0.0877","0.0017"
"1.9600","0.0947","0.0023"
"2.1000","0.1016","0.0021"
"2.2400","0.1087","0.0026"
"2.3800","0.1158","0.0026"
"2.5200","0.1226","0.0025"
"2.6600","0.1297","0.0028"
"2.8000","0.1367","0.0028"
"2.9400","0.1438","0.0029"
"3.0800","0.1508","0.0031"
"3.2200","0.1575","0.0033"
"3.3600","0.1646","0.0033"
"3.5000","0.1717","0.0036"
"3.6400","0.1788","0.0034"
"3.7800","0.1858","0.0036"
"3.9200","0.1926","0.0039"
"4.0600","0.1996","0.0038"
"4.2000","0.2067","0.0042"
"4.3400","0.2137","0.0043"
"4.4800","0.2208","0.0044"
"4.6200","0.2275","0.0044"
"4.7600","0.2348","0.0043"
"4.9000","0.2417","0.0048"
"5.0400","0.2486","0.0048"
"5.1800","0.2558","0.0052"
"5.3200","0.2627","0.0053"
"5.4600","0.2698","0.0053"
"5.6000","0.2767","0.0054"
"5.7400","0.2835","0.0056"
"5.8800","0.2907","0.0058"
"6.0200","0.2977","0.0060"
"6.1600","0.3048","0.0060"
"6.3000","0.3118","0.0061"
"6.4400","0.3186","0.0064"
"6.5800","0.3257","0.0066"
"6.7200","0.3327","0.0066"
"6.8600","0.3397","0.0069"
"7.0000","0.3467","0.0070"
"7.1400","0.3536","0.0072"
"7.2800","0.3607","0.0074"
"7.4200","0.3677","0.0075"
"7.5600","0.3747","0.0078"
"7.7000","0.3817","0.0080"
"7.8400","0.3886","0.0083"
"7.9800","0.3957","0.0084"
"8.1200","0.4027","0.0084"
"8.2600","0.4096","0.0086"
"8.4000","0.4168","0.0090"
"8.5400","0.4236","0.0093"
"8.6800","0.4308","0.0092"
"8.8200","0.4378","0.0097"
"8.9600","0.4446","0.0098"
"9.1000","0.4517","0.0100"
"9.2400","0.4587","0.0104"
"9.3800","0.4657","0.0106"
"9.5200","0.4728","0.0107"
"9.6600","0.4796","0.0111"
"9.8000","0.4867","0.0112"
"9.9400","0.4937","0.0115"
"10.0800","0.5007","0.0116"
"10.2200","0.5078","0.0121"
"10.3600","0.5146","0.0122"
"10.5000","0.5217","0.0126"
"10.6400","0.5287","0.0128"
"10.7800","0.5356","0.0131"
"10.9200","0.5427","0.0134"
"11.0600","0.5497","0.0136"
"11.2000","0.5568","0.0138"
"11.3400","0.5637","0.0141"
"11.4800","0.5706","0.0144"
