Sample notes : Sample description,Sample notes : Sample note 1,Specimen notes : Specimen note 1
"60% AP
40% PDMS","",""

Results Table 1
,Start date,Modulus (Automatic Young's),Diameter,Geometry,Height,Compressive strain (Displacement) gauge length,Rate 1
,,(MPa),(mm),,(mm),(mm),(mm/min)
1,"5/16/2019","28.27","20.00","Circular","50.00","50.00","3.00"

Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"0.1400","0.0018","-0.0001"
"0.2800","0.0098","-0.0001"
"0.4200","0.0169","-0.0001"
"0.5600","0.0238","0.0001"
"0.7000","0.0310","0.0000"
"0.8400","0.0379","0.0000"
"0.9800","0.0450","0.0002"
"1.1200","0.0520","-0.0001"
"1.2600","0.0588","0.0002"
"1.4000","0.0660","0.0000"
"1.5400","0.0729","-0.0001"
"1.6800","0.0800","0.0000"
"1.8200","0.0870","0.0000"
"1.9600","0.0938","0.0000"
"2.1000","0.1010","0.0001"
"2.2400","0.1079","-0.0001"
"2.3800","0.1150","0.0001"
"2.5200","0.1221","0.0002"
"2.6600","0.1289","0.0001"
"2.8000","0.1359","0.0002"
"2.9400","0.1430","0.0001"
"3.0800","0.1500","0.0000"
"3.2200","0.1570","0.0000"
"3.3600","0.1639","0.0002"
"3.5000","0.1710","0.0000"
"3.6400","0.1780","0.0002"
"3.7800","0.1848","0.0003"
"3.9200","0.1919","0.0002"
"4.0600","0.1988","0.0002"
"4.2000","0.2060","0.0002"
"4.3400","0.2131","0.0002"
"4.4800","0.2198","0.0002"
"4.6200","0.2269","0.0003"
"4.7600","0.2339","0.0000"
"4.9000","0.2410","0.0002"
"5.0400","0.2481","0.0004"
"5.1800","0.2548","0.0004"
"5.3200","0.2619","0.0003"
"5.4600","0.2690","0.0002"
"5.6000","0.2760","0.0004"
"5.7400","0.2831","0.0003"
"5.8800","0.2898","0.0006"
"6.0200","0.2970","0.0006"
"6.1600","0.3040","0.0004"
"6.3000","0.3109","0.0004"
"6.4400","0.3180","0.0003"
"6.5800","0.3248","0.0004"
"6.7200","0.3321","0.0003"
"6.8600","0.3390","0.0002"
"7.0000","0.3458","0.0003"
"7.1400","0.3529","0.0004"
"7.2800","0.3599","0.0002"
"7.4200","0.3671","0.0004"
"7.5600","0.3740","0.0005"
"7.7000","0.3808","0.0005"
"7.8400","0.3879","0.0005"
"7.9800","0.3950","0.0005"
"8.1200","0.4020","0.0005"
"8.2600","0.4090","0.0005"
"8.4000","0.4159","0.0006"
"8.5400","0.4230","0.0006"
"8.6800","0.4300","0.0006"
"8.8200","0.4369","0.0006"
"8.9600","0.4440","0.0005"
"9.1000","0.4509","0.0007"
"9.2400","0.4580","0.0006"
"9.3800","0.4651","0.0007"
"9.5200","0.4719","0.0009"
"9.6600","0.4789","0.0008"
"9.8000","0.4859","0.0008"
"9.9400","0.4930","0.0007"
"10.0800","0.5000","0.0010"
"10.2200","0.5068","0.0009"
"10.3600","0.5139","0.0010"
"10.5000","0.5209","0.0011"
"10.6400","0.5281","0.0010"
"10.7800","0.5350","0.0010"
"10.9200","0.5418","0.0013"
"11.0600","0.5490","0.0014"
"11.2000","0.5559","0.0013"
"11.3400","0.5630","0.0014"
"11.4800","0.5700","0.0011"
"11.6200","0.5768","0.0013"
"11.7600","0.5840","0.0015"
"11.9000","0.5910","0.0017"
"12.0400","0.5979","0.0016"
"12.1800","0.6050","0.0017"
"12.3200","0.6119","0.0018"
"12.4600","0.6190","0.0018"
"12.6000","0.6260","0.0017"
"12.7400","0.6328","0.0019"
"12.8800","0.6399","0.0021"
"13.0200","0.6470","0.0022"
"13.1600","0.6540","0.0022"
"13.3000","0.6610","0.0023"
"13.4400","0.6678","0.0021"
"13.5800","0.6749","0.0024"
"13.7200","0.6819","0.0026"
"13.8600","0.6890","0.0023"
"14.0000","0.6961","0.0027"
"14.1400","0.7028","0.0027"
"14.2800","0.7099","0.0029"
"14.4200","0.7170","0.0028"
"14.5600","0.7240","0.0030"
"14.7000","0.7311","0.0032"
"14.8400","0.7378","0.0033"
"14.9800","0.7449","0.0034"
"15.1200","0.7520","0.0035"
"15.2600","0.7589","0.0036"
"15.4000","0.7660","0.0036"
"15.5400","0.7729","0.0036"
"15.6800","0.7800","0.0039"
"15.8200","0.7870","0.0042"
"15.9600","0.7938","0.0043"
"16.1000","0.8009","0.0045"
"16.2400","0.8079","0.0045"
"16.3800","0.8151","0.0048"
"16.5200","0.8220","0.0050"
"16.6600","0.8288","0.0053"
"16.8000","0.8359","0.0052"
"16.9400","0.8430","0.0055"
"17.0800","0.8500","0.0057"
"17.2200","0.8570","0.0060"
"17.3600","0.8639","0.0064"
"17.5000","0.8710","0.0064"
"17.6400","0.8780","0.0066"
"17.7800","0.8849","0.0068"
"17.9200","0.8920","0.0072"
"18.0600","0.8989","0.0075"
"18.2000","0.9060","0.0077"
"18.3400","0.9130","0.0080"
"18.4800","0.9198","0.0080"
"18.6200","0.9269","0.0086"
"18.7600","0.9339","0.0087"
"18.9000","0.9410","0.0092"
