
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","-14.7570","-0.0009"
"0.0500","-14.7520","-0.0009"
"0.1000","-14.7223","-0.0009"
"0.1500","-14.6873","-0.0009"
"0.2000","-14.6493","-0.0009"
"0.2500","-14.6136","-0.0009"
"0.3000","-14.5783","-0.0010"
"0.3500","-14.5429","-0.0009"
"0.4000","-14.5075","-0.0009"
"0.4500","-14.4722","-0.0009"
"0.5000","-14.4369","-0.0010"
"0.5500","-14.4015","-0.0009"
"0.6000","-14.3662","-0.0009"
"0.6500","-14.3307","-0.0009"
"0.7000","-14.2954","-0.0009"
"0.7500","-14.2601","-0.0009"
"0.8000","-14.2247","-0.0009"
"0.8500","-14.1894","-0.0009"
"0.9000","-14.1541","-0.0009"
"0.9500","-14.1188","-0.0009"
"1.0000","-14.0834","-0.0009"
"1.0500","-14.0480","-0.0009"
"1.1000","-14.0127","-0.0009"
"1.1500","-13.9773","-0.0009"
"1.2000","-13.9421","-0.0009"
"1.2500","-13.9067","-0.0009"
"1.3000","-13.8713","-0.0009"
"1.3500","-13.8359","-0.0009"
"1.4000","-13.8006","-0.0009"
"1.4500","-13.7653","-0.0009"
"1.5000","-13.7299","-0.0009"
"1.5500","-13.6946","-0.0009"
"1.6000","-13.6592","-0.0009"
"1.6500","-13.6238","-0.0009"
"1.7000","-13.5885","-0.0009"
"1.7500","-13.5532","-0.0009"
"1.8000","-13.5178","-0.0009"
"1.8500","-13.4824","-0.0009"
"1.9000","-13.4471","-0.0009"
"1.9500","-13.4119","-0.0009"
"2.0000","-13.3765","-0.0009"
"2.0500","-13.3411","-0.0009"
"2.1000","-13.3057","-0.0009"
"2.1500","-13.2703","-0.0009"
"2.2000","-13.2350","-0.0009"
"2.2500","-13.1996","-0.0009"
"2.3000","-13.1644","-0.0009"
"2.3500","-13.1291","-0.0009"
"2.4000","-13.0938","-0.0009"
"2.4500","-13.0582","-0.0009"
"2.5000","-13.0228","-0.0009"
"2.5500","-12.9876","-0.0009"
"2.6000","-12.9524","-0.0009"
"2.6500","-12.9170","-0.0009"
"2.7000","-12.8815","-0.0009"
"2.7500","-12.8461","-0.0009"
"2.8000","-12.8108","-0.0009"
"2.8500","-12.7755","-0.0009"
"2.9000","-12.7402","-0.0009"
"2.9500","-12.7049","-0.0009"
"3.0000","-12.6695","-0.0010"
"3.0500","-12.6341","-0.0010"
"3.1000","-12.5987","-0.0009"
"3.1500","-12.5634","-0.0009"
"3.2000","-12.5281","-0.0009"
"3.2500","-12.4927","-0.0009"
"3.3000","-12.4574","-0.0009"
"3.3500","-12.4220","-0.0009"
"3.4000","-12.3867","-0.0009"
"3.4500","-12.3513","-0.0009"
"3.5000","-12.3160","-0.0009"
"3.5500","-12.2806","-0.0009"
"3.6000","-12.2453","-0.0009"
"3.6500","-12.2100","-0.0009"
"3.7000","-12.1745","-0.0009"
"3.7500","-12.1392","-0.0009"
"3.8000","-12.1038","-0.0009"
"3.8500","-12.0685","-0.0009"
"3.9000","-12.0332","-0.0009"
"3.9500","-11.9979","-0.0009"
"4.0000","-11.9626","-0.0009"
"4.0500","-11.9271","-0.0009"
"4.1000","-11.8917","-0.0009"
"4.1500","-11.8564","-0.0009"
"4.2000","-11.8211","-0.0009"
"4.2500","-11.7859","-0.0009"
"4.3000","-11.7505","-0.0009"
"4.3500","-11.7151","-0.0009"
"4.4000","-11.6796","-0.0009"
"4.4500","-11.6443","-0.0009"
"4.5000","-11.6089","-0.0009"
"4.5500","-11.5736","-0.0009"
"4.6000","-11.5384","-0.0009"
"4.6500","-11.5031","-0.0009"
"4.7000","-11.4676","-0.0009"
"4.7500","-11.4322","-0.0009"
"4.8000","-11.3968","-0.0009"
"4.8500","-11.3616","-0.0009"
"4.9000","-11.3263","-0.0009"
"4.9500","-11.2909","-0.0009"
"5.0000","-11.2555","-0.0009"
"5.0500","-11.2202","-0.0009"
"5.1000","-11.1848","-0.0009"
"5.1500","-11.1494","-0.0009"
"5.2000","-11.1141","-0.0009"
"5.2500","-11.0788","-0.0009"
"5.3000","-11.0435","-0.0009"
"5.3500","-11.0081","-0.0009"
"5.4000","-10.9727","-0.0009"
"5.4500","-10.9374","-0.0009"
"5.5000","-10.9020","-0.0009"
"5.5500","-10.8667","-0.0009"
"5.6000","-10.8313","-0.0009"
"5.6500","-10.7960","-0.0009"
"5.7000","-10.7607","-0.0009"
"5.7500","-10.7253","-0.0009"
"5.8000","-10.6899","-0.0009"
"5.8500","-10.6545","-0.0009"
"5.9000","-10.6192","-0.0009"
"5.9500","-10.5839","-0.0009"
"6.0000","-10.5486","-0.0009"
"6.0500","-10.5132","-0.0009"
"6.1000","-10.4779","-0.0009"
"6.1500","-10.4425","-0.0009"
"6.2000","-10.4071","-0.0009"
"6.2500","-10.3718","-0.0009"
"6.2650","-10.3612","-0.0009"

