
Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0500","0.0001","0.0000"
"0.1000","0.0013","0.0000"
"0.1500","0.0025","0.0000"
"0.2000","0.0056","0.0000"
"0.2500","0.0097","0.0000"
"0.3000","0.0130","0.0000"
"0.3500","0.0160","0.0000"
"0.4000","0.0189","0.0000"
"0.4500","0.0219","0.0000"
"0.5000","0.0250","0.0000"
"0.5500","0.0279","0.0000"
"0.6000","0.0307","0.0000"
"0.6500","0.0338","0.0000"
"0.7000","0.0368","0.0000"
"0.7500","0.0398","0.0000"
"0.8000","0.0426","0.0000"
"0.8500","0.0457","0.0000"
"0.9000","0.0486","0.0000"
"0.9500","0.0516","0.0000"
"1.0000","0.0545","0.0000"
"1.0500","0.0576","0.0000"
"1.1000","0.0605","0.0000"
"1.1500","0.0635","0.0000"
"1.2000","0.0664","0.0000"
"1.2500","0.0695","0.0000"
"1.3000","0.0725","0.0000"
"1.3500","0.0753","0.0000"
"1.4000","0.0783","0.0000"
"1.4500","0.0813","0.0000"
"1.5000","0.0842","0.0000"
"1.5500","0.0871","0.0000"
"1.6000","0.0901","0.0000"
"1.6500","0.0932","0.0000"
"1.7000","0.0961","0.0000"
"1.7500","0.0989","0.0000"
"1.8000","0.1019","0.0000"
"1.8500","0.1050","0.0000"
"1.9000","0.1080","0.0000"
"1.9500","0.1107","0.0000"
"2.0000","0.1138","0.0000"
"2.0500","0.1170","0.0000"
"2.1000","0.1199","0.0000"
"2.1500","0.1225","0.0000"
"2.2000","0.1258","0.0000"
"2.2500","0.1287","0.0000"
"2.3000","0.1317","0.0000"
"2.3500","0.1345","0.0000"
"2.4000","0.1376","0.0000"
"2.4500","0.1405","0.0000"
"2.5000","0.1436","0.0000"
"2.5500","0.1463","0.0000"
"2.6000","0.1494","0.0000"
"2.6500","0.1525","0.0000"
"2.7000","0.1553","0.0000"
"2.7500","0.1581","0.0000"
"2.8000","0.1614","0.0000"
"2.8500","0.1642","0.0000"
"2.9000","0.1671","0.0000"
"2.9500","0.1701","0.0000"
"3.0000","0.1732","0.0000"
"3.0500","0.1761","0.0000"
"3.1000","0.1790","0.0000"
"3.1500","0.1819","0.0000"
"3.2000","0.1851","0.0000"
"3.2500","0.1881","0.0000"
"3.3000","0.1908","0.0000"
"3.3500","0.1938","0.0000"
"3.4000","0.1970","0.0000"
"3.4500","0.1999","0.0000"
"3.5000","0.2026","0.0000"
"3.5500","0.2058","0.0000"
"3.6000","0.2087","0.0000"
"3.6500","0.2117","0.0000"
"3.7000","0.2145","0.0000"
"3.7500","0.2175","0.0000"
"3.8000","0.2205","0.0000"
"3.8500","0.2236","0.0000"
"3.9000","0.2263","0.0000"
"3.9500","0.2293","0.0000"
"4.0000","0.2325","0.0000"
"4.0500","0.2354","0.0000"
"4.1000","0.2382","0.0000"
"4.1500","0.2414","0.0000"
"4.2000","0.2443","0.0000"
"4.2500","0.2472","0.0000"
"4.3000","0.2501","0.0000"
"4.3500","0.2532","0.0000"
"4.4000","0.2561","0.0000"
"4.4500","0.2591","0.0000"
"4.5000","0.2620","0.0000"
"4.5500","0.2650","0.0000"
"4.6000","0.2680","0.0000"
"4.6500","0.2708","0.0000"
"4.7000","0.2738","0.0000"
"4.7500","0.2769","0.0000"
"4.8000","0.2798","0.0000"
"4.8500","0.2826","0.0000"
"4.9000","0.2857","0.0000"
"4.9500","0.2887","0.0000"
"5.0000","0.2917","0.0000"
"5.0500","0.2945","0.0000"
"5.1000","0.2975","0.0000"
"5.1500","0.3006","0.0000"
"5.2000","0.3036","0.0000"
"5.2500","0.3064","0.0000"
"5.3000","0.3094","0.0000"
"5.3500","0.3125","0.0000"
"5.4000","0.3154","0.0000"
"5.4500","0.3182","0.0000"
"5.5000","0.3213","0.0000"
"5.5500","0.3243","0.0000"
"5.6000","0.3272","0.0000"
"5.6500","0.3301","0.0000"
"5.7000","0.3332","0.0000"
"5.7500","0.3361","0.0000"
"5.8000","0.3391","0.0000"
