
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0111"
"0.0500","0.0001","-0.0035"
"0.1000","0.0008","0.0109"
"0.1500","0.0010","-0.0030"
"0.2000","0.0027","0.0148"
"0.2500","0.0054","0.0160"
"0.3000","0.0076","0.0332"
"0.3500","0.0092","0.0090"
"0.4000","0.0110","0.0201"
"0.4500","0.0126","0.0268"
"0.5000","0.0144","0.0238"
"0.5500","0.0159","0.0218"
"0.6000","0.0175","0.0191"
"0.6500","0.0194","0.0291"
"0.7000","0.0209","0.0329"
"0.7500","0.0227","0.0249"
"0.8000","0.0243","0.0385"
"0.8500","0.0261","0.0230"
"0.9000","0.0274","0.0251"
"0.9500","0.0292","0.0435"
"1.0000","0.0311","0.0359"
"1.0500","0.0327","0.0281"
"1.1000","0.0344","0.0207"
"1.1500","0.0359","0.0460"
"1.2000","0.0377","0.0243"
"1.2500","0.0391","0.0264"
"1.3000","0.0409","0.0143"
"1.3500","0.0427","0.0395"
"1.4000","0.0442","0.0231"
"1.4500","0.0460","0.0223"
"1.5000","0.0476","0.0206"
"1.5500","0.0494","0.0489"
"1.6000","0.0508","0.0364"
"1.6500","0.0527","0.0377"
"1.7000","0.0544","0.0354"
"1.7500","0.0559","0.0203"
"1.8000","0.0577","0.0424"
"1.8500","0.0593","0.0244"
"1.9000","0.0611","0.0231"
"1.9500","0.0624","0.0235"
"2.0000","0.0643","0.0271"
"2.0500","0.0660","0.0384"
"2.1000","0.0677","0.0050"
"2.1500","0.0694","0.0130"
"2.2000","0.0710","0.0447"
"2.2500","0.0727","0.0361"
"2.3000","0.0740","0.0399"
"2.3500","0.0760","0.0279"
"2.4000","0.0777","0.0232"
"2.4500","0.0793","0.0539"
"2.5000","0.0810","0.0347"
"2.5500","0.0827","0.0367"
"2.6000","0.0843","0.0163"
"2.6500","0.0858","0.0175"
"2.7000","0.0878","0.0465"
"2.7500","0.0892","0.0340"
"2.8000","0.0910","0.0400"
"2.8500","0.0927","0.0137"
"2.9000","0.0944","0.0245"
"2.9500","0.0960","0.0413"
"3.0000","0.0974","0.0259"
"3.0500","0.0995","0.0463"
"3.1000","0.1009","0.0347"
"3.1500","0.1027","0.0339"
"3.2000","0.1043","0.0468"
"3.2500","0.1061","0.0532"
"3.3000","0.1076","0.0088"
"3.3500","0.1091","0.0434"
"3.4000","0.1111","0.0504"
"3.4500","0.1125","0.0309"
"3.5000","0.1144","0.0336"
"3.5500","0.1159","0.0412"
"3.6000","0.1177","0.0362"
"3.6500","0.1192","0.0412"
"3.7000","0.1208","0.0544"
"3.7500","0.1228","0.0280"
"3.8000","0.1242","0.0250"
"3.8500","0.1261","0.0333"
"3.9000","0.1276","0.0251"
"3.9500","0.1294","0.0268"
"4.0000","0.1308","0.0331"
"4.0500","0.1325","0.0438"
"4.1000","0.1345","0.0290"
"4.1500","0.1359","0.0111"
"4.2000","0.1378","0.0499"
"4.2500","0.1393","0.0253"
"4.3000","0.1411","0.0541"
"4.3500","0.1424","0.0390"
"4.4000","0.1443","0.0212"
"4.4500","0.1461","0.0249"
"4.5000","0.1476","0.0352"
"4.5500","0.1494","0.0376"
"4.6000","0.1509","0.0318"
"4.6500","0.1528","0.0425"
"4.7000","0.1541","0.0270"
"4.7500","0.1560","0.0049"
"4.8000","0.1577","0.0303"
"4.8500","0.1593","0.0372"
"4.9000","0.1611","0.0171"
"4.9500","0.1625","0.0330"
"5.0000","0.1644","0.0210"
"5.0500","0.1657","0.0193"
"5.1000","0.1677","0.0350"
"5.1500","0.1694","0.0237"
"5.2000","0.1710","0.0342"
"5.2500","0.1727","0.0257"
"5.3000","0.1742","0.0460"
"5.3500","0.1761","0.0072"
"5.4000","0.1774","0.0158"
"5.4500","0.1794","0.0265"
"5.5000","0.1810","0.0361"
"5.5500","0.1827","0.0433"
"5.6000","0.1843","0.0312"
"5.6500","0.1860","0.0366"
"5.7000","0.1877","0.0388"
"5.7500","0.1891","0.0379"
"5.8000","0.1911","0.0338"
"5.8500","0.1926","0.0208"
"5.9000","0.1944","0.0263"
"5.9500","0.1960","0.0374"
"6.0000","0.1977","0.0137"
"6.0500","0.1993","0.0381"
"6.1000","0.2008","0.0294"
"6.1500","0.2028","0.0091"
"6.2000","0.2043","0.0311"
"6.2500","0.2061","0.0195"
"6.3000","0.2076","0.0226"
"6.3500","0.2094","0.0355"
"6.4000","0.2109","0.0233"
"6.4500","0.2125","0.0250"
"6.5000","0.2145","0.0248"
"6.5500","0.2159","0.0190"
"6.6000","0.2177","0.0307"
"6.6500","0.2193","0.0201"
"6.7000","0.2211","0.0339"
"6.7500","0.2225","0.0296"
"6.8000","0.2242","0.0230"
"6.8500","0.2261","0.0370"
"6.9000","0.2275","0.0422"
"6.9500","0.2294","0.0313"
"7.0000","0.2309","0.0284"
"7.0500","0.2327","0.0219"
"7.1000","0.2341","0.0197"
"7.1500","0.2359","0.0256"
"7.2000","0.2377","0.0276"
"7.2500","0.2392","0.0306"
"7.3000","0.2411","0.0144"
"7.3500","0.2426","0.0370"
"7.4000","0.2444","0.0296"
"7.4500","0.2457","0.0331"
"7.5000","0.2476","0.0139"
"7.5500","0.2494","0.0313"
"7.6000","0.2509","0.0177"
"7.6500","0.2528","0.0172"
"7.7000","0.2543","0.0253"
"7.7500","0.2561","0.0196"
"7.8000","0.2574","0.0268"
"7.8500","0.2593","0.0131"
"7.9000","0.2611","0.0332"
"7.9500","0.2626","0.0416"
"8.0000","0.2644","0.0211"
"8.0500","0.2660","0.0246"
"8.1000","0.2677","0.0161"
"8.1500","0.2690","0.0160"
"8.2000","0.2710","0.0180"
"8.2500","0.2727","0.0329"
"8.3000","0.2744","0.0339"
"8.3500","0.2760","0.0322"
"8.4000","0.2776","0.0293"
"8.4500","0.2793","0.0464"
"8.5000","0.2807","0.0373"
"8.5500","0.2827","0.0209"
"8.6000","0.2843","0.0301"
"8.6500","0.2860","0.0287"
"8.7000","0.2877","0.0342"
"8.7500","0.2893","0.0437"
"8.8000","0.2910","0.0446"
"8.8500","0.2924","0.0327"
"8.9000","0.2944","0.0511"
"8.9500","0.2959","0.0359"
"9.0000","0.2977","0.0541"
"9.0500","0.2993","0.0455"
"9.1000","0.3010","0.0234"
"9.1500","0.3026","0.0442"
"9.2000","0.3041","0.0502"
"9.2500","0.3061","0.0464"
"9.3000","0.3076","0.0371"
"9.3500","0.3094","0.0239"
"9.4000","0.3110","0.0309"
"9.4500","0.3127","0.0369"
"9.5000","0.3142","0.0484"
"9.5500","0.3158","0.0397"
"9.6000","0.3178","0.0577"
