
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0002"
"0.0500","0.0001","0.0121"
"0.1000","0.0008","0.0019"
"0.1500","0.0010","-0.0006"
"0.2000","0.0027","0.0012"
"0.2500","0.0054","-0.0147"
"0.3000","0.0077","-0.0081"
"0.3500","0.0092","-0.0029"
"0.4000","0.0111","-0.0235"
"0.4500","0.0126","0.0059"
"0.5000","0.0144","0.0133"
"0.5500","0.0159","-0.0065"
"0.6000","0.0175","-0.0071"
"0.6500","0.0195","0.0124"
"0.7000","0.0209","0.0125"
"0.7500","0.0228","-0.0178"
"0.8000","0.0243","-0.0177"
"0.8500","0.0261","0.0048"
"0.9000","0.0275","-0.0111"
"0.9500","0.0292","0.0040"
"1.0000","0.0311","-0.0042"
"1.0500","0.0327","0.0035"
"1.1000","0.0345","0.0090"
"1.1500","0.0360","-0.0095"
"1.2000","0.0377","-0.0012"
"1.2500","0.0391","-0.0032"
"1.3000","0.0409","0.0030"
"1.3500","0.0428","0.0028"
"1.4000","0.0442","0.0091"
"1.4500","0.0461","-0.0051"
"1.5000","0.0476","-0.0014"
"1.5500","0.0494","0.0315"
"1.6000","0.0508","0.0119"
"1.6500","0.0527","0.0093"
"1.7000","0.0544","0.0096"
"1.7500","0.0560","0.0019"
"1.8000","0.0577","0.0142"
"1.8500","0.0593","0.0185"
"1.9000","0.0611","0.0246"
"1.9500","0.0624","-0.0086"
"2.0000","0.0643","0.0060"
"2.0500","0.0661","0.0026"
"2.1000","0.0677","0.0128"
"2.1500","0.0694","-0.0013"
"2.2000","0.0710","0.0159"
"2.2500","0.0727","-0.0051"
"2.3000","0.0741","0.0140"
"2.3500","0.0761","-0.0047"
"2.4000","0.0777","-0.0074"
"2.4500","0.0794","-0.0096"
"2.5000","0.0811","-0.0039"
"2.5500","0.0827","0.0129"
"2.6000","0.0844","0.0080"
"2.6500","0.0858","0.0125"
"2.7000","0.0878","0.0086"
"2.7500","0.0893","0.0102"
"2.8000","0.0910","-0.0162"
"2.8500","0.0927","0.0203"
"2.9000","0.0944","0.0112"
"2.9500","0.0960","-0.0088"
"3.0000","0.0975","-0.0068"
"3.0500","0.0995","0.0160"
"3.1000","0.1009","0.0189"
"3.1500","0.1027","-0.0130"
"3.2000","0.1043","0.0010"
"3.2500","0.1061","0.0022"
"3.3000","0.1076","-0.0177"
