
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","1.1150"
"0.1000","0.0008","2.1684"
"0.2000","0.0028","4.9066"
"0.3000","0.0076","11.6391"
"0.4000","0.0111","16.4685"
"0.5000","0.0145","20.8885"
"0.6000","0.0178","25.4011"
"0.7000","0.0209","29.3635"
"0.8000","0.0243","33.8071"
"0.9000","0.0277","38.2259"
"1.0000","0.0309","42.2345"
"1.1000","0.0346","46.8852"
"1.2000","0.0378","50.9084"
"1.3000","0.0412","55.0297"
"1.4000","0.0444","58.3937"
"1.5000","0.0477","62.1516"
"1.6000","0.0510","65.3301"
"1.7000","0.0542","68.7687"
"1.8000","0.0578","73.7208"
"1.9000","0.0611","77.8294"
"2.0000","0.0645","81.9816"
"2.1000","0.0678","86.0890"
"2.2000","0.0710","90.0147"
"2.3000","0.0743","93.9698"
"2.4000","0.0775","97.7926"
"2.5000","0.0811","102.1519"
"2.6000","0.0844","106.0722"
"2.7000","0.0878","110.0791"
"2.8000","0.0912","114.2112"
"2.9000","0.0945","118.0681"
"3.0000","0.0978","121.8872"
"3.1000","0.1009","125.4436"
"3.2000","0.1043","129.5168"
"3.3000","0.1077","133.4632"
"3.4000","0.1109","137.0058"
"3.5000","0.1146","141.1475"
"3.6000","0.1179","144.8151"
"3.7000","0.1212","148.4729"
"3.8000","0.1242","151.8817"
"3.9000","0.1276","155.6822"
"4.0000","0.1310","159.4565"
"4.1000","0.1342","163.0200"
"4.2000","0.1378","167.0959"
"4.3000","0.1412","170.7579"
"4.4000","0.1445","174.0151"
"4.5000","0.1478","177.6160"
"4.6000","0.1510","180.9827"
"4.7000","0.1544","184.5273"
"4.8000","0.1575","187.9162"
"4.9000","0.1611","191.9815"
"5.0000","0.1645","195.7029"
"5.1000","0.1678","199.2653"
"5.2000","0.1711","202.6358"
"5.3000","0.1745","205.5989"
"5.4000","0.1777","207.8952"
"5.5000","0.1808","210.1521"
"5.6000","0.1844","212.6647"
"5.7000","0.1877","214.8231"
"5.8000","0.1910","217.1229"
"5.9000","0.1945","219.7564"
"6.0000","0.1978","222.1658"
"6.1000","0.2011","224.7775"
"6.2000","0.2042","227.1298"
"6.3000","0.2077","229.9008"
"6.4000","0.2111","232.5555"
"6.5000","0.2143","234.9844"
"6.6000","0.2178","237.8468"
"6.7000","0.2212","240.4468"
"6.8000","0.2245","243.0832"
"6.9000","0.2276","245.5338"
"7.0000","0.2309","248.2334"
"7.1000","0.2344","251.0597"
"7.2000","0.2376","253.7397"
"7.3000","0.2411","256.8062"
"7.4000","0.2445","259.6459"
"7.5000","0.2479","262.5972"
"7.6000","0.2510","265.1505"
"7.7000","0.2543","267.9760"
"7.8000","0.2577","270.8141"
"7.9000","0.2608","273.4396"
"8.0000","0.2645","276.5561"
"8.1000","0.2678","279.4293"
"8.2000","0.2711","282.2144"
"8.3000","0.2746","285.1875"
"8.4000","0.2777","287.7812"
"8.5000","0.2811","290.7023"
"8.6000","0.2841","293.3466"
"8.7000","0.2877","296.5692"
"8.8000","0.2911","299.6770"
"8.9000","0.2944","302.7863"
"9.0000","0.2978","306.1322"
"9.1000","0.3012","309.4846"
"9.2000","0.3044","312.6394"
"9.3000","0.3075","315.8283"
"9.4000","0.3110","319.7099"
"9.5000","0.3143","323.3235"
"9.6000","0.3177","327.1498"
"9.7000","0.3212","331.1206"
"9.8000","0.3245","334.7310"
"9.9000","0.3279","338.5328"
"10.0000","0.3309","341.8329"
"10.1000","0.3344","345.6498"
"10.2000","0.3377","349.2916"
"10.3000","0.3409","352.7705"
"10.4000","0.3445","356.8686"
"10.5000","0.3479","360.5337"
"10.6000","0.3511","364.0966"
"10.7000","0.3545","367.7575"
"10.8000","0.3577","371.1699"
"10.9000","0.3611","374.9168"
"11.0000","0.3641","378.1736"
"11.1000","0.3677","382.1228"
"11.2000","0.3712","385.9120"
"11.3000","0.3744","389.4194"
"11.4000","0.3778","393.0932"
"11.5000","0.3811","396.6865"
"11.6000","0.3844","400.1783"
"11.7000","0.3875","403.4822"
"11.8000","0.3911","407.3372"
"11.9000","0.3944","410.9739"
"12.0000","0.3977","414.5077"
"12.1000","0.4012","418.2444"
"12.2000","0.4045","421.7247"
"12.3000","0.4079","425.3850"
"12.4000","0.4108","428.4108"
"12.5000","0.4144","432.2932"
"12.6000","0.4177","435.8457"
"12.7000","0.4209","439.2120"
"12.8000","0.4246","443.1161"
"12.9000","0.4278","446.4984"
"13.0000","0.4311","450.0291"
"13.1000","0.4343","453.3323"
"13.2000","0.4377","456.8659"
"13.3000","0.4410","460.4079"
"13.4000","0.4442","463.7104"
"13.5000","0.4478","467.6155"
"13.6000","0.4512","471.0909"
"13.7000","0.4545","474.5346"
"13.8000","0.4577","477.8345"
"13.9000","0.4610","481.3032"
"14.0000","0.4643","484.7263"
"14.1000","0.4675","487.9897"
"14.2000","0.4711","491.7703"
"14.3000","0.4745","495.3235"
"14.4000","0.4778","498.6890"
"14.5000","0.4811","502.1053"
"14.6000","0.4843","505.3207"
"14.7000","0.4878","508.8559"
"14.8000","0.4908","511.8300"
"14.9000","0.4944","515.5257"
"15.0000","0.4978","519.0178"
"15.1000","0.5011","522.3446"
"15.2000","0.5045","525.9156"
"15.3000","0.5077","529.0966"
"15.4000","0.5111","532.5398"
"15.5000","0.5142","535.5344"
"15.6000","0.5177","539.0674"
"15.7000","0.5210","542.4893"
"15.8000","0.5243","545.7454"
"15.9000","0.5279","549.4675"
"16.0000","0.5312","552.6439"
"16.1000","0.5345","555.9637"
"16.2000","0.5376","558.9383"
"16.3000","0.5410","562.3976"
"16.4000","0.5443","565.5831"
"16.5000","0.5475","568.7260"
"16.6000","0.5512","572.4097"
"16.7000","0.5545","575.7116"
"16.8000","0.5578","578.9537"
"16.9000","0.5610","582.0329"
"17.0000","0.5644","585.3242"
"17.1000","0.5677","588.4794"
"17.2000","0.5708","591.5229"
"17.3000","0.5744","595.0671"
"17.4000","0.5778","598.2899"
"17.5000","0.5812","601.5512"
"17.6000","0.5845","604.8055"
"17.7000","0.5878","607.9011"
"17.8000","0.5911","611.0648"
"17.9000","0.5942","613.9316"
"18.0000","0.5977","617.3691"
"18.1000","0.6011","620.6686"
"18.2000","0.6043","623.6926"
"18.3000","0.6078","627.0823"
"18.4000","0.6111","630.1755"
"18.5000","0.6145","633.3383"
"18.6000","0.6176","636.2028"
"18.7000","0.6210","639.4467"
"18.8000","0.6244","642.6628"
"18.9000","0.6276","645.6330"
"19.0000","0.6312","649.1266"
"19.1000","0.6345","652.1632"
"19.2000","0.6378","655.2647"
"19.3000","0.6409","658.1163"
"19.4000","0.6444","661.3547"
"19.5000","0.6477","664.4554"
"19.6000","0.6508","667.2313"
"19.7000","0.6545","670.7668"
"19.8000","0.6578","673.7952"
"19.9000","0.6611","676.8118"
"20.0000","0.6644","679.7781"
"20.1000","0.6677","682.7778"
"20.2000","0.6711","685.8564"
"20.3000","0.6742","688.5974"
"20.4000","0.6777","691.9556"
"20.5000","0.6811","695.0621"
"20.6000","0.6845","698.1001"
"20.7000","0.6878","701.1059"
"20.8000","0.6911","704.0544"
"20.9000","0.6944","707.0411"
"21.0000","0.6975","709.6900"
"21.1000","0.7011","712.9712"
"21.2000","0.7044","716.0250"
"21.3000","0.7077","718.9318"
"21.4000","0.7112","722.1230"
"21.5000","0.7144","724.9211"
"21.6000","0.7178","727.9371"
"21.7000","0.7209","730.5657"
"21.8000","0.7243","733.6926"
"21.9000","0.7277","736.8016"
"22.0000","0.7310","739.6470"
"22.1000","0.7345","742.9224"
"22.2000","0.7378","745.8455"
"22.3000","0.7412","748.8828"
"22.4000","0.7443","751.5937"
"22.5000","0.7476","754.6274"
"22.6000","0.7511","757.7457"
"22.7000","0.7542","760.5042"
"22.8000","0.7579","763.9769"
"22.9000","0.7612","766.9811"
"23.0000","0.7646","770.0763"
"23.1000","0.7677","772.9370"
"23.2000","0.7710","775.9086"
"23.3000","0.7743","778.9173"
"23.4000","0.7775","781.7497"
"23.5000","0.7811","785.2463"
"23.6000","0.7844","788.2757"
"23.7000","0.7878","791.3660"
"23.8000","0.7911","794.5147"
"23.9000","0.7944","797.4954"
"24.0000","0.7977","800.4734"
"24.1000","0.8008","803.3359"
"24.2000","0.8044","806.6816"
"24.3000","0.8077","809.7390"
"24.4000","0.8111","812.8179"
"24.5000","0.8145","816.0842"
"24.6000","0.8179","819.1310"
"24.7000","0.8211","822.1525"
"24.8000","0.8242","824.9509"
"24.9000","0.8277","828.1080"
"25.0000","0.8310","831.2000"
"25.1000","0.8342","834.0507"
"25.2000","0.8379","837.4818"
"25.3000","0.8412","840.5278"
"25.4000","0.8445","843.5220"
"25.5000","0.8476","846.2806"
"25.6000","0.8510","849.3019"
"25.7000","0.8544","852.3974"
"25.8000","0.8575","855.1974"
"25.9000","0.8611","858.5453"
"26.0000","0.8645","861.6385"
"26.1000","0.8678","864.5531"
"26.2000","0.8712","867.6033"
"26.3000","0.8744","870.4484"
"26.4000","0.8777","873.4403"
"26.5000","0.8808","876.1486"
"26.6000","0.8844","879.4863"
"26.7000","0.8878","882.4695"
"26.8000","0.8911","885.3571"
"26.9000","0.8944","888.3399"
"27.0000","0.8978","891.3211"
"27.1000","0.9011","894.1874"
"27.2000","0.9041","896.7834"
"27.3000","0.9077","900.0271"
"27.4000","0.9111","902.9543"
"27.5000","0.9144","905.8094"
"27.6000","0.9179","908.9479"
"27.7000","0.9211","911.7240"
"27.8000","0.9245","914.6729"
"27.9000","0.9275","917.2202"
"28.0000","0.9310","920.3276"
"28.1000","0.9344","923.2485"
"28.2000","0.9376","925.9590"
"28.3000","0.9412","929.1706"
"28.4000","0.9445","931.9899"
"28.5000","0.9478","934.8187"
"28.6000","0.9510","937.4760"
"28.7000","0.9543","940.2817"
"28.8000","0.9578","943.3146"
"28.9000","0.9609","945.9254"
"29.0000","0.9645","949.0549"
"29.1000","0.9678","951.8887"
"29.2000","0.9712","954.7623"
"29.3000","0.9743","957.3797"
"29.4000","0.9776","960.1359"
"29.5000","0.9811","963.0335"
"29.6000","0.9841","965.4987"
"29.7000","0.9878","968.6685"
"29.8000","0.9912","971.4880"
"29.9000","0.9945","974.2410"
"30.0000","0.9979","977.1500"
"30.1000","1.0010","979.7216"
"30.2000","1.0044","982.5613"
"30.3000","1.0075","984.9525"
"30.4000","1.0111","988.0119"
"30.5000","1.0144","990.7576"
"30.6000","1.0177","993.4759"
"30.7000","1.0212","996.3917"
"30.8000","1.0246","999.1391"
"30.9000","1.0278","1001.7103"
"31.0000","1.0308","1004.0917"
"31.1000","1.0343","1006.9650"
"31.2000","1.0376","1009.6646"
"31.3000","1.0410","1012.4185"
"31.4000","1.0446","1015.4247"
"31.5000","1.0478","1018.0179"
"31.6000","1.0512","1020.7471"
"31.7000","1.0543","1023.1577"
"31.8000","1.0577","1025.8689"
"31.9000","1.0610","1028.5023"
