
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0009"
"0.0500","0.0001","-0.0043"
"0.1000","0.0006","0.0179"
"0.1500","0.0010","0.0046"
"0.2000","0.0020","0.0305"
"0.2500","0.0048","0.0327"
"0.3000","0.0072","0.0074"
"0.3500","0.0089","0.0070"
"0.4000","0.0105","0.0259"
"0.4500","0.0124","0.0312"
"0.5000","0.0138","0.0120"
"0.5500","0.0154","0.0165"
"0.6000","0.0174","0.0346"
"0.6500","0.0189","0.0172"
"0.7000","0.0207","0.0234"
"0.7500","0.0223","0.0203"
"0.8000","0.0241","0.0093"
"0.8500","0.0254","0.0189"
"0.9000","0.0271","0.0342"
"0.9500","0.0291","0.0200"
"1.0000","0.0306","0.0157"
"1.0500","0.0324","0.0107"
"1.1000","0.0339","0.0103"
"1.1500","0.0357","0.0059"
"1.2000","0.0371","0.0209"
"1.2500","0.0389","0.0221"
"1.3000","0.0407","0.0128"
"1.3500","0.0422","0.0133"
"1.4000","0.0440","0.0176"
"1.4500","0.0456","0.0249"
"1.5000","0.0474","0.0291"
"1.5500","0.0488","0.0030"
"1.6000","0.0506","0.0202"
"1.6500","0.0523","0.0377"
"1.7000","0.0538","0.0141"
"1.7500","0.0557","0.0137"
"1.8000","0.0573","0.0380"
"1.8500","0.0591","0.0188"
"1.9000","0.0603","0.0339"
"1.9500","0.0623","0.0064"
"2.0000","0.0640","0.0252"
"2.0500","0.0656","0.0129"
"2.1000","0.0674","0.0255"
"2.1500","0.0690","0.0263"
"2.2000","0.0707","0.0248"
"2.2500","0.0720","0.0202"
"2.3000","0.0741","0.0304"
"2.3500","0.0756","0.0289"
"2.4000","0.0773","0.0138"
"2.4500","0.0790","0.0195"
"2.5000","0.0807","0.0212"
"2.5500","0.0823","0.0339"
"2.6000","0.0837","0.0096"
"2.6500","0.0858","0.0271"
"2.7000","0.0872","0.0274"
"2.7500","0.0889","0.0173"
"2.8000","0.0906","0.0065"
"2.8500","0.0924","0.0144"
"2.9000","0.0940","0.0375"
"2.9500","0.0954","0.0069"
"3.0000","0.0975","0.0080"
"3.0500","0.0989","0.0084"
"3.1000","0.1007","0.0336"
"3.1500","0.1022","0.0269"
"3.2000","0.1041","0.0198"
"3.2500","0.1056","0.0182"
"3.3000","0.1070","0.0263"
"3.3500","0.1091","0.0084"
"3.4000","0.1106","0.0164"
"3.4500","0.1124","0.0178"
"3.5000","0.1139","0.0261"
"3.5500","0.1157","0.0154"
"3.6000","0.1171","0.0074"
"3.6500","0.1188","0.0234"
"3.7000","0.1208","0.0094"
"3.7500","0.1222","0.0119"
"3.8000","0.1240","0.0174"
"3.8500","0.1255","0.0145"
"3.9000","0.1274","-0.0047"
"3.9500","0.1288","0.0073"
"4.0000","0.1305","0.0022"
"4.0500","0.1324","0.0223"
"4.1000","0.1339","0.0105"
"4.1500","0.1357","0.0187"
"4.2000","0.1372","0.0221"
"4.2500","0.1391","0.0213"
"4.3000","0.1404","0.0351"
"4.3500","0.1423","0.0365"
"4.4000","0.1440","0.0288"
"4.4500","0.1456","0.0245"
"4.5000","0.1474","0.0064"
"4.5500","0.1489","0.0094"
"4.6000","0.1507","0.0143"
"4.6500","0.1520","0.0005"
"4.7000","0.1540","0.0007"
"4.7500","0.1557","0.0195"
"4.8000","0.1573","0.0051"
"4.8500","0.1590","0.0307"
"4.9000","0.1606","0.0101"
"4.9500","0.1623","0.0125"
"5.0000","0.1637","0.0104"
"5.0500","0.1657","0.0268"
"5.1000","0.1673","-0.0041"
"5.1500","0.1690","0.0099"
"5.2000","0.1707","0.0158"
"5.2500","0.1723","0.0022"
"5.3000","0.1739","0.0215"
"5.3500","0.1753","0.0043"
"5.4000","0.1774","0.0297"
"5.4500","0.1789","0.0361"
"5.5000","0.1806","0.0069"
"5.5500","0.1823","0.0100"
"5.6000","0.1840","0.0062"
"5.6500","0.1856","0.0094"
"5.7000","0.1871","0.0017"
"5.7500","0.1891","0.0141"
"5.8000","0.1906","0.0077"
"5.8500","0.1923","0.0154"
"5.9000","0.1940","0.0311"
"5.9500","0.1957","0.0081"
"6.0000","0.1972","0.0114"
"6.0500","0.1988","0.0187"
"6.1000","0.2008","0.0154"
"6.1500","0.2022","-0.0031"
"6.2000","0.2041","0.0265"
"6.2500","0.2056","0.0099"
"6.3000","0.2074","0.0166"
"6.3500","0.2088","0.0152"
"6.4000","0.2104","0.0177"
"6.4500","0.2124","0.0222"
"6.5000","0.2139","0.0201"
"6.5500","0.2157","0.0334"
"6.6000","0.2173","0.0494"
"6.6500","0.2190","0.0312"
"6.7000","0.2204","0.0519"
"6.7500","0.2221","0.0389"
"6.8000","0.2241","0.0354"
"6.8500","0.2256","0.0340"
"6.9000","0.2274","0.0511"
